Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Palm Beach,"1,589",31,215,290,"1,053","9,137","1,073","7,255",809,26
,Pasco,"1,452",13,225,259,955,"6,456",993,"4,969",494,46
,Pinellas,466,7,91,62,306,"3,831",507,"3,090",234,11
,Polk,"1,166",10,63,128,965,"5,089",971,"3,572",546,6
,Santa Rosa,209,4,54,14,137,"1,360",276,973,111,7
,Sarasota,475,3,26,64,382,"4,183",583,"3,398",202,6
,Seminole,445,4,83,45,313,"2,551",392,"1,977",182,5
,St. Johns,281,5,24,32,220,"2,104",297,"1,657",150,4
,St. Lucie,259,2,42,36,179,"1,160",210,842,108,8
,Sumter,176,5,15,13,143,884,194,589,101,4
,Volusia,546,7,60,87,392,"2,205",421,"1,572",212,14
,Wakulla,75,0,11,2,62,503,124,346,33,1
,Walton,114,1,15,4,94,755,130,569,56,0
FLORIDA - Nonmetropolitan Counties,Bradford,65,0,12,3,50,226,82,123,21,1
,Calhoun,30,1,0,1,28,78,27,42,9,0
,Columbia,158,1,17,19,121,894,361,483,50,2
,DeSoto,104,0,17,6,81,512,147,321,44,2
,Dixie,85,1,14,2,68,147,88,44,15,1
,Franklin,59,0,1,0,58,211,33,169,9,2
,Glades,24,0,2,0,22,124,20,92,12,0
,Gulf,29,1,1,0,27,156,47,97,12,0
,Hamilton,41,1,4,4,32,186,56,119,11,1
,Hardee,47,1,4,4,38,270,79,167,24,0
,Hendry,126,7,19,11,89,630,254,328,48,3
,Holmes,72,0,12,3,57,158,54,97,7,0
,Lafayette,13,0,1,0,12,37,12,20,5,0
,Liberty,19,1,0,1,17,66,22,35,9,0
,Madison,109,0,14,3,92,174,71,101,2,0
,Monroe,186,2,19,23,142,681,86,557,38,6
,Okeechobee,162,2,21,25,114,780,153,549,78,0
,Putnam,124,4,21,10,89,797,217,528,52,0
,Suwannee,148,2,17,2,127,432,137,269,26,0
,Taylor,71,0,9,4,58,229,91,108,30,0
,Union,47,0,12,3,32,83,30,47,6,0
,Washington,32,0,0,1,31,132,44,74,14,0
GEORGIA - Metropolitan Counties6,Brooks,50,0,5,1,44,196,47,122,27,0
,Bryan,47,1,5,9,32,277,45,217,15,0
,Burke,27,0,2,3,22,225,57,142,26,0
,Butts,57,2,6,3,46,329,40,266,23,1
,Cherokee,74,0,19,12,43,"1,145",149,902,94,0
,Clayton County Police Department,"1,440",33,220,422,765,"7,364","1,627","4,595","1,142",20
,Cobb,6,0,0,0,6,74,0,71,3,0
,Coweta,596,5,53,10,528,"1,007",179,730,98,3
,Dougherty,0,0,0,0,0,56,0,55,1,0
,Dougherty County Police Department,38,0,5,9,24,284,84,173,27,0
,Echols,3,0,1,0,2,19,9,10,0,0
,Fayette,50,4,7,5,34,346,93,222,31,2
,Forsyth,123,1,22,7,93,"1,377",180,"1,077",120,0
,Hall,252,4,37,20,191,"1,315",288,876,151,4
,Haralson,146,1,8,2,135,384,102,234,48,3
,Heard,18,0,1,2,15,96,25,60,11,2
,Jasper,69,0,2,2,65,193,34,144,15,1
,Jones,22,0,2,2,18,303,81,192,30,1
,Lanier,22,0,0,1,21,117,33,71,13,0
,Lee,41,0,6,11,24,494,103,356,35,1
,Madison,99,1,3,2,93,363,60,280,23,4
,Marion,2,0,0,0,2,29,9,17,3,0
,McDuffie,28,0,3,6,19,178,67,101,10,0
,Meriwether,42,2,5,2,33,257,64,173,20,1
,Murray,47,0,5,3,39,85,16,51,18,
,Newton,81,3,8,32,38,821,303,408,110,12
,Paulding,320,5,27,22,266,"1,862",314,"1,272",276,11
,Peach,25,0,6,3,16,156,32,106,18,0
,Pike,20,0,1,2,17,193,24,160,9,0
,Walton,39,1,10,7,21,444,74,322,48,0
GEORGIA - Nonmetropolitan Counties6,Berrien,51,1,3,0,47,132,31,92,9,2
,Bleckley,21,0,3,0,18,100,34,61,5,0
,Candler,9,0,1,3,5,41,9,31,1,1
,Cook,36,0,1,1,34,131,25,89,17,0
,Fannin,31,2,8,1,20,274,61,179,34,3
,Franklin,16,2,3,0,11,221,53,153,15,0
,Gilmer,72,0,16,0,56,327,73,226,28,2
,Hancock,15,0,0,0,15,50,15,28,7,0
,Jefferson,27,0,2,0,25,70,23,36,11,0
,Laurens,92,1,12,8,71,523,175,291,57,3
,Mitchell,28,0,2,2,24,265,40,196,29,0
,Pierce,31,0,5,2,24,321,72,219,30,2
,Pulaski,50,2,2,1,45,209,55,151,3,
,Screven,37,0,0,4,33,112,41,59,12,2
,Thomas,60,0,17,11,32,477,106,322,49,3
,Towns,23,0,3,0,20,88,17,67,4,0
,Treutlen,5,0,1,0,4,34,10,22,2,1
,Ware,83,1,3,3,76,432,62,354,16,
,White,22,0,1,1,20,136,51,77,8,1
,Wilkes,22,0,1,0,21,30,6,20,4,0
,Wilkinson,10,0,0,1,9,34,16,14,4,0
HAWAII - Metropolitan Counties,Maui Police Department,449,1,110,67,271,"4,984",577,"3,746",661,128
IDAHO - Metropolitan Counties,Ada,257,0,67,4,186,595,131,443,21,10
,Bannock,5,0,2,0,3,37,9,20,8,0
,Boise,17,0,1,1,15,62,7,51,4,0
,Bonneville,109,1,15,3,90,607,157,409,41,5
,Butte,7,0,0,0,7,1,0,1,0,0
,Canyon,117,1,28,3,85,430,139,200,91,3
,Franklin,8,1,0,0,7,34,20,14,0,0
,Gem,22,1,3,0,18,64,25,32,7,0
,Jefferson,19,0,2,0,17,68,12,50,6,0
,Jerome,13,0,2,0,11,95,32,52,11,0
,Kootenai,149,1,15,4,129,707,175,490,42,3
,Nez Perce,8,0,4,0,4,83,11,67,5,0
,Owyhee,30,0,6,0,24,60,14,39,7,0
,Power,10,0,5,0,5,29,5,21,3,0
,Twin Falls,42,0,9,0,33,136,60,62,14,2
IDAHO - Nonmetropolitan Counties,Adams,10,0,0,0,10,43,6,37,0,0
,Benewah,25,1,1,1,22,36,7,22,7,1
,Bingham,27,1,4,1,21,154,44,95,15,0
,Blaine,5,0,2,0,3,18,7,10,1,0
,Bonner,26,0,1,0,25,342,111,190,41,2
,Camas,3,0,0,0,3,8,2,6,0,0
,Cassia,34,0,1,1,32,257,23,209,25,0
,Clark,1,0,1,0,0,5,0,5,0,0
,Custer,4,1,1,0,2,16,4,11,1,0
,Elmore,29,1,3,0,25,55,7,38,10,2
,Fremont,2,0,1,0,1,42,5,34,3,0
,Gooding,19,1,2,0,16,41,11,19,11,0
,Idaho,26,0,3,1,22,63,20,35,8,0
,Latah,14,1,7,0,6,89,22,63,4,0
,Lemhi,6,0,0,0,6,9,4,3,2,0
,Lewis,5,0,0,0,5,49,11,29,9,0
,Lincoln,17,0,2,0,15,26,9,15,2,0
,Madison,22,0,7,0,15,54,12,34,8,0
,Minidoka,12,0,1,0,11,82,21,53,8,0
,Oneida,5,0,1,0,4,19,8,8,3,0
,Payette,14,0,3,0,11,85,7,66,12,0
,Shoshone,14,0,2,0,12,106,34,62,10,0
,Teton,15,0,2,0,13,33,4,28,1,0
,Valley,22,0,6,0,16,58,22,35,1,0
,Washington,5,0,1,0,4,16,8,7,1,0
ILLINOIS - Metropolitan Counties,Alexander,6,0,1,0,5,53,15,37,1,0
,Boone,27,0,12,1,14,146,34,103,9,0
,Champaign,48,0,24,9,15,405,130,251,24,1
,Clinton,9,0,1,1,7,73,12,58,3,0
,Cook,231,4,61,37,129,"1,035",156,745,134,11
,DeKalb,28,0,3,7,18,85,42,42,1,0
,DuPage,81,1,21,12,47,434,120,272,42,2
,Fulton,29,0,2,4,23,155,60,87,8,0
,Grundy,20,1,6,2,11,79,19,58,2,2
,Henry,6,0,0,0,6,51,11,36,4,0
,Jackson,29,0,8,1,20,299,115,163,21,0
,Jersey,25,0,15,0,10,115,37,67,11,0
,Johnson,26,0,2,1,23,93,29,50,14,0
,Kane,87,1,12,9,65,280,87,171,22,0
,Kankakee,56,1,9,8,38,250,80,151,19,6
,Kendall,52,0,19,7,26,225,27,193,5,1
,Lake,104,1,27,13,63,771,194,501,76,3
,Macon,38,0,5,3,30,282,60,210,12,3
,Macoupin,10,0,0,4,6,250,55,180,15,1
,Madison,126,0,22,8,96,"1,059",223,751,85,1
,Marshall,3,0,1,0,2,24,14,7,3,1
,McHenry,65,1,17,3,44,257,63,179,15,1
,McLean,30,0,12,1,17,117,27,77,13,3
,Menard,10,0,3,0,7,51,8,40,3,22
,Monroe,9,0,3,0,6,34,16,15,3,0
,Peoria,55,0,12,8,35,866,162,616,88,4
,Piatt,16,0,5,0,11,63,37,20,6,0
,Rock Island,54,0,17,2,35,222,53,154,15,1
,Sangamon,204,1,21,22,160,467,209,196,62,1
,Stark,9,0,0,0,9,33,18,12,3,0
,Vermilion,87,0,19,2,66,403,135,249,19,4
,Will,125,2,24,21,78,658,119,411,128,7
,Williamson,8,2,4,1,1,248,45,183,20,1
,Winnebago,123,3,27,9,84,517,161,314,42,4
,Woodford,24,5,3,1,15,104,37,62,5,1
ILLINOIS - Nonmetropolitan Counties,Brown,1,0,0,0,1,10,2,8,0,0
,Bureau,29,0,10,0,19,113,28,73,12,4
,Carroll,9,0,1,0,8,21,8,12,1,1
,Cass,2,0,0,0,2,30,9,20,1,0
,Clay,5,0,0,0,5,43,17,19,7,1
,Coles,16,0,5,0,11,98,21,66,11,1
,Crawford,6,0,1,0,5,76,15,59,2,0
,Cumberland,1,0,0,0,1,13,7,5,1,0
,Douglas,8,0,2,0,6,30,13,15,2,0
,Edgar,4,0,1,0,3,32,11,17,4,0
,Effingham,16,0,0,0,16,107,23,69,15,0
,Fayette,14,0,4,0,10,50,14,23,13,0
,Ford,11,0,1,0,10,52,18,34,0,0
,Franklin,14,0,0,0,14,217,56,151,10,0
,Gallatin,5,0,0,0,5,38,8,23,7,0
,Greene,9,0,0,0,9,20,4,15,1,1
,Hamilton,7,0,3,0,4,42,6,33,3,0
,Iroquois,19,3,2,0,14,142,48,74,20,1
,Jasper,48,0,13,1,34,56,32,18,6,1
,Jefferson,59,0,4,2,53,286,102,156,28,4
,Jo Daviess,6,0,2,1,3,74,27,43,4,0
,Knox,51,0,9,0,42,171,72,81,18,1
,La Salle,33,0,12,0,21,167,45,110,12,2
,Lee,21,0,0,0,21,81,11,63,7,1
,Livingston,28,0,8,2,18,96,33,57,6,1
,Logan,11,0,1,0,10,63,29,31,3,0
,Marion,43,1,10,4,28,202,100,86,16,0
,Mason,12,0,2,0,10,85,16,66,3,1
,McDonough,8,0,0,0,8,19,9,9,1,0
,Montgomery,42,0,5,0,37,133,51,79,3,1
,Morgan,11,0,3,2,6,108,57,45,6,0
,Moultrie,8,0,2,0,6,38,15,20,3,0
,Ogle,13,0,0,0,13,149,46,101,2,0
,Perry,7,0,3,0,4,67,26,37,4,0
,Pike,15,0,6,1,8,37,14,22,1,0
,Putnam,1,0,0,0,1,19,5,14,0,0
,Randolph,4,0,1,0,3,18,5,12,1,0
,Schuyler,3,0,0,0,3,14,0,14,0,0
,Scott,0,0,0,0,0,15,5,6,4,0
,Shelby,1,0,1,0,0,49,16,33,0,0
,Stephenson,36,2,13,1,20,87,21,62,4,1
,Wabash,0,0,0,0,0,2,1,1,0,0
,Wayne,15,0,4,1,10,108,40,56,12,0
,Whiteside,17,1,8,0,8,79,36,37,6,0
INDIANA - Metropolitan Counties,Allen,184,2,36,29,117,642,128,436,78,1
,Bartholomew,51,0,18,2,31,402,75,287,40,
,Floyd,16,2,1,1,12,281,37,200,44,
,Franklin,4,0,0,0,4,137,30,89,18,0
,Hancock,60,0,2,5,53,233,50,145,38,1
,Howard,56,0,3,4,49,126,29,86,11,
,La Porte,57,1,2,10,44,416,130,233,53,1
,Madison,37,0,16,6,15,369,95,249,25,3
,Porter,38,2,10,2,24,350,77,248,25,
,Shelby,58,1,4,3,50,154,46,90,18,2
,Tippecanoe,41,1,12,6,22,500,120,344,36,3
,Vanderburgh,51,1,9,4,37,482,61,399,22,1
,Vigo7,218,0,11,10,197,,190,,91,10
,Warrick,88,2,6,6,74,508,84,386,38,0
INDIANA - Nonmetropolitan Counties,Blackford6,8,1,0,1,6,16,5,11,0,1
,Clinton,19,1,6,0,12,175,47,121,7,0
,Gibson,32,0,7,0,25,116,23,81,12,1
,Grant,36,0,4,1,31,254,89,158,7,0
,Jackson,12,0,1,0,11,277,67,189,21,
,Jay,7,1,0,0,6,53,4,43,6,
,Jennings,10,3,5,0,2,89,70,19,0,1
,Lawrence,27,0,1,10,16,142,55,53,34,
,Pulaski,41,0,2,2,37,118,23,83,12,0
,Scott,6,0,4,0,2,219,70,144,5,1
,Starke6,36,1,1,3,31,196,38,137,21,0
,Steuben6,12,0,4,0,8,322,63,207,52,1
,Wayne,6,1,3,0,2,147,37,92,18,
,White,12,0,0,0,12,44,20,19,5,
IOWA - Metropolitan Counties,Black Hawk,20,0,0,0,20,123,58,48,17,1
,Boone,17,0,0,0,17,48,13,27,8,1
,Bremer,4,0,2,0,2,24,14,9,1,0
,Dubuque,13,1,7,0,5,114,30,68,16,0
,Grundy,7,0,0,0,7,63,40,18,5,1
,Guthrie,2,0,0,0,2,45,19,23,3,0
,Harrison,7,0,0,0,7,43,12,25,6,2
,Jasper,6,0,2,0,4,44,20,17,7,0
,Johnson,65,0,8,1,56,196,60,116,20,4
,Madison,2,0,0,0,2,26,14,11,1,0
,Mills,17,0,1,0,16,98,28,53,17,2
,Polk,112,0,14,9,89,822,211,486,125,4
,Pottawattamie,57,1,7,3,46,251,54,173,24,4
,Scott,40,2,6,0,32,170,53,100,17,0
,Story,13,1,3,0,9,105,43,46,16,1
,Warren,54,0,7,0,47,136,37,82,17,4
,Washington,35,0,2,0,33,61,25,27,9,0
,Woodbury,22,0,3,0,19,186,98,78,10,0
IOWA - Nonmetropolitan Counties,Adair,0,0,0,0,0,24,7,14,3,0
,Adams,3,0,0,0,3,20,8,10,2,0
,Allamakee,7,0,1,0,6,20,5,13,2,0
,Appanoose,8,0,0,0,8,70,24,30,16,1
,Buchanan,33,0,8,0,25,115,41,57,17,5
,Buena Vista,12,0,1,0,11,41,29,10,2,0
,Butler,7,0,4,0,3,25,15,6,4,1
,Calhoun,8,0,0,0,8,31,12,14,5,1
,Cass,10,1,2,0,7,38,6,25,7,0
,Cedar,12,0,2,0,10,43,14,24,5,1
,Cerro Gordo,10,0,2,0,8,98,26,53,19,0
,Cherokee,2,0,1,0,1,12,7,5,0,0
,Chickasaw,10,0,1,0,9,29,9,15,5,0
,Clarke,7,0,2,0,5,36,11,16,9,1
,Clay,13,0,1,0,12,11,7,3,1,0
,Clayton,11,0,7,0,4,41,11,27,3,0
,Clinton,17,0,6,1,10,92,25,61,6,0
,Crawford,3,0,0,0,3,3,0,2,1,1
,Davis,4,0,0,0,4,1,0,1,0,0
,Delaware,4,0,3,0,1,46,7,30,9,2
,Des Moines,14,0,1,0,13,118,70,46,2,0
,Dickinson,5,0,0,0,5,29,12,13,4,0
,Emmet,0,0,0,0,0,7,0,5,2,0
,Franklin,0,0,0,0,0,1,0,0,1,0
,Fremont,11,0,2,1,8,43,16,22,5,1
,Hamilton,6,0,0,0,6,54,28,19,7,0
,Hancock,6,0,2,0,4,31,17,14,0,0
,Hardin,11,0,4,0,7,83,36,38,9,0
,Henry,20,0,0,0,20,69,20,46,3,2
,Howard,0,0,0,0,0,35,20,12,3,0
,Humboldt,0,0,0,0,0,41,11,28,2,1
,Ida,10,0,2,0,8,68,17,44,7,0
,Iowa,8,0,0,0,8,55,12,31,12,0
