ACGME residency program code,0800121010,0800300146,0800300147,0800300148,0800321127,0800321145,0800421013,0800500145,0800511015,0800512137,0800512144,0800521014,0800521017,0800521018,0800521019,0800521020,0800521101,0800521111,0800531006,0800721022,0800821023,0800831138,0801000127,0801021025,0801021106,0801021123,0801100137,0801100138,0801100139,0801100140,0801100141,0801100143,0801100144,0801121026,0801121096,0801121115,0801131125,0801200030,0801211029,0801221028,0801611032,0801611033,0801612030,0801612135,0801621031,0801621034,0801621118,0801721035,0801821036,0801911037,0802021038,0802121108,0802121109,0802321040,0802321041,0802421044,0802421114,0802421141,0802431043,0802500142,0802500143,0802500145,0802512046,0802513139,0802531045,0802600050,0802621049,0802631048,0802700001,0802800117,0802821050,0802821051,0802821116,0803000001,0803221053,0803300129,0803321117,0803331128,0803400055,0803500126,0803500127,0803500128,0803500129,0803521062,0803521063,0803521064,0803521065,0803521102,0803521104,0803521113,0803531058,0803600133,0803611066,0803621067,0803621110,0803800144,0803800145,0803811072,0803812070,0803821068,0803821073,0803821120,0803831143,0803921074,0804000076,0804021075,0804100104,0804100105,0804100107,0804111079,0804111081,0804112076,0804121080,0804121103,0804221082,0804321122,0804521099,0804721084,0804721098,0804800144,0804800145,0804811086,0804812140,0804813142,0804821085,0804821087,0804821100,0804821105,0804821121,0804821133,0804822088,0804921112,0805013129,0805100131,0805100132,0805111089,0805121090,0805121130,0805431091,0805511092,0805621093,0805621095,0805622131
Total # Residents on Duty,15,4,3,5,6,9,9,4,12,5,6,15,15,15,23,26,16,8,13,18,13,9,6,10,7,18,6,8,9,9,9,14,9,23,12,12,6,5,9,20,6,10,12,10,12,12,6,13,16,14,7,12,16,21,7,15,9,10,25,5,12,6,20,11,24,2,24,14,11,5,10,20,12,0,8,9,3,7,4,12,26,9,3,13,8,25,22,12,13,9,20,6,16,13,10,6,2,9,17,10,6,18,7,9,6,15,6,6,0,13,19,13,18,12,8,12,14,11,14,2,6,12,11,6,27,11,20,9,19,9,8,11,7,3,6,9,6,8,11,6,12,15,6
# Residents on Duty Year 1,5,1,0,2,2,2,3,2,4,2,2,5,5,5,8,10,5,3,4,6,5,3,2,5,2,6,2,3,3,3,3,5,3,6,4,4,2,1,3,7,2,4,4,3,4,4,2,0,6,5,2,4,6,7,3,5,3,4,8,2,4,2,7,3,7,2,8,5,3,2,4,6,4,0,4,3,1,4,2,4,8,3,1,5,3,8,8,4,3,3,6,2,5,5,4,2,0,3,4,3,2,6,2,3,2,5,2,2,0,3,6,4,7,4,2,4,4,3,6,1,1,4,4,2,11,4,7,3,6,3,3,4,3,1,2,3,2,3,4,2,4,5,2
# of categorical positions offered by this program in the 2020 NRMP Main Match,0,0,,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
# of categorical positions filled by this program in the 2020 NRMP Main Match,0,0,,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
# of advanced positions offered by this program in the 2020 NRMP Main Match,6,2,,2,0,4,0,2,4,1,2,5,5,5,7,10,5,3,,6,5,3,2,4,2,,0,3,3,3,3,7,3,8,4,4,0,2,3,6,2,3,4,4,4,4,0,2,5,4,2,4,6,7,2,6,3,4,8,0,4,0,7,4,8,4,6,4,4,2,3,6,4,,3,3,1,1,4,4,8,,1,4,3,8,10,5,5,3,7,4,5,5,4,0,,1,0,3,2,6,2,4,2,5,2,2,4,6,6,4,7,4,3,4,5,0,5,1,1,6,5,2,6,4,8,3,,3,3,4,2,1,2,3,2,2,4,2,4,5,2
# of advanced positions filled by this program in the 2020 NRMP Main Match,6,2,,2,0,4,0,1,4,1,2,5,5,5,7,10,5,3,,4,5,3,2,4,2,,0,3,3,3,3,6,3,8,4,4,0,2,3,6,2,3,4,4,4,4,0,2,5,4,2,4,6,7,2,6,3,3,8,0,4,0,7,4,8,4,6,4,4,0,3,6,4,,3,3,1,1,2,4,8,,1,4,3,8,10,5,5,3,7,4,5,5,4,0,,1,0,3,2,6,2,4,2,5,2,2,4,6,6,4,7,4,3,4,5,0,5,1,1,6,5,2,6,4,8,3,,3,3,4,2,1,2,3,2,2,4,2,4,5,2
# of applications submitted to this program in 2020,485,359,,355,452,508,371,315,506,456,462,510,515,499,509,493,504,447,,938,502,493,568,426,580,,480,369,334,346,331,739,330,585,489,535,474,238,460,605,542,574,533,527,577,569,395,527,474,459,449,532,508,552,520,457,517,898,510,218,293,274,545,502,562,406,545,519,390,430,415,554,526,,467,292,385,458,755,464,524,299,326,527,478,528,519,475,526,487,541,283,551,588,574,273,0,480,539,521,421,511,512,408,294,578,544,321,313,559,570,481,560,537,131,548,544,445,571,285,295,477,499,375,500,565,559,395,,428,463,541,450,383,24,539,505,461,577,385,510,500,331
% of applicants interviewed by the program in 2019,7.5,4.8,0,,5.3,6.7,9.9,3.2,10.3,2.5,4.7,5.9,7.4,8.1,8.3,8.7,9.6,6.7,,4.9,9.4,7.4,,11.1,3.8,,0,10,6.1,9.8,11,15.5,,8.3,5.6,7.2,4.1,,7.9,3.9,9.2,7.5,7.6,5.7,12.8,9.3,7.7,4.6,8.8,23.7,3.6,7.7,15.7,8,4.4,9.1,4.5,7.1,7.5,,,4.1,12.4,8.7,13.5,,10.7,,7.7,,8.4,7,7.2,,8.1,9.6,4.9,0,12.2,8.1,0,7.1,,8.9,9.9,9.8,7,5.6,7.9,11.3,10.1,,5,8.2,8.9,,,4.4,6.9,9.5,6.4,8,5.5,9,3.4,7.9,5.4,6.6,,4.8,9.9,7.4,9.3,6.1,8.7,8.1,7.2,6.5,8.4,5.6,5.6,6.8,8,3.8,12.4,8.4,6.8,7.1,,6.7,4.8,7.1,4.2,6.2,,3.6,8,7.1,6.6,3.4,7.4,11.2,7.6
Average number of work experiences among matched applicants,3,,,,3,3,3,,3,,3,3,3,3,4,4,3,4,,3,3,3,2,2,5,,,3,,,3,5,,4,3,3,,,4,4,1,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,4,,3,,3,3,3,,4,3,2,,6,3,3,,3,,,,,4,3,,,3,,4,3,4,3,4,3,,3,3,3,,,3,4,3,4,4,,3,,4,,,,3,3,4,3,3,5,4,3,3,3,,,3,3,4,4,4,4,3,,2,4,4,,,,3,,4,4,,4,2,
Average number of volunteer experiences among matched applicants,8,,,,10,9,10,,8,,7,9,8,8,9,8,8,8,,8,6,9,9,9,10,,,8,,,8,6,,9,9,9,,,9,7,7,8,9,9,9,9,10,8,8,9,8,8,11,8,9,7,8,7,8,,6,,8,11,8,,10,9,13,,10,8,7,,9,,,,,8,6,,,9,,9,7,9,8,8,8,,9,8,10,,,9,9,8,10,10,,11,,10,,,,8,7,12,8,9,10,9,11,11,10,,,15,11,11,10,10,10,10,,12,12,9,,,,9,,7,8,,10,8,
Average number of research experiences among matched applicants,5,,,,6,6,5,,6,,6,9,5,8,5,5,6,5,,7,6,4,8,3,5,,,5,,,3,3,,6,6,4,,,4,6,5,7,5,6,5,5,4,4,4,4,4,5,3,5,3,4,5,4,5,,2,,6,6,5,,4,5,3,,4,4,7,,6,,,,,5,4,,,4,,6,6,5,5,4,6,,6,5,6,,,8,5,6,4,6,,5,,6,,,,5,6,5,6,6,4,6,4,4,5,,,5,6,6,7,5,6,7,,3,5,8,,,,6,,6,4,,5,5,
Average number of peer-reviewed publications among matched applicants,6,,,,8,9,9,,11,,18,13,9,15,11,12,17,8,,11,11,6,11,10,6,,,8,,,5,8,,19,12,11,,,4,9,9,10,7,6,10,7,4,5,5,5,5,6,5,11,7,8,9,7,15,,4,,11,7,9,,7,9,3,,5,7,5,,10,,,,,10,9,,,10,,13,14,7,12,7,14,,5,9,13,,,8,6,14,4,7,,7,,8,,,,8,10,6,13,7,4,12,4,5,7,,,6,9,12,11,6,9,4,,4,6,9,,,,6,,10,6,,7,8,
