ACGME residency program code,9990100001,9990300006,9990300226,9990300227,9990400008,9990400009,9990500008,9990500010,9990500013,9990500151,9990500244,9990500245,9990500246,9990500248,9990500250,9990500252,9990700018,9990800238,9990900021,9991000024,9991100229,9991100230,9991100231,9991100232,9991100233,9991100234,9991100235,9991100237,9991100238,9991100239,9991100241,9991100242,9991100243,9991100244,9991100245,9991200026,9991200029,9991200234,9991200235,9991200236,9991200237,9991200238,9991400030,9991600032,9991600033,9991600035,9991600037,9991600038,9991600207,9991600232,9991700040,9991700041,9991700157,9991800042,9991800220,9992000001,9992300049,9992400054,9992400158,9992400159,9992400160,9992400199,9992400246,9992500056,9992500057,9992500058,9992500060,9992500062,9992500067,9992500068,9992500178,9992500190,9992500253,9992500255,9992500259,9992500260,9992500261,9992500262,9992500263,9992500264,9992600069,9992700001,9992800071,9993100001,9993100002,9993300241,9993300242,9993300243,9993300244,9993400001,9993500080,9993500084,9993500241,9993500257,9993500258,9993500259,9993500261,9993500262,9993500264,9993500265,9993500266,9993500267,9993500268,9993500269,9993600001,9993600002,9993600003,9993600004,9993600005,9993600006,9993700086,9993800087,9993800093,9993800095,9993800096,9993800165,9993800250,9993800260,9993800262,9993800263,9993900001,9994100103,9994100104,9994100106,9994100115,9994100119,9994100212,9994100249,9994100250,9994100251,9994100253,9994100254,9994100255,9994100256,9994100257,9994200125,9994200213,9994200249,9994200256,9994500182,9994500252,9994500253,9994600230,9994700130,9994800133,9994800137,9994800168,9994800254,9994800256,9994800257,9994800258,9994800259,9994900142,9995100170,9995100193,9995100206,9995400144,9995400145,9995400146,9995500248,9995600147,9995600148,9995600184
Total # Residents on Duty,19,12,9,0,5,7,6,18,16,23,12,7,18,13,0,0,8,8,5,26,11,14,10,4,14,13,13,13,13,13,15,13,8,0,6,24,6,10,12,13,10,13,12,15,6,8,10,10,14,2,15,18,10,4,4,12,9,7,9,7,12,6,10,12,14,17,28,6,7,10,12,8,5,18,10,5,6,6,6,4,18,12,7,13,13,9,15,18,11,6,9,6,24,13,13,15,10,6,12,6,4,12,0,10,12,8,0,0,4,0,8,10,4,12,11,7,4,4,0,10,6,14,6,10,10,6,14,4,4,10,5,3,0,4,9,13,10,11,4,6,6,12,6,6,6,9,12,28,4,9,0,0,10,12,24,4,12,18,12,13,12,14,14
# Residents on Duty Year 1,19,12,9,0,5,7,6,18,16,23,12,7,18,13,0,0,8,8,5,26,11,14,10,4,14,13,13,13,13,13,15,13,8,0,6,24,6,10,12,13,10,13,12,15,6,8,10,10,14,2,15,18,10,4,4,12,9,7,9,7,12,6,10,12,14,17,28,6,7,10,12,8,5,18,10,5,6,6,6,4,18,12,7,13,13,9,15,18,11,6,9,6,24,13,13,15,10,6,12,6,4,12,0,10,12,8,0,0,4,0,8,10,4,12,11,7,4,4,0,10,6,14,6,10,10,6,14,4,4,10,5,3,0,4,9,13,10,11,4,6,6,12,6,6,6,9,12,28,4,9,0,0,10,12,24,4,12,18,12,13,12,14,14
# of positions offered by this program in the 2020 NRMP Main Match,15,13,,13,5,10,,18,16,,12,8,18,16,7,,8,8,0,,13,14,10,4,14,13,13,13,13,13,15,13,8,,10,29,,10,20,13,10,13,,16,6,8,10,10,14,6,15,18,10,4,4,10,9,7,9,7,11,6,10,12,6,15,22,6,2,10,3,6,6,18,10,6,3,6,6,,5,12,7,17,13,,16,18,10,6,9,6,24,13,13,15,10,6,12,6,4,12,12,,13,13,,,4,,8,10,4,12,11,8,4,4,6,10,6,14,6,8,10,6,14,4,6,10,6,4,6,4,,13,,12,4,6,6,12,6,6,6,,12,,4,13,,26,10,12,,4,5,16,,13,12,9,14
# of positions filled by this program in the 2020 NRMP Main Match,12,13,,13,0,1,,18,16,,12,8,17,16,0,,8,6,0,,13,14,10,4,4,7,5,13,5,8,15,9,6,,8,28,,10,20,12,7,13,,16,6,8,10,10,14,6,15,18,10,4,4,4,9,7,9,7,11,6,10,12,6,15,22,4,2,10,3,6,6,14,10,3,0,6,5,,5,3,7,13,13,,6,18,0,6,9,6,24,13,13,15,10,6,10,5,4,8,12,,4,1,,,4,,8,10,4,12,11,8,4,3,6,10,6,14,6,8,10,6,12,4,6,10,2,4,6,1,,8,,12,4,6,6,12,6,6,6,,8,,4,9,,6,7,12,,4,5,16,,13,12,9,14
# of applications submitted to this program in 2020,851,812,,124,811,1239,,1409,1019,,544,790,746,933,516,,762,656,,,857,674,508,721,1510,1156,1972,516,1117,862,907,1069,1057,,743,1696,,432,529,513,853,402,,640,965,1009,920,774,1044,361,653,516,383,323,311,912,798,801,586,434,641,712,544,584,632,952,869,863,478,731,0,514,350,926,587,536,725,573,514,119,397,803,450,907,545,82,1367,193,1423,325,424,447,1304,842,639,672,654,807,697,1082,658,1069,345,,928,1062,,,314,,244,446,351,682,498,525,309,533,122,236,280,717,558,520,971,519,829,373,366,544,1037,235,414,636,,413,,248,96,393,721,568,260,394,993,,1197,,320,902,82,1296,810,527,,269,984,467,,471,415,708,573
% of applicants interviewed by the program in 2019,17.5,17,,,1.7,4.2,,11.6,21,,21.6,,12.5,15.9,,0,8.5,,0,,10.4,14.2,11.6,8.4,10.5,6.1,5.4,13.3,5,10.6,8.2,13.1,8,,6.7,1.6,,7.3,16.3,24.2,8.8,8.5,,15.4,5.4,7.6,13.5,10.9,7,42.8,17.4,15.5,17.5,17.3,10.7,13.6,13.3,9.8,7.8,19.3,13.6,17.9,21.2,24.4,12.4,25.5,15.3,4.7,5.7,10.6,9.8,12.2,9.2,18.4,4.9,3,2.6,10.3,6.8,,0,,12.5,19.5,5.3,,0,,,,16.8,7.1,9.5,14.5,10.7,8.6,18,15.7,11.5,0,69,,,,6,,0,,,,18.8,19.1,6.9,28.4,14.1,9.9,11.6,6.4,,,10.9,18,14.9,11.6,25.1,12.4,16.4,7.3,15.6,19.1,3.9,,,,,19.4,,21.6,15,11.8,17.3,17.9,21.6,17,7.9,,8.7,,14.2,,,,19.6,18.6,,11.5,,23.8,,22.4,14.4,10.9,10.2
Average number of work experiences among matched applicants,3,3,,,,,,3,4,,4,5,4,3,,,3,3,,,3,3,3,3,3,,,3,,3,3,3,,,3,3,,3,3,3,5,,,3,3,4,3,3,3,,3,3,3,4,3,,3,3,4,3,4,3,4,4,3,3,6,3,,4,3,3,3,3,,,,,,,3,,3,3,4,,,,,,3,3,3,3,3,3,4,3,,5,,,,,,,,,,,3,2,3,3,3,4,,,,,,4,3,3,3,3,3,,,4,,,,,,3,,,,3,3,3,4,3,4,,3,,,,,,3,3,,,3,4,,3,3,3,3
Average number of volunteer experiences among matched applicants,8,8,,,,,,8,8,,7,5,5,7,,,7,5,,,6,7,5,7,7,,,7,,6,8,6,,,10,7,,7,8,6,5,,,8,7,6,7,6,9,,9,8,6,9,10,,7,7,6,6,5,6,6,8,9,7,5,8,,4,6,7,8,8,,,,,,,7,,7,5,5,,,,,,6,6,7,7,7,7,8,7,,7,,,,,,,,,,,6,7,7,8,9,6,,,,,,7,5,7,7,8,6,,,9,,,,,,7,,,,7,7,8,12,7,9,,7,,,,,,9,7,,,9,8,,8,8,8,7
Average number of research experiences among matched applicants,3,3,,,,,,4,5,,3,2,2,4,,,3,4,,,2,3,3,3,4,,,3,,3,5,3,,,3,4,,3,5,3,2,,,3,4,4,4,4,4,,3,3,2,3,3,,4,5,5,3,3,5,4,3,4,4,2,4,,2,4,4,3,4,,,,,,,4,,4,3,3,,,,,,4,3,5,3,4,4,3,3,,3,,,,,,,,,,,3,3,4,3,3,3,,,,,,3,4,2,4,4,3,,,5,,,,,,3,,,,3,3,3,4,3,4,,3,,,,,,4,4,,,4,4,,3,4,4,3
Average number of peer-reviewed publications among matched applicants,4,5,,,,,,7,7,,5,4,3,7,,,4,17,,,3,4,3,3,6,,,6,,4,8,4,,,3,6,,3,6,2,10,,,4,7,5,5,6,5,,4,4,3,2,4,,10,8,8,4,8,6,6,5,4,7,9,6,,4,4,4,3,5,,,,,,,6,,4,3,4,,,,,,4,5,11,7,6,7,5,2,,5,,,,,,,,,,,4,3,5,3,5,4,,,,,,5,5,3,6,7,4,,,5,,,,,,3,,,,4,3,3,4,3,6,,3,,,,,,5,4,,,6,4,,5,7,4,4
Comparison to Matched Applicants: USMLE Step 1,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,-,-,-,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,-,-,-,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is below the range observed among matched applicants,-,-,-,-,-,-,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,-,-,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,-,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants
Comparison to Matched Applicants: USMLE Step 2CK,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,-,-,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the top 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,Your score is above the range observed among matched applicants,-,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the top 25% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,Your score is in the top 25% of matched applicants,-,-,-,-,-,-,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is below the range observed among matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,-,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,-,-,-,-,-,Your score is in the middle 50% of matched applicants,-,Your score is in the top 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,-,-,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants
Comparison to Matched Applicants: COMLEX Level 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comparison to Matched Applicants: COMLEX Level 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comparison to Matched Applicants: Peer-review publications,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the lower 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is above the range observed among matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants
