Program,Total residents per year,Pass %,,,,,,,,,,,
"Kaiser Permanente Northern California (Santa Rosa) Program Santa Rosa, California
1200500745                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Kaiser Permanente Northern California (San Jose) Program San Jose, California
1200500746                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Riverside Community Hospital/University of California Riverside School of Medicine Program Riverside, California
1200500747                                                                                                                                                                                                                          2/5/2021",2,85.71%,,,,,,,,,,,
"Adventist Health Ukiah Valley Program Ukiah, California
1200500748                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Valley Health Team, Inc. Program Fresno, California
1200500750                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Charles R. Drew University of Medicine and Science, College of Medicine Program Los Angeles, California
1200500752                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"St. Joseph's Medical Center Program Stockton, California
1200500753                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"St. Agnes Medical Center (Fresno) Program Fresno, California
1200500754                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"St. Joseph Hospital-Eureka Program Eureka, California
1200500755                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"OPTI/West (Montclair) Program Montclair, California
1200500757                                                                                                                                                                                                                          2/5/2021",3,71.43%,,,,,,,,,,,
"Borrego Community Health Foundation DBA Borrego Health Program Hemet, California
1200500759                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Loma Linda University Medical Center - Murrieta Program Murrieta, California
1200500760                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"UHS Southern California Medical Education Consortium Program Temecula, California
1200500761                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Lifelong Medical Care Program Richmond, California
1200500762                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"AltaMed Health Services Program South Gate, California
1200500764                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Kaiser Permanente Northern California Program Sacramento, California
1200500765                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Sutter Health Rural Program Jackson, California
1200500767                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Desert Regional Medical Center Program Palm Springs, California
1200500768                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Keck Medicine Program Los Angeles, California
1200500769                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"David Grant Medical Center Program Travis AFB, California
1200511001                                                                                                                                                                                                                          2/5/2021",11,98.21%,,,,,,,,,,,
"Kern Medical Center Program Bakersfield, California
1200511038                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"University of California (Davis) Health System Program Sacramento, California
1200511039                                                                                                                                                                                                                          2/5/2021",13,98.36%,,,,,,,,,,,
"Kaiser Permanente Southern California (Los Angeles) Program Los Angeles, California
1200511047                                                                                                                                                                                                                          2/5/2021",9,97.78%,,,,,,,,,,,
"UCLA Medical Center Program Santa Monica, California
1200511049                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Dignity Health Family Medicine Residency at Northridge Hospital Northridge, California
1200511053                                                                                                                                                                                                                          2/5/2021",8,97.44%,,,,,,,,,,,
"Arrowhead Regional Medical Center Program Colton, California
1200511057                                                                                                                                                                                                                          2/5/2021",13,96.92%,,,,,,,,,,,
"University of California (San Francisco) Program San Francisco, California
1200511059                                                                                                                                                                                                                          2/5/2021",15,100.00%,,,,,,,,,,,
"Sutter Medical Center of Santa Rosa/University of California (San Francisco) Program Santa Rosa, California
1200511065                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Ventura County Medical Center Program Ventura, California
1200511068                                                                                                                                                                                                                          2/5/2021",14,100.00%,,,,,,,,,,,
"Naval Hospital (Camp Pendleton) Program Camp Pendleton, California
1200512014                                                                                                                                                                                                                          2/5/2021",11,96.36%,,,,,,,,,,,
"Kaiser Permanente Southern California (Fontana) Program Fontana, California
1200512040                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"O'Connor Hospital (San Jose) Program San Jose, California
1200512684                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Kaiser Permanente Southern California (San Diego) Program San Diego, California
1200512705                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Eisenhower Medical Center Program Rancho Mirage, California
1200512708                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Adventist Health Hanford Program Hanford, California
1200513685                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Valley Consortium for Medical Education Family Medicine Program Modesto, California
1200513703                                                                                                                                                                                                                          2/5/2021",11,98.15%,,,,,,,,,,,
"University of California (San Francisco)/Fresno Program Fresno, California
1200521041                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"University of California (Irvine) Program Orange, California
1200521042                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Long Beach Memorial Medical Center Program Long Beach, California
1200521044                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Natividad Medical Center Program Salinas, California
1200521056                                                                                                                                                                                                                          2/5/2021",9,97.83%,,,,,,,,,,,
"University of California (San Diego) Program San Diego, California
1200521058                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"Presbyterian Intercommunity Hospital Program Whittier, California
1200521352                                                                                                                                                                                                                          2/5/2021",6,93.33%,,,,,,,,,,,
"Glendale Adventist Medical Center Program Glendale, California
1200521372                                                                                                                                                                                                                          2/5/2021",8,97.50%,,,,,,,,,,,
"Riverside University Health System/University of California Riverside Program Moreno Valley, California
1200521421                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"California Hospital Medical Center (Dignity Health) Program Los Angeles, California
1200521458                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Mercy Medical Center (Merced) Program Merced, California
1200521459                                                                                                                                                                                                                          2/5/2021",8,97.44%,,,,,,,,,,,
"Loma Linda University Program Loma Linda, California
1200521471                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Los Angeles County-Harbor-UCLA Medical Center Program Harbor City, California
1200521478                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"White Memorial Medical Center Program Los Angeles, California
1200521480                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Kaiser Permanente Southern California (Riverside) Program Riverside, California
1200521509                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Kaiser Permanente Southern California (Woodland Hills) Program Woodland Hills, California
1200521514                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Dignity Health Methodist Hospital of Sacramento Program Sacramento, California
1200521564                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Pomona Valley Hospital Medical Center Program Pomona, California
1200521610                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Scripps Mercy Hospital (Chula Vista) Program Chula Vista, California
1200521632                                                                                                                                                                                                                          2/5/2021",8,97.50%,,,,,,,,,,,
"Contra Costa Regional Medical Center Program Martinez, California
1200531050                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Mercy Medical Center (Redding) Program Redding, California
1200531054                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"San Joaquin General Hospital Program French Camp, California
1200531066                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Kaiser Permanente Southern California (Anaheim) Program Santa Ana, California
1200531515                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Sutter Health Program Sacramento, California
1200531556                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"North Colorado Medical Center Sterling Rural Program Greeley, Colorado
1200700622                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"St. Mary-Corwin Medical Center Program Pueblo, Colorado
1200700623                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"University of Colorado School of Medicine Program Aurora, Colorado
1200700624                                                                                                                                                                                                                          2/5/2021",0,100.00%,,,,,,,,,,,
"Healthone Program Lone Tree, Colorado
1200700625                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Still OPTI/Peak Vista Program Colorado Springs, Colorado
1200700626                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"North Colorado Medical Center Program Greeley, Colorado
1200711074                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"St Anthony Hospital Program Westminster, Colorado
1200712069                                                                                                                                                                                                                          2/5/2021",10,97.96%,,,,,,,,,,,
"St. Joseph Hospital Program Denver, Colorado
1200712070                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of Colorado Denver (HealthONE Rose Medical Center) Program Denver, Colorado
1200721071                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"St. Mary-Corwin Medical Center/Southern Colorado Family Medicine Pueblo, Colorado
1200721075                                                                                                                                                                                                                          2/5/2021",5,94.74%,,,,,,,,,,,
"University of Colorado Denver (HealthONE Swedish Medical Center) Program Littleton, Colorado
1200721544                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Colorado Denver (University Hospital) Program Denver, Colorado
1200721619                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"Poudre Valley Hospital /Fort Collins Family Medicine Program Fort Collins, Colorado
1200731072                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"St Mary's Hospital and Medical Center Program Grand Junction, Colorado
1200731073                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"North Colorado Medical Center Rural Program Greeley, Colorado
1200731524                                                                                                                                                                                                                          2/5/2021",1,80.00%,,,,,,,,,,,
"Prospect Manchester Hospital Program Manchester, Connecticut
1200800723                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Stamford Hospital/Columbia University College of Physicians and Surgeons Program Stamford, Connecticut
1200811078                                                                                                                                                                                                                          2/5/2021",5,92.00%,,,,,,,,,,,
"University of Connecticut Program Hartford, Connecticut
1200821076                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Middlesex Hospital Program Middletown, Connecticut
1200821077                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Bayhealth Medical Center Program Dover, Delaware
1200900416                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Christiana Care Health Services Program Wilmington, Delaware
1200911079                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"St Francis Hospital Program Wilmington, Delaware
1200921415                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Providence Hospital/Georgetown University Hospital Program Colmar Manor, Maryland
1201021080                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Howard University Program Washington, Dist Columbia
1201021081                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"West Kendall Baptist Hospital / Florida International University Program Miami, Florida
1201100721                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Florida State University College of Medicine/Lee Memorial Health System Program Fort Myers, Florida
1201100728                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Orange Park Medical Center Program Orange Park, Florida
1201100729                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"North Florida Regional Medical Center Program Gainesville, Florida
1201100730                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Broward Health Program Ft. Lauderdale, Florida
1201100732                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Lakeside Medical Center Program Belle Glade, Florida
1201100733                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Florida Hospital Medical Center (East Orlando) Program Orlando, Florida
1201100734                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Manatee Memorial Hospital Program Bradenton, Florida
1201100735                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"HCA West Florida GME Consortium/St. Petersburg General Hospital Program St. Petersburg, Florida
1201100736                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
