ACGME residency program code,4300121002,4300300148,4300311003,4300400001,4300500147,4300511007,4300511014,4300513139,4300513143,4300521005,4300521006,4300521008,4300521013,4300521115,4300522132,4300713130,4300811017,4301021112,4301021113,4301112022,4301121023,4301131133,4301131136,4301221125,4301611028,4301611116,4301621027,4301622031,4301711032,4301811033,4301921034,4302011035,4302011036,4302311039,4302321040,4302411131,4302421044,4302511045,4302512046,4302512049,4302521048,4302621050,4302621051,4302731140,4302811054,4303021142,4303200002,4303313135,4303500146,4303511068,4303511071,4303511072,4303512145,4303521061,4303521063,4303521067,4303521070,4303521119,4303521122,4303522064,4303522126,4303611073,4303611075,4303621074,4303811077,4303811079,4303812078,4303821076,4303912137,4304021081,4304111086,4304121087,4304121123,4304121129,4304131127,4304521092,4304700129,4304712128,4304811097,4304812134,4304821098,4304821100,4304822099,4304831144,4304912102,4305111104,4305111106,4305421107,4305500001,4305621108,4305621109
Total # Residents on Duty,12,4,7,2,4,7,17,4,12,4,5,12,14,7,6,8,14,6,6,8,11,4,10,16,6,11,9,7,7,7,5,6,5,16,11,25,9,12,6,12,5,6,12,5,16,4,0,9,3,6,8,6,8,7,24,10,6,11,6,4,6,8,6,12,6,10,12,8,6,6,10,16,10,8,4,4,3,9,5,14,8,6,28,4,9,6,7,9,3,8,8
# Residents on Duty Year 1,3,1,1,1,1,1,4,1,3,1,1,3,4,2,1,2,3,1,1,2,4,1,2,4,2,2,2,1,2,3,2,2,0,4,3,6,3,3,2,3,1,1,3,2,3,1,0,2,1,1,2,2,2,2,6,3,2,2,1,0,1,2,2,3,1,2,3,2,2,2,3,4,2,2,1,2,1,1,1,4,2,2,7,1,4,2,1,1,1,1,2
# of categorical positions offered by this program in the 2020 NRMP Main Match,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# of categorical positions filled by this program in the 2020 NRMP Main Match,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# of advanced positions offered by this program in the 2020 NRMP Main Match,3,0,2,1,1,2,4,2,3,0,2,3,3,2,2,2,3,1,,2,2,0,2,0,1,3,2,3,1,0,2,1,3,4,3,6,3,3,1,0,1,1,3,0,4,1,1,2,1,3,2,2,2,1,6,3,2,2,2,2,2,2,1,4,1,2,3,2,1,0,3,0,2,2,1,1,1,3,1,3,2,0,6,0,4,2,2,3,1,3,1
# of advanced positions filled by this program in the 2020 NRMP Main Match,3,0,0,0,1,2,4,0,3,0,2,3,3,0,1,2,3,1,,2,2,0,2,0,1,3,1,2,0,0,1,1,3,4,3,6,1,3,1,0,1,1,3,0,4,1,1,2,0,3,0,2,2,1,6,3,0,2,1,0,2,2,1,4,0,2,3,2,0,0,2,0,2,2,1,1,0,3,1,3,2,0,6,0,2,0,0,3,0,3,1
# of applications submitted to this program in 2020,105,113,250,184,92,108,127,266,131,87,80,129,132,292,259,124,141,125,,122,110,107,102,134,102,136,330,283,237,0,219,75,87,144,127,138,344,143,87,225,67,86,113,0,122,57,85,113,245,131,278,75,70,108,139,121,298,117,279,309,101,132,110,148,158,112,143,87,243,127,303,150,121,120,74,83,165,132,66,129,106,0,142,0,117,277,285,136,185,119,91
% of applicants interviewed by the program in 2019,15.5,10.9,9.2,0,25,26.3,23.1,34.6,23.2,0.8,9.7,22.9,,19.5,8.1,31.8,22.3,8.8,,22.6,8.8,18.5,15.6,28.2,,20.7,17.5,17.4,23.1,26.5,11.8,16.5,8.3,22.2,16.1,21.2,23,20.2,,12.9,27.8,3.7,15.7,,21,16.1,13.1,15.9,37.7,12.1,10.8,6,35.4,8.7,21.2,16.4,4.7,16.3,6.8,28.8,14.1,23.7,17.6,30.7,7.1,20.8,22.9,25.9,2.3,0,16.3,22,14,9.5,,12.4,2,26.2,11,32.3,21.1,20.7,19.9,61.9,12.5,10.1,22.6,17,13.5,22.6,23.9
Average number of work experiences among matched applicants,3,,,,,,3,,3,,,3,3,,,4,2,,,,3,,4,3,,2,,,,,,,,2,2,3,,3,,2,,,4,,3,,,,,,,,,,2,3,,3,,,,3,,3,,4,3,,,,,2,3,,,,,4,,2,,,3,,3,,,3,,3,3
Average number of volunteer experiences among matched applicants,5,,,,,,6,,6,,,6,7,,,8,5,,,,8,,6,7,,6,,,,,,,,5,5,6,,7,,7,,,9,,6,,,,,,,,,,5,7,,5,,,,7,,6,,7,6,,,,,7,7,,,,,7,,7,,,8,,7,,,8,,6,13
Average number of research experiences among matched applicants,4,,,,,,6,,3,,,5,6,,,5,6,,,,5,,6,5,,5,,,,,,,,5,6,6,,5,,4,,,6,,6,,,,,,,,,,6,6,,5,,,,6,,5,,5,5,,,,,5,6,,,,,5,,6,,,6,,5,,,5,,5,6
Average number of peer-reviewed publications among matched applicants,7,,,,,,13,,9,,,9,10,,,6,7,,,,6,,5,7,,6,,,,,,,,11,5,10,,9,,4,,,9,,9,,,,,,,,,,14,9,,6,,,,8,,6,,10,7,,,,,9,9,,,,,9,,7,,,11,,4,,,8,,7,4
Comparison to Matched Applicants: USMLE Step 1,Your score is below the range observed among matched applicants,-,-,-,-,-,Your score is in the lower 25% of matched applicants,-,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,-,-,-,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,-,-,-,-,-,-,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants,-,-,-,Your score is below the range observed among matched applicants,Your score is in the lower 25% of matched applicants,-,-,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,-,-,Your score is below the range observed among matched applicants,-,Your score is below the range observed among matched applicants,Your score is below the range observed among matched applicants
Comparison to Matched Applicants: USMLE Step 2CK,Your score is in the middle 50% of matched applicants,-,-,-,-,-,Your score is in the middle 50% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,-,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,-,-,-,-,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,Your score is below the range observed among matched applicants,-,Your score is in the middle 50% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,-,-,-,-,-,-,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,-,Your score is in the middle 50% of matched applicants,-,-,-,Your score is below the range observed among matched applicants,-,Your score is in the lower 25% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the lower 25% of matched applicants,Your score is in the lower 25% of matched applicants,-,-,-,Your score is in the lower 25% of matched applicants,Your score is in the middle 50% of matched applicants,-,-,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,Your score is in the lower 25% of matched applicants,-,Your score is in the lower 25% of matched applicants,-,-,Your score is in the middle 50% of matched applicants,-,Your score is in the middle 50% of matched applicants,Your score is in the middle 50% of matched applicants
Comparison to Matched Applicants: COMLEX Level 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comparison to Matched Applicants: COMLEX Level 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comparison to Matched Applicants: Peer-review publications,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,Your number of peer-reviewed publications is in the lower 25% of matched applicants,-,Your number of peer-reviewed publications is in the lower 25% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,-,-,Your number of peer-reviewed publications is in the lower 25% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the lower 25% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the top 25% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,-,-,-,-,-,Your number of peer-reviewed publications is in the lower 25% of matched applicants,Your number of peer-reviewed publications is in the lower 25% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the lower 25% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,-,Your number of peer-reviewed publications is in the middle 50% of matched applicants,Your number of peer-reviewed publications is in the top 25% of matched applicants
Comparison to Matched Applicants: Research experiences,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the top 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the top 25% of matched applicants,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the top 25% of matched applicants,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants
Comparison to Matched Applicants: Volunteer experiences,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,-,Your number of experiences is in the lower 25% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,-,-,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,-,Your number of experiences is in the lower 25% of matched applicants,-,-,Your number of experiences is in the middle 50% of matched applicants,-,Your number of experiences is in the middle 50% of matched applicants,Your number of experiences is below the range observed among matched applicants
