Name of program,Type of program,Program code,Quota,Matched
U Alabama SOM-Huntsville,Internal Medicine,2947140C0,7,7
U Alabama SOM-Huntsville,Internal Medicine/SACM,2947140C1,1,0
U Alabama SOM-Montgomery,Internal Medicine,1009140C0,7,7
U Alabama SOM-Montgomery,Medicine-Preliminary,1009140P0,5,1
U South Alabama Hospitals,Emergency Medicine,1852110C0,6,6
U South Alabama Hospitals,Family Medicine,1852120C0,6,4
U South Alabama Hospitals,Internal Medicine,1852140C0,13,13
U South Alabama Hospitals,Medicine-Preliminary,1852140P0,6,6
U South Alabama Hospitals,Neurology,1852180C0,3,1
U South Alabama Hospitals,Obstetrics-Gynecology,1852220C0,4,4
U South Alabama Hospitals,Orthopaedic Surgery,1852260C0,3,3
U South Alabama Hospitals,Pathology,1852300C0,3,3
U South Alabama Hospitals,Pediatrics,1852320C0,12,12
U South Alabama Hospitals,Psychiatry,1852400C0,3,3
U South Alabama Hospitals,Psychiatry/Funded,1852400C1,1,1
U South Alabama Hospitals,Radiology-Diagnostic,1852420A0,4,4
U South Alabama Hospitals,Radiology-Diagnostic,1852420R0,2,2
U South Alabama Hospitals,General Surgery,1852440C0,5,5
U South Alabama Hospitals,Surgery-Preliminary,1852440P0,4,0
U South Alabama Hospitals,Medicine-Pediatrics,1852700C0,2,2
UAB Selma Fam Med Res-AL,Family Medicine,3061120C0,6,6
Providence Hospital-AK,Family Medicine,1313120C0,12,12
Abrazo Health Network-AZ,Emergency Medicine,2002110C0,6,6
Abrazo Health Network-AZ,Family Medicine,2002120C0,7,7
Abrazo Health Network-AZ,Internal Medicine,2002140C0,15,14
Abrazo Health Network-AZ,General Surgery,2002440C0,3,3
Abrazo Health Network-AZ,Transitional,2002999P0,13,13
Creighton Univ Affil Hosps-AZ,Emergency Medicine/Maricopa,2154110C0,16,16
Creighton Univ Affil Hosps-AZ,Family Medicine/St Josephs,2154120C0,8,8
Creighton Univ Affil Hosps-AZ,Internal Medicine/St Josephs,2154140C0,9,9
Creighton Univ Affil Hosps-AZ,Internal Medicine/Maricopa,2154140C1,17,17
Creighton Univ Affil Hosps-AZ,Medicine-Prelim/St Josephs,2154140P0,3,3
Creighton Univ Affil Hosps-AZ,Medicine-Prelim/Maricopa,2154140P1,4,4
Creighton Univ Affil Hosps-AZ,Ob-Gyn/Maricopa Integ,2154220C0,9,9
Creighton Univ Affil Hosps-AZ,Ob-Gyn/Maricopa Prelim,2154220P0,1,1
Creighton Univ Affil Hosps-AZ,Psychiatry/Maricopa,2154400C0,6,6
Creighton Univ Affil Hosps-AZ,Radiology-Diagnostic/St Josephs,2154420A0,5,5
Creighton Univ Affil Hosps-AZ,Radiology-Diagnostic/Maricopa,2154420A1,3,3
Creighton Univ Affil Hosps-AZ,General Surgery/St Josephs,2154440C0,3,3
Creighton Univ Affil Hosps-AZ,General Surgery/Maricopa,2154440C1,4,4
Creighton Univ Affil Hosps-AZ,Surgery-Prelim/St Josephs,2154440P0,3,1
Creighton Univ Affil Hosps-AZ,Surgery-Prelim/Maricopa,2154440P1,9,0
HonorHealth-AZ,Dermatology,1929080A0,2,2
HonorHealth-AZ,Family Medicine/Osborn,1929120C0,8,7
HonorHealth-AZ,Internal Med/Thompson Peak,1929140C0,6,6
HonorHealth-AZ,Med-Prelim/PM&R,1929140P1,2,2
HonorHealth-AZ,Med-Prelim/Dermatology,1929140P2,2,2
HonorHealth-AZ,Phys Medicine & Rehab,1929340A0,2,2
HonorHealth-AZ,General Surgery/Lincoln,1929440C0,2,2
Maricopa Med Ctr-AZ,Anesthesiology,3200040C0,3,3
Maricopa Med Ctr-AZ,Anesthesiology,3200040R0,1,1
Maricopa Med Ctr-AZ,Dermatology,3200080C0,2,2
Maricopa Med Ctr-AZ,Internal Medicine,3200140C0,12,12
Maricopa Med Ctr-AZ,Neurological Surgery,3200160C0,2,2
Maricopa Med Ctr-AZ,Neurology,3200180C0,3,3
Maricopa Med Ctr-AZ,Orthopaedic Surgery,3200260C0,2,2
Maricopa Med Ctr-AZ,Otolaryngology,3200280C0,2,2
Maricopa Med Ctr-AZ,Plastic Surgery (Integrated),3200362C0,1,1
Maricopa Med Ctr-AZ,Radiology-Diagnostic,3200420A0,2,2
Maricopa Med Ctr-AZ,Radiology-Diagnostic,3200420C0,2,2
Maricopa Med Ctr-AZ,Radiation Oncology,3200430C0,1,1
Maricopa Med Ctr-AZ,General Surgery,3200440C0,4,4
Maricopa Med Ctr-AZ,Surgery-Preliminary,3200440P0,2,2
Midwestern University OPTI-AZ,Emergency Medicine/Kingman,2156110C0,6,6
Midwestern University OPTI-AZ,Family Medicine/Sierra Vista,2156120C0,2,2
Midwestern University OPTI-AZ,Family Medicine/Kingman,2156120C1,3,3
Midwestern University OPTI-AZ,Family Medicine/Mesa,2156120C2,5,5
Midwestern University OPTI-AZ,Internal Medicine/Cottonwood,2156140C0,5,1
Midwestern University OPTI-AZ,Internal Medicine/Mesa,2156140C1,5,5
Midwestern University OPTI-AZ,Internal Medicine/Sierra Vista,2156140C2,5,5
Midwestern University OPTI-AZ,General Surgery/Mesa,2156440C0,3,3
North Country HealthCare-AZ,Family Medicine,2243120C0,4,4
Phoenix Childrens Hospital-AZ,Child Neurology,2952185C0,3,3
Phoenix Childrens Hospital-AZ,Pediatrics,2952320C0,34,34
St Josephs Hospital-AZ,Neurological Surgery,1012160C0,4,4
St Josephs Hospital-AZ,Neurology,1012180C0,7,7
Tucson Hospitals Med Ed-AZ,Pediatrics,1014320C0,4,4
Tucson Hospitals Med Ed-AZ,Transitional,1014999P0,13,13
U Arizona COM-Phoenix,Family Medicine,1011120C0,8,8
U Arizona COM-Phoenix,Internal Medicine,1011140C0,22,22
U Arizona COM-Phoenix,Medicine-Primary,1011140M0,2,2
U Arizona COM-Phoenix,Medicine-Preliminary,1011140P0,8,8
U Arizona COM-Phoenix,Med-Prelim/Neurology,1011140P1,3,3
U Arizona COM-Phoenix,Neurology,1011180A0,3,3
U Arizona COM-Phoenix,Obstetrics-Gynecology,1011220C0,9,9
U Arizona COM-Phoenix,Orthopaedic Surgery,1011260C0,4,4
U Arizona COM-Phoenix,Psychiatry,1011400C0,6,6
U Arizona COM-Phoenix,General Surgery,1011440C0,7,7
U Arizona COM-Phoenix,Surgery-Preliminary,1011440P1,5,1
U Arizona COM-Phoenix,Medicine-Pediatrics,1011700C0,6,6
U Arizona COM-South Campus,Emergency Medicine,1371110C0,6,6
U Arizona COM-South Campus,Family Medicine,1371120C0,8,8
U Arizona COM-South Campus,Internal Medicine,1371140C0,10,10
U Arizona COM-Tucson,Anesthesiology,1015040A0,12,12
U Arizona COM-Tucson,Anesthesiology,1015040R0,1,1
U Arizona COM-Tucson,Dermatology,1015080A2,4,4
U Arizona COM-Tucson,Emergency Medicine,1015110C0,15,15
U Arizona COM-Tucson,Family Medicine,1015120C0,8,8
U Arizona COM-Tucson,Internal Medicine,1015140C0,28,28
U Arizona COM-Tucson,Medicine-Preliminary,1015140P0,8,8
U Arizona COM-Tucson,Neurological Surgery,1015160C0,1,1
U Arizona COM-Tucson,Neurology,1015180C0,6,6
U Arizona COM-Tucson,Obstetrics-Gynecology,1015220C0,4,4
U Arizona COM-Tucson,Orthopaedic Surgery,1015260C0,4,4
U Arizona COM-Tucson,Otolaryngology,1015280C0,1,1
U Arizona COM-Tucson,Pathology,1015300C0,4,4
U Arizona COM-Tucson,Pediatrics,1015320C0,16,16
U Arizona COM-Tucson,Psychiatry,1015400C0,10,10
U Arizona COM-Tucson,Interventional Radiology (Integ),1015416A0,1,1
U Arizona COM-Tucson,Radiology-Diagnostic,1015420A0,9,9
U Arizona COM-Tucson,Radiation Oncology,1015430A0,2,0
U Arizona COM-Tucson,General Surgery,1015440C0,8,8
U Arizona COM-Tucson,Surgery-Preliminary,1015440P0,8,2
U Arizona COM-Tucson,Vascular Surgery,1015451C0,1,1
U Arizona COM-Tucson,Pediatrics-Emergency Med,1015725C0,3,3
Yuma Regional Med Ctr-AZ,Family Medicine,1488120C1,8,8
Baptist Health-AR,Family Medicine,2198120C0,12,12
Baptist Health-AR,Internal Medicine,2198140C0,12,10
Conway Reg Health Sys-AR,Family Medicine,2250120C0,4,4
St Bernards Med Ctr-AR,Internal Medicine,2214140C0,8,8
U Arkansas COM-Little Rock,Anesthesiology,1018040C0,13,13
U Arkansas COM-Little Rock,Anesthesiology,1018040R0,1,1
U Arkansas COM-Little Rock,Dermatology,1018080C0,3,3
U Arkansas COM-Little Rock,Emergency Medicine,1018110C0,10,10
U Arkansas COM-Little Rock,Family Medicine,1018120C0,6,6
U Arkansas COM-Little Rock,Internal Medicine,1018140C0,20,20
U Arkansas COM-Little Rock,Neurological Surgery,1018160C0,2,2
U Arkansas COM-Little Rock,Neurology,1018180C0,4,4
U Arkansas COM-Little Rock,Neurology,1018180R0,1,1
U Arkansas COM-Little Rock,Child Neurology,1018185C0,1,1
U Arkansas COM-Little Rock,Obstetrics-Gynecology,1018220C0,5,5
U Arkansas COM-Little Rock,Orthopaedic Surgery,1018260C0,5,5
U Arkansas COM-Little Rock,Otolaryngology,1018280C0,3,3
U Arkansas COM-Little Rock,Pathology,1018300C0,4,4
U Arkansas COM-Little Rock,Pediatrics,1018320C0,25,25
U Arkansas COM-Little Rock,Phys Medicine & Rehab,1018340C0,4,4
U Arkansas COM-Little Rock,Psychiatry,1018400C0,8,8
U Arkansas COM-Little Rock,Interventional Radiology (Integ),1018416C0,1,1
U Arkansas COM-Little Rock,Radiology-Diagnostic,1018420C0,7,7
U Arkansas COM-Little Rock,Rad-Diag/NuRad,1018420C3,1,1
U Arkansas COM-Little Rock,Radiation Oncology,1018430A0,1,0
U Arkansas COM-Little Rock,General Surgery,1018440C0,5,5
U Arkansas COM-Little Rock,Surgery-Preliminary,1018440P0,5,1
U Arkansas COM-Little Rock,Vascular Surgery,1018451C0,1,1
U Arkansas COM-Little Rock,Medicine-Pediatrics,1018700C0,5,5
U Arkansas COM-Little Rock,Transitional,1018999P0,5,0
U Arkansas-Fayetteville Comm Progs,Internal Medicine,1871140C0,11,11
UAMS Regional Centers-AR,Family Medicine/Fayetteville,1582120C0,10,10
UAMS Regional Centers-AR,Family Medicine/Fort Smith,1582120C1,9,0
UAMS Regional Centers-AR,Family Medicine/Jonesboro,1582120C2,8,8
UAMS Regional Centers-AR,Family Medicine/Magnolia,1582120C3,3,3
UAMS Regional Centers-AR,Family Medicine/Pine Bluff,1582120C4,9,5
UAMS Regional Centers-AR,Family Medicine/Texarkana,1582120C5,8,8
UAMS Regional Centers-AR,Family Medicine/Batesville,1582120C6,6,6
Unity Health-AR,Emergency Medicine,2104110C0,6,6
Unity Health-AR,Family Medicine,2104120C0,6,2
Unity Health-AR,Internal Medicine,2104140C0,10,10
Unity Health-AR,Psychiatry,2104400C0,4,4
Unity Health-AR,Transitional,2104999P0,10,1
White River Health System-AR,Internal Medicine,1991140C0,10,10
Adventist Health Glendale-CA,Family Medicine,1023120C0,8,8
Adventist Health Hanford-CA,Family Medicine,2029120C0,6,6
Adventist Health Ukiah Valley-CA,Family Medicine,2180120C0,6,5
Adventist Health White Memorial-CA,Family Medicine,1040120C0,8,8
Adventist Health White Memorial-CA,Internal Medicine,1040140C0,6,3
Adventist Health White Memorial-CA,Medicine-Preliminary,1040140P0,4,3
Adventist Health White Memorial-CA,Obstetrics-Gynecology,1040220C0,5,5
Alameda Health Sys-Highland Hosp-CA,Emergency Medicine,1041110C0,10,10
Alameda Health Sys-Highland Hosp-CA,Internal Medicine,1041140C0,13,13
Alameda Health Sys-Highland Hosp-CA,Medicine-Primary,1041140M0,5,5
Alameda Health Sys-Highland Hosp-CA,Medicine-Preliminary,1041140P0,13,13
AltaMed Health Services-CA,Family Medicine,2236120C0,6,6
Arrowhead Reg Med Ctr-CA,Emergency Medicine,1047110C0,8,8
Arrowhead Reg Med Ctr-CA,Family Medicine,1047120C0,16,16
Arrowhead Reg Med Ctr-CA,Internal Medicine,1047140C0,12,12
Arrowhead Reg Med Ctr-CA,Obstetrics-Gynecology,1047220C0,4,4
Arrowhead Reg Med Ctr-CA,Psychiatry,1047400C0,6,6
Arrowhead Reg Med Ctr-CA,General Surgery,1047440C0,4,4
Arrowhead Reg Med Ctr-CA,Surgery-Preliminary,1047440P0,4,4
CA Pacific Med Center,Internal Medicine,1061140C0,14,14
CA Pacific Med Center,Medicine-Preliminary,1061140P0,14,14
CA Pacific Med Center,Med-Prelim/Neurology,1061140P1,1,1
CA Pacific Med Center,Psychiatry,1061400C0,4,4
California Hosp Med Ctr,Family Medicine,2092120C0,8,8
Casa Colina Hosp-CA,Phys Medicine & Rehab,2151340A0,3,3
Cedars-Sinai Med Ctr-CA,Anesthesiology,1030040C0,14,14
Cedars-Sinai Med Ctr-CA,Anesthesiology,1030040R1,2,2
Cedars-Sinai Med Ctr-CA,Internal Medicine,1030140C0,21,21
Cedars-Sinai Med Ctr-CA,Internal Medicine/PSTP,1030140C1,1,1
Cedars-Sinai Med Ctr-CA,Medicine-Primary,1030140M0,7,7
Cedars-Sinai Med Ctr-CA,Medicine-Preliminary,1030140P0,2,2
Cedars-Sinai Med Ctr-CA,Med-Prelim/Neurology,1030140P1,5,5
Cedars-Sinai Med Ctr-CA,Neurological Surgery,1030160C0,2,2
Cedars-Sinai Med Ctr-CA,Neurology,1030180A0,5,5
Cedars-Sinai Med Ctr-CA,Obstetrics-Gynecology,1030220C0,7,7
Cedars-Sinai Med Ctr-CA,Orthopaedic Surgery,1030260C0,4,4
Cedars-Sinai Med Ctr-CA,Otolaryngology,1030280C0,2,2
Cedars-Sinai Med Ctr-CA,Pathology,1030300C0,5,5
Cedars-Sinai Med Ctr-CA,Radiology-Diagnostic,1030420A0,3,3
Cedars-Sinai Med Ctr-CA,Radiation Oncology,1030430A0,1,1
Cedars-Sinai Med Ctr-CA,General Surgery,1030440C0,6,6
Cedars-Sinai Med Ctr-CA,Surgery-Preliminary,1030440P0,1,1
Charles R Drew University-CA,Family Medicine,2114120C0,8,8
Charles R Drew University-CA,Psychiatry,2114400C0,6,6
Childrens Hospital-LA-CA,Child Neurology,1031185C0,3,3
Childrens Hospital-LA-CA,Child Neurology,1031185R0,1,1
Childrens Hospital-LA-CA,Pediatrics,1031320C0,35,35
Childrens Hospital-Oakland-CA,Pediatrics,1939320C0,27,27
Childrens Hospital-Oakland-CA,Peds-Prelim/Child Neurology,1939320P0,1,1
Chino Valley Med Ctr-CA,Dermatology,2150080A0,1,0
Chino Valley Med Ctr-CA,Dermatology,2150080R0,1,1
Chino Valley Med Ctr-CA,Family Medicine,2150120C0,6,6
City Of Hope-CA,Radiation Oncology,1183430A0,2,0
Clinica Sierra Vista-CA,Family Medicine,1708120C0,8,8
College Med Ctr-CA,Internal Medicine,2133140C0,1,1
Community Mem Health Sys-CA,Family Medicine,2018120C0,6,6
Community Mem Health Sys-CA,Internal Medicine,2018140C0,8,8
Community Mem Health Sys-CA,Orthopaedic Surgery,2018260C0,4,4
Community Mem Health Sys-CA,General Surgery,2018440C0,3,3
Contra Costa Reg Med Ctr-CA,Family Medicine,2071120C0,13,13
Desert Regional Med Ctr-CA,Emergency Medicine,2131110C0,10,10
Desert Regional Med Ctr-CA,Internal Medicine,2131140C0,12,12
Desert Regional Med Ctr-CA,Neurology,2131180C0,4,4
Desert Regional Med Ctr-CA,Family Medicine,3036120C1,8,8
Dignity Methodist Hosp-Sacramento-CA,Family Medicine,1140120C0,8,8
Eisenhower Med Ctr-CA,Emergency Medicine,1485110C0,6,6
Eisenhower Med Ctr-CA,Family Medicine,1485120C0,12,12
Eisenhower Med Ctr-CA,Internal Medicine,1485140C0,20,20
Emanate Health-CA,Family Medicine,1974120C0,8,8
Family Health Ctrs of San Diego-CA,Family Medicine,1682120C0,6,5
Harbor-UCLA Med Ctr-CA,Anesthesiology,1067040C0,7,7
Harbor-UCLA Med Ctr-CA,Dermatology,1067080A0,1,1
Harbor-UCLA Med Ctr-CA,Emergency Medicine,1067110C0,16,16
Harbor-UCLA Med Ctr-CA,Family Medicine,1067120C0,12,12
Harbor-UCLA Med Ctr-CA,Internal Medicine,1067140C0,17,17
Harbor-UCLA Med Ctr-CA,Med-Prelim/Radiology,1067140P1,3,2
Harbor-UCLA Med Ctr-CA,Med-Prelim/Dermatology,1067140P2,1,0
Harbor-UCLA Med Ctr-CA,Med-Prelim/Ophthalmology,1067140P3,8,8
Harbor-UCLA Med Ctr-CA,Neurology,1067180C0,3,3
Harbor-UCLA Med Ctr-CA,Obstetrics-Gynecology,1067220C0,5,5
Harbor-UCLA Med Ctr-CA,Orthopaedic Surgery,1067260C0,5,5
Harbor-UCLA Med Ctr-CA,Pathology,1067300C0,4,4
Harbor-UCLA Med Ctr-CA,Pediatrics,1067320C0,10,10
Harbor-UCLA Med Ctr-CA,Psychiatry,1067400C0,7,7
Harbor-UCLA Med Ctr-CA,Radiology-Diagnostic,1067420A0,6,6
Harbor-UCLA Med Ctr-CA,General Surgery,1067440C0,6,6
Harbor-UCLA Med Ctr-CA,Surgery-Preliminary,1067440P0,8,1
Harbor-UCLA Med Ctr-CA,Surg-Prelim/Radiology,1067440P2,5,0
Hemet Valley Med Ctr-CA,Radiology-Diagnostic,2124420A0,3,3
Hemet Valley Med Ctr-CA,Transitional,2124999P0,15,14
Hemet Valley Med Ctr-CA,Transitional/Radiology,2124999P1,3,3
Huntington Memorial Hosp-CA,Internal Medicine,1044140C0,7,7
Huntington Memorial Hosp-CA,Medicine-Preliminary,1044140P0,5,5
Huntington Memorial Hosp-CA,General Surgery,1044440C0,3,3
Huntington Memorial Hosp-CA,Surgery-Preliminary,1044440P0,2,1
John Muir Health-CA,Family Medicine,1917120C0,8,8
Kaiser Permanente-Fontana-CA,Family Medicine,2037120C0,9,9
Kaiser Permanente-Fontana-CA,Internal Medicine,2037140C0,6,6
Kaiser Permanente-Fontana-CA,Psychiatry,2037400C0,5,5
Kaiser Permanente-Los Angeles-CA,Dermatology,2055080A0,2,2
Kaiser Permanente-Los Angeles-CA,Family Med/LA Med Ctr,2055120C0,9,9
Kaiser Permanente-Los Angeles-CA,Internal Medicine,2055140C0,11,11
Kaiser Permanente-Los Angeles-CA,Internal Med/Research,2055140C2,1,1
Kaiser Permanente-Los Angeles-CA,Medicine-Preliminary,2055140P0,8,8
Kaiser Permanente-Los Angeles-CA,Neurology,2055180C0,3,3
Kaiser Permanente-Los Angeles-CA,Obstetrics-Gynecology,2055220C0,5,5
Kaiser Permanente-Los Angeles-CA,Pediatrics,2055320C0,8,4
Kaiser Permanente-Los Angeles-CA,Interventional Radiology (Integ),2055416C0,1,1
Kaiser Permanente-Los Angeles-CA,Radiology-Diagnostic,2055420C0,2,2
Kaiser Permanente-Los Angeles-CA,Radiation Oncology,2055430A0,2,0
Kaiser Permanente-Los Angeles-CA,General Surgery,2055440C0,4,4
Kaiser Permanente-Los Angeles-CA,Surgery-Preliminary,2055440P0,5,5
Kaiser Permanente-Napa/Solano-CA,Family Medicine,1637120C0,6,6
Kaiser Permanente-Oakland-CA,Internal Medicine,1042140C0,9,9
Kaiser Permanente-Oakland-CA,Internal Medicine/MPH,1042140C1,2,2
Kaiser Permanente-Oakland-CA,Med-Primary/Equity & Disparities,1042140M0,2,2
Kaiser Permanente-Oakland-CA,Medicine-Preliminary,1042140P0,7,7
Kaiser Permanente-Oakland-CA,Obstetrics-Gynecology,1042220C0,6,6
Kaiser Permanente-Oakland-CA,Otolaryngology,1042280C0,2,2
Kaiser Permanente-Oakland-CA,Pediatrics,1042320C0,8,7
Kaiser Permanente-Oakland-CA,Pediatrics/MPH,1042320C1,2,2
Kaiser Permanente-Oakland-CA,Psychiatry/East Bay,1042400C0,6,6
Kaiser Permanente-Orange Co-CA,Family Medicine,1073120C0,8,8
Kaiser Permanente-Riverside-CA,Family Medicine,3620120C0,6,6
Kaiser Permanente-SF-CA,Internal Medicine,1959140C0,9,9
Kaiser Permanente-SF-CA,Medicine-Preliminary,1959140P0,8,8
Kaiser Permanente-SF-CA,Obstetrics-Gynecology,1959220C0,4,4
Kaiser Permanente-SF-CA,Medicine-Preventive Med,1959751C0,2,2
Kaiser Permanente-San Diego-CA,Emergency Medicine,1454110C0,6,6
Kaiser Permanente-San Diego-CA,Family Medicine,1454120C0,6,6
Kaiser Permanente-San Jose-CA,Family Medicine,2119120C0,6,6
Kaiser Permanente-San Jose-CA,Psychiatry,2119400C0,6,5
Kaiser Permanente-Santa Clara-CA,Internal Medicine,2135140C0,15,15
Kaiser Permanente-Santa Clara-CA,Medicine-Primary/CHOICE,2135140M0,1,1
Kaiser Permanente-Santa Clara-CA,Medicine-Preliminary,2135140P0,4,4
Kaiser Permanente-Santa Clara-CA,Obstetrics-Gynecology,2135220C0,4,4
Kaiser Permanente-Santa Rosa-CA,Family Medicine,2115120C0,6,6
Kaiser Permanente-Woodland Hills-CA,Family Medicine,1001120C0,6,6
Kaweah Delta Health Care District-CA,Anesthesiology,1572040C0,4,4
Kaweah Delta Health Care District-CA,Emergency Medicine,1572110C0,13,13
Kaweah Delta Health Care District-CA,Family Medicine,1572120C0,7,7
Kaweah Delta Health Care District-CA,Psychiatry,1572400C0,6,6
Kaweah Delta Health Care District-CA,General Surgery,1572440C0,3,3
Kaweah Delta Health Care District-CA,Surgery-Preliminary,1572440P0,2,1
Kaweah Delta Health Care District-CA,Transitional,1572999P0,12,12
Kern Med Ctr-CA,Emergency Medicine,1921110C0,7,7
Kern Med Ctr-CA,Internal Medicine,1921140C0,10,10
Kern Med Ctr-CA,Obstetrics-Gynecology,1921220C0,4,4
Kern Med Ctr-CA,Psychiatry,1921400C0,6,6
Lifelong Medical Care-CA,Family Medicine,2217120C0,6,6
Loma Linda Univ Med Ctr-Murrieta-CA,Family Medicine,2251120C0   1,2,5
Loma Linda University-CA,Anesthesiology,1024040C0,14,14
Loma Linda University-CA,Dermatology,1024080A0,3,3
Loma Linda University-CA,Emergency Medicine,1024110C0,18,18
Loma Linda University-CA,Family Medicine,1024120C0,12,12
Loma Linda University-CA,Internal Medicine,1024140C0,29,29
Loma Linda University-CA,Medicine-Primary,1024140M0,2,2
Loma Linda University-CA,Medicine-Preliminary,1024140P0,11,11
Loma Linda University-CA,Neurological Surgery,1024160C0,1,1
Loma Linda University-CA,Neurology,1024180C0,4,4
Loma Linda University-CA,Neurology,1024180R0,1,1
Loma Linda University-CA,Child Neurology,1024185C0,1,1
Loma Linda University-CA,Obstetrics-Gynecology,1024220C0,8,8
Loma Linda University-CA,Orthopaedic Surgery,1024260C0,5,5
Loma Linda University-CA,Otolaryngology,1024280C0,3,3
Loma Linda University-CA,Pathology,1024300C0,5,4
Loma Linda University-CA,Pediatrics,1024320C0,23,23
Loma Linda University-CA,Pediatrics-Primary Care,1024320M0,4,4
Loma Linda University-CA,Phys Medicine & Rehab,1024340A0,1,1
Loma Linda University-CA,Phys Medicine & Rehab,1024340C0,4,4
Loma Linda University-CA,Plastic Surgery (Integrated),1024362C0,2,2
Loma Linda University-CA,Psychiatry,1024400C0,9,9
Loma Linda University-CA,Psychiatry/CAP,1024400C2,2,2
Loma Linda University-CA,Interventional Radiology (Integ),1024416C0,2,2
Loma Linda University-CA,Radiology-Diagnostic,1024420A0,7,7
Loma Linda University-CA,Rad-Diag/Neuroradiology,1024420A1,1,1
Loma Linda University-CA,Radiation Oncology,1024430A0,2,2
Loma Linda University-CA,General Surgery,1024440C0,4,4
Loma Linda University-CA,Gen Surg/Dedicated Research,1024440C1,2,2
Loma Linda University-CA,Surgery-Preliminary,1024440P0,7,7
Loma Linda University-CA,Surg-Prelim/Urology,1024440P3,3,2
Loma Linda University-CA,Medicine-Pediatrics,1024700C0,4,4
Loma Linda University-CA,Medicine-Anesthesiology,1024742C0,2,2
Loma Linda University-CA,Transitional,1024999P0,6,6
Loma Linda University-CA,Transitional/Preventive Med,1024999P1,1,1
Loma Linda University-CA,Transitional/Occupational Med,1024999P2,1,1
Long Beach Mem Med Ctr-CA,Family Medicine,1027120C0,8,8
Marian Regional Med Ctr-CA,Family Medicine,1690120C0,6,6
Marian Regional Med Ctr-CA,Obstetrics-Gynecology,1690220C0,3,3
Mercy Med Ctr-Merced-CA,Family Medicine,3080120C0,8,8
Mercy Med Ctr-Redding-CA,Family Medicine/MFHC,3081120C0,6,4
Natividad Med Ctr-CA,Family Medicine,2971120C0,9,9
Olive View-UCLA Med Ctr-CA,Internal Medicine,2950140C0,21,21
Olive View-UCLA Med Ctr-CA,Medicine-Preliminary,2950140P0,12,12
Olive View-UCLA Med Ctr-CA,Psychiatry,2950400C0,7,7
PIH Health Hosp Downey-CA,Family Medicine,2215120C0,7,6
