,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,African American,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/fayette-county-pa/,C,C,B minus,A minus,C+,C+,B minus,C minus,B+,B minus,B+,B minus,"Fayette County is located in Pennsylvania with a population of 131,302. In Fayette County, most residents own their homes. Many retirees live in Fayette County and residents tend to be conservative.",131302,101500,675,47364,-0.5333333333333333,-0.364406779661017,-0.24631223843546612,0.26,0.74,107.7,-0.619030774672798,7,0.14754098360655754,16.4,-0.597051597051597,77.3,-0.4295202952029521,292.6,-0.4149170165966807,1219.7,-0.4029273546113178,58.5,-0.7940140845070423,0.1,0.09,0.07,0.12,0.11,0.14,0.16,0.21,0.06,-0.5,0.12,-0.4,0.23,-0.2068965517241378,0.48,0.7777777777777777,0.12,0.0,,,,,,,,0.040999999999999995,0.172,0.006999999999999999,0.92,0.01,0.02,0.04,0.0,0.0,0.0,0.0,0.51,0.49,0.28,0.2,0.21,0.25,0.06,0.31,0.31,0.23,0.14
0,https://www.niche.com/places-to-live/c/grays-harbor-county-wa/,C,C+,C minus,B+,C+,B,C,A,C,B+,A,B,"Grays Harbor County is located in Washington with a population of 72,779. In Grays Harbor County, most residents own their homes. Many retirees live in Grays Harbor County and residents tend to have moderate political views.",72779,178800,775,51240,-0.1779310344827586,-0.27024482109227876,-0.18463472463122388,0.33,0.67,168.8,-0.40290060134418104,5,-0.180327868852459,55.4,0.361179361179361,80.6,-0.40516605166051667,808.5,0.6166766646670665,2629.6,0.2872527902878401,249.4,-0.1218309859154929,0.11,0.09,0.07,0.12,0.12,0.12,0.16,0.21,0.06,-0.5,0.11,-0.45000000000000007,0.39,0.3448275862068968,0.34,0.2592592592592593,0.1,-0.16666666666666663,1.5,2,0,0,0,1,1,0.038,0.14300000000000002,0.025,0.79,0.1,0.04,0.01,0.04,0.02,0.0,0.0,0.49,0.51,0.23,0.21,0.24,0.25,0.06,0.3,0.34,0.22,0.14
0,https://www.niche.com/places-to-live/c/winston-county-al/,C,B minus,B,C,C+,C,C,B minus,A,C+,C,C,"Winston County is located in Alabama with a population of 23,784. In Winston County, most residents own their homes. Many retirees live in Winston County and residents tend to be conservative.",23784,86100,529,35788,-0.6041379310344828,-0.5018832391713748,-0.4305173209426666,0.21,0.79,352.6,0.24725857799787776,0,-1.0,117.5,1.8869778869778866,0,-1.0,959.8,0.9192161567686461,2899.1,0.4191795574701389,176.3,-0.37922535211267605,0.1,0.11,0.07,0.11,0.11,0.14,0.15,0.21,0.06,-0.5,0.07,-0.6499999999999999,0.28,-0.0344827586206895,0.38,0.40740740740740744,0.21,0.75,,,,,,,,0.037000000000000005,0.177,0.012,0.94,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.35,0.22,0.2,0.18,0.04,0.36,0.35,0.2,0.09
0,https://www.niche.com/places-to-live/c/schoharie-county-ny/,C,B minus,C,B+,C+,C+,B minus,C,B minus,B minus,B+,B minus,"Schoharie County is located in New York with a population of 31,222. In Schoharie County, most residents own their homes. Many retirees live in Schoharie County and residents tend to be conservative.",31222,144800,790,57714,-0.3342528735632184,-0.256120527306968,-0.08161609089317823,0.24,0.76,55.9,-0.8022638839759462,0,-1.0,55.9,0.3734643734643732,0,-1.0,242.3,-0.515496900619876,1826.7,-0.10578617583708627,0,-1.0,0.09,0.08,0.11,0.1,0.1,0.14,0.16,0.21,0.09,-0.25,0.13,-0.35,0.31,0.06896551724137945,0.36,0.33333333333333326,0.1,-0.16666666666666663,4,1,0,1,0,0,0,0.031,0.12,0.01,0.93,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.2,0.2,0.22,0.29,0.09,0.28,0.29,0.26,0.17
0,https://www.niche.com/places-to-live/c/st-john-the-baptist-parish-la/,C,D,C,B+,C,A,B minus,B,B+,B minus,C+,C,"St. John the Baptist Parish is a County in Louisiana with a population of 43,242. In St. John the Baptist Parish, most residents own their homes. Many families live in St. John the Baptist Parish and residents tend to be liberal.",43242,153900,933,57429,-0.2924137931034483,-0.12146892655367236,-0.08615120220231365,0.21,0.79,,,,,,,,,,,,,,,0.14,0.11,0.09,0.14,0.12,0.13,0.14,0.14,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.31,0.06896551724137945,0.39,0.4444444444444444,0.14,0.16666666666666674,3.5,4,0,2,2,0,0,0.040999999999999995,0.17300000000000001,0.02,0.34,0.06,0.01,0.56,0.0,0.01,0.0,0.01,0.51,0.49,0.24,0.17,0.24,0.28,0.08,0.29,0.29,0.26,0.16
0,https://www.niche.com/places-to-live/c/clay-county-il/,C,C minus,B minus,B,C minus,C,A minus,B,A minus,B,C,B,"Clay County is located in Illinois with a population of 13,287. In Clay County, most residents own their homes. Many retirees live in Clay County and residents tend to be conservative.",13287,84500,604,48500,-0.6114942528735632,-0.43126177024482104,-0.22823544388396477,0.25,0.75,61.6,-0.7821011673151751,0,-1.0,0,-1.0,0,-1.0,266.9,-0.46630673865226957,1889.1,-0.07523986684942241,20.5,-0.9278169014084507,0.12,0.11,0.07,0.11,0.11,0.13,0.15,0.2,0.05,-0.5833333333333333,0.1,-0.5,0.34,0.1724137931034484,0.39,0.4444444444444444,0.12,0.0,,,,,,,,0.03,0.166,0.001,0.96,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.24,0.21,0.26,0.23,0.06,0.27,0.36,0.25,0.12
0,https://www.niche.com/places-to-live/c/williamsburg-county-sc/,C minus,D minus,C minus,C,C minus,B+,B minus,B+,A minus,C,B,C+,"Williamsburg County is located in South Carolina with a population of 31,324. In Williamsburg County, most residents own their homes. Many families live in Williamsburg County and residents tend to be liberal.",31324,68300,625,32485,-0.6859770114942529,-0.41148775894538603,-0.48307687411485767,0.27,0.73,267.3,-0.05447470817120614,0,-1.0,44.6,0.09582309582309567,267.3,0.9726937269372695,1670.8,2.340931813637272,4188,1.0501272762874487,311.9,0.09823943661971812,0.11,0.1,0.09,0.11,0.11,0.13,0.15,0.2,0.04,-0.6666666666666666,0.08,-0.6000000000000001,0.26,-0.10344827586206884,0.42,0.5555555555555554,0.2,0.6666666666666667,2,1,0,0,0,1,0,0.034,0.264,0.011000000000000001,0.31,0.02,0.01,0.64,0.0,0.01,0.0,0.0,0.52,0.48,0.4,0.21,0.21,0.14,0.03,0.39,0.36,0.19,0.07
0,https://www.niche.com/places-to-live/c/twiggs-county-ga/,C minus,D minus,C,C minus,C minus,A minus,B+,A minus,A,C+,C+,D,"Twiggs County is located in Georgia with a population of 8,229. In Twiggs County, most residents own their homes. Many retirees live in Twiggs County and residents tend to have moderate political views.",8229,65100,613,34879,-0.7006896551724138,-0.4227871939736346,-0.4449819391181198,0.19,0.81,0,-1.0,0,-1.0,,,0,-1.0,284.4,-0.4313137372525495,284.4,-0.8607793224985314,0,-1.0,0.11,0.08,0.06,0.14,0.1,0.12,0.17,0.22,0.06,-0.5,0.06,-0.7,0.24,-0.1724137931034483,0.38,0.40740740740740744,0.26,1.166666666666667,3.5,2,0,1,1,0,0,0.027999999999999997,0.192,0.013999999999999999,0.55,0.01,0.01,0.43,0.0,0.0,0.0,0.0,0.51,0.49,0.34,0.27,0.17,0.18,0.04,0.35,0.36,0.21,0.09
0,https://www.niche.com/places-to-live/c/coos-county-nh/,C minus,C+,C minus,B,C,C+,C,D,B minus,B+,A minus,B,"Coos County is located in New Hampshire with a population of 31,741. In Coos County, most residents own their homes. Many retirees live in Coos County and residents tend to have moderate political views.",31741,128000,745,47117,-0.4114942528735632,-0.2984934086629002,-0.2502426682367169,0.29,0.71,98.8,-0.6505129112133003,0,-1.0,49.4,0.2137592137592137,4.5,-0.966789667896679,188.7,-0.6226754649070186,1100.6,-0.46122968474642656,27,-0.9049295774647887,0.08,0.08,0.07,0.11,0.11,0.14,0.17,0.23,0.06,-0.5,0.12,-0.4,0.31,0.06896551724137945,0.39,0.4444444444444444,0.12,0.0,3.6,5,2,1,1,0,1,0.033,0.125,0.011000000000000001,0.92,0.03,0.02,0.02,0.0,0.01,0.0,0.0,0.47,0.53,0.24,0.24,0.24,0.22,0.06,0.3,0.34,0.24,0.12
0,https://www.niche.com/places-to-live/c/letcher-county-ky/,C minus,C+,B minus,C,C,C minus,C minus,B minus,A,C,C,B minus,"Letcher County is located in Kentucky with a population of 22,295. In Letcher County, most residents own their homes. Many families live in Letcher County and residents tend to be conservative.",22295,58600,559,29886,-0.7305747126436781,-0.47363465160075324,-0.5244339067199211,0.26,0.74,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,25.1,-0.9877129430193852,25.1,-0.9116197183098591,0.1,0.12,0.07,0.12,0.12,0.14,0.15,0.19,0.06,-0.5,0.06,-0.7,0.27,-0.06896551724137923,0.37,0.37037037037037024,0.24,1.0,3,1,0,0,1,0,0,0.057,0.332,0.003,0.97,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.43,0.22,0.18,0.15,0.02,0.39,0.34,0.18,0.09
0,https://www.niche.com/places-to-live/c/pike-county-oh/,C minus,C minus,C+,B minus,C,C,B minus,C+,A minus,C+,B,C+,"Pike County is located in Ohio with a population of 28,000. In Pike County, most residents own their homes. Many families live in Pike County and residents tend to be conservative.",28000,117100,681,42832,-0.46160919540229883,-0.3587570621468926,-0.3184284645863501,0.35,0.65,68.9,-0.7562787407145384,23,2.7704918032786887,0,-1.0,0,-1.0,0,-1.0,1331.2,-0.3483454082631682,23,-0.9190140845070423,0.12,0.11,0.07,0.12,0.12,0.13,0.15,0.18,0.05,-0.5833333333333333,0.07,-0.6499999999999999,0.27,-0.06896551724137923,0.4,0.4814814814814814,0.2,0.6666666666666667,4,1,0,1,0,0,0,0.033,0.185,0.002,0.95,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.51,0.49,0.28,0.24,0.18,0.24,0.06,0.34,0.3,0.23,0.13
0,https://www.niche.com/places-to-live/c/harlan-county-ky/,C minus,B minus,B minus,C,C,C minus,D minus,B,A,C+,C+,B,"Harlan County is located in Kentucky with a population of 26,699. In Harlan County, most residents own their homes. Many families live in Harlan County and residents tend to be conservative.",26699,60300,528,26478,-0.7227586206896552,-0.5028248587570621,-0.5786642903744251,0.31,0.69,117.7,-0.5836575875486381,0,-1.0,23.5,-0.42260442260442266,47.1,-0.6523985239852399,494.5,-0.011197760447910432,494.5,-0.7579302917564128,23.5,-0.9172535211267605,0.13,0.09,0.07,0.12,0.12,0.13,0.15,0.18,0.05,-0.5833333333333333,0.06,-0.7,0.27,-0.06896551724137923,0.35,0.29629629629629606,0.27,1.2500000000000004,4.17,6,3,1,2,0,0,0.044000000000000004,0.359,0.003,0.95,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.52,0.48,0.48,0.2,0.19,0.11,0.02,0.44,0.34,0.16,0.06
0,https://www.niche.com/places-to-live/c/clearwater-county-id/,C minus,C+,B minus,B minus,C minus,C+,C+,C minus,C+,B minus,B+,B,"Clearwater County is located in Idaho with a population of 8,673. In Clearwater County, most residents own their homes. Many retirees live in Clearwater County and residents tend to be conservative.",8673,155900,719,43915,-0.28321839080459765,-0.32297551789077217,-0.30119504161163535,0.22,0.78,230.3,-0.18535550053059768,32.9,4.39344262295082,0,-1.0,0,-1.0,981.7,0.963007398520296,1085.9,-0.4684256902290973,98.7,-0.6524647887323943,0.08,0.08,0.06,0.1,0.11,0.13,0.17,0.27,0.05,-0.5833333333333333,0.13,-0.35,0.37,0.27586206896551735,0.35,0.29629629629629606,0.1,-0.16666666666666663,,,,,,,,0.032,0.127,0.012,0.9,0.04,0.02,0.01,0.02,0.0,0.0,0.0,0.44,0.56,0.24,0.27,0.24,0.21,0.04,0.3,0.35,0.25,0.1
0,https://www.niche.com/places-to-live/c/mingo-county-wv/,C minus,C+,B,B minus,C,C,D minus,B,A,C+,C+,C,"Mingo County is located in West Virginia with a population of 24,290. In Mingo County, most residents own their homes. Many families live in Mingo County and residents tend to be conservative.",24290,78100,574,32764,-0.6409195402298851,-0.4595103578154426,-0.4786372388332829,0.26,0.74,104.1,-0.6317651220374956,0,-1.0,104.1,1.5577395577395574,34.7,-0.7439114391143911,242.8,-0.514497100579884,832.5,-0.5924711180732328,0,-1.0,0.11,0.11,0.07,0.11,0.13,0.14,0.15,0.18,0.04,-0.6666666666666666,0.06,-0.7,0.23,-0.2068965517241378,0.43,0.5925925925925926,0.24,1.0,3.2,5,1,1,2,0,1,0.061,0.28600000000000003,0.0,0.96,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.51,0.49,0.4,0.22,0.2,0.15,0.03,0.38,0.34,0.2,0.09
0,https://www.niche.com/places-to-live/c/logan-county-wv/,C minus,C minus,C+,C+,C,C,D+,B minus,A minus,C+,B+,C+,"Logan County is located in West Virginia with a population of 33,154. In Logan County, most residents own their homes. Residents of Logan County tend to be conservative.",33154,89100,662,36168,-0.5903448275862069,-0.37664783427495296,-0.4244705058638194,0.27,0.73,237.7,-0.15917934205871953,0,-1.0,0,-1.0,0,-1.0,317,-0.36612677464507104,3565.8,0.7455453299392991,237.7,-0.16302816901408457,0.1,0.1,0.07,0.11,0.13,0.13,0.15,0.19,0.04,-0.6666666666666666,0.06,-0.7,0.26,-0.10344827586206884,0.44,0.6296296296296295,0.2,0.6666666666666667,3.46,13,2,3,7,1,0,0.062,0.253,0.001,0.96,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.5,0.5,0.34,0.23,0.19,0.2,0.04,0.35,0.33,0.19,0.12
0,https://www.niche.com/places-to-live/c/moffat-county-co/,C minus,C,C,B,C minus,B,B minus,C minus,C+,A minus,C minus,B+,"Moffat County is located in Colorado with a population of 13,127. In Moffat County, most residents own their homes. Many families live in Moffat County and residents tend to be conservative.",13127,182300,779,57229,-0.16183908045977013,-0.2664783427495292,-0.08933373645433862,0.35,0.65,90.2,-0.6809338521400778,0,-1.0,78.9,0.9385749385749387,22.6,-0.8332103321033211,281.9,-0.43631273745250954,1894.2,-0.07274329351869979,101.5,-0.6426056338028169,0.14,0.11,0.07,0.15,0.12,0.12,0.15,0.14,0.06,-0.5,0.11,-0.45000000000000007,0.32,0.10344827586206917,0.39,0.4444444444444444,0.11,-0.08333333333333326,,,,,,,,0.027999999999999997,0.168,0.040999999999999995,0.8,0.16,0.02,0.01,0.01,0.0,0.0,0.0,0.48,0.52,0.24,0.17,0.21,0.29,0.08,0.27,0.29,0.24,0.2
