,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,African American,Hispanic,Two or more races,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/jefferson-county-al/,B+,C minus,C+,A,B,A,B minus,B,B,A minus,B+,B minus,"Jefferson County is located in Alabama with a population of 659,680. In Jefferson County, most residents own their homes. Many families and young professionals live in Jefferson County and residents tend to have moderate political views.",659680,159100,900,53901,-0.268505747126437,-0.152542372881356,-0.142291106408033,0.37,0.63,489,0.729748850371418,13.6,1.22950819672131,33,-0.189189189189189,130.2,-0.039114391143912,642.7,0.285142971405719,2275.4,0.113863324848248,263.7,-0.071478873239437,0.13,0.1,0.09,0.14,0.13,0.12,0.13,0.15,0.13,0.083333333333334,0.2,0,0.3,0.03448275862069,0.26,-0.037037037037037,0.1,-0.166666666666667,3.32,50,3,14,31,0,2,0.041,0.159,0.027,0.5,0.43,0.04,0.01,0,0.02,0,0,0.53,0.47,0.24,0.19,0.21,0.25,0.12,0.29,0.28,0.24,0.19
0,https://www.niche.com/places-to-live/c/brunswick-county-nc/,B+,B,B,B+,B,B minus,B+,B+,B,A minus,A minus,B minus,"Brunswick County is located in North Carolina with a population of 131,815. In Brunswick County, most residents own their homes. Many retirees live in Brunswick County and residents tend to be conservative.",131815,212200,960,58236,-0.024367816091954,-0.096045197740113,-0.073309676495393,0.19,0.81,113.5,-0.598514326140785,3.2,-0.475409836065574,23,-0.434889434889435,18.9,-0.860516605166052,488.7,-0.022795440911818,1828.6,-0.104856079890347,56.7,-0.800352112676056,0.08,0.07,0.05,0.09,0.1,0.11,0.18,0.31,0.11,-0.083333333333333,0.19,-0.05,0.33,0.137931034482759,0.28,0.037037037037037,0.09,-0.25,5,1,1,0,0,0,0,0.029,0.117,0.017,0.82,0.1,0.05,0.02,0.01,0.01,0,0,0.52,0.48,0.2,0.19,0.24,0.28,0.09,0.27,0.32,0.24,0.17
0,https://www.niche.com/places-to-live/c/freestone-county-tx/,B+,A minus,A,C,A,A minus,B,B+,A minus,C,B,C+,"Freestone County is located in Texas with a population of 19,714. In Freestone County, most residents own their homes. Many families and retirees live in Freestone County and residents tend to be conservative.",19714,111800,725,49471,-0.485977011494253,-0.317325800376648,-0.212784240090384,0.23,0.77,147.3,-0.478952953661125,0,-1,53.6,0.316953316953317,66.9,-0.506273062730627,482,-0.036192761447711,696.2,-0.659193264147249,147.3,-0.481338028169014,0.13,0.1,0.07,0.12,0.13,0.13,0.13,0.2,0.05,-0.583333333333333,0.1,-0.5,0.34,0.172413793103448,0.33,0.222222222222222,0.17,0.416666666666667,2.5,2,0,0,1,1,0,0.023,0.183,0.042,0.67,0.15,0.15,0.02,0,0,0,0,0.48,0.52,0.26,0.2,0.19,0.24,0.1,0.31,0.29,0.23,0.16
0,https://www.niche.com/places-to-live/c/medina-county-tx/,B+,B+,B+,B,B+,A,A+,A minus,B+,B minus,C+,C minus,"Medina County is located in Texas with a population of 50,057. In Medina County, most residents own their homes. Many families live in Medina County and residents tend to be conservative.",50057,137800,842,62599,-0.366436781609195,-0.207156308851224,-0.00388269178747,0.2,0.8,212.8,-0.247258577997878,0,-1,42.6,0.046683046683047,16,-0.881918819188192,425.6,-0.148970205958808,2330.4,0.140787154885451,234.1,-0.175704225352113,0.12,0.11,0.1,0.12,0.11,0.13,0.13,0.17,0.07,-0.416666666666667,0.13,-0.35,0.32,0.103448275862069,0.31,0.148148148148148,0.17,0.416666666666667,4,1,0,1,0,0,0,0.02,0.111,0.021,0.44,0.02,0.52,0.01,0,0.01,0,0,0.48,0.52,0.2,0.15,0.23,0.3,0.12,0.3,0.3,0.24,0.16
0,https://www.niche.com/places-to-live/c/berkeley-county-sc/,B+,B minus,B,B+,B+,A,B+,B+,B,B,B,C+,"Berkeley County is located in South Carolina with a population of 215,044. In Berkeley County, most residents own their homes. Many families and young professionals live in Berkeley County and residents tend to lean conservative.",215044,185500,1109,63309,-0.147126436781609,0.044256120527307,0.007415304807218,0.28,0.72,245.8,-0.13052706048815,3.7,-0.39344262295082,53.7,0.319410319410319,54.9,-0.594833948339483,386.8,-0.226554689062188,1938,-0.051302134325436,169.7,-0.402464788732394,0.14,0.1,0.1,0.15,0.13,0.13,0.12,0.13,0.08,-0.333333333333333,0.17,-0.15,0.35,0.206896551724138,0.29,0.074074074074074,0.11,-0.083333333333333,3.55,11,2,5,2,1,1,0.032,0.117,0.03,0.64,0.24,0.07,0.03,0,0.02,0,0,0.5,0.5,0.16,0.18,0.25,0.32,0.09,0.24,0.32,0.27,0.17
0,https://www.niche.com/places-to-live/c/santa-barbara-county-ca/,B+,A minus,D minus,A,A minus,A,C+,A+,D minus,A+,A,A+,"Santa Barbara County is located in California with a population of 444,829. In Santa Barbara County, most residents own their homes. Many families and young professionals live in Santa Barbara County and residents tend to be liberal.",444829,577400,1643,74624,1.65471264367816,0.547080979284369,0.187467180115526,0.48,0.52,234.5,-0.170498761938451,2,-0.672131147540984,55,0.351351351351351,98.7,-0.271586715867159,392.1,-0.215956808638272,1451.1,-0.289651458782064,363.4,0.279577464788732,0.12,0.1,0.16,0.13,0.11,0.11,0.11,0.15,0.14,0.166666666666667,0.2,0,0.29,0,0.18,-0.333333333333333,0.19,0.583333333333334,4.58,125,87,28,7,2,1,0.036,0.135,0.151,0.45,0.02,0.45,0.02,0,0.05,0,0,0.5,0.5,0.15,0.15,0.2,0.3,0.2,0.27,0.29,0.21,0.22
0,https://www.niche.com/places-to-live/c/marion-county-ia/,B+,A minus,A minus,B+,B+,C,A minus,C+,B+,B+,B minus,A minus,"Marion County is located in Iowa with a population of 33,172. In Marion County, most residents own their homes. Many young professionals live in Marion County and residents tend to be conservative.",33172,157300,721,61038,-0.276781609195402,-0.321092278719397,-0.028722371624525,0.29,0.71,136.7,-0.516448532012734,0,-1,48.8,0.199017199017199,0,-1,253.9,-0.492301539692062,937.5,-0.541071078911298,127,-0.552816901408451,0.12,0.11,0.1,0.11,0.12,0.13,0.13,0.18,0.1,-0.166666666666667,0.19,-0.05,0.3,0.03448275862069,0.34,0.259259259259259,0.07,-0.416666666666667,3.47,15,0,7,8,0,0,0.014,0.078,0.007,0.95,0.01,0.02,0.01,0,0.01,0,0,0.5,0.5,0.17,0.16,0.27,0.32,0.08,0.27,0.28,0.3,0.16
0,https://www.niche.com/places-to-live/c/pope-county-ar/,B+,A minus,B+,B,B+,B,B,B,A minus,B,B,B+,"Pope County is located in Arkansas with a population of 63,761. In Pope County, most residents own their homes. Many families and young professionals live in Pope County and residents tend to be conservative.",63761,126400,681,43462,-0.418850574712644,-0.358757062146893,-0.308403481692472,0.31,0.69,363.6,0.286169083834454,0,-1,90.9,1.23341523341523,26.7,-0.802952029520295,508,0.015796840631874,2489.2,0.218523595065596,286.1,0.007394366197183,0.13,0.1,0.14,0.13,0.11,0.12,0.12,0.15,0.08,-0.333333333333333,0.15,-0.25,0.27,-0.068965517241379,0.35,0.296296296296296,0.16,0.333333333333333,3,2,1,0,0,0,1,0.033,0.188,0.041,0.84,0.03,0.09,0.02,0.01,0.01,0,0,0.51,0.49,0.28,0.23,0.23,0.2,0.07,0.37,0.31,0.21,0.11
0,https://www.niche.com/places-to-live/c/lackawanna-county-pa/,B+,A minus,B minus,A,A minus,B minus,B minus,C,B minus,A minus,A minus,B+,"Lackawanna County is located in Pennsylvania with a population of 210,652. In Lackawanna County, most residents own their homes. Many young professionals and retirees live in Lackawanna County and residents tend to lean liberal.",210652,152400,792,52821,-0.299310344827586,-0.254237288135593,-0.159476791368967,0.36,0.64,142.8,-0.494870887866997,1.7,-0.721311475409836,19.8,-0.513513513513514,61,-0.549815498154982,300.8,-0.398520295940812,1291.3,-0.367877423144703,103.8,-0.634507042253521,0.11,0.1,0.09,0.12,0.11,0.13,0.14,0.2,0.1,-0.166666666666667,0.18,-0.1,0.26,-0.103448275862069,0.37,0.37037037037037,0.09,-0.25,5,1,1,0,0,0,0,0.027,0.146,0.03,0.85,0.03,0.08,0.02,0,0.03,0,0,0.52,0.48,0.24,0.19,0.23,0.26,0.08,0.29,0.31,0.25,0.16
0,https://www.niche.com/places-to-live/c/dukes-county-ma/,B+,A,D+,A,B+,B minus,C+,B minus,D+,A minus,A,A+,"Dukes County is located in Massachusetts with a population of 17,312. In Dukes County, most residents own their homes. Many young professionals and retirees live in Dukes County and residents tend to be liberal.",17312,699500,1459,71811,2.21609195402299,0.373822975517891,0.142704835860796,0.28,0.72,399,0.41139016625398,0,-1,32.6,-0.199017199017199,0,-1,252.4,-0.495300939812038,1180.6,-0.422067750146857,81.4,-0.713380281690141,0.08,0.1,0.07,0.1,0.11,0.13,0.16,0.23,0.18,0.5,0.26,0.3,0.26,-0.103448275862069,0.24,-0.111111111111111,0.05,-0.583333333333333,,,,,,,,0.022,0.076,0.048,0.86,0.04,0.04,0.04,0.01,0,0,0.02,0.51,0.49,0.15,0.16,0.19,0.3,0.2,0.2,0.26,0.26,0.28
0,https://www.niche.com/places-to-live/c/pierce-county-ne/,B+,A minus,A+,B minus,B+,C,B+,A,A minus,C+,C,B,"Pierce County is located in Nebraska with a population of 7,144. In Pierce County, most residents own their homes. Many retirees live in Pierce County and residents tend to be conservative.",7144,132700,636,64511,-0.389885057471264,-0.401129943502825,0.026542335661888,0.24,0.76,501.3,0.773257870534135,0,-1,83.5,1.05159705159705,0,-1,0,-1,501.3,-0.754601527315449,0,-1,0.14,0.11,0.07,0.1,0.11,0.13,0.15,0.19,0.06,-0.5,0.17,-0.15,0.39,0.344827586206897,0.33,0.222222222222222,0.05,-0.583333333333333,4.5,8,5,2,1,0,0,0.015,0.081,0.004,0.96,0,0.02,0.01,0,0.01,0,0,0.5,0.5,0.17,0.21,0.23,0.32,0.08,0.24,0.27,0.32,0.17
0,https://www.niche.com/places-to-live/c/ventura-county-ca/,B,B,D minus,A minus,B+,A,C+,A+,D minus,A+,A,B minus,"Ventura County is located in California with a population of 847,263. In Ventura County, most residents own their homes. Many families and young professionals live in Ventura County and residents tend to lean liberal.",847263,588400,1776,88131,1.70528735632184,0.672316384180791,0.402399630826027,0.37,0.63,144,-0.490626105412098,3.2,-0.475409836065574,31.6,-0.223587223587224,93,-0.313653136531365,316.5,-0.367126574685063,1457.3,-0.286616408850597,195.3,-0.312323943661972,0.12,0.11,0.09,0.13,0.12,0.13,0.13,0.15,0.12,0,0.21,0.05,0.32,0.103448275862069,0.19,-0.296296296296296,0.15,0.25,4.27,59,28,20,10,1,0,0.033,0.089,0.109,0.45,0.02,0.43,0.03,0,0.07,0,0,0.51,0.49,0.11,0.13,0.18,0.34,0.24,0.24,0.27,0.22,0.27
0,https://www.niche.com/places-to-live/c/neshoba-county-ms/,B,A minus,B+,C,A minus,A,C,B,A minus,C,B,B minus,"Neshoba County is located in Mississippi with a population of 29,332. In Neshoba County, most residents own their homes. Many families live in Neshoba County and residents tend to be conservative.",29332,83000,666,37987,-0.618390804597701,-0.372881355932203,-0.395525356841653,0.28,0.72,377.3,0.334630350194553,80.8,12.2459016393443,67.4,0.656019656019656,134.7,-0.00590405904059,1131.8,1.26314737052589,3004.6,0.470824358723321,80.8,-0.715492957746479,0.15,0.13,0.09,0.11,0.12,0.12,0.12,0.16,0.04,-0.666666666666667,0.08,-0.6,0.33,0.137931034482759,0.36,0.333333333333333,0.2,0.666666666666667,3.91,11,3,4,4,0,0,0.058,0.254,0.012,0.58,0.21,0.02,0.02,0.16,0.01,0,0,0.52,0.48,0.35,0.22,0.2,0.18,0.05,0.37,0.34,0.22,0.08
0,https://www.niche.com/places-to-live/c/obrien-county-ia/,B,B,B,B+,B,C+,A minus,B minus,A,B,C+,A+,"O'Brien County is located in Iowa with a population of 13,835. In O'Brien County, most residents own their homes. Many retirees live in O'Brien County and residents tend to be conservative.",13835,107000,585,53703,-0.508045977011494,-0.449152542372881,-0.145441815317537,0.28,0.72,254.8,-0.098691192076406,0,-1,39.2,-0.036855036855037,0,-1,607.6,0.21495700859828,1058.4,-0.481887605247699,137.2,-0.516901408450704,0.13,0.11,0.07,0.11,0.11,0.11,0.15,0.2,0.05,-0.583333333333333,0.14,-0.3,0.33,0.137931034482759,0.4,0.481481481481481,0.08,-0.333333333333333,,,,,,,,0.013,0.104,0.012,0.92,0.01,0.05,0,0,0.01,0,0,0.51,0.49,0.2,0.2,0.26,0.29,0.05,0.24,0.32,0.29,0.15
0,https://www.niche.com/places-to-live/c/chippewa-county-mi/,B,B minus,B,B+,B,A minus,B minus,D+,B+,C+,B,A minus,"Chippewa County is located in Michigan with a population of 37,629. In Chippewa County, most residents own their homes. Residents of Chippewa County tend to be conservative.",37629,119100,674,46486,-0.452413793103448,-0.365348399246704,-0.260283563801855,0.33,0.67,142.7,-0.495224619738238,4.8,-0.213114754098361,61.8,0.518427518427518,19,-0.859778597785978,109.4,-0.78124375124975,1089.1,-0.466859212845115,47.6,-0.832394366197183,0.1,0.09,0.13,0.13,0.12,0.13,0.14,0.18,0.07,-0.416666666666667,0.14,-0.3,0.35,0.206896551724138,0.34,0.259259259259259,0.1,-0.166666666666667,,,,,,,,0.052,0.179,0.016,0.7,0.06,0.02,0.08,0.14,0.01,0,0,0.46,0.54,0.27,0.21,0.26,0.21,0.05,0.36,0.32,0.22,0.11
