,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Night float system,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Participant 24,Participant 25,Participant 26,Participant 27,Participant 28,Participant 29,Participant 30,Participant 31,Participant 32,Participant 33,Participant 34,Participant 35,Participant 36
0,https://freida.ama-assn.org/program/1202500744,,,3,3,Yes,Yes,July,Yes,No,https://sites.google.com/view/mclarenmacombfamilymedicine/home,Not Available,"Richard J Chalmers
DO
McLaren Oakland (Macomb)
Ste 202
36500 Gratiot
Clinton Township, MI 48035
Tel: (586) 493-3727
Fax: (586) 493-3250
E-mail: richard.chalmers@mclaren.org","Jessica  Broadwell
BA
McLaren Oakland (Macomb)
Ste 202
36500 Gratiot
Clinton Township, MI 48035
Tel: (586) 493-8172
Fax: (586) 493-3250
E-mail: jessica.broadwell@mclaren.org",1202500744,"McLaren Oakland (Macomb), Ste 202, 36500 Gratiot, Clinton Township, MI 48035","401 S Ballenger Hwy, Flint, MI 48532","1000 Harrington Blvd, Mount Clemens, MI 48043","3901 Beaubien Blvd, Detroit, MI 48201-2196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33875 Kiely Dr, Chesterfield, MI 48047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202521484,Community-based university affiliated,Henry Ford Hospital,3,3,No,Yes,Negotiable,Yes,No,http://www.henryford.com/familymedicineresidency,Not Available,"Richard  Bryce
DO
Henry Ford Hosp
Dept of Family Medicine Ste 2E
1 Ford Pl
Detroit, MI 48202
Tel: (313) 874-5378
Fax: (313) 874-5381
E-mail: rbryce1@@hfhs.org","Amanda  Murphy
Henry Ford Hosp
Dept of Family Medicine Ste 2E
1 Ford Pl
Detroit, MI 48202
Tel: (313) 874-5378
Fax: (313) 874-5381
E-mail: amurphy5@hfhs.org",1202521484,"Henry Ford Hosp, Dept of Family Medicine Ste 2E, 1 Ford Pl, Detroit, MI 48202","2799 W Grand Blvd, Detroit, MI 48202-2608","2567 W Grand Blvd, Detroit, MI 48208","5635 W Fort St, Detroit, MI 48209","Henry Ford family medicine residency teaches integration of evidence-based clinical and behavioral skills to junior family physicians in our dual urban FMCs in Detroit. We value strong inpatient and ambulatory skills, continuity of care and culturally competent care. Our program balances didactic and experiential learning in an effort to support our residents to their best outcome as future family physicians and forever students.",8,8,8,No,No,"Yes , Codes: 1300120C0",No,12/31/2020,10/14/2020 - 1/31/2021_10/6/2021 - 2/16/2022,9/15/2021,12/31/2021,No,100,No,No,3,No,Yes,229_242_450_451,Yes,236-245,Yes,Yes,501-540,"Desired, with some exceptions",Yes,No,No,7,1,8,0,15,1,57.1,0.4 to 1,55,14,1.5,Yes,Yes,0,77.7,22.2,65.2,34.7,Every fourth night for 4 week(s),0,Every fourth night for 4 week(s),0,Once per week for 6 week(s),Not Available,4,16%,8%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$57,259.00",22,NGO,"$59,391.00",22,NGO,"$61,524.00",22,NGO,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Required,No,No,Yes,,,(4 wks ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202500733,Community-based university affiliated,Sinai-Grace Hospital,3,3,No,Yes,July,Yes,No,https://www.dmc.org/health-professionals/training-programs/,Not Available,"Dennis C Treece
DO, MBA
DMC Grand River Health Ctr
Family Medicine Pgm
19460 Grand River Ave
Detroit, MI 48223
Tel: (313) 387-1097
Fax:
E-mail: ldillon@dmc.org","Lisa M Dillon
PhD
DMC Grand River Health Ctr
Family Medicine Pgm
19460 Grand River Ave
Detroit, MI 48223
Tel:
Fax:
E-mail: ldillon@dmc.org",1202500733,"DMC Grand River Health Ctr, Family Medicine Pgm, 19460 Grand River Ave, Detroit, MI 48223","3990 John R St, Detroit, MI 48201","6071 W Outer Dr, Detroit, MI 48235","4777 Outer Dr E, Detroit, MI 48234","This program is an urban-centric program based in Detroit, Michigan that successfully integrates strong university-driven academic standards with an urban hospital rich patient care exposure. The program exposes our residents to the variety and diversity of patients that Detroit has to offer. With all rotations occurring within the DMC system, the leading Detroit hospital and largest health care provider in Southeast Michigan, the residents are exposed to a broad spectrum of pathologies.",6,6,6,No,No,"Yes , Codes: 1295120C0",No,12/31/2020,10/26/2020 - 1/15/2021_10/18/2021 - 1/17/2022,9/15/2021,12/20/2021,Yes,60,No,No,3,No,Yes,220_220__,Yes,210-225,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,4,1,2,0,6,1,50,0.2 to 1,50,16,1,Yes,,23,74.9,1.9,45.3,54.6,Every fifth night for 4 week(s),0,Every fifth night for 4 week(s),4,Every fifth night for 4 week(s),4,4,7%,20%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$54,511.00",21,Not Available,"$56,146.00",21,Not Available,"$57,828.00",21,Not Available,Yes,21,NGO,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Not available,Yes,Yes,No,"3901 Beaubien Blvd, Detroit, MI 48201-2196",,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202500738,,,3,3,No,Yes,July,Yes,No,https://www.beaumont.edu/graduate-medical-education,Not Available,"Matthew  Sebastian
DO
Beaumont Hosp-Farmington Hills
South Med Bldg Ste 308
28100 Grand River Ave
Farmington Hills, MI 48336
Tel: (947) 521-7150
Fax:
E-mail: matthew.sebastian@beaumont.org","Lauren  Morrison
BS
Beaumont Hosp-Farmington Hills
South Med Bldg Ste 308
28100 Grand River Ave
Farmington Hills, MI 48336-5933
Tel: (947) 521-7386
Fax: (248) 471-8837
E-mail: lauren.morrison@beaumont.org",1202500738,"Beaumont Hosp-Farmington Hills, South Med Bldg Ste 308, 28100 Grand River Ave, Farmington Hills, MI 48336","3601 W 13 Mile Rd, Royal Oak, MI 48073","28050 Grand River Ave, Farmington Hills, MI 48336","3601 W 13 Mile Rd, Royal Oak, MI 48073-6769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8896 Commerce Rd, Commerce Township, MI 48382","400 Turner St, Blacksburg, VA 24060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202521573,Community-based university affiliated,McLaren-Flint,3,3,No,Yes,"July,Negotiable",Yes,No,https://sites.google.com/mclarenmeded.org/mclarenflintfamilymedicine/home,Not Available,"Prabhat K Pokhrel
MD, PhD, MS
McLaren Flint Family Medicine Ctr
Ste 1
G-3230 Beecher Rd
Flint, MI 48532
Tel: (810) 342-5602
Fax: (810) 342-5638
E-mail: prabhat.pokhrel@mclaren.org","Alexia  Allen
McLaren Flint Family Medicine Ctr
Ste 1
G-3230 Beecher Rd
Flint, MI 48532
Tel: (810) 342-5608
Fax: (810) 342-5638
E-mail: alexia.allen1@mclaren.org",1202521573,"McLaren Flint Family Medicine Ctr, Ste 1, G-3230 Beecher Rd, Flint, MI 48532","401 S Ballenger Hwy, Flint, MI 48532","401 S Ballenger Hwy, Flint, MI 48532-3685","One Hurley Plaza, Flint, MI 48503-5993","We offer full scope of family medicine training, including osteopathic treatment, medication assisted treatment for patients with SUD. Program strengths include, community service, excellent inpatient and outpatient care, geriatrics by a board certified geriatrician, OB training by a board obstetrician. Other areas of strenght are dermatology, integrated behavioral medicine and office procedures: US use, PFT, Audiogram, Tympanometry, ABI measurements, wet mount etc. Our FMP is a PCMH certified.",6,6,6,No,No,"Yes , Codes: 1866120C0",No,1/7/2021,10/30/2020 - 1/22/2021_10/30/2021 - 1/22/2022,9/20/2021,1/7/2022,Yes,58,No,No,3,No,No,___,No,210-225,No,No,450-500,"Desired, with some exceptions",Yes,No,No,7,2,0,0,7,2,57.1,0.3 to 1,62,20,1,Yes,Yes,32.8,67.1,0,54.6,45.3,Once per week for 44 week(s),0,Other for 44 week(s),0,Other for 44 week(s),Not Available,6,10%,4%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$52,289.00",15,NGO,"$53,185.00",15,NGO,"$55,175.00",15,NGO,No answer,20,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202500749,,,3,3,No,Yes,July,Yes,No,https://www.gch.org/Physicians/,Not Available,"Michael G Burry
DO
Garden City Hosp
Dept of Med Education
6245 Inkster Rd
Garden City, MI 48135-4001
Tel: (734) 458-7513
Fax:
E-mail: tcampbell3@primehealthcare.com","Theresa  Campbell
Garden City Hosp
Dept of Med Education
6245 Inkster Rd
Garden City, MI 48135
Tel: (734) 458-7513
Fax: (734) 458-4496
E-mail: tcampbell3@primehealthcare.com",1202500749,"Garden City Hosp, Dept of Med Education, 6245 Inkster Rd, Garden City, MI 48135-4001","6245 N Inkster Rd, Garden City, MI 48135","3901 Beaubien Blvd, Detroit, MI 48201-2196","4201 St Antoine Blvd, Detroit, MI 48201-2403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202531166,,,3,3,No,Yes,July,Yes,No,http://www.genesysmeded.com,Not Available,"Marissa  Rogers
DO
Ascension Genesys Hosp
Ste 4595
1 Genesys Pkwy
Grand Blanc, MI 48439
Tel: (810) 606-6930
Fax: (810) 606-5636
E-mail: marissa.rogers@ascension.org","Debra  Shuck
Ascension Genesys Hosp
Ste 4595
1 Genesys Pkwy
Grand Blanc, MI 48439-1477
Tel:
Fax: (810) 606-5636
E-mail: debra.shuck@ascension.org",1202531166,"Ascension Genesys Hosp, Ste 4595, 1 Genesys Pkwy, Grand Blanc, MI 48439","One Genesys Pkwy, Grand Blanc, MI 48439-1477","One Hurley Plaza, Flint, MI 48503-5993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202500748,Community-based university affiliated,Spectrum Health-United Hospital,3,3,No,Yes,July,Yes,No,https://www.spectrumhealth.org/medicaleducation,Not Available,"Robin S O'Meara
MD
Spectrum Health/MSU
Ste A-601 MC 188
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 267-2060
Fax:
E-mail: anne.pugliese@spectrumhealth.org","Anne  Pugliese
Spectrum Health/MSU
Ste A-601 MC 188
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 267-2060
Fax:
E-mail: anne.pugliese@spectrumhealth.org",1202500748,"Spectrum Health/MSU, Ste A-601 MC 188, 100 Michigan St NE, Grand Rapids, MI 49503","648 Monroe Ave NW, Grand Rapids, MI 49503","615 S Bower Dr, Greenville, MI 48838","100 Michigan St NE, Grand Rapids, MI 49503","Residents will be working in both an urban (Grand Rapids, MI) and rural setting (Greenville, MI), with rotations at Spectrum Health Butterworth Hospital, Helen DeVos Children's Hospital and Spectrum Health United Hospital. The majority of the rotations will be at the rural community location, Spectrum Health United Hospital.",6,6,6,No,No,"Yes , Codes: 2077120CI",No,12/1/2020,11/2/2020 - 12/18/2020_10/3/2021 - 12/14/2021,10/4/2021,12/15/2021,Yes,87,No,No,3,No,Yes,200_217_415_420,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,No,Yes,8,1,0,0,8,1,37.5,0.4 to 1,60,16,1,Yes,Yes,,,,,,Every fourth night for 4 week(s),0,Every seventh night for 4 week(s),2,N/A,NGO,4,25%,15%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$56,514.00",20,5,"$58,714.00",20,5,"$60,679.00",20,5,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Required,No,No,Yes,"100 Michigan Ave NE, Grand Rapids, MI 49503",,(4 wks ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202521167,Community-based university affiliated,Mercy Health Grand Rapids,3,3,No,Yes,July,Yes,No,https://www.mercyhealth.com/medical-education/grand-rapids/,Not Available,"Michael  Bishop
MD
Mercy Health Grand Rapids
Jefferson Bldg Ste 305
200 Jefferson Ave SE
Grand Rapids, MI 49503
Tel: (616) 685-6741
Fax: (616) 685-3033
E-mail: crispina@mercyhealth.com","Alicia M Crispin
Mercy Health Grand Rapids
Jefferson Bldg Ste 305
200 Jefferson Ave SE
Grand Rapids, MI 49503
Tel: (616) 685-6741
Fax:
E-mail: crispina@mercyhealth.com",1202521167,"Mercy Health Grand Rapids, Jefferson Bldg Ste 305, 200 Jefferson Ave SE, Grand Rapids, MI 49503","200 Jefferson Ave SE, Grand Rapids, MI 49503","100 Michigan St NE, Grand Rapids, MI 49503","945 Ottawa Ave NW, Grand Rapids, MI 49503","Come learn the full scope of family medicine in a midsize city with a hometown feel. Residents are guided by well-rounded, enthusiastic faculty, and resident camaraderie is tangible. We offer the perks of a community hospital and the academic benefits of association with MSU-CHM. Known for its craft breweries, concerts, sporting events, outdoor recreation, nearby Lake Michigan beaches, and ArtPrize, Grand Rapids is the perfect place to balance life and the pursuit of family medicine.",10,10,10,No,No,"Yes , Codes: 2077120C0",No,12/31/2020,11/3/2020 - 1/29/2021_10/12/2021 - 12/31/2021,9/15/2021,12/31/2021,Yes,100,No,No,3,No,Yes,205_210_450_430,Yes,226-235,Yes,Yes,450-500,Required,Yes,No,No,8,0,25,2,33,2,37.5,0.6 to 1,60,16,1,Yes,Yes,66.7,25.6,7.6,52.9,47,Every third night for 12 week(s),0,Every third night for 4 week(s),4,N/A,52,6,15%,10%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$58,194.00",20,5,"$59,122.00",20,5,"$60,553.00",20,5,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202521168,Community-based university affiliated,Beaumont Hospital-Grosse Pointe,3,3,No,Yes,"July,Negotiable",Yes,No,https://www.beaumont.edu/graduate-medical-education/,Not Available,"Stephen  Warnick
MD
Beaumont Hosp-Grosse Pointe
Family Medicine Pgm
468 Cadieux Rd
Grosse Pointe, MI 48230
Tel: (586) 498-4422
Fax: (586) 498-4440
E-mail: janis.fleck@beaumont.org","Janis  Fleck
BS
Beaumont Family Med Ctr
Family Medicine Pgm
21400 E 11 Mile Rd
St Clair Shores, MI 48081
Tel: (586) 498-4422
Fax: (586) 498-4440
E-mail: janis.fleck@beaumont.org",1202521168,"Beaumont Hosp-Grosse Pointe, Family Medicine Pgm, 468 Cadieux Rd, Grosse Pointe, MI 48230","3601 W 13 Mile Rd, Royal Oak, MI 48073","468 Cadieux Rd, Grosse Pointe, MI 48030","3601 W 13 Mile Rd, Royal Oak, MI 48073-6769","We are a community-based program with a history of excellence in education and patient care. We have a community health focus, with a novel curriculum emphasizing health disparities, health equity, and creating meaningful community collaborations. Our diverse patient population includes neighborhoods from Detroit and multiple surrounding suburbs. We offer an active integrative care model with dedicated behavioral medicine faculty, and an innovative resident wellness curriculum.",6,6,6,No,No,"Yes , Codes: 1978120C1",No,12/31/2020,11/1/2020 - 1/15/2021_10/1/2021 - 1/14/2022,9/14/2021,12/31/2021,Yes,90,No,No,3,No,Yes,200_210_450_450,Yes,226-235,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,7,1,2,0,9,1,57.1,0.4 to 1,65,24,1.5,Yes,Yes,12.7,72.5,14.7,65.3,34.6,Once per week for 4 month(s),NGO,Once per week for 4 month(s),NGO,Once per week for 2 month(s),NGO,4,30%,25%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$55,974.00",15,NGO,"$58,146.00",15,NGO,"$60,292.00",15,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Optional,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202500747,Community-based university affiliated,Bronson Battle Creek Hospital Affiliated Physician Practices,3,3,Yes,Yes,July,Yes,No,https://med.wmich.edu,Not Available,"Holli K Neiman-Hart
MD
WMU Homer Stryker MD Sch of Med
Fam Med Pgm Battle Creek
1000 Oakland Dr
Kalamazoo, MI 49008
Tel: (269) 441-1735
Fax:
E-mail: holli.neiman-hart@med.wmich.edu","Christina  Steele
WMU Homer Stryker MD Sch of Med
Fam Med Pgm Battle Creek
1000 Oakland Dr
Kalamazoo, MI 49008
Tel: (269) 441-1735
Fax:
E-mail: christina.steele@med.wmich.edu",1202500747,"WMU Homer Stryker MD Sch of Med, Fam Med Pgm Battle Creek, 1000 Oakland Dr, Kalamazoo, MI 49008","1000 Oakland Dr, Kalamazoo, MI 49008","300 North Ave, Battle Creek, MI 49017","601 John St, Kalamazoo, MI 49007","We are a newer program that started our first class of residents in July, 2019. We are a university sponsored program training in a community hospital and a local FQHC. Our goal is to train residents in the full breadth of family medicine.",6,6,6,No,No,Yes,No,,-_-,,,No,65,No,No,3,No,Yes,200_220__,Yes,Below 210,No,No,Below 450,"Desired, with some exceptions",Yes,No,No,2,0,1,1,3,1,100,0.1 to 1,65,24,1,No,,,,,,,N/A,0,Every third night for 20 week(s),NGO,Every third night for 16 week(s),NGO,4,47%,53%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$56,000.00",21,NGO,"$57,000.00",21,NGO,"$58,000.00",21,NGO,Yes,NGO,NGO,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,No,Yes,"1000 Oakland Dr, Kalamazoo, MI 49008","315 Turwill Ln, Kalamazoo, MI 49006",,"300 North Ave, Battle Creek, MI 49017","200 W Michigan Ave, Battle Creek, MI 49017","181 W Emmett St, Battle Creek, MI 49037","220 E Goodale Ave, Battle Creek, MI 49037","270 Bedford Rd N, Battle Creek, MI 49037",No,,,,,,,N/A,Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1202521170,Community-based university affiliated,Sparrow Hospital,3,3,No,Yes,June,Yes,No,https://sites.google.com/prod/view/sparrowfamilymedicine/home,Not Available,"James  Olson
MD
Sparrow Hosp
Ste 245
1200 E Michigan Ave
Lansing, MI 48912
Tel: (517) 364-5783
Fax:
E-mail: ames.olson@sparrow.org","Carol  Hine
Sparrow Hosp
Ste 245
1200 E Michigan Ave
Lansing, MI 48912
Tel: (517) 364-5776
Fax: (517) 364-5764
E-mail: carol.hine@sparrow.org",1202521170,"Sparrow Hosp, Ste 245, 1200 E Michigan Ave, Lansing, MI 48912","1215 E Michigan Ave, Lansing, MI 48909-7980",,,,10,10,10,No,No,"Yes , Codes: 1315120C0",No,12/15/2020,11/2/2020 - 1/22/2021_10/15/2021 - 1/15/2022,10/1/2021,12/1/2021,Yes,120,No,No,3,Yes,Yes,210_215_450_450,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,10,2,3,0,13,2,60,0.3 to 1,65,24,1.5,Yes,Yes,18.4,34.8,46.7,41.2,58.7,Other for 10 month(s),0,Other for 3 month(s),NGO,Other for 2 month(s),NGO,7,15%,5%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$51,000.00",20,120,"$52,020.00",20,120,"$53,040.00",20,120,Yes,NGO,NGO,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,,,NGO (wks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
