,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 3,Year 4,Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Yes,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Specialty Details
0,https://freida.ama-assn.org/program/1103800211,Community-based,Mercy Health-St Rita's Medical Center,3,3,No,Yes,July,Yes,No,http://mercy.com/residency,Not Available,"David F Toro Chaves
MD
Mercy Health-St Rita's Med Ctr
Ste 404
718 W Market St
Lima, OH 45801
Tel: (419) 996-5763
Fax:
E-mail: sdunn@mercy.com","Susan M Dunn
BS
Mercy Health-St Rita's Med Ctr
Ste 405
718 W Market St
Lima, OH 45801
Tel: (419) 996-5558
Fax:
E-mail: sdunn@mercy.com",1103800211,"Mercy Health-St Rita's Med Ctr, Ste 404, 718 W Market St, Lima, OH 45801","730 W Market St, Lima, OH 45801",,,,"This program operates as a vital part of a regional trauma center as well as multiple regional specialty care centers, serving a surrounding ten county population of over one half million individuals. We provide state of the art, evidence-based care across our broad range of specialties and exposure to a diverse patient population, with nearly 200,000 patients cared for last year in the hospital, 57,250 in the ED and an acuity that allows admissions of 25% of the patients visiting the ED.",6,6,6,No,No,"Yes , Codes: 2203110C0",No,11/1/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,8/1/2021,11/1/2021,Yes,89,No,No,3,No,Yes,___,No,No Answer,Yes,No,No Answer,"Desired, with some exceptions",No,No,No,14,0,16,0,30,0,7.1,1.2 to 1,50,12,1,Yes,,N/A,Not Available,N/A,Not Available,N/A,Not Available,5,NGO,N/A,"$50,000.00",19,Not Available,"$52,000.00",19,Not Available,"$53,500.00",23,Not Available,Yes,20,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,No,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800204,Community-based,Marietta Memorial Hospital,3,3,No,Yes,July,Yes,No,http://www.mhsystem.org/emr,Not Available,"Linette O Archer
MD
Memorial Health System
Emergency Medicine Pgm Office
401 Matthew St
Marietta, OH 45750
Tel: (740) 568-5669
Fax: (740) 568-5279
E-mail: larcher@mhsystem.org","Christopher J D McDuffy
BA
Memorial Health System
Emergency Medicine Pgm Office Ferguson Bldg
401 Matthew St
Marietta, OH 45750
Tel: (740) 568-5669
Fax: (740) 568-5279
E-mail: cmcduffy@mhsystem.org",1103800204,"Memorial Health System, Emergency Medicine Pgm Office, 401 Matthew St, Marietta, OH 45750","401 Matthew St, Marietta, OH 45750","401 Matthew St, Marietta, OH 45750","285 E State St, Columbus, OH 43215-1898","700 Children's Dr, Columbus, OH 43205-2596","Memorial Health System is a not-for-profit health system governed by a volunteer board of community members that are committed to providing comprehensive services that meet the needs of our region. In addition to the many benefits previously listed, our residents have up to $750 of dependent care coverage provided and a 403 (B) plan.",6,6,6,No,No,"Yes , Codes: 1954110C0",No,11/1/2020,11/2/2020 - 1/1/2021_11/2/2021 - 1/1/2022,,11/1/2021,Yes,115,No,No,2,Yes,Yes,___,No,210-225,Yes,No,450-500,"Desired, with some exceptions",Yes,Yes,No,18,0,1,0,19,0,33.3,1.0 to 1,45,16,2,No,,N/A,Not Available,Negotiable for 2 month(s),Not Available,N/A,Not Available,5,NGO,N/A,"$53,726.00",20,Not Available,"$54,600.00",20,Not Available,"$56,700.00",20,Not Available,Yes,NGO,NGO,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Not available,Yes,Yes,Yes,,,No,29.1,0.0,70.8,32.6,67.3,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800215,,,3,3,Yes,Yes,July,Yes,No,http://trinityhealth.com,Not Available,"Christopher M Gooch
DO
Trinity West
Emergency Medicine Pgm
4000 Johnson Rd
Steubenville, OH 43952
Tel: (740) 283-7682
Fax:
E-mail: cgooch@trinityhealth.com","Brandi  James
BA
Trinity West
Emergency Medicine Pgm
4000 Johnson Rd
Steubenville, OH 43952
Tel: (740) 283-7682
Fax:
E-mail: brandijames@trinityhealth.com",1103800215,"Trinity West, Emergency Medicine Pgm, 4000 Johnson Rd, Steubenville, OH 43952","400 N Lee St, Lewisburg, WV 24901","4000 Johnson Rd, Steubenville, OH 43952","45th & Penn Ave, Pittsburgh, PA 15201","5230 Centre Ave, Pittsburgh, PA 15232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103812040,,,3,3,No,Yes,July,Yes,No,http://mercymedicalresidency.org/index.php/emergency-medicine/,Not Available,"Randall W King
MD
Mercy St Vincent Med Ctr
Emergency Medicine Pgm
2213 Cherry St
Toledo, OH 43608
Tel: (419) 251-4724
Fax: (419) 251-2698
E-mail: randy_king1@mercy.com","Rachel  Hill
Mercy St Vincent Med Ctr
Emergency Medicine Pgm
2213 Cherry St
Toledo, OH 43608
Tel: (419) 251-4724
Fax: (419) 251-2698
E-mail: rachel_hill@mercy.com",1103812040,"Mercy St Vincent Med Ctr, Emergency Medicine Pgm, 2213 Cherry St, Toledo, OH 43608","2213 Cherry St, Toledo, OH 43608-2691","2600 Navaree Ave, Oregon, OH 43616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103812198,,,3,3,No,Yes,July,Yes,No,http://www.utoledo.edu/med/gme/em/index.html,Not Available,"Mohamad  Moussa
MD
Univ of Toledo Med Ctr
3rd Fl Jobst Tower
2109 Hughes Dr
Toledo, OH 43606
Tel: (419) 291-8154
Fax: (419) 291-2163
E-mail: mohamad.moussa@utoledo.edu","Lauren  Monus
Univ of Toledo Med Ctr
3rd Fl Jobst Tower
2109 Hughes Dr
Toledo, OH 43606
Tel: (419) 291-8154
Fax: (419) 291-2163
E-mail: lauren.monus@utoledo.edu",1103812198,"Univ of Toledo Med Ctr, 3rd Fl Jobst Tower, 2109 Hughes Dr, Toledo, OH 43606","3045 Arlington Ave, Toledo, OH 43614-5807","2142 N Cove Blvd, Toledo, OH 43606","5901 Monclova Rd, Maumee, OH 43537","3000 Arlington Ave, Toledo, OH 43699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800207,,,4,4,No,Yes,July,Yes,No,http://www.uhhospitals.org/,Not Available,"Gennaro D Romanello
DO
UHOC St John Med Ctr
Bldg 2 Ste 150
29000 Center Ridge Rd
Westlake, OH 44145
Tel: (440) 827-5261
Fax: (440) 827-5412
E-mail: gennaro.romanello2@uhhospitals.org","Desi  Justin
UHOC St John Med Ctr
Bldg 2 Ste 150
29000 Center Ridge Rd
Westlake, OH 44145
Tel: (440) 827-5261
Fax: (440) 827-5412
E-mail: desi.justin@uhhospitals.org",1103800207,"UHOC St John Med Ctr, Bldg 2 Ste 150, 29000 Center Ridge Rd, Westlake, OH 44145","29000 Center Ridge Rd, Westlake, OH 44145","29000 Center Ridge Rd, Westlake, OH 44145","2500 MetroHealth Dr, Cleveland, OH 44109-1998","One Perkins Sq, Akron, OH 44308-1062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11100 Euclid Ave, Cleveland, OH 44106-2602",,,,,,,,,,,,,,"7007 Powers Blvd, Parma, OH 44129",,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103900197,,,3,3,No,Yes,July,Yes,No,https://www.ccmhhealth.com,Not Available,"William H Bickell
MD
Comanche County Memorial Hosp
Emergency Medicine Pgm
3401 W Gore Blvd
Lawton, OK 73502
Tel: (580) 585-5545
Fax: (580) 585-5467
E-mail: sharon.smith@ccmhhealth.com","Sharon L Smith
Comanche County Memorial Hosp
Emergency Medicine Pgm
3401 W Gore Blvd
Lawton, OK 73502
Tel: (580) 585-5545
Fax: (580) 585-5467
E-mail: sharon.smith@ccmhhealth.com",1103900197,"Comanche County Memorial Hosp, Emergency Medicine Pgm, 3401 W Gore Blvd, Lawton, OK 73502","1111 W 17th St, Tulsa, OK 74107","3401 Gore Blvd, Lawton, OK 73502-0129","1200 Children's Ave, Oklahoma City, OK 73104","6161 S Yale Ave, Tulsa, OK 74136-1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"700 NE 13th St, Oklahoma City, OK 73104",,,,,,,,,,,,,,"1200 E Pecan St, Altus, OK 73521",,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103900195,Community-based university affiliated,Norman Regional Health System,4,4,No,Yes,July,Yes,No,https://www.normanregional.com/graduate-medical-education,Not Available,"Patrick M Cody
DO, MPH, MM
Norman Regional Health System
Emergency Medicine Pgm
901 N Porter Ave
Norman, OK 73070
Tel: (405) 307-5340
Fax: (405) 307-2135
E-mail: pcody@nrh-ok.com","Jake  Cleveland
MHA
Norman Regional Health System
Emergency Medicine Pgm
901 N Porter Ave
Norman, OK 73070
Tel: (405) 307-5340
Fax: (405) 307-2135
E-mail: jcleveland@nrh-ok.com",1103900195,"Norman Regional Health System, Emergency Medicine Pgm, 901 N Porter Ave, Norman, OK 73070","1111 W 17th St, Tulsa, OK 74107","901 N Porter Ave, Norman, OK 73071","1200 Children's Ave, Oklahoma City, OK 73104","700 NE 13th St, Oklahoma City, OK 73104","We are a relatively young EM program based in a community hospital in the heart of Oklahoma. As the only program in-house, our residents have a wonderful opportunity to manage patients, and have no trouble meeting procedural requirements. Additionally, our residents are very involved with our hospital based EMS service. Residents have the ability to complete a Master's degree in Health Care Administration and have opportunities for education related to EMS, mass gatherings and ultrasound.",6,6,6,No,No,"Yes , Codes: 2162110C2",No,1/1/2021,10/27/2020 - 1/19/2021_10/15/2021 - 1/15/2022,10/1/2021,1/1/2022,Yes,65,No,No,2,Yes,No,__425_,No,No Answer,Yes,No,501-540,Not required,Yes,Yes,Yes,9,0,0,0,9,0,55.5,0.3 to 1,60,12,2,Yes,Yes,N/A,Not Available,N/A,Not Available,N/A,Not Available,5,NGO,N/A,"$49,895.00",14,Not Available,"$51,438.00",14,Not Available,"$53,493.00",14,Not Available,Yes,Not Available,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Optional,No,No,Yes,"3300 HealthPlex Pkwy, Norman, OK 73072",6,,,,,,,N/A,Not Available,"$55,664.00",14,Not Available,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103900196,Community-based,Integris Southwest Medical Center,4,4,No,Yes,July,Yes,No,http://integrisok.com/emergency-residency,Not Available,"Kristopher K Hart
DO
Integris Southwest Med Ctr
Ste 306
4200 S Douglas
Oklahoma City, OK 73109
Tel: (405) 636-7195
Fax: (405) 979-8459
E-mail: tara.tackett@integrisok.com","Tara  Tackett
MBA
Integris Southwest Med Ctr
Ste 306
4200 S Douglas
Oklahoma City, OK 73109
Tel: (405) 636-7195
Fax: (405) 979-8459
E-mail: tara.tackett@integrisok.com",1103900196,"Integris Southwest Med Ctr, Ste 306, 4200 S Douglas, Oklahoma City, OK 73109","3300 Northwest Expwy, Oklahoma City, OK 73112-4481","4401 S Western Ave, Oklahoma City, OK 73109","1200 Children's Ave, Oklahoma City, OK 73104","700 NE 13th St, Oklahoma City, OK 73104","This program offers a unique high acuity, high volume community hospital learning environment. High faculty to learner ratios provide education tailored to the emergency medicine resident. High procedure volume prepares graduates to provide high level patient care and a smoother transition to the post-residency practice setting.",7,9,7,No,No,"Yes , Codes: 1830110C0",No,11/1/2020,10/1/2020 - 12/31/2020_10/1/2021 - 12/31/2021,7/1/2021,11/30/2021,Yes,51,No,No,3,Yes,No,__400_400,No,No Answer,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,11,0,0,0,11,0,45.4,0.3 to 1,55,24,3,Yes,Yes,N/A,0,N/A,0,N/A,0,6,NGO,N/A,"$54,794.00",Not Available,Not Available,"$56,531.00",Not Available,Not Available,"$58,281.00",Not Available,Not Available,Yes,Not Available,Not Available,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Required,No,Yes,Yes,"901 N Porter Ave, Norman, OK 73071",7,,0.0,0.0,100.0,31.1,68.8,N/A,Not Available,"$60,809.00",Not Available,Not Available,(2 wks ),"3300 NW Expressway, Oklahoma City, OK 73112","1201 Health Center Pkwy, Yukon, OK 73099","8100 S Walker, Oklahoma City, OK 73139","115 SW 89th St, Oklahoma City, OK 73139","5622 N Portland Ave, Oklahoma City, OK 73112",,,,,,,,
0,https://freida.ama-assn.org/program/1103931193,,,3,3,No,Yes,July,Yes,No,http://www.oudem.org,Not Available,"Emily C Fisher
MD
OU Sch of Community Med
Dept of Emergency Medicine Ste 600
1145 S Utica Ave
Tulsa, OK 74104
Tel: (918) 579-2367
Fax: (918) 579-2369
E-mail: emily-fisher@ouhsc.edu","Melisa  Garner
OU Sch of Community Med
Hillcrest Physician's Bldg 6th Fl
1145 S Utica Ave
Tulsa, OK 74104
Tel: (918) 579-2367
Fax: (918) 579-2369
E-mail: melisa-garner@ouhsc.edu",1103931193,"OU Sch of Community Med, Dept of Emergency Medicine Ste 600, 1145 S Utica Ave, Tulsa, OK 74104","4502 E 41st St, Tulsa, OK 74135-2512","1120 S Utica Ave, Tulsa, OK 74104","1923 S Utica Ave, Tulsa, OK 74104","6161 S Yale Ave, Tulsa, OK 74136-1902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"700 NE 13th St, Oklahoma City, OK 73104",,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103900194,,,4,4,Yes,Yes,July,Yes,No,https://health.okstate.edu/,Not Available,"Aaron Q Lane
DO
OSU Ctr for Health Sciences
Emergency Medicine Pgm
744 W 9th St
Tulsa, OK 74127
Tel: (918) 599-5155
Fax: (918) 599-5522
E-mail: aaron.lane@okstate.edu","Michele  Dean
OSU Ctr for Health Sciences
Emergency Medicine Pgm
744 W 9th St
Tulsa, OK 74127
Tel: (918) 599-4427
Fax: (918) 599-5949
E-mail: michele.dean@okstate.edu",1103900194,"OSU Ctr for Health Sciences, Emergency Medicine Pgm, 744 W 9th St, Tulsa, OK 74127","1111 W 17th St, Tulsa, OK 74107","700 NE 13th St, Oklahoma City, OK 73104","6161 S Yale Ave, Tulsa, OK 74136-1902","1400 E Downing St, Tahlequah, OK 74464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"744 W 9th St, Tulsa, OK 74127",,,,,,,,,,,,,,"5323 Harry Hines Blvd, Dallas, TX 75390-9002",,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1104012042,University-based,Oregon Health & Science University Hospital,3,3,No,Yes,July,Yes,No,http://www.emergencyresidency.com,Not Available,"David  Jones
MD
Oregon Health & Science Univ
Mail Code CDW-EM
3181 SW Sam Jackson Park Rd
Portland, OR 97239
Tel: (503) 494-1587
Fax:
E-mail: jonesdav@ohsu.edu","Kimberly  Regner
Oregon Health & Science Univ
Mail Code CDW-EM
3181 SW Sam Jackson Park Rd
Portland, OR 97239-3098
Tel: (503) 494-1270
Fax:
E-mail: regner@ohsu.edu",1104012042,"Oregon Health & Science Univ, Mail Code CDW-EM, 3181 SW Sam Jackson Park Rd, Portland, OR 97239","3181 SW Sam Jackson Park Rd, Portland, OR 97201-3098","9205 SW Barnes Rd, Portland, OR 97225-6661","3710 SW US Veterans Hospital Rd, Portland, OR 97207","2801 N Gantenbein Ave, Portland, OR 97227-1674","Stipend to attend three conferences in residency, textbooks, uniform scrubs, lab coats, vest.",11,11,11,No,No,"Yes , Codes: 1599110C0",No,12/31/2020,10/28/2020 - 1/31/2021_10/15/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,160,No,No,3,No,Yes,200___,No,226-235,"No, require USMLE scores for all applicants",No,No Answer,Not required,Yes,Yes,No,35,12,5,1,40,13,42.8,1.1 to 1,60,28,1.5,Yes,,N/A,0,Every third night for 1 month(s),0,N/A,Not Available,5,NGO,N/A,"$58,600.00",21,21,"$61,400.00",21,21,"$64,300.00",21,21,Yes,NGO,NGO,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,No,No,"500 NE Multnomah St, Portland, OR 97232-2099",,Yes,87.9,1.9,10.0,32.9,67.0,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1104121111,Community-based university affiliated,St Luke's University Hospital,3,3,No,Yes,July,Yes,No,http://gme.slhn.org/Residencies,Not Available,"Scott  Melanson
MD
St Luke's Univ Hosp
Emergency Medicine Pgm
801 Ostrum St
Bethlehem, PA 18015
Tel: (484) 526-4903
Fax: (484) 526-2153
E-mail: scott.melanson@sluhn.org","Krista A Morley
MS
St Luke's Univ Hosp
Emergency Medicine Pgm
801 Ostrum St
Bethlehem, PA 18015
Tel: (484) 526-4903
Fax: (484) 526-2153
E-mail: krista.morley@sluhn.org",1104121111,"St Luke's Univ Hosp, Emergency Medicine Pgm, 801 Ostrum St, Bethlehem, PA 18015","801 Ostrum St, Bethlehem, PA 18015","1736 Hamilton St, Allentown, PA 18104",,,St Luke's University Hospital is a Level 1 Trauma Center and Comprehensive Stroke Center known for its excellence in emergency medicine and trauma care. St. Luke's has been rated by IBM Watson as being one of the Top 100 hospitals in the US for multiple years. The hospital draws from a wide geographical area and is the tertiary care center for the largest healthcare network in the region. Our residents benefit from training at a topnotch health network in a thriving and diverse community.,12,12,12,No,No,"Yes , Codes: 1605110C0",No,12/1/2020,10/28/2020 - 2/25/2021_10/20/2021 - 1/20/2022,9/1/2021,12/1/2021,Yes,200,No,No,3,No,Yes,___,No,236-245,Yes,No,541-600,"Desired, with some exceptions",Yes,Yes,Yes,32,1,0,0,32,1,37.5,0.8 to 1,45,16,2.5,Yes,,Every fourth night for 2 month(s),0,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),Not Available,6,NGO,N/A,"$60,316.00",15,12,"$63,987.00",15,12,"$66,553.00",15,12,Yes,NGO,NGO,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,No,81.0,0.0,18.9,22.3,77.6,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1104121199,,,4,4,No,Yes,June,Yes,No,http://www.lvhn.org,Not Available,"Kevin  Weaver
DO
Lehigh Valley Health Network
5th Fl Residency Ste
2545 Schoenersville Rd
Bethlehem, PA 18017
Tel: (484) 884-2888
Fax:
E-mail: dawn.yenser@lvh.com","Dawn  Yenser
Lehigh Valley Health Network
5th Fl Residency Ste
2545 Schoenersville Rd
Bethlehem, PA 18017
Tel: (484) 884-2888
Fax: (484) 884-2885
E-mail: dawn.yenser@lvh.com",1104121199,"Lehigh Valley Health Network, 5th Fl Residency Ste, 2545 Schoenersville Rd, Bethlehem, PA 18017","Cedar Crest Blvd & I-78, Allentown, PA 18105-1556","34th St & Civic Center Blvd, Philadelphia, PA 19104","2545 Schoenersville Rd, Bethlehem, PA 18017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
