,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Asian,Two or more races,African American,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/lasalle-county-il/,B,B+,B minus,A minus,B,B minus,B minus,C+,B+,B,B+,B,"LaSalle County is located in Illinois with a population of 109,737. In LaSalle County, most residents own their homes. Many families live in LaSalle County and residents tend to lean conservative.",109737,127200,777,58142,-0.41517241379310343,-0.268361581920904,-0.07480546759384499,0.28,0.72,105.1,-0.6282278033250797,1.4,-0.7704918032786885,42.9,0.054054054054053946,16.6,-0.8774907749077491,302.9,-0.39432113577284555,1495.4,-0.26796553749755236,63.6,-0.776056338028169,0.11,0.1,0.08,0.12,0.12,0.13,0.15,0.18,0.06,-0.5,0.12,-0.4,0.35,0.2068965517241379,0.36,0.33333333333333326,0.11,-0.08333333333333326,4.75,4,3,1,0,0,0,0.037000000000000005,0.133,0.019,0.85,0.1,0.01,0.01,0.03,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.23,0.28,0.09,0.26,0.31,0.25,0.18
0,https://www.niche.com/places-to-live/c/freeborn-county-mn/,B,B minus,B,B+,B minus,B minus,B minus,C,A minus,B,B minus,A minus,"Freeborn County is located in Minnesota with a population of 30,463. In Freeborn County, most residents own their homes. Many retirees live in Freeborn County and residents tend to lean conservative.",30463,113800,681,53631,-0.47678160919540225,-0.3587570621468926,-0.14658752764826632,0.23,0.77,68.2,-0.7587548638132295,0,-1.0,5.7,-0.85995085995086,11.4,-0.9158671586715867,408.9,-0.1823635272945412,1840.1,-0.09922655179165851,113.6,-0.6000000000000001,0.12,0.1,0.07,0.11,0.11,0.12,0.15,0.22,0.05,-0.5833333333333333,0.12,-0.4,0.37,0.27586206896551735,0.35,0.29629629629629606,0.11,-0.08333333333333326,,,,,,,,0.024,0.11,0.036000000000000004,0.85,0.1,0.02,0.02,0.01,0.0,0.0,0.0,0.5,0.5,0.2,0.21,0.26,0.27,0.06,0.25,0.33,0.28,0.13
0,https://www.niche.com/places-to-live/c/waupaca-county-wi/,B,B+,B,A minus,B,C,B,C,B+,B,A minus,B,"Waupaca County is located in Wisconsin with a population of 51,245. In Waupaca County, most residents own their homes. Many retirees live in Waupaca County and residents tend to be conservative.",51245,149900,698,58693,-0.31080459770114943,-0.3427495291902072,-0.06603758572951646,0.26,0.74,135.4,-0.5210470463388751,0,-1.0,20.1,-0.5061425061425062,0,-1.0,265.8,-0.46850629874025196,2306.7,0.12918543176032893,65.2,-0.7704225352112676,0.1,0.1,0.07,0.1,0.12,0.14,0.16,0.2,0.06,-0.5,0.14,-0.29999999999999993,0.31,0.06896551724137945,0.41,0.5185185185185184,0.08,-0.33333333333333326,3.5,2,0,1,1,0,0,0.017,0.10300000000000001,0.012,0.94,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.49,0.51,0.19,0.2,0.25,0.3,0.07,0.25,0.32,0.28,0.15
0,https://www.niche.com/places-to-live/c/lincoln-county-ok/,B,B+,A minus,C,B,B,B minus,B+,A,C+,C,C,"Lincoln County is located in Oklahoma with a population of 34,895. In Lincoln County, most residents own their homes. Many families live in Lincoln County and residents tend to be conservative.",34895,110800,668,50671,-0.49057471264367813,-0.3709981167608286,-0.1936890345782346,0.2,0.8,186.5,-0.3402900601344181,0,-1.0,17,-0.5823095823095823,50.9,-0.6243542435424354,525.5,0.050789842031593535,1152.7,-0.435725474838457,169.5,-0.403169014084507,0.13,0.11,0.08,0.11,0.11,0.13,0.14,0.18,0.04,-0.6666666666666666,0.11,-0.45000000000000007,0.31,0.06896551724137945,0.41,0.5185185185185184,0.13,0.08333333333333348,,,,,,,,0.026000000000000002,0.138,0.006999999999999999,0.82,0.03,0.0,0.05,0.02,0.07,0.0,0.0,0.5,0.5,0.25,0.2,0.24,0.25,0.07,0.29,0.33,0.25,0.13
0,https://www.niche.com/places-to-live/c/pickens-county-ga/,B,B minus,B,C,B minus,B minus,B+,B,B+,B+,B minus,C,"Pickens County is located in Georgia with a population of 31,387. In Pickens County, most residents own their homes. Many retirees live in Pickens County and residents tend to be conservative.",31387,200200,856,67631,-0.07954022988505749,-0.19397363465160078,0.07618986999347577,0.24,0.76,26,-0.9080297134771843,0,-1.0,52.1,0.2800982800982801,52.1,-0.6154981549815498,624.8,0.24935012997400507,7628.2,2.734188368905424,312.4,0.09999999999999987,0.1,0.1,0.07,0.11,0.11,0.14,0.15,0.21,0.09,-0.25,0.14,-0.29999999999999993,0.31,0.06896551724137945,0.31,0.14814814814814814,0.15,0.25,4,7,2,3,2,0,0,0.028999999999999998,0.10099999999999999,0.012,0.87,0.03,0.0,0.08,0.01,0.01,0.0,0.0,0.5,0.5,0.17,0.16,0.22,0.34,0.1,0.26,0.28,0.27,0.19
0,https://www.niche.com/places-to-live/c/livingston-county-mo/,B,B,A minus,B,B minus,C+,A minus,B minus,A minus,C+,C,A minus,"Livingston County is located in Missouri with a population of 15,126. In Livingston County, most residents own their homes. Many families, young professionals, and retirees live in Livingston County and residents tend to be conservative.",15126,111500,671,46992,-0.4873563218390805,-0.36817325800376643,-0.25223175214423244,0.33,0.67,317.6,0.12345242306331805,0,-1.0,71.7,0.7616707616707616,30.7,-0.7734317343173431,409.8,-0.18056388722255545,1209,-0.40816526336401016,153.7,-0.45880281690140845,0.12,0.1,0.07,0.14,0.13,0.12,0.12,0.2,0.07,-0.41666666666666663,0.11,-0.45000000000000007,0.28,-0.0344827586206895,0.4,0.4814814814814814,0.13,0.08333333333333348,,,,,,,,0.011000000000000001,0.16,0.006,0.92,0.02,0.01,0.02,0.03,0.01,0.0,0.0,0.55,0.45,0.26,0.21,0.26,0.23,0.04,0.29,0.35,0.27,0.09
0,https://www.niche.com/places-to-live/c/whatcom-county-wa/,B,C+,D,A minus,B minus,B+,B minus,A+,D,A,A,A,"Whatcom County is located in Washington with a population of 220,821. In Whatcom County, most residents own their homes. Many young professionals live in Whatcom County and residents tend to lean liberal.",220821,345700,1060,62984,0.5894252873563219,-0.0018832391713747842,0.0022436866476776007,0.38,0.62,116.8,-0.5868411743898125,2.4,-0.6065573770491803,53.3,0.30958230958230937,62.7,-0.537269372693727,537.6,0.07498500299940014,3107.4,0.5211474446837674,159.9,-0.4369718309859155,0.11,0.09,0.14,0.13,0.12,0.12,0.13,0.17,0.12,0.0,0.22,0.09999999999999987,0.35,0.2068965517241379,0.23,-0.14814814814814814,0.07,-0.41666666666666663,5,4,4,0,0,0,0,0.033,0.141,0.051,0.79,0.09,0.04,0.04,0.01,0.03,0.0,0.0,0.51,0.49,0.18,0.17,0.22,0.3,0.12,0.29,0.28,0.23,0.2
0,https://www.niche.com/places-to-live/c/hughes-county-ok/,B,B minus,A minus,C,B minus,A minus,C+,B,A,C+,C minus,B,"Hughes County is located in Oklahoma with a population of 13,372. In Hughes County, most residents own their homes. Many retirees live in Hughes County and residents tend to be conservative.",13372,73100,555,39365,-0.6639080459770115,-0.4774011299435028,-0.3735976958452015,0.27,0.73,141.3,-0.5001768659356207,0,-1.0,0,-1.0,17.7,-0.8693726937269373,512.1,0.023995200959808116,759.3,-0.6283042882318386,176.6,-0.3781690140845071,0.11,0.11,0.08,0.14,0.12,0.12,0.12,0.19,0.05,-0.5833333333333333,0.08,-0.6000000000000001,0.29,0.0,0.4,0.4814814814814814,0.18,0.5,,,,,,,,0.04,0.20600000000000002,0.008,0.63,0.06,0.0,0.05,0.06,0.21,0.0,0.0,0.47,0.53,0.31,0.24,0.22,0.18,0.05,0.35,0.35,0.19,0.1
0,https://www.niche.com/places-to-live/c/lynn-county-tx/,B,B minus,B,C,B minus,A minus,B minus,A,A minus,B minus,C minus,B minus,"Lynn County is located in Texas with a population of 5,830. In Lynn County, most residents own their homes. Residents of Lynn County tend to be conservative.",5830,84000,748,43382,-0.6137931034482759,-0.295668549905838,-0.3096764953932817,0.32,0.68,0,-1.0,0,-1.0,0,-1.0,0,-1.0,432.4,-0.13537292541491708,746.9,-0.6343743880947719,78.6,-0.7232394366197183,0.16,0.12,0.08,0.12,0.12,0.11,0.13,0.17,0.04,-0.6666666666666666,0.13,-0.35,0.29,0.0,0.29,0.07407407407407396,0.25,1.0833333333333335,,,,,,,,0.039,0.184,0.042,0.49,0.47,0.01,0.02,0.01,0.0,0.0,0.0,0.48,0.52,0.33,0.18,0.19,0.22,0.08,0.29,0.33,0.24,0.15
0,https://www.niche.com/places-to-live/c/hardin-county-ia/,B,B minus,B+,B,B minus,C+,B+,C,A,B minus,B minus,B,"Hardin County is located in Iowa with a population of 17,061. In Hardin County, most residents own their homes. Many retirees live in Hardin County and residents tend to be conservative.",17061,94300,639,54196,-0.5664367816091954,-0.39830508474576276,-0.13759686838629603,0.25,0.75,19.3,-0.9317297488503714,0,-1.0,77.6,0.9066339066339064,19.3,-0.8575645756457564,250.7,-0.4987002599480105,1658.3,-0.18822204816917953,135,-0.5246478873239437,0.11,0.1,0.08,0.11,0.11,0.13,0.16,0.21,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.37,0.27586206896551735,0.35,0.29629629629629606,0.08,-0.33333333333333326,,,,,,,,0.011000000000000001,0.09699999999999999,0.015,0.92,0.04,0.0,0.01,0.01,0.01,0.0,0.0,0.5,0.5,0.22,0.19,0.25,0.29,0.05,0.25,0.33,0.28,0.13
0,https://www.niche.com/places-to-live/c/dickson-county-tn/,B,B,B,B,B,B minus,B+,B minus,B+,A minus,B+,C minus,"Dickson County is located in Tennessee with a population of 52,680. In Dickson County, most residents own their homes. Many families live in Dickson County and residents tend to be conservative.",52680,164700,782,53076,-0.24275862068965515,-0.263653483992467,-0.1554190601976354,0.25,0.75,801.2,1.8340997523876905,14.6,1.3934426229508197,68,0.6707616707616706,63.1,-0.5343173431734317,602.1,0.20395920815836832,3971.8,0.9442921480321129,276.8,-0.025352112676056304,0.12,0.11,0.07,0.13,0.13,0.14,0.14,0.16,0.06,-0.5,0.1,-0.5,0.26,-0.10344827586206884,0.42,0.5555555555555554,0.16,0.3333333333333335,3.67,61,13,23,20,2,3,0.019,0.134,0.013000000000000001,0.89,0.04,0.01,0.02,0.04,0.0,0.0,0.0,0.51,0.49,0.2,0.21,0.25,0.27,0.07,0.27,0.34,0.27,0.13
0,https://www.niche.com/places-to-live/c/dawson-county-tx/,B,C,B,C+,B minus,A,B+,A minus,A minus,C+,C,B,"Dawson County is located in Texas with a population of 12,813. In Dawson County, most residents own their homes. Many families live in Dawson County and residents tend to be conservative.",12813,73400,645,43239,-0.6625287356321838,-0.3926553672316384,-0.3119520073834795,0.31,0.69,498.5,0.7633533781393704,10.6,0.737704918032787,95.3,1.3415233415233412,31.8,-0.7653136531365313,933.3,0.8662267546490701,2821.1,0.380996671235559,180.3,-0.36514084507042255,0.13,0.13,0.11,0.16,0.12,0.1,0.11,0.15,0.03,-0.75,0.12,-0.4,0.23,-0.2068965517241378,0.32,0.18518518518518512,0.3,1.5,,,,,,,,0.034,0.26,0.027999999999999997,0.33,0.57,0.0,0.01,0.08,0.0,0.0,0.0,0.46,0.54,0.37,0.14,0.21,0.21,0.07,0.4,0.28,0.2,0.12
0,https://www.niche.com/places-to-live/c/blair-county-pa/,B,B minus,B minus,A minus,B,C,B,B minus,B,A minus,B+,A minus,"Blair County is located in Pennsylvania with a population of 123,157. In Blair County, most residents own their homes. Many retirees live in Blair County and residents tend to be conservative.",123157,123600,722,49181,-0.4317241379310345,-0.32015065913371,-0.21739891475582007,0.3,0.7,136.1,-0.518570923240184,0,-1.0,47.1,0.15724815724815722,38.9,-0.7129151291512915,217,-0.5660867826434713,1361.2,-0.3336596827883297,59.4,-0.7908450704225352,0.11,0.1,0.08,0.12,0.11,0.13,0.15,0.2,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.25,-0.13793103448275856,0.45,0.6666666666666665,0.09,-0.25,5,1,1,0,0,0,0,0.025,0.146,0.003,0.95,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.51,0.49,0.24,0.22,0.23,0.25,0.06,0.28,0.33,0.27,0.13
0,https://www.niche.com/places-to-live/c/polk-county-wi/,B,B+,B minus,A minus,B,C,B+,C,B,B+,A minus,C+,"Polk County is located in Wisconsin with a population of 43,438. In Polk County, most residents own their homes. Many retirees live in Polk County and residents tend to be conservative.",43438,169700,756,59994,-0.21977011494252874,-0.288135593220339,-0.045335200420094535,0.21,0.79,382.8,0.35408560311284054,0,-1.0,83.7,1.0565110565110563,0,-1.0,239.2,-0.5216956608678265,2141.1,0.048120227139220706,119.6,-0.5788732394366197,0.11,0.11,0.07,0.1,0.11,0.14,0.16,0.2,0.06,-0.5,0.15,-0.2500000000000001,0.36,0.24137931034482762,0.37,0.37037037037037024,0.06,-0.5,3,1,0,0,1,0,0,0.023,0.091,0.005,0.95,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.19,0.19,0.24,0.31,0.08,0.24,0.3,0.29,0.16
0,https://www.niche.com/places-to-live/c/tipton-county-tn/,B,B minus,B,C,B+,B+,B,B,B+,C+,B,D,"Tipton County is located in Tennessee with a population of 61,447. In Tipton County, most residents own their homes. Many families live in Tipton County and residents tend to be conservative.",61447,150000,825,61291,-0.31034482758620685,-0.2231638418079096,-0.024696465795713163,0.29,0.71,647.9,1.291828793774319,0,-1.0,59.2,0.4545454545454546,41.8,-0.6915129151291513,533,0.06578684263147361,1996,-0.02290973174074795,146.3,-0.48485915492957743,0.13,0.11,0.08,0.13,0.13,0.14,0.13,0.14,0.06,-0.5,0.11,-0.45000000000000007,0.33,0.13793103448275867,0.38,0.40740740740740744,0.12,0.0,3.5,30,4,11,12,2,1,0.038,0.12300000000000001,0.006,0.76,0.03,0.01,0.02,0.18,0.0,0.0,0.0,0.51,0.49,0.18,0.2,0.23,0.3,0.1,0.27,0.29,0.27,0.17
0,https://www.niche.com/places-to-live/c/hoke-county-nc/,B,C+,C,B minus,B+,A+,C+,B+,B,B,B+,C minus,"Hoke County is located in North Carolina with a population of 53,957. In Hoke County, most residents own their homes. Many families live in Hoke County and residents tend to lean liberal.",53957,139300,929,48072,-0.3595402298850575,-0.12523540489642182,-0.235046067183298,0.33,0.67,158.2,-0.4403961796957906,0,-1.0,20.7,-0.49140049140049147,138.4,0.021402214022140154,870.1,0.7398520295940811,2808,0.37458390444487955,98.9,-0.6517605633802817,0.16,0.12,0.08,0.18,0.14,0.12,0.11,0.1,0.06,-0.5,0.12,-0.4,0.41,0.4137931034482758,0.29,0.07407407407407396,0.13,0.08333333333333348,4,4,2,0,2,0,0,0.057,0.20199999999999999,0.04,0.4,0.13,0.02,0.04,0.33,0.08,0.0,0.0,0.5,0.5,0.25,0.21,0.25,0.24,0.05,0.31,0.29,0.27,0.13
0,https://www.niche.com/places-to-live/c/coryell-county-tx/,B,B minus,B minus,B+,B,A,C+,B+,B,B minus,C+,B,"Coryell County is located in Texas with a population of 75,280. In Coryell County, most residents own their homes. Many families live in Coryell County and residents tend to be conservative.",75280,114300,918,52893,-0.47448275862068967,-0.13559322033898302,-0.15833107903823818,0.42,0.58,467,0.6519278386982668,2.2,-0.6393442622950819,26.4,-0.3513513513513514,50.7,-0.625830258302583,489,-0.022195560887822485,1715.9,-0.16002545525748968,107.9,-0.6200704225352113,0.13,0.1,0.13,0.19,0.14,0.11,0.09,0.1,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.44,0.517241379310345,0.28,0.03703703703703698,0.12,0.0,,,,,,,,0.049,0.128,0.031,0.59,0.18,0.02,0.07,0.13,0.01,0.0,0.01,0.5,0.5,0.19,0.24,0.26,0.26,0.05,0.28,0.35,0.25,0.11
0,https://www.niche.com/places-to-live/c/lamoille-county-vt/,B,B minus,C,A minus,B,C+,B+,D,C+,A,B,B minus,"Lamoille County is located in Vermont with a population of 25,318. In Lamoille County, most residents own their homes. Many young professionals live in Lamoille County and residents tend to be liberal.",25318,225600,956,64003,0.03724137931034477,-0.09981167608286257,0.01845869866174432,0.27,0.73,50.4,-0.8217191368942341,0,-1.0,30.3,-0.25552825552825553,20.2,-0.8509225092250923,171.5,-0.6570685862827434,1432.2,-0.2989034658312121,0,-1.0,0.11,0.09,0.09,0.13,0.13,0.13,0.15,0.17,0.16,0.3333333333333335,0.23,0.1499999999999999,0.29,0.0,0.26,-0.03703703703703709,0.07,-0.41666666666666663,4,1,0,1,0,0,0,0.025,0.136,0.016,0.95,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.5,0.5,0.22,0.16,0.22,0.29,0.12,0.24,0.29,0.29,0.18
