,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,Hispanic,White,Two or more races,African American,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/mason-county-ky/,B,B+,A minus,B minus,B minus,B,C,A minus,B minus,C,B,"Mason County is located in Kentucky with a population of 17,112. In Mason County, most residents own their homes. Many families live in Mason County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.13,0.1,0.09,0.12,0.11,0.14,0.14,0.17,0.09,-0.25,0.1,-0.5,0.32,0.10344827586206917,0.35,0.29629629629629606,0.14,0.16666666666666674,,,,,,,,0.028999999999999998,0.17600000000000002,0.021,0.02,0.89,0.02,0.06,0.01,0.0,0.0,0.0,0.5,0.5,0.3,0.2,0.17,0.24,0.09,0.32,0.31,0.23,0.15
0,https://www.niche.com/places-to-live/c/menominee-county-mi/,B minus,B+,B,B minus,C,B,C minus,A,B,B+,B+,"Menominee County is located in Michigan with a population of 23,074. In Menominee County, most residents own their homes. Many retirees live in Menominee County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.09,0.09,0.07,0.09,0.11,0.13,0.17,0.24,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.34,0.1724137931034484,0.42,0.5555555555555554,0.07,-0.41666666666666663,,,0,1,0,0,0,0.027000000000000003,0.127,0.005,0.02,0.93,0.02,0.0,0.0,0.02,0.0,0.0,0.51,0.49,0.25,0.23,0.27,0.21,0.04,0.3,0.34,0.26,0.1
0,https://www.niche.com/places-to-live/c/jefferson-county-ks/,B,B+,B,B,C,B,B minus,B+,B,B minus,C minus,"Jefferson County is located in Kansas with a population of 18,890. In Jefferson County, most residents own their homes. Residents of Jefferson County tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,,,,,,,,0.12,0.11,0.07,0.11,0.11,0.14,0.16,0.18,0.07,-0.41666666666666663,0.16,-0.20000000000000007,0.31,0.06896551724137945,0.4,0.4814814814814814,0.06,-0.5,,,,,,,,0.024,0.075,0.003,0.03,0.94,0.02,0.01,0.0,0.01,0.0,0.0,0.51,0.49,0.14,0.16,0.27,0.34,0.09,0.2,0.29,0.35,0.16
0,https://www.niche.com/places-to-live/c/lafayette-county-wi/,B+,B,B+,B,C,A minus,C,B+,C+,B+,C+,"Lafayette County is located in Wisconsin with a population of 16,715. In Lafayette County, most residents own their homes. Residents of Lafayette County tend to have moderate political views.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.13,0.11,0.07,0.11,0.11,0.13,0.16,0.18,0.06,-0.5,0.13,-0.35,0.31,0.06896551724137945,0.41,0.5185185185185184,0.09,-0.25,,,,,,,,0.013999999999999999,0.11,0.019,0.04,0.94,0.01,0.01,0.01,0.0,0.0,0.0,0.51,0.49,0.19,0.18,0.27,0.3,0.06,0.24,0.31,0.31,0.14
0,https://www.niche.com/places-to-live/c/fremont-county-ia/,B minus,B+,B+,B minus,C,B minus,B minus,A minus,C+,B,B minus,"Fremont County is located in Iowa with a population of 6,946. In Fremont County, most residents own their homes. Many retirees live in Fremont County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.11,0.11,0.06,0.09,0.11,0.12,0.17,0.22,0.06,-0.5,0.13,-0.35,0.4,0.3793103448275863,0.34,0.2592592592592593,0.08,-0.33333333333333326,,,,,,,,0.022000000000000002,0.105,0.009000000000000001,0.03,0.95,0.01,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.19,0.19,0.27,0.28,0.07,0.26,0.31,0.3,0.14
0,https://www.niche.com/places-to-live/c/clarke-county-al/,B minus,B,C,B,A minus,C+,B,A minus,C+,B,C+,"Clarke County is located in Alabama with a population of 24,128. In Clarke County, most residents own their homes. Many retirees live in Clarke County and residents tend to lean conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.11,0.11,0.09,0.11,0.12,0.13,0.14,0.19,0.05,-0.5833333333333333,0.07,-0.6499999999999999,0.27,-0.06896551724137923,0.42,0.5555555555555554,0.19,0.5833333333333335,,,0,0,3,0,0,0.055999999999999994,0.231,0.001,0.0,0.53,0.01,0.46,0.0,0.0,0.0,0.0,0.47,0.53,0.37,0.19,0.19,0.18,0.07,0.37,0.28,0.21,0.13
0,https://www.niche.com/places-to-live/c/schuyler-county-il/,C+,B,B+,B minus,C+,B minus,B minus,A minus,B minus,B,C,"Schuyler County is located in Illinois with a population of 6,953. In Schuyler County, most residents own their homes. Many retirees live in Schuyler County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.08,0.1,0.07,0.1,0.13,0.15,0.15,0.22,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.33,0.13793103448275867,0.36,0.33333333333333326,0.11,-0.08333333333333326,,,,,,,,0.040999999999999995,0.19,0.028999999999999998,0.01,0.89,0.01,0.09,0.0,0.0,0.0,0.0,0.52,0.48,0.19,0.26,0.26,0.25,0.05,0.28,0.31,0.3,0.12
0,https://www.niche.com/places-to-live/c/kane-county-ut/,B+,B minus,C+,B minus,C+,B+,B,C minus,A minus,B+,A,"Kane County is located in Utah with a population of 7,484. In Kane County, most residents own their homes. Many young professionals and retirees live in Kane County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.12,0.12,0.05,0.13,0.1,0.11,0.14,0.23,0.12,0.0,0.18,-0.10000000000000009,0.41,0.4137931034482758,0.22,-0.18518518518518523,0.08,-0.33333333333333326,,,0,1,0,0,0,0.02,0.124,0.003,0.05,0.91,0.02,0.0,0.0,0.02,0.0,0.0,0.5,0.5,0.22,0.25,0.19,0.3,0.04,0.33,0.3,0.26,0.11
0,https://www.niche.com/places-to-live/c/otsego-county-mi/,B,B,B,B minus,C,B,D+,B+,B+,B,B,"Otsego County is located in Michigan with a population of 24,490. In Otsego County, most residents own their homes. Many young professionals and retirees live in Otsego County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,,,,,,,,0.11,0.1,0.08,0.11,0.1,0.14,0.15,0.21,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.35,0.2068965517241379,0.33,0.2222222222222221,0.08,-0.33333333333333326,,,,,,,,0.033,0.133,0.003,0.02,0.95,0.02,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.19,0.23,0.26,0.27,0.05,0.29,0.34,0.24,0.13
0,https://www.niche.com/places-to-live/c/canyon-county-id/,B,C+,A minus,B,B+,B+,A minus,C,A minus,A minus,B minus,"Canyon County is located in Idaho with a population of 217,633. In Canyon County, most residents own their homes. Many families live in Canyon County and residents tend to be conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.16,0.13,0.1,0.13,0.13,0.12,0.11,0.13,0.05,-0.5833333333333333,0.13,-0.35,0.34,0.1724137931034484,0.32,0.18518518518518512,0.15,0.25,,,2,2,1,0,0,0.036000000000000004,0.133,0.049,0.25,0.7,0.02,0.0,0.01,0.01,0.0,0.0,0.49,0.51,0.19,0.23,0.27,0.25,0.05,0.31,0.34,0.24,0.11
0,https://www.niche.com/places-to-live/c/swift-county-mn/,B,B+,B,B minus,C+,B+,C minus,A,C,C,A minus,"Swift County is located in Minnesota with a population of 9,359. In Swift County, most residents own their homes. Many retirees live in Swift County and residents tend to lean conservative.",,,,,,,,0.3,0.7,,,,,,,,,,,,,,,0.12,0.11,0.06,0.11,0.11,0.12,0.15,0.22,0.04,-0.6666666666666666,0.16,-0.20000000000000007,0.38,0.3103448275862071,0.33,0.2222222222222221,0.09,-0.25,,,,,,,,0.016,0.12300000000000001,0.021,0.05,0.91,0.01,0.02,0.0,0.0,0.0,0.01,0.5,0.5,0.25,0.19,0.23,0.26,0.07,0.25,0.31,0.29,0.15
0,https://www.niche.com/places-to-live/c/washington-county-il/,B+,B+,B+,B minus,C,B minus,B minus,A minus,C+,C+,B minus,"Washington County is located in Illinois with a population of 14,058. In Washington County, most residents own their homes. Many families, young professionals, and retirees live in Washington County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.12,0.1,0.07,0.12,0.12,0.13,0.16,0.2,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.38,0.3103448275862071,0.33,0.2222222222222221,0.08,-0.33333333333333326,,,,,,,,0.031,0.071,0.003,0.01,0.96,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.16,0.21,0.22,0.33,0.08,0.21,0.28,0.33,0.18
0,https://www.niche.com/places-to-live/c/franklin-county-fl/,C minus,B,B+,C+,B,B+,A minus,B+,B minus,B+,B+,"Franklin County is located in Florida with a population of 11,811. In Franklin County, most residents own their homes. Many retirees live in Franklin County and residents tend to be conservative.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.08,0.08,0.07,0.14,0.12,0.13,0.15,0.23,0.07,-0.41666666666666663,0.12,-0.4,0.27,-0.06896551724137923,0.35,0.29629629629629606,0.19,0.5833333333333335,,,0,1,0,0,0,0.033,0.188,0.015,0.05,0.77,0.02,0.14,0.0,0.0,0.01,0.0,0.57,0.43,0.27,0.22,0.21,0.23,0.07,0.31,0.33,0.21,0.14
0,https://www.niche.com/places-to-live/c/smith-county-tn/,B,B+,C,B,C+,B,B minus,A minus,B,B+,C minus,"Smith County is located in Tennessee with a population of 19,740. In Smith County, most residents own their homes. Many families live in Smith County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.12,0.11,0.08,0.12,0.11,0.15,0.14,0.16,0.05,-0.5833333333333333,0.09,-0.55,0.24,-0.1724137931034483,0.47,0.7407407407407405,0.15,0.25,,,5,2,0,0,0,0.019,0.17800000000000002,0.012,0.03,0.93,0.01,0.02,0.0,0.01,0.0,0.0,0.5,0.5,0.24,0.22,0.21,0.24,0.08,0.29,0.33,0.26,0.13
0,https://www.niche.com/places-to-live/c/henry-county-va/,B+,B,C,B,B+,C,B,A minus,C+,B,C+,"Henry County is located in Virginia with a population of 51,308. In Henry County, most residents own their homes. Many retirees live in Henry County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.1,0.09,0.07,0.1,0.1,0.14,0.16,0.24,0.05,-0.5833333333333333,0.09,-0.55,0.32,0.10344827586206917,0.34,0.2592592592592593,0.2,0.6666666666666667,,,1,3,25,4,1,0.04,0.177,0.013999999999999999,0.06,0.7,0.02,0.22,0.01,0.0,0.0,0.0,0.48,0.52,0.31,0.26,0.22,0.17,0.03,0.34,0.38,0.21,0.08
0,https://www.niche.com/places-to-live/c/greene-county-ms/,B,A,C,B minus,B+,B minus,unavailable,A,C,C+,C,"Greene County is located in Mississippi with a population of 13,645. In Greene County, most residents own their homes. Residents of Greene County tend to be conservative.",,,,,,,,0.17,0.83,,,,,,,,,,,,,,,0.1,0.09,0.09,0.14,0.15,0.16,0.13,0.13,0.03,-0.75,0.06,-0.7,0.33,0.13793103448275867,0.34,0.2592592592592593,0.24,1.0,,,2,0,0,0,0,0.06,0.184,0.017,0.01,0.72,0.0,0.26,0.0,0.0,0.0,0.0,0.6,0.4,0.28,0.17,0.26,0.25,0.04,0.33,0.34,0.22,0.11
0,https://www.niche.com/places-to-live/c/warren-county-nj/,B+,C minus,A minus,B,B,C+,C,C,A minus,A minus,C,"Warren County is located in New Jersey with a population of 105,862. In Warren County, most residents own their homes. Many young professionals live in Warren County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.1,0.1,0.09,0.11,0.11,0.16,0.16,0.18,0.11,-0.08333333333333326,0.22,0.09999999999999987,0.28,-0.0344827586206895,0.31,0.14814814814814814,0.09,-0.25,,,0,6,6,0,0,0.04,0.075,0.036000000000000004,0.09,0.82,0.02,0.04,0.03,0.0,0.0,0.0,0.49,0.51,0.13,0.13,0.19,0.35,0.19,0.23,0.24,0.25,0.28
0,https://www.niche.com/places-to-live/c/fairbanks-north-star-borough-ak/,B,C minus,B+,B minus,A minus,B minus,unavailable,C minus,A minus,C,A,"Fairbanks North Star Borough is a County in Alaska with a population of 99,072. In Fairbanks North Star Borough, most residents own their homes. Many families and young professionals live in Fairbanks North Star Borough.",,,,,,,,0.41,0.59,,,,,,,,,,,,,,,0.15,0.09,0.13,0.19,0.12,0.11,0.11,0.1,0.12,0.0,0.19,-0.050000000000000044,0.4,0.3793103448275863,0.23,-0.14814814814814814,0.06,-0.5,,,10,18,12,0,0,0.045,0.079,0.021,0.08,0.7,0.07,0.04,0.03,0.07,0.0,0.01,0.54,0.46,0.11,0.14,0.23,0.34,0.18,0.24,0.24,0.25,0.27
0,https://www.niche.com/places-to-live/c/aransas-county-tx/,B minus,C,A minus,C+,B+,B,A minus,B,C+,B minus,B+,"Aransas County is located in Texas with a population of 24,462. In Aransas County, most residents own their homes. Many retirees live in Aransas County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,,,,,,,,0.1,0.09,0.08,0.08,0.09,0.12,0.16,0.27,0.08,-0.33333333333333326,0.14,-0.29999999999999993,0.31,0.06896551724137945,0.31,0.14814814814814814,0.16,0.3333333333333335,,,,,,,,0.039,0.212,0.049,0.27,0.67,0.02,0.01,0.02,0.0,0.0,0.0,0.49,0.51,0.26,0.24,0.19,0.22,0.1,0.37,0.3,0.18,0.14
0,https://www.niche.com/places-to-live/c/fulton-county-ky/,B+,B,B,B minus,B,C minus,B minus,A,C,C+,B+,"Fulton County is located in Kentucky with a population of 6,130. In Fulton County, most residents own their homes. Many retirees live in Fulton County and residents tend to be conservative.",,,,,,,,0.39,0.61,,,,,,,,,,,,,,,0.12,0.1,0.07,0.13,0.09,0.14,0.15,0.2,0.05,-0.5833333333333333,0.09,-0.55,0.28,-0.0344827586206895,0.37,0.37037037037037024,0.21,0.75,,,,,,,,0.051,0.27899999999999997,0.005,0.02,0.71,0.02,0.24,0.0,0.01,0.0,0.0,0.5,0.5,0.45,0.2,0.2,0.13,0.02,0.39,0.35,0.19,0.06
0,https://www.niche.com/places-to-live/c/val-verde-county-tx/,C minus,B minus,B,B minus,B,B,A,A minus,B,B minus,A,"Val Verde County is located in Texas with a population of 48,969. In Val Verde County, most residents own their homes. Many families live in Val Verde County and residents tend to have moderate political views.",,,,,,,,0.36,0.64,,,,,,,,,,,,,,,0.15,0.13,0.11,0.14,0.12,0.11,0.09,0.14,0.06,-0.5,0.13,-0.35,0.25,-0.13793103448275856,0.24,-0.11111111111111116,0.32,1.666666666666667,,,,,,,,0.028999999999999998,0.19699999999999998,0.12,0.82,0.15,0.01,0.01,0.01,0.0,0.0,0.0,0.51,0.49,0.29,0.2,0.22,0.23,0.06,0.37,0.3,0.2,0.13
0,https://www.niche.com/places-to-live/c/lenawee-county-mi/,B minus,B minus,B+,B,B minus,B minus,C+,B+,B,B+,B minus,"Lenawee County is located in Michigan with a population of 98,381. In Lenawee County, most residents own their homes. Many families live in Lenawee County and residents tend to lean conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.11,0.1,0.09,0.11,0.12,0.13,0.14,0.18,0.07,-0.41666666666666663,0.14,-0.29999999999999993,0.33,0.13793103448275867,0.37,0.37037037037037024,0.09,-0.25,,,1,0,1,0,0,0.028999999999999998,0.113,0.013999999999999999,0.08,0.87,0.02,0.02,0.0,0.0,0.0,0.0,0.51,0.49,0.18,0.22,0.25,0.28,0.07,0.28,0.32,0.26,0.14
0,https://www.niche.com/places-to-live/c/beaver-county-ut/,A minus,B,B minus,B+,B minus,A minus,C minus,C+,A minus,B,B,"Beaver County is located in Utah with a population of 6,517. In Beaver County, most residents own their homes. Many young professionals live in Beaver County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.17,0.16,0.08,0.11,0.12,0.09,0.12,0.14,0.04,-0.6666666666666666,0.17,-0.15000000000000002,0.35,0.2068965517241379,0.33,0.2222222222222221,0.11,-0.08333333333333326,,,1,0,0,0,0,0.021,0.08800000000000001,0.052000000000000005,0.12,0.84,0.02,0.0,0.0,0.01,0.0,0.0,0.52,0.48,0.19,0.21,0.29,0.24,0.07,0.26,0.31,0.3,0.13
0,https://www.niche.com/places-to-live/c/person-county-nc/,B minus,B,B minus,B minus,A minus,C+,B,A minus,B,B,C,"Person County is located in North Carolina with a population of 39,345. In Person County, most residents own their homes. Many families live in Person County and residents tend to lean conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.11,0.1,0.07,0.11,0.12,0.14,0.16,0.19,0.04,-0.6666666666666666,0.11,-0.45000000000000007,0.34,0.1724137931034484,0.37,0.37037037037037024,0.14,0.16666666666666674,,,1,0,0,0,0,0.042,0.157,0.022000000000000002,0.04,0.66,0.02,0.26,0.0,0.0,0.0,0.0,0.49,0.51,0.24,0.21,0.22,0.28,0.05,0.27,0.32,0.29,0.12
0,https://www.niche.com/places-to-live/c/charlotte-county-va/,A minus,B,C,B,B+,C+,A,A minus,C+,B minus,C minus,"Charlotte County is located in Virginia with a population of 12,040. In Charlotte County, most residents own their homes. Many retirees live in Charlotte County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.1,0.12,0.08,0.09,0.1,0.13,0.15,0.22,0.04,-0.6666666666666666,0.07,-0.6499999999999999,0.32,0.10344827586206917,0.4,0.4814814814814814,0.17,0.41666666666666674,,,3,4,2,4,4,0.034,0.237,0.002,0.02,0.68,0.02,0.28,0.0,0.0,0.0,0.0,0.49,0.51,0.32,0.22,0.23,0.19,0.04,0.35,0.32,0.26,0.07
0,https://www.niche.com/places-to-live/c/le-sueur-county-mn/,B,B,B+,B,C+,A minus,C,B+,B+,B minus,C+,"Le Sueur County is located in Minnesota with a population of 28,242. In Le Sueur County, most residents own their homes. Many families and young professionals live in Le Sueur County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.13,0.12,0.07,0.11,0.12,0.14,0.14,0.17,0.06,-0.5,0.17,-0.15000000000000002,0.35,0.2068965517241379,0.36,0.33333333333333326,0.06,-0.5,,,0,0,2,0,0,0.024,0.084,0.018000000000000002,0.06,0.91,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.5,0.14,0.15,0.24,0.36,0.11,0.22,0.27,0.31,0.2
