,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/3000721055,,,4,4,No,Yes,"June,July",Yes,No,http://pathology.ucdenver.edu,Not Available,"Von G Samedi
MD, PhD
Univ of Colorado Denver Sch of Med
Mail Stop B216
12631 E 17th Ave
Aurora, CO 80045
Tel: (303) 724-3483
Fax:
E-mail: von.samedi@cuanschutz.edu","Patricia  Braund
Univ of Colorado Denver Sch of Med
Dept of Pathology Mail Stop B216
12631 E 17th Ave
Aurora, CO 80045
Tel: (303) 724-3483
Fax: (303) 724-1105
E-mail: patricia.braund@cuanschutz.edu",3000721055,"Univ of Colorado Denver Sch of Med, Mail Stop B216, 12631 E 17th Ave, Aurora, CO 80045","13001 E 17th Pl, Aurora, CO 80045","12605 E 16th Ave, Aurora, CO 80045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1055 Clermont St, Denver, CO 80220-1722","777 Bannock St, Denver, CO 80204-4507",,,,,"13123 E 16th Ave, Aurora, CO 80045","660 Bannock St, Denver, CO 80204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000712048,Community-based,Penrose-St Francis Health Services,4,4,No,Yes,"June,July,Negotiable",Yes,No,https://www.centura.org/education-and-training/residencies-and-internships/,Not Available,"Leslie  Torgerson
MD
Penrose-St Francis Health Services
Pathology Pgm
2222 N Nevada Ave
Colorado Springs, CO 80907
Tel: (719) 776-5816
Fax: (719) 776-2108
E-mail: kamaoverlee@centura.org","Kama M Overlee
Penrose-St Francis Health Services
Pathology Pgm
2222 N Nevada Ave
Colorado Springs, CO 80907
Tel: (719) 776-6040
Fax: (719) 776-2108
E-mail: kamaoverlee@centura.org",3000712048,"Penrose-St Francis Health Services, Pathology Pgm, 2222 N Nevada Ave, Colorado Springs, CO 80907","2222 N Nevada Ave, Colorado Springs, CO 80907","13123 E 16th Ave, Aurora, CO 80045","The focus in our program is experiential, case-based learning with most signout performed one-on-one with a faculty member.",2,2,No,No,"Yes , Codes: 2021300C0",No,1/8/2021,10/12/2020 - 1/8/2021_10/11/2021 - 1/3/2022,9/15/2021,1/3/2022,Yes,30,No,No,3,No,Yes,200_200_500_500,Yes,236-245,Yes,Yes,541-600,"Desired, with some exceptions",No,No,No,9,1,1,0,10,1,22.2,1.1 to 1,55,14,1.7,Yes,No,N/A,6,N/A,6,N/A,6,5,5%,N/A,"$59,512.00",25,NGO,"$61,670.00",25,NGO,Yes,60,60,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Optional,No,No,Yes,"2743 E Las Vegas St, Colorado Springs, CO 80906","12635 E Montview Blvd, Aurora, CO 80045",2,"$64,014.00",25,NGO,,,,,,"$57,548.00",25,NGO,,2,,32.1,31.5,36.3,40.4,59.5,N/A,6,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000811057,Community-based university affiliated,Danbury Hospital,4,4,No,Yes,July,Yes,No,http://www.danburyhospital.org,Not Available,"Ramapriya  Vidhun
MD
Danbury Hosp
Dept of Pathology & Lab Medicine
24 Hospital Ave
Danbury, CT 06810
Tel: (203) 739-8144
Fax:
E-mail: ramapriya.vidhun@nuvancehealth.org","Cynthia B Robertson
Danbury Hosp
Dept of Pathology & Lab Medicine
24 Hospital Ave
Danbury, CT 06810
Tel: (203) 739-7855
Fax:
E-mail: cynthia.robertson@nuvancehealth.org",3000811057,"Danbury Hosp, Dept of Pathology & Lab Medicine, 24 Hospital Ave, Danbury, CT 06810","24 Hospital Ave, Danbury, CT 06810-0729","20 York St, New Haven, CT 06504-3316","We offer two months of elective rotations for our residents in their PGY3/PGY4 year. There is a one month mandatory rotation at Yale pathology department for peds/neuro/renal training. We offer one month research rotation at the West street laboratory in the PGY3/PGY4 year. Apart from the two month blood bank/transfusion medicine rotation in Danbury Hospital, the residents also receive a two week rotation at Yale Blood Bank and VA Hospital New Haven. One month OCME, Farmington, CT for PGY2.",2,2,No,No,"Yes , Codes: 1081300C0",No,1/1/2021,10/1/2020 - 1/13/2021_10/1/2021 - 12/31/2021,9/1/2021,1/1/2022,Yes,56,No,No,3,No,Yes,200_200_500_500,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,Yes,No,9,1,0,0,9,1,55.5,1.0 to 1,50,13,2,No,No,N/A,0,N/A,8,N/A,8,6,NGO,N/A,"$65,847.00",20,NGO,"$68,289.00",20,NGO,Yes,NGO,NGO,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Required,Yes,Yes,No,"11 Shuttle Rd, Farmington, CT 06032",,3,"$71,754.00",20,NGO,,,,,,"$63,560.00",20,NGO,(4 wks ),2,,4.1,95.8,0,79.1,20.8,N/A,8,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000811059,Community-based university affiliated,Hartford Hospital,4,4,No,Yes,"July,Negotiable",Yes,No,http://www.harthosp.org/education,Not Available,"Fabiola  Balarezo
MD
Hartford Hosp
PO Box 5037
80 Seymour St
Hartford, CT 06102
Tel: (860) 972-6113
Fax: (860) 545-2204
E-mail: fabiola.balarezo@hhchealth.org","Claudette  Davidson
Hartford Hosp
PO Box 5037
80 Seymour St
Hartford, CT 06102-5037
Tel: (860) 972-6113
Fax: (860) 545-2204
E-mail: claudette.davidson@hhchealth.org",3000811059,"Hartford Hosp, PO Box 5037, 80 Seymour St, Hartford, CT 06102","80 Seymour St, Hartford, CT 06102","263 Farmington Ave, Farmington, CT 06030-3802","Strong Surgical Pathology and Hematopathology Curriculum.  Our graduates go on to do fellowships at MSKCC, MD Anderson Cancer Center, Roswell Park cancer Center and Yale",3,3,No,No,"Yes , Codes: 1083300C0",No,11/1/2020,11/16/2020 - 12/18/2020_11/16/2021 - 12/18/2021,9/15/2021,11/16/2021,Yes,60,No,No,3,No,Yes,200_200_450_450,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,19,4,1,0,20,4,36.8,1.6 to 1,60,14,2,Yes,No,N/A,2,N/A,6,N/A,6,6,NGO,N/A,Not Available,15,120,Not Available,15,120,No answer,112,0,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Optional,No,No,Yes,,,3,Not Available,15,120,,,,,,Not Available,15,120,,3,,0,94.4,5.5,63.8,36.1,N/A,4,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000821062,University-based,Yale-New Haven Hospital,4,4,No,Yes,July,Yes,No,http://www.yale.edu/pathresprog,Not Available,"Diane P Kowalski
MD, MSc
Yale-New Haven Med Ctr
PO Box 208070
310 Cedar St
New Haven, CT 06510
Tel: (203) 785-2774
Fax: (203) 785-3325
E-mail: diane.kowalski@yale.edu","Karen  Broderick
Yale-New Haven Med Ctr
EP 2-612A PO Box 208070
20 York St
New Haven, CT 06510
Tel: (203) 737-4142
Fax: (203) 737-8033
E-mail: karen.broderick@yale.edu",3000821062,"Yale-New Haven Med Ctr, PO Box 208070, 310 Cedar St, New Haven, CT 06510","20 York St, New Haven, CT 06504-3316","950 Campbell Ave, West Haven, CT 06516-2700","Program offers AP/CP,AP/NP, AP-only, CP-only, and physician-scientist research tracks.",9,8,No,No,"Yes , Codes: 1089300C1,1089300C2,1089300C0",No,10/31/2020,10/15/2020 - 1/15/2021_10/15/2021 - 1/15/2022,9/15/2021,10/31/2021,Yes,100,No,No,3,No,Yes,210_210_550_550,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,Yes,No,45,4,2,0,47,4,51.1,1.3 to 1,60,14,2,No,No,N/A,4,N/A,3,N/A,8,7,NGO,N/A,"$72,670.00",15,NGO,"$76,303.00",15,NGO,Yes,30,60,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Optional,No,No,Yes,"267 Grant St, Bridgeport, CT 06610-2870","520 First Ave, New York, NY 10016",8,"$80,118.00",15,NGO,,,,,,"$69,209.00",15,NGO,,8,,63.3,34.4,2.2,22.8,77.1,N/A,8,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001011068,University-based,MedStar Georgetown University Hospital,4,4,No,Yes,"June,July",Yes,No,https://pathology.georgetown.edu/,Not Available,"Mary A Furlong
MD
MedStar Georgetown Univ Hosp
Medical Dental Bldg SW211
3900 Reservoir Rd NW
Washington, DC 20007
Tel: (202) 784-3636
Fax: (202) 687-8934
E-mail: furlonma@georgetown.edu","Giovanna  Taylor
MedStar Georgetown Univ Hosp
MedDent SW211
3900 Reservoir Rd NW
Washington, DC 20007
Tel: (202) 687-7020
Fax:
E-mail: giovanna.j.taylor@gunet.georgetown.edu",3001011068,"MedStar Georgetown Univ Hosp, Medical Dental Bldg SW211, 3900 Reservoir Rd NW, Washington, DC 20007","10980 Grantchester Way, Columbia, MD 21044","3800 Reservoir Rd NW, Washington, DC 20007",,3,3,No,No,"Yes , Codes: 1801300C0",No,1/8/2021,11/4/2020 -_-,,,No,40,No,No,3,No,Yes,___,No,No Answer,Yes,No,No Answer,Not known,Yes,No,No,10,1,0,0,10,1,40,0.8 to 1,50,16,2,Yes,No,N/A,0,N/A,6,N/A,6,7,NGO,N/A,Not Available,15,15,Not Available,15,15,No answer,15,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Required,No,No,Yes,"110 Irving St NW, Washington, DC 20010","111 Michigan Ave NW, Washington, DC 20010",3,Not Available,15,15,"1910 Massachusetts Ave SE, Washington, DC 20003","14225 Newbrook Dr, Chantilly, VA 22021-0841",,,,Not Available,15,15,(4 wks ),3,,0,90.2,9.7,44.4,55.5,N/A,5,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001021070,,,4,4,No,Yes,"June,July",Yes,No,https://medicine.howard.edu/education/graduate-medical-education-gme/,Not Available,"Rhonda  Burch-Smith
MD
Howard Univ Hosp
Dept of Pathology
2041 Georgia Ave NW
Washington, DC 20060
Tel: (202) 806-6306
Fax:
E-mail: marquita.dill@howard.edu","Marquita  Dill
MS, MS
Howard Univ Hosp
Dept of Pathology
2041 Georgia Ave NW
Washington, DC 20060
Tel: (202) 806-6306
Fax: (202) 806-7022
E-mail: marquita.dill@howard.edu",3001021070,"Howard Univ Hosp, Dept of Pathology, 2041 Georgia Ave NW, Washington, DC 20060","2041 Georgia Ave NW, Washington, DC 20060-6000","50 Irving St NW, Washington, DC 20422-0269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111 Michigan Ave NW, Washington, DC 20010","10 Center Dr, Bethesda, MD 20892",,,,,"111 Penn St, Baltimore, MD 21201","14225 Newbrook Dr, Chantilly, VA 22021-0841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001031069,,,4,4,Yes,Yes,July,Yes,No,http://smhs.gwu.edu/pathology,Not Available,"Stephanie  Barak
MD
George Washington Univ Med Ctr
2nd Fl Ste 200
2120 L St NW
Washington, DC 20037
Tel: (202) 677-6600
Fax:
E-mail: sbarak@mfa.gwu.edu","Randy  Spencer
MHA
George Washington Univ Med Ctr
2nd Fl Ste 200
2120 L St NW
Washington, DC 20037
Tel:
Fax:
E-mail: rspencer@mfa.gwu.edu",3001031069,"George Washington Univ Med Ctr, 2nd Fl Ste 200, 2120 L St NW, Washington, DC 20037","2300 Eye St NW, Washington, DC 20037-4799","900 23rd St NW, Washington, DC 20037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 Irving St NW, Washington, DC 20422-0269","111 Michigan Ave NW, Washington, DC 20010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001100080,,,4,4,Yes,Yes,July,Yes,No,https://brandonhospital.com/gme/,Not Available,"Christina  Kovacs
MD
Brandon Regional Hosp
Pathology Pgm
119 Oakfield Dr
Brandon, FL 33511
Tel: (813) 916-1553
Fax:
E-mail: christina.kovacs@hcahealthcare.com","Hannah  Ware
MBA
Brandon Regional Hosp
Pathology Pgm
119 Oakfield Dr
Brandon, FL 33511
Tel: (813) 916-2357
Fax:
E-mail: hannah.ware2@hcahealthcare.com",3001100080,"Brandon Regional Hosp, Pathology Pgm, 119 Oakfield Dr, Brandon, FL 33511","3031 Rocky Dr W, Tampa, FL 33607","119 Oakfield Dr, Brandon, FL 33511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"501 Sixth Ave S, St Petersburg, FL 33701","201 14th St SW, Largo, FL 33770",,,,,"14000 Fivay Rd, Hudson, FL 34667","4041 W Kennedy Blvd, Tampa, FL 33609","12701 Commonealth Dr, Fort Myers, FL 33913","5361 NW 33rd Ave, Fort Lauderdale, FL 33309","5610 W La Salle St, Tampa, FL 33607",,,,,,,,,,,,,,,,,,,,"3110 Cherry Palm Dr, Tampa, FL 33619",,,,"2001 Siesta Dr, Sarasota, FL 34239",,,,,,
0,https://freida.ama-assn.org/program/3001121073,,,4,4,Yes,Yes,July,Yes,No,http://www.pathology.ufl.edu,Not Available,"Stacy Gurevitz Beal
MD
Univ of Florida Coll of Med
PO Box 100275
1600 SW Archer Rd
Gainesville, FL 32610
Tel: (352) 594-4952
Fax:
E-mail: stacygbeal@ufl.edu","James  Breedon
Univ of Florida Coll of Med
Box 100275 M649
1600 SW Archer Rd
Gainesville, FL 32610-0275
Tel: (352) 273-5507
Fax: (352) 273-7627
E-mail: jbreedon@pathology.ufl.edu",3001121073,"Univ of Florida Coll of Med, PO Box 100275, 1600 SW Archer Rd, Gainesville, FL 32610","1600 SW Archer Rd, Gainesville, FL 32610","1600 SW Archer Rd, Gainesville, FL 32610-0326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1601 Archer Rd, Gainesville, FL 32602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001131074,Community-based university affiliated,UF Health Jacksonville,4,4,No,Yes,July,Yes,No,http://www.hscj.ufl.edu/pathology/residency/,Not Available,"Anwer  Siddiqi
MD, MMS
Univ of Florida Coll of Med-Jacksonville
Dept of Pathology Box C504
655 W 8th St
Jacksonville, FL 32209
Tel: (904) 244-4763
Fax: (904) 244-5565
E-mail: anwer.siddiqi@jax.ufl.edu","Rebel  Jones
Univ of Florida Coll of Med-Jacksonville
Clinical Ctr 1st Fl Box C505
655 W 8th St
Jacksonville, FL 32209-6511
Tel: (904) 244-4889
Fax: (904) 244-4060
E-mail: rebel.jones@jax.ufl.edu",3001131074,"Univ of Florida Coll of Med-Jacksonville, Dept of Pathology Box C504, 655 W 8th St, Jacksonville, FL 32209","655 W 8th St, Jacksonville, FL 32209","655 W 8th St, Jacksonville, FL 32209-6597","The program provides each resident has his/her own desk, computer, phone, printer, and microscope. There is a 1:1 faculty/resident ratio.",2,2,No,No,"Yes , Codes: 1101300C0",No,11/30/2020,10/19/2020 - 1/15/2021_10/15/2021 - 12/31/2021,9/15/2021,11/30/2021,Yes,34,No,No,3,No,Yes,215_215_600_600,Yes,210-225,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,No,11,2,0,0,11,2,36.3,1.3 to 1,50,12,2,No,No,N/A,NGO,N/A,7,N/A,6,4,NGO,N/A,"$56,604.00",15,10,"$58,424.00",15,10,Yes,NGO,180,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Not available,No,No,Yes,"800 Prudential Dr, Jacksonville, FL 32207-8203","4500 San Pablo Rd, Jacksonville, FL 32224",2,"$58,766.00",15,10,"7595 Centurion Pkwy, Jacksonville, FL 32256","1364 Clifton Rd NE, Atlanta, GA 30322",,,,"$54,811.00",15,10,,2,,0,100,0,58.3,41.6,N/A,6,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001121075,University-based,University of Miami Hospital and Clinics/UHealth Tower,4,4,No,Yes,July,Yes,No,http://www.jacksonhealth.org/home.asp,Not Available,"Andre  Pinto
MD
Jackson Memorial Hosp
Holtz Ctr 2044
1611 NW 12th Ave
Miami, FL 33136
Tel: (305) 585-8381
Fax: (305) 585-2598
E-mail: apinto1@med.miami.edu","Arniece C Gutierrez
Jackson Memorial Hosp
Holtz Ctr 2044
1611 NW 12th Ave
Miami, FL 33136
Tel: (305) 585-8381
Fax: (305) 585-7400
E-mail: acgutierrez@miami.edu",3001121075,"Jackson Memorial Hosp, Holtz Ctr 2044, 1611 NW 12th Ave, Miami, FL 33136","1611 NW 12th Ave, Miami, FL 33136","1400 NW 12th Ave, Miami, FL 33136","Residents are provided with professional educational allowance, discounted parking, three new lab coats a year, physician dining card, free prescription drugs, and a term life insurance policy during the training period.",5,0,No,No,"Yes , Codes: 1104300C0",No,1/29/2021,10/16/2020 - 2/28/2021_10/15/2021 - 1/31/2022,9/13/2021,1/31/2022,Yes,72,No,No,3,No,Yes,210_200_450_450,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,28,1,3,0,31,1,50,1.6 to 1,70,10,2,Yes,No,N/A,0,N/A,20,N/A,20,4,0%,0%,"$56,510.00",28,12,"$58,683.00",28,12,No answer,14,30,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Required,No,No,No,"Number One on Bob Hope Rd, Miami, FL 33136-1133","1201 NW 16th St, Miami, FL 33125",8,"$61,200.00",28,12,"1475 NW 12th Ave, Miami, FL 33136",,,,,"$54,652.00",28,12,NGO (wks),5,,14.4,82.3,3.1,41.9,58,N/A,20,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3001131076,Community-based university affiliated,Mount Sinai Medical Center of Florida Inc,4,4,No,Yes,July,Yes,No,http://www.msmc.com,Not Available,"Cristina  Vincentelli
MD
Mount Sinai Med Ctr Florida
Blum Bldg 2nd Fl Ste 2400
4300 Alton Rd
Miami Beach, FL 33140
Tel: (305) 674-2277
Fax: (305) 674-2999
E-mail: cristina.vincentelli@msmc.com","Luisa  Cruz
Mount Sinai Med Ctr Florida
Pathology Dept Blum Bldg Ste 2400
4300 Alton Rd
Miami Beach, FL 33140
Tel: (305) 674-2277
Fax: (305) 674-2999
E-mail: luisa.cruz@msmc.com",3001131076,"Mount Sinai Med Ctr Florida, Blum Bldg 2nd Fl Ste 2400, 4300 Alton Rd, Miami Beach, FL 33140","4300 Alton Rd, Miami Beach, FL 33140","3100 SW 62nd Ave, Miami, FL 33155","Strong resident-pathologist interaction with high faculty/resident ratio. Excellent availability of books through institution sponsored individual resident book allowance, departmental, and hospital library.",2,2,No,No,"Yes , Codes: 1105300C0",No,12/1/2020,10/26/2020 - 12/18/2020_10/1/2021 - 12/30/2021,9/30/2021,11/1/2021,Yes,20,No,No,3,No,Yes,220_220_450_450,Yes,226-235,Yes,Yes,No Answer,Required,Yes,No,No,9,0,1,0,10,0,77.7,1.1 to 1,50,11,2,No,No,Every eighth night for 7 week(s),7,Every eighth night for 7 week(s),8,Every eighth night for 7 week(s),6,8,NGO,N/A,"$59,890.00",28,14,"$62,100.00",28,14,Yes,NGO,NGO,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Optional,Yes,Yes,No,"1611 NW 12th Ave, Miami, FL 33136","Number One on Bob Hope Rd, Miami, FL 33136-1133",2,"$64,728.00",28,14,"11200 SW 8th St, Miami, FL 33199",,,,,"$57,653.00",21,14,,2,,0,100,0,71.9,28,Every eighth night for 7 week(s),5,,,,,,,,,,,,,,,,,
