,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Participant 3,Night float system,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,,Participant 9,Participant 10
0,https://freida.ama-assn.org/program/1802500153,,,4,4,No,Yes,July,Yes,No,http://www.beaumont.edu,Not Available,"Robert  Pierce
DO
Beaumont Hosp-Farmington Hills
Neurology Pgm
28050 Grand River Ave
Farmington Hills, MI 48336
Tel: (947) 521-8399
Fax: (248) 471-8794
E-mail: ann.atiyeh@beaumont.org","Ann  Atiyeh
BS
Beaumont Hosp-Farmington Hills
Neurology Pgm
28050 Grand River Ave
Farmington Hills, MI 48336
Tel: (947) 521-8399
Fax: (248) 471-8794
E-mail: ann.atiyeh@beaumont.org",1802500153,"Beaumont Hosp-Farmington Hills, Neurology Pgm, 28050 Grand River Ave, Farmington Hills, MI 48336","3601 W 13 Mile Rd, Royal Oak, MI 48073","3601 W 13 Mile Rd, Royal Oak, MI 48073-6769","28050 Grand River Ave, Farmington Hills, MI 48336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1802500154,,,4,4,No,Yes,July,Yes,No,https://www.gch.org/Physicians/Medical-Education.aspx,Not Available,"Ramesh  Madhavan
MD
Garden City Hosp
Dept of Med Education
6245 Inkster Rd
Garden City, MI 48135-4001
Tel: (734) 458-4486
Fax: (734) 458-4496
E-mail: rmadhavan@tiatech.net","Susan  Patterson
Garden City Hosp
Dept of Med Education
6245 Inkster Rd
Garden City, MI 48135-4001
Tel: (734) 458-7238
Fax: (734) 458-4496
E-mail: spatterson@primehealthcare.com",1802500154,"Garden City Hosp, Dept of Med Education, 6245 Inkster Rd, Garden City, MI 48135-4001","6245 N Inkster Rd, Garden City, MI 48135","1215 E Michigan Ave, Lansing, MI 48909-7980","2799 W Grand Blvd, Detroit, MI 48202-2608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4201 St Antoine Blvd, Detroit, MI 48201-2403",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1802500150,Community-based university affiliated,Mercy Health Grand Rapids,4,4,No,Yes,July,Yes,No,https://www.mercyhealth.com/medical-education,Not Available,"Christopher  Morgan
MD
Mercy Health Grand Rapids
Jefferson Bldg Ste 305
200 Jefferson Ave SE
Grand Rapids, MI 49503
Tel: (616) 685-6330
Fax: (616) 685-3033
E-mail: christopher.morgan@mercyhealth.com","Kelly  Parm
Mercy Health Grand Rapids
Jefferson Bldg Ste 305
200 Jefferson Ave SE
Grand Rapids, MI 49503
Tel: (616) 685-6774
Fax: (616) 685-3033
E-mail: kelly.parm@mercyhealth.com",1802500150,"Mercy Health Grand Rapids, Jefferson Bldg Ste 305, 200 Jefferson Ave SE, Grand Rapids, MI 49503","200 Jefferson Ave SE, Grand Rapids, MI 49503","100 Michigan St NE, Grand Rapids, MI 49503","1840 Wealthy St SE, Grand Rapids, MI 49506","Our mission is to cultivate, mentor, and educate the next generation of neurologists through a tradition of passionate clinical teaching. We do this by providing exposure to a diverse patient population in an environment of patient-centered care taught by dedicated faculty with a broad subspecialty base and a foundation for neurological disease processes. We provide a collaborative environment of mutual enrichment for residents and mentors to foster a culture of lifelong learning.",3,3,3,No,No,"Yes , Codes: 1995180C0",No,12/31/2020,11/1/2020 - 1/10/2021_-,,,No,42,No,No,3,No,Yes,205__500_,No,226-235,Yes,No,501-540,"Desired, with some exceptions",Yes,No,No,11,0,0,0,11,0,36.3,0.9 to 1,57,24,1.2,No,,3.7,66.6,29.6,27.7,72.2,Once per week for 4 week(s),0,Once per week for 4 week(s),0,Once per week for 4 week(s),0,6,10%,25%,"$59,122.00",20,5,"$60,553.00",20,5,"$62,278.00",20,5,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not available,No,No,Yes,"945 Ottawa Ave NW, Grand Rapids, MI 49503",3,Once per week for 4 week(s),Not Available,"$58,194.00",20,5,"100 Michigan Ave NE, Grand Rapids, MI 49503",No,"300 68th St SE, Grand Rapids, MI 49501",,,,,,,
0,https://freida.ama-assn.org/program/1802500152,Community-based university affiliated,Spectrum Health-Butterworth Hospital,4,4,No,Yes,July,Yes,No,http://www.spectrumhealth.org/medicaleducation,Not Available,"Cynthia M Hingtgen
MD, PhD
Spectrum Health/MSU
BWH A Level Ste A601 MC 188
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 391-3245
Fax: (616) 391-3130
E-mail: susan.grice@spectrumhealth.org","Susan  Grice
Spectrum Health/MSU
BWH A Level Ste A601 MC 188
100 Michigan St NE
Grand Rapids, MI 49503
Tel: (616) 391-3245
Fax: (616) 391-3130
E-mail: susan.grice@spectrumhealth.org",1802500152,"Spectrum Health/MSU, BWH A Level Ste A601 MC 188, 100 Michigan St NE, Grand Rapids, MI 49503","648 Monroe Ave NW, Grand Rapids, MI 49503","100 Michigan St NE, Grand Rapids, MI 49503","1840 Wealthy St SE, Grand Rapids, MI 49506",,4,4,4,No,No,"Yes , Codes: 1945180C0",No,10/21/2020,11/4/2020 - 1/12/2021_11/5/2021 - 1/13/2022,9/15/2021,12/15/2021,Yes,34,No,No,4,No,Yes,220_220_500_560,Yes,210-225,Yes,Yes,501-540,Required,Yes,No,Yes,6,0,0,0,6,0,33.3,0.3 to 1,60,16,1,No,,12.6,62.4,24.9,44.6,55.3,Once per week for 4 week(s),NGO,Once per week for 4 week(s),NGO,Once per week for 4 week(s),NGO,8,NGO,N/A,"$58,714.00",20,5,"$60,679.00",20,5,"$62,581.00",20,5,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Not available,No,No,Yes,"200 Jefferson Ave SE, Grand Rapids, MI 49503",4,Once per week for 4 week(s),NGO,"$56,514.00",20,5,"100 Michigan Ave NE, Grand Rapids, MI 49503",No,"300 68th St SE, Grand Rapids, MI 49501",,,,,,,
0,https://freida.ama-assn.org/program/1802500151,,,4,4,No,Yes,July,Yes,No,http://medicaleducationsjp.com/,Not Available,"Martin  Belkin
DO
Ascension Macomb-Oakland Hosp
Neurology Pgm
27351 Dequindre Rd
Madison Heights, MI 48071
Tel: (248) 967-7795
Fax: (248) 967-7794
E-mail: amoh.neuro@ascension.org","Lawaun  Everson
Ascension Macomb-Oakland Hosp
Neurology Pgm
27351 Dequindre Rd
Madison Heights, MI 48071
Tel: (248) 967-7795
Fax: (248) 967-7794
E-mail: amoh.neuro@ascension.org",1802500151,"Ascension Macomb-Oakland Hosp, Neurology Pgm, 27351 Dequindre Rd, Madison Heights, MI 48071","11800 E 12 Mile Rd, Warren, MI 48093","16001 W 9 Mile Rd, Southfield, MI 48075","2799 W Grand Blvd, Detroit, MI 48202-2608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3901 Beaubien Blvd, Detroit, MI 48201-2196",,,,,,,"6777 Maple Rd, West Bloomfield, MI 48322",,"4201 St Antoine Blvd, Detroit, MI 48201-2403",,,,,,,
0,https://freida.ama-assn.org/program/1802621055,,,4,4,No,Yes,"June,July",Yes,No,http://www.neurology.umn.edu,Not Available,"William  Schmalstieg
MD
Univ of Minnesota Med Ctr
Dept of Neurology MMC 295
420 Delaware St SE
Minneapolis, MN 55455
Tel:
Fax:
E-mail: ksanders@umn.edu","Katie  Sanders
MA
Univ of Minnesota Med Ctr
Dept of Neurology MMC 295
420 Delaware St SE
Minneapolis, MN 55455
Tel: (612) 626-6519
Fax: (612) 625-7950
E-mail: ksanders@umn.edu",1802621055,"Univ of Minnesota Med Ctr, Dept of Neurology MMC 295, 420 Delaware St SE, Minneapolis, MN 55455","420 Delaware St SE, Minneapolis, MN 55455","500 Harvard St SE, Minneapolis, MN 55455","One Veterans Dr, Minneapolis, MN 55417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"640 Jackson St, St Paul, MN 55101-2595",,,,,,,"333 N Smith Ave, St Paul, MN 55102",,"701 Park Ave S, Minneapolis, MN 55415-1829","3300 Oakdale Ave N, Robbinsdale, MN 55422-2900",,,,,,
0,https://freida.ama-assn.org/program/1802621057,University-based,Mayo Clinic College of Medicine and Science,3,3,No,Yes,"June,July,Negotiable",Yes,No,http://www.mayo.edu/msgme/,Not Available,"Lyell  Jones
MD
Mayo Clinic Rochester
Dept of Neurology
200 First St SW
Rochester, MN 55905
Tel: (507) 284-4205
Fax: (507) 266-0178
E-mail: n-ed-cmte@mayo.edu","Linda A Schmidt
Mayo Clinic
Dept of Neurology
200 First St SW
Rochester, MN 55905
Tel:
Fax:
E-mail: n-ed-cmte@mayo.edu",1802621057,"Mayo Clinic Rochester, Dept of Neurology, 200 First St SW, Rochester, MN 55905","200 First St SW, Rochester, MN 55905","1216 Second St SW, Rochester, MN 55902-1970","200 First St SW, Rochester, MN 55905","Since 1919, Mayo Clinic-Rochester has trained hundreds of global leaders in neurology, including premier clinicians, award winning clinician-scientists, master educators, and national society presidents. Among the distinctive features of our program: An unparalleled didactic curriculum that includes hundreds of hours of in-person and virtual lecture resources. Unmatched clinical diversity. Up to six months of supported research time during residency. Clinician-educator training for residents.",9,9,9,"Yes  , 1 year(s)",Yes,"Yes , Codes: 1328180C0","Yes , Codes: 1328180A0",11/15/2020,11/13/2020 - 1/8/2021_11/13/2021 - 1/8/2022,9/1/2021,11/15/2021,Yes,90,No,No,3,No,Yes,220__400_400,No,236-245,Yes,Yes,No Answer,Required,Yes,Yes,Yes,93,7,28,13,121,20,30.1,3.9 to 1,52,16,1.5,Yes,Yes,90.1,7.4,2.4,45.6,54.3,Once per week for 5 month(s),2,Other for 2 month(s),4,Other for 3 month(s),1,6,30%,10%,"$59,662.00",15,91,"$62,130.00",15,91,"$64,728.00",15,91,Yes,84,NGO,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Required,Yes,Yes,Yes,,,,,,,,,,,,,,,NGO (wks),,
0,https://freida.ama-assn.org/program/1802821059,,,4,4,No,Yes,July,Yes,No,https://medicine.missouri.edu/departments/neurology/,Not Available,"Joel I Shenker
MD, PhD
Univ of Missouri Hosps and Clinics
Dept of Neurology CE 507
5 Hospital Dr
Columbia, MO 65212
Tel: (573) 882-2260
Fax: (573) 884-4249
E-mail: shenkerj@health.missouri.edu","Clare  Lammert
Univ of Missouri Hosps and Clinics
Dept of Neurology DC04700
5 Hospital Dr
Columbia, MO 65212
Tel: (573) 882-2260
Fax: (573) 884-4249
E-mail: lammertc@health.missouri.edu",1802821059,"Univ of Missouri Hosps and Clinics, Dept of Neurology CE 507, 5 Hospital Dr, Columbia, MO 65212","One Hospital Dr, Columbia, MO 65212","One Hospital Dr, Columbia, MO 65212","800 Hospital Dr, Columbia, MO 65201-5297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315 Business Loop 70 W, Columbia, MO 65201",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1802800062,,,4,4,No,Yes,July,Yes,No,http://med.umkc.edu/neurology/,Not Available,"Sean M Gratton
MD
Univ of Missouri-Kansas City Sch of Med
Neurology Pgm
2411 Holmes St
Kansas City, MO 64108
Tel: (816) 726-1073
Fax: (816) 404-4272
E-mail: sean.gratton@tmcmed.org","Terry  Borghardt
Truman Med Ctrs
Neurology Pgm
2301 Holmes St
Kansas City, MO 64108
Tel: (816) 444-5275
Fax:
E-mail: terry.borghardt@tmcmed.org",1802800062,"Univ of Missouri-Kansas City Sch of Med, Neurology Pgm, 2411 Holmes St, Kansas City, MO 64108","2411 Holmes St, Kansas City, MO 64108-2792","4401 Wornall Rd, Kansas City, MO 64111","2316 E Meyer Blvd, Kansas City, MO 64132-1136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2301 Holmes St, Kansas City, MO 64108-2640",,,,,,,"2401 Gillham Rd, Kansas City, MO 64108-9898",,,,,,,,,
0,https://freida.ama-assn.org/program/1802821060,University-based,SSM Health Saint Louis University Hospital,4,4,No,Yes,"July,Negotiable",Yes,No,https://www.slu.edu/medicine/neurology/adult-neurology-residency.php,Not Available,"Jafar  Kafaie
MD, PhD
St Louis Univ Sch of Med
Dept of Neurology
1008 S Spring Ave
St Louis, MO 63104
Tel: (314) 977-4830
Fax:
E-mail: jafar.kafaie@health.slu.edu","Rebecca  Grubb
St Louis Univ Sch of Med
Dept of Neurology
1008 S Spring Ave
St Louis, MO 63104
Tel: (314) 977-4830
Fax: (314) 977-4876
E-mail: rebecca.grubb@health.slu.edu",1802821060,"St Louis Univ Sch of Med, Dept of Neurology, 1008 S Spring Ave, St Louis, MO 63104","1402 S Grand Blvd, St Louis, MO 63104","3635 Vista Ave, St Louis, MO 63110","915 N Grand Ave, St Louis, MO 63125","A rich and varied clinical experience is provided by exposure to three busy primary inpatient services; neurocritical care service, stroke service, and general neurology service as well as inpatient consult service, electrophysiology, child neurology, and multispecialty outpatient clinics at three teaching hospitals.",6,6,6,"No, with exceptions",No,"Yes , Codes: 1365180C0",No,12/1/2020,11/19/2020 - 2/11/2021_10/28/2021 - 1/13/2022,9/15/2021,10/15/2021,Yes,54,No,No,3,No,Yes,210_220__500,Yes,210-225,No,Yes,450-500,"Desired, with some exceptions",Yes,Yes,No,22,2,0,0,22,2,27.2,0.9 to 1,65,24,1,No,,20.6,74.9,4.4,36.8,63.1,N/A,NGO,Every fifth night for 4 month(s),8,Every tenth night for 12 month(s),8,5,10%,N/A,"$55,361.00",15,30,"$57,097.00",15,30,"$58,930.00",15,30,Yes,NGO,NGO,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Optional,No,Yes,Yes,"1465 S Grand Blvd, St Louis, MO 63104-1095",6,Other for 12 month(s),NGO,"$54,361.00",15,30,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1802821061,University-based,Barnes-Jewish Hospital,4,4,No,Yes,"June,July",Yes,No,https://neuro.wustl.edu/Residencies/Adult-Neurology-Residency,Not Available,"Barbara J Snider
MD, PhD
Barnes-Jewish Hosp
Dept of Neurology
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 362-3296
Fax: (314) 362-9462
E-mail: sniderj@wustl.edu","Lorraine A Edrington
Barnes-Jewish Hosp
Box 8111 Neurology
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 362-3296
Fax: (314) 362-9462
E-mail: laedring@wustl.edu",1802821061,"Barnes-Jewish Hosp, Dept of Neurology, 660 S Euclid Ave, St Louis, MO 63110","660 S Euclid Ave, St Louis, MO 63110-1093","One Barnes-Jewish Hospital Plaza, St Louis, MO 63110","One Children's Pl, St Louis, MO 63110-1077","Our program provides outstanding clinical training, combined with a large amount of elective time with superb mentoring and resources so that residents can customize their residency to provide outstanding training in general neurology or a subspecialty or in clinical or basic science research. We are developing programs to enhance resident wellness and promote diversity and inclusion in our program.",11,11,11,No,Yes,"Yes , Codes: 1353180C0",No,11/6/2020,10/19/2020 - 1/11/2021_10/18/2021 - 1/10/2022,9/15/2021,11/5/2021,Yes,110,No,No,3,No,Yes,210___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,112,2,11,1,123,3,35.7,2.6 to 1,60,24,1,Yes,Yes,91.9,8.0,0.0,45.2,54.7,N/A,0,Every fourth night for 32 week(s),0,Every fourth night for 10 week(s),6,4,10%,N/A,"$61,413.00",15,15,"$64,179.00",15,15,"$67,069.00",15,15,No,20,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Optional,Yes,Yes,No,"5535 Delmar Blvd, St Louis, MO 63112-3095",11,N/A,12,"$59,063.00",15,15,"4455 Duncan Ave, St Louis, MO 63110-1111",,,,,,,,,
0,https://freida.ama-assn.org/program/1802721058,University-based,University of Mississippi Medical Center,4,4,No,Yes,"July,Negotiable",Yes,No,http://neurology.umc.edu,Not Available,"Hartmut  Uschmann
MD
Univ of Mississippi Med Ctr
Dept of Neurology
2500 N State St
Jackson, MS 39216
Tel: (601) 954-5500
Fax:
E-mail: huschmann@umc.edu","Bruce  Hennington
Univ of Mississippi Med Ctr
Dept of Neurology
2500 N State St
Jackson, MS 39216
Tel: (601) 984-5514
Fax:
E-mail: blhennington@umc.edu",1802721058,"Univ of Mississippi Med Ctr, Dept of Neurology, 2500 N State St, Jackson, MS 39216","2500 N State St, Jackson, MS 39216-4505","2500 N State St, Jackson, MS 39216-4505","1500 E Woodrow Wilson Dr, Jackson, MS 39216-5199","Program provides a professional development fund (used for conference expenses, books, examination tools, etc.).",4,4,4,"No, with exceptions",No,"Yes , Codes: 1957180C0",No,11/1/2020,10/1/2020 - 11/30/2020_10/1/2021 - 11/30/2021,10/1/2021,11/1/2021,No,60,No,No,3,No,Yes,235_235__,Yes,226-235,No,"No, require USMLE scores for all applicants",No Answer,Not known,Yes,No,No,18,2,0,0,18,2,33.3,1.1 to 1,75,18,1.5,Yes,,18.7,79.2,1.9,50.0,49.9,Every fifth night for 12 month(s),0,Every fourth night for 12 month(s),8,Every sixth night for 9 month(s),22,8,25%,N/A,"$51,797.00",15,12,"$53,470.00",15,12,"$55,391.00",15,12,No,90,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution",Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution",When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,No,Yes,,4,Other for 12 month(s),22,"$50,038.00",15,12,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1803611084,University-based,University of North Carolina Hospitals,4,4,No,Yes,"June,Negotiable",Yes,No,http://www.med.unc.edu/neurology,Not Available,"Nina M Browner
MD
Univ of North Carolina Hosps
Physicians Office Bldg CB#7025
170 Manning Dr
Chapel Hill, NC 27599-7025
Tel: (919) 966-8162
Fax: (919) 966-2922
E-mail: brownern@neurology.unc.edu","Sharon B Ward
Univ of North Carolina Hosps
Physicians Office Bldg CB#7025
170 Manning Dr
Chapel Hill, NC 27599-7025
Tel: (919) 966-8162
Fax: (919) 966-2922
E-mail: rescoord@neurology.unc.edu",1803611084,"Univ of North Carolina Hosps, Physicians Office Bldg CB#7025, 170 Manning Dr, Chapel Hill, NC 27599-7025","101 Manning Dr, Chapel Hill, NC 27514",,,"The UNC Hospitals and Health Care system includes multiple hospitals under one roof: North Carolina Memorial Hospital, North Carolina Neuroscience Hospital, and North Carolina Women's and Children's Hospital. The resident's training is all done at these facilities. Our outpatient clinic is a new free standing building equipped with onsite financial counselor, phlebotomist and pharmacist. We use electronic medical records (EPIC) for all our services.",7,7,7,No,No,"Yes , Codes: 1900180C0",No,12/15/2020,10/31/2020 - 1/15/2021_10/18/2021 - 12/14/2021,9/15/2021,11/30/2021,Yes,80,No,No,3,No,Yes,210___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,37,12,1,0,38,12,32.4,1.3 to 1,60,16,1.5,Yes,,72.3,23.1,4.5,49.7,50.2,Every fourth night for 4 week(s),NGO,Two times per week for 4 week(s),NGO,N/A,NGO,8,30%,N/A,"$56,618.00",15,42,"$58,656.00",15,42,"$61,422.00",15,42,No,42,42,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,Yes,Yes,,7,N/A,NGO,"$54,662.00",15,42,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1803621085,,,3,3,No,Yes,July,Yes,No,http://neurology.duke.edu,Not Available,"Christopher P Eckstein
MD
Duke Univ Med Ctr
0395 Orange Zone South Clinic
DUMC 2905
Durham, NC 27710
Tel: (919) 684-8615
Fax: (919) 864-0131
E-mail: christopher.eckstein@duke.edu","Gina B Murray
Duke Univ Med Ctr
0120B Purple Zone
DUMC 2905
Durham, NC 27710
Tel: (919) 684-8111
Fax: (919) 613-3606
E-mail: gina.murray@duke.edu",1803621085,"Duke Univ Med Ctr, 0395 Orange Zone South Clinic, DUMC 2905, Durham, NC 27710","2301 Erwin Rd, Durham, NC 27710","508 Fulton St, Durham, NC 27705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
