,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,African American,Two or more races,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/meeker-county-mn/,B minus,B+,B+,B,B minus,C,B+,C,B+,B,C minus,B,"Meeker County is located in Minnesota with a population of 23,105. In Meeker County, most residents own their homes. Many retirees live in Meeker County and residents tend to be conservative.",23105,170200,755,63452,-0.21747126436781605,-0.2890772128060264,0.00969081679741568,0.2,0.8,98.8,-0.6505129112133003,0,-1.0,169.3,3.15970515970516,0,-1.0,366.9,-0.26634673065386927,1439.5,-0.2953299392990013,127,-0.5528169014084507,0.12,0.12,0.07,0.1,0.12,0.12,0.15,0.19,0.05,-0.5833333333333333,0.14,-0.29999999999999993,0.38,0.3103448275862071,0.35,0.29629629629629606,0.07,-0.41666666666666663,3,1,0,0,1,0,0,0.013999999999999999,0.068,0.011000000000000001,0.94,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.17,0.16,0.25,0.33,0.09,0.23,0.31,0.29,0.17
0,https://www.niche.com/places-to-live/c/clarke-county-va/,B minus,B minus,C,B minus,B,B minus,B minus,B minus,C+,B+,A minus,C minus,"Clarke County is located in Virginia with a population of 14,423. In Clarke County, most residents own their homes. Many retirees live in Clarke County and residents tend to be conservative.",14423,347200,1151,80026,0.5963218390804597,0.08380414312617712,0.2734274302627182,0.25,0.75,0,-1.0,0,-1.0,23.1,-0.43243243243243246,0,-1.0,161.9,-0.6762647470505898,693.8,-0.660368122185236,23.1,-0.9186619718309859,0.1,0.1,0.08,0.09,0.1,0.15,0.17,0.21,0.15,0.25,0.17,-0.15000000000000002,0.27,-0.06896551724137923,0.3,0.11111111111111094,0.11,-0.08333333333333326,4.2,5,2,2,1,0,0,0.027999999999999997,0.07400000000000001,0.017,0.86,0.06,0.05,0.02,0.01,0.0,0.0,0.0,0.51,0.49,0.14,0.16,0.18,0.29,0.23,0.24,0.25,0.24,0.28
0,https://www.niche.com/places-to-live/c/umatilla-county-or/,B minus,C+,C,B+,B,A minus,B minus,A,C,B,A minus,A minus,"Umatilla County is located in Oregon with a population of 77,129. In Umatilla County, most residents own their homes. Many families live in Umatilla County and residents tend to be conservative.",77129,170900,757,54699,-0.21425287356321843,-0.2871939736346516,-0.12959279474245344,0.34,0.66,221,-0.21825256455606645,0,-1.0,38.8,-0.04668304668304679,20.9,-0.8457564575645756,307.6,-0.38492301539692064,1741.3,-0.14759154102212646,197.1,-0.3059859154929577,0.14,0.12,0.09,0.14,0.13,0.12,0.12,0.15,0.06,-0.5,0.11,-0.45000000000000007,0.37,0.27586206896551735,0.28,0.03703703703703698,0.18,0.5,5,1,1,0,0,0,0,0.046,0.177,0.07400000000000001,0.66,0.27,0.01,0.03,0.01,0.02,0.0,0.0,0.52,0.48,0.22,0.19,0.25,0.26,0.08,0.3,0.31,0.25,0.14
0,https://www.niche.com/places-to-live/c/polk-county-mo/,B minus,B+,B,C+,B minus,C+,B,B minus,A minus,B minus,C,B minus,"Polk County is located in Missouri with a population of 31,748. In Polk County, most residents own their homes. Residents of Polk County tend to be conservative.",31748,132300,701,45660,-0.39172413793103444,-0.339924670433145,-0.2734274302627182,0.31,0.69,315.8,0.11708524938096931,0,-1.0,69.3,0.7027027027027024,15.4,-0.8863468634686347,462.1,-0.07598480303939215,3342.6,0.6362835324065008,261.9,-0.07781690140845077,0.12,0.11,0.13,0.11,0.11,0.12,0.13,0.18,0.07,-0.41666666666666663,0.13,-0.35,0.3,0.034482758620689724,0.39,0.4444444444444444,0.12,0.0,,,,,,,,0.023,0.163,0.003,0.94,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.49,0.51,0.25,0.24,0.25,0.21,0.05,0.36,0.33,0.22,0.09
0,https://www.niche.com/places-to-live/c/gratiot-county-mi/,B minus,B minus,B minus,B+,B minus,B minus,B,C,A minus,B+,B,B,"Gratiot County is located in Michigan with a population of 40,916. In Gratiot County, most residents own their homes. Residents of Gratiot County tend to be conservative.",40916,95400,687,47848,-0.5613793103448276,-0.3531073446327684,-0.23861050554556595,0.26,0.74,132.2,-0.5323664662186063,0,-1.0,155.1,2.8108108108108105,17.2,-0.8730627306273062,114.9,-0.770245950809838,930.9,-0.5443019385157627,23,-0.9190140845070423,0.11,0.09,0.11,0.13,0.13,0.13,0.13,0.17,0.06,-0.5,0.1,-0.5,0.35,0.2068965517241379,0.4,0.4814814814814814,0.09,-0.25,,,,,,,,0.032,0.168,0.006,0.86,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.54,0.46,0.25,0.23,0.24,0.23,0.06,0.31,0.33,0.25,0.12
0,https://www.niche.com/places-to-live/c/beaver-county-pa/,B+,B+,B,A minus,B+,C+,B,C,B,B+,B+,B minus,"Beaver County is located in Pennsylvania with a population of 165,833. In Beaver County, most residents own their homes. Many young professionals and retirees live in Beaver County and residents tend to lean conservative.",165833,141100,698,57807,-0.35126436781609194,-0.3427495291902072,-0.08013621246598668,0.27,0.73,204.5,-0.2766183233109303,2.1,-0.6557377049180327,14.4,-0.6461916461916462,41.7,-0.692250922509225,268.1,-0.4639072185562887,1543.7,-0.24432151948306247,72.5,-0.744718309859155,0.11,0.09,0.07,0.12,0.11,0.13,0.16,0.21,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.32,0.10344827586206917,0.37,0.37037037037037024,0.07,-0.41666666666666663,3.81,21,6,7,7,0,1,0.03,0.11,0.005,0.89,0.02,0.06,0.03,0.01,0.0,0.0,0.0,0.49,0.51,0.2,0.2,0.22,0.29,0.09,0.25,0.31,0.26,0.18
0,https://www.niche.com/places-to-live/c/abbeville-county-sc/,B+,A minus,B+,B minus,B+,B+,B,B+,A minus,C+,B+,C+,"Abbeville County is located in South Carolina with a population of 24,627. In Abbeville County, most residents own their homes. Many retirees live in Abbeville County and residents tend to be conservative.",24627,90800,681,38741,-0.5825287356321839,-0.3587570621468926,-0.3835272027115192,0.25,0.75,402.9,0.42518570923240184,0,-1.0,93,1.285012285012285,31,-0.7712177121771218,93,-0.8140371925614878,2138.5,0.04684746426473474,139.5,-0.5088028169014085,0.1,0.1,0.1,0.1,0.11,0.13,0.15,0.21,0.05,-0.5833333333333333,0.11,-0.45000000000000007,0.32,0.10344827586206917,0.34,0.2592592592592593,0.18,0.5,3.2,5,0,3,1,0,1,0.03,0.18600000000000003,0.008,0.69,0.01,0.28,0.02,0.0,0.0,0.0,0.0,0.48,0.52,0.33,0.23,0.23,0.16,0.04,0.37,0.34,0.2,0.09
0,https://www.niche.com/places-to-live/c/davison-county-sd/,B+,A minus,B,A minus,B,C+,B+,C,B,A minus,C minus,A,"Davison County is located in South Dakota with a population of 19,871. In Davison County, most residents own their homes. Many families and young professionals live in Davison County and residents tend to be conservative.",19871,154700,759,50570,-0.2887356321839081,-0.2853107344632768,-0.19529621437550726,0.4,0.6,373.3,0.32048107534488857,12.7,1.081967213114754,132.9,2.265356265356265,38,-0.7195571955719557,544.1,0.0879824035192962,2828,0.38437438809477187,234.1,-0.17570422535211272,0.12,0.1,0.1,0.14,0.11,0.11,0.13,0.18,0.07,-0.41666666666666663,0.19,-0.050000000000000044,0.35,0.2068965517241379,0.31,0.14814814814814814,0.08,-0.33333333333333326,4.13,8,1,7,0,0,0,0.013000000000000001,0.14400000000000002,0.011000000000000001,0.91,0.03,0.01,0.02,0.01,0.02,0.0,0.0,0.5,0.5,0.2,0.24,0.22,0.27,0.08,0.28,0.28,0.32,0.13
0,https://www.niche.com/places-to-live/c/poweshiek-county-ia/,B+,A minus,B,B+,B,C+,B,C+,B+,B+,C+,A minus,"Poweshiek County is located in Iowa with a population of 18,388. In Poweshiek County, most residents own their homes. Many young professionals and retirees live in Poweshiek County and residents tend to have moderate political views.",18388,141100,719,53852,-0.35126436781609194,-0.32297551789077217,-0.14307082729977882,0.31,0.69,722,1.5539441103643439,0,-1.0,76.6,0.8820638820638818,21.9,-0.8383763837638376,601.7,0.2031593681263748,1772.2,-0.1324652437830428,131.3,-0.5376760563380281,0.1,0.09,0.15,0.1,0.1,0.11,0.14,0.2,0.11,-0.08333333333333326,0.15,-0.2500000000000001,0.3,0.034482758620689724,0.38,0.40740740740740744,0.06,-0.5,,,,,,,,0.028999999999999998,0.1,0.02,0.92,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.48,0.52,0.21,0.19,0.23,0.27,0.09,0.3,0.26,0.29,0.14
0,https://www.niche.com/places-to-live/c/rutherford-county-nc/,B+,B+,B+,B,B+,B minus,C+,B,A minus,B+,A minus,C+,"Rutherford County is located in North Carolina with a population of 66,599. In Rutherford County, most residents own their homes. Many retirees live in Rutherford County and residents tend to be conservative.",66599,118300,636,42608,-0.4560919540229885,-0.4011299435028248,-0.32199290294861793,0.28,0.72,18.8,-0.9334984082065794,0,-1.0,47.5,0.1670761670761669,0,-1.0,150.6,-0.6988602279544092,3181.5,0.5574211866066183,75.3,-0.7348591549295775,0.11,0.1,0.07,0.11,0.11,0.14,0.15,0.21,0.06,-0.5,0.12,-0.4,0.34,0.1724137931034484,0.32,0.18518518518518512,0.16,0.3333333333333335,3.86,7,3,1,2,1,0,0.039,0.177,0.013000000000000001,0.83,0.04,0.1,0.02,0.0,0.0,0.0,0.0,0.49,0.51,0.31,0.23,0.22,0.18,0.05,0.33,0.35,0.22,0.1
0,https://www.niche.com/places-to-live/c/williamson-county-il/,B+,B,B,A minus,B,B minus,B,B minus,B+,B+,B,B+,"Williamson County is located in Illinois with a population of 67,102. In Williamson County, most residents own their homes. Many young professionals live in Williamson County and residents tend to be conservative.",67102,114900,735,50734,-0.4717241379310345,-0.307909604519774,-0.1926865362888468,0.3,0.7,119.6,-0.5769366819950478,5,-0.180327868852459,29.9,-0.26535626535626544,64.8,-0.5217712177121772,792.6,0.5848830233953208,1694.8,-0.17035441550812613,224.3,-0.2102112676056338,0.12,0.1,0.07,0.13,0.13,0.13,0.14,0.19,0.1,-0.16666666666666663,0.15,-0.2500000000000001,0.37,0.27586206896551735,0.31,0.14814814814814814,0.08,-0.33333333333333326,3.17,23,1,7,11,3,1,0.034,0.13699999999999998,0.009000000000000001,0.9,0.03,0.04,0.02,0.01,0.0,0.0,0.0,0.5,0.5,0.23,0.21,0.23,0.26,0.07,0.27,0.32,0.25,0.16
0,https://www.niche.com/places-to-live/c/tift-county-ga/,B+,B,C+,C+,B+,A,B minus,A minus,B+,B minus,C,A minus,"Tift County is located in Georgia with a population of 40,541. In Tift County, most residents own their homes. Many families live in Tift County and residents tend to be conservative.",40541,118100,689,45639,-0.4570114942528736,-0.3512241054613936,-0.27376159635918085,0.4,0.6,727.8,1.5744605588963565,16.5,1.7049180327868854,99.3,1.4398034398034394,275.7,1.0346863468634684,838.1,0.675864827034593,5293.3,1.5911983551987468,231.6,-0.1845070422535211,0.14,0.11,0.12,0.13,0.13,0.12,0.12,0.14,0.08,-0.33333333333333326,0.1,-0.5,0.29,0.0,0.35,0.29629629629629606,0.18,0.5,4.46,13,7,5,1,0,0,0.017,0.22699999999999998,0.042,0.56,0.12,0.29,0.01,0.01,0.0,0.0,0.0,0.49,0.51,0.28,0.21,0.24,0.2,0.06,0.3,0.36,0.22,0.12
0,https://www.niche.com/places-to-live/c/mitchell-county-tx/,B+,B+,A minus,C+,B,A,B minus,A minus,A,C,C,B minus,"Mitchell County is located in Texas with a population of 8,523. In Mitchell County, most residents own their homes. Residents of Mitchell County tend to be conservative.",8523,69000,670,51492,-0.6827586206896552,-0.3691148775894538,-0.18062473147367253,0.21,0.79,176,-0.377431906614786,0,-1.0,50.3,0.23587223587223582,0,-1.0,1257.2,1.5138972205558887,2439,0.1939494811043665,176,-0.3802816901408451,0.12,0.08,0.15,0.17,0.12,0.12,0.09,0.15,0.03,-0.75,0.08,-0.6000000000000001,0.27,-0.06896551724137923,0.4,0.4814814814814814,0.21,0.75,,,,,,,,0.027999999999999997,0.113,0.036000000000000004,0.48,0.4,0.09,0.01,0.0,0.02,0.0,0.0,0.61,0.39,0.2,0.25,0.17,0.3,0.08,0.35,0.27,0.25,0.13
0,https://www.niche.com/places-to-live/c/portage-county-oh/,B+,B,B minus,A,B+,B minus,B,C minus,B,B+,A minus,B minus,"Portage County is located in Ohio with a population of 162,511. In Portage County, most residents own their homes. Many young professionals live in Portage County and residents tend to lean conservative.",162511,159200,860,57618,-0.26804597701149424,-0.1902071563088512,-0.08314370733415022,0.3,0.7,61.3,-0.7831623629289,0,-1.0,5.3,-0.8697788697788698,25.3,-0.8132841328413284,205.2,-0.5896820635872826,1484.2,-0.2734482083414921,53.3,-0.8123239436619718,0.1,0.09,0.16,0.11,0.11,0.13,0.14,0.16,0.11,-0.08333333333333326,0.18,-0.10000000000000009,0.27,-0.06896551724137923,0.37,0.37037037037037024,0.08,-0.33333333333333326,3.75,8,2,2,4,0,0,0.033,0.127,0.025,0.9,0.02,0.04,0.03,0.02,0.0,0.0,0.0,0.49,0.51,0.21,0.19,0.23,0.28,0.1,0.3,0.29,0.25,0.16
0,https://www.niche.com/places-to-live/c/shelby-county-ky/,B+,C+,B,C+,B+,B,A,C+,B+,B+,B+,C+,"Shelby County is located in Kentucky with a population of 47,325. In Shelby County, most residents own their homes. Many families and young professionals live in Shelby County and residents tend to be conservative.",47325,197300,849,67056,-0.0928735632183908,-0.2005649717514124,0.06704008401890427,0.3,0.7,43.1,-0.8475415634948709,0,-1.0,10.8,-0.7346437346437347,113.2,-0.16457564575645756,350.3,-0.2995400919816037,1622.4,-0.20579596632073616,156.3,-0.4496478873239437,0.13,0.11,0.08,0.13,0.13,0.14,0.13,0.15,0.1,-0.16666666666666663,0.15,-0.2500000000000001,0.31,0.06896551724137945,0.3,0.11111111111111094,0.13,0.08333333333333348,4.44,9,6,1,2,0,0,0.026000000000000002,0.11199999999999999,0.043,0.8,0.1,0.07,0.03,0.01,0.0,0.0,0.0,0.49,0.51,0.16,0.18,0.21,0.31,0.14,0.25,0.32,0.25,0.19
0,https://www.niche.com/places-to-live/c/moody-county-sd/,B+,B+,A,B,B,B+,A,C+,A,C,C minus,B,"Moody County is located in South Dakota with a population of 6,507. In Moody County, most residents own their homes. Many young professionals live in Moody County and residents tend to lean conservative.",6507,133700,568,61538,-0.3852873563218391,-0.4651600753295668,-0.020766035994462362,0.29,0.71,600.6,1.1245136186770428,0,-1.0,171.6,3.216216216216216,42.9,-0.6833948339483396,300.3,-0.39952009598080385,2016.3,-0.01297239083610735,128.7,-0.546830985915493,0.15,0.11,0.07,0.11,0.11,0.12,0.15,0.19,0.05,-0.5833333333333333,0.17,-0.15000000000000002,0.35,0.2068965517241379,0.34,0.2592592592592593,0.1,-0.16666666666666663,,,,,,,,0.025,0.115,0.009000000000000001,0.77,0.04,0.0,0.05,0.02,0.12,0.0,0.0,0.5,0.5,0.14,0.2,0.24,0.31,0.1,0.25,0.29,0.31,0.15
0,https://www.niche.com/places-to-live/c/georgetown-county-sc/,B+,C+,C+,B,B,A minus,B minus,B+,B,B+,A minus,B minus,"Georgetown County is located in South Carolina with a population of 61,952. In Georgetown County, most residents own their homes. Many retirees live in Georgetown County and residents tend to lean conservative.",61952,188800,901,48456,-0.13195402298850578,-0.15160075329566858,-0.22893560141941027,0.21,0.79,1033.1,2.654403961796958,8.4,0.37704918032786905,92.4,1.2702702702702702,126,-0.07011070110701112,814.7,0.6290741851629673,4350.7,1.1297728607793225,243.6,-0.1422535211267606,0.1,0.09,0.07,0.09,0.1,0.12,0.16,0.27,0.11,-0.08333333333333326,0.17,-0.15000000000000002,0.31,0.06896551724137945,0.29,0.07407407407407396,0.13,0.08333333333333348,3.72,18,4,5,9,0,0,0.038,0.17600000000000002,0.015,0.64,0.03,0.31,0.01,0.01,0.0,0.0,0.0,0.47,0.53,0.27,0.2,0.2,0.24,0.1,0.32,0.31,0.21,0.16
