,Link,Average spots filled per cycle,Alumni Publication Percentile,Alumni Clinical Trial Percentile,Founding Year,"Year 0, site 0: institution name","Year 0, site 0: institution months","Year 0, site 1: institution name","Year 0, site 1: institution months","Year 1, site 0: institution name","Year 1, site 0: institution months","Year 1, site 1: institution name","Year 1, site 1: institution months","Year 2, site 0: institution name","Year 2, site 0: institution months","Year 2, site 1: institution name","Year 2, site 1: institution months","Year 2, site 2: institution name","Year 2, site 2: institution months","Year 3, site 0: institution name","Year 3, site 0: institution months","Year 3, site 1: institution name","Year 3, site 1: institution months","Year 4, site 0: institution name","Year 4, site 0: institution months","Year 4, site 1: institution name","Year 4, site 1: institution months",Accredited Fellowship Programs,Urologic Oncology,Minimally Invasive Urologic Surgery,Female Pelvic Medicine & Reconstructive Surgery,Pediatric Urology,Male Infertility/Andrology,Rating count,Review count,Overall Satisfaction,Work Hours,Schedule Flexibility,Career Guidance,Culture,Clinical Diversity,"Year 0, site 2: institution name","Year 0, site 2: institution months","Year 2, site 3: institution name","Year 2, site 3: institution months","Year 3, site 2: institution name","Year 3, site 2: institution months",Palliative Care,Allergy and Immunology,Cardiology,Infectious Disease,Rheumatology,"Year 1, site 2: institution name","Year 1, site 2: institution months","Year 1, site 3: institution name","Year 1, site 3: institution months",Hospice & Palliative Medicine,Bariatric Surgery,Colon & Rectal Surgery,Plastic Surgery,Surgical Critical Care,Vascular Surgery,Surgical Volume,Sports Medicine,Geriatric Medicine,Addiction Medicine,Urgent Care,"Year 0, site 3: institution name","Year 0, site 3: institution months","Year 4, site 2: institution name","Year 4, site 2: institution months","Year 1, site 4: institution name","Year 1, site 4: institution months",Pediatric Anesthesiology,Adult Cardiothoracic Anesthesiology,Pain Medicine,Critical Care Medicine,Obstetric Anesthesiology,Thoracic Surgery,Breast Surgery,Neonatal-Perinatal Medicine,Developmental-Behavioral Pediatrics,Pediatric Critical Care Medicine,Pediatric Cardiology,Pediatric Hematology/Oncology,Maternal & Fetal Medicine/High Risk Obstetrics,Gynecologic Oncology,"Year 0, site 4: institution name","Year 0, site 4: institution months","Year 1, site 5: institution name","Year 1, site 5: institution months",Pediatric Emergency Medicine,"Year 2, site 4: institution name","Year 2, site 4: institution months","Year 3, site 3: institution name","Year 3, site 3: institution months",Cataract Surgery,Cornea Surgery,Retinal Surgery,Glaucoma,Refractive Surgery,Vascular & Interventional Radiology,Endovascular Surgical Neuroradiology,Neuroradiology,Musculoskeletal Radiology,Abdominal Radiology,Epilepsy,Neurocritical Care,Neuromuscular Medicine,Cytopathology,Blood Banking/Transfusion Medicine,Forensic Pathology,Pediatric Pathology,Pediatric Dermatology,Procedural Dermatology,Dermatopathology,Cosmetic Dermatology,"Year 2, site 5: institution name","Year 2, site 5: institution months",Preventive Medicine,Addiction Psychiatry,Child & Adolescent Psychiatry,Geriatric Psychiatry,Psychopharmacology,"Year 5, site 0: institution name","Year 5, site 0: institution months","Year 6, site 0: institution name","Year 6, site 0: institution months","Year 5, site 1: institution name","Year 5, site 1: institution months",Neurosurgical Spine Surgery,Brain & Spinal Tumors,Cerebrovascular Surgery,Pediatric Neurosurgery
0,https://www.doximity.com/residency/programs/008bb8fc-dd45-4a9f-9c6b-f6220a20e2a4-kaiser-permanente-northern-california-oakland-obstetrics-gynecology,4,70th percentile,53rd percentile,1947,Alameda Health System-Highland Hospital,2.0,Kaiser Permanente Medical Center (Oakland),10.0,Kaiser Permanente Medical Center (Walnut Creek),0.5,Kaiser Permanente Medical Center (Oakland),11.0,Kaiser Permanente Medical Center (Oakland),12.0,,,,,Kaiser Permanente Medical Center (Oakland),12.0,,,,,,,['Female pelvic medicine and reconstructive surgery (OBGYN)'],,,0.034288,,,6,1,5.0,5.0,4.5,4.5,5.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022856,0.022856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/009b631d-3390-4742-b583-820ccab9a18b-university-of-california-san-francisco-anesthesiology,20,87th percentile,80th percentile,1958,UCSF and Mount Zion Medical Centers,7.0,San Francisco General Hospital Medical Center,4.0,UCSF and Mount Zion Medical Centers,9.0,San Francisco General Hospital Medical Center,2.0,UCSF and Mount Zion Medical Centers,10.0,San Francisco General Hospital Medical Center,2.0,,,UCSF and Mount Zion Medical Centers,8.5,San Francisco General Hospital Medical Center,1.0,,,,,"['Regional anesthesiology and acute pain medicine', 'Pain medicine (multidisciplinary)', 'Adult cardiothoracic anesthesiology', 'Obstetric anesthesiology', 'Critical care medicine (Anesthesiology)', 'Pediatric anesthesiology']",,,,,,76,19,4.5,4.0,4.0,4.0,4.5,4.5,Veterans Affairs Medical Center (San Francisco),1.0,,,Kaiser Permanente Medical Center (San Francisco),1.5,,,,,,Veterans Affairs Medical Center (San Francisco),1.0,,,,,,,,,,,,,,,,,,,,0.10001766004415011,0.11499955849889623,0.05498896247240618,0.18999205298013241,0.010001766004415009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00ab8034-f9f4-4b1b-81b1-777e7ea34aae-oregon-health-science-university-emergency-medicine,11,70th percentile,57th percentile,1982,Kaiser Foundation Hospitals-Northwest Region,1.0,Portland Veterans Affairs Medical Center,2.5,Columbia Memorial Hospital,1.0,Kaiser Foundation Hospitals-Northwest Region,1.0,Portland Veterans Affairs Medical Center,1.0,Providence St. Vincent Medical Center,2.0,Oregon Health & Science University Hospital,9.0,,,,,,,,,"['Medical toxicology (Emergency medicine)', 'Pediatric emergency medicine (Emergency medicine)']",,,,,,9,0,4.5,4.0,4.5,4.0,4.0,4.0,Providence St. Vincent Medical Center,1.5,Legacy Emanuel Hospital and Health Center,1.0,,,,,,,,Portland Veterans Affairs Medical Center,1.5,Providence St. Vincent Medical Center,1.0,,,,,,,,0.016666666666666666,,,,Oregon Health & Science University Hospital,7.0,,,Oregon Health & Science University Hospital,7.5,,,,,,,,,,,,,,,Legacy Emanuel Hospital and Health Center,1.0,Legacy Emanuel Hospital and Health Center,1.0,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00bc0c00-4fe9-4f48-bff3-58ce14159c92-community-health-network-inc-psychiatry,4,,,2015,Josephson-Wallack-Munshower Neurology (JWM) PC,1.0,Community Hospital East,1.0,Witham Health Services,1.0,Fairbanks Hospital,1.5,"Rebecca Mueller M.D., Forensic Psychiatry Private Practice",0.3,Gallahue Mental Health Center,10.5,Community Heart & Vascular Hospital,0.2,Gallahue Mental Health Center,11.0,Community Heart & Vascular Hospital,0.3,,,,,[],,,,,,9,0,,,,,,,Community Hospital North,8.0,Community Hospital East,0.1,Community Hospital East,0.3,,,,,,Gallahue Mental Health Center,2.0,Community Hospital North,6.1,,,,,,,,0.016666666666666666,,,,Community Hospital South,2.0,,,Indiana Geriatric Associates,1.0,,,,,,,,,,,,,,,,,Howard Community Mental Health Center (CMHC),0.5,0.03333333333333333,Community Hospital North,0.7,Community Hospital North,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00bf44b6-2835-41ae-9700-927d06a7a5ee-kansas-city-university-of-medicine-biosciences-gme-consortium-kcu-gme-consortium-freeman-internal-medicine,5,,,2016,Freeman Hospital West,12.0,,,Freeman Hospital West,12.0,,,Freeman Hospital West,12.0,,,,,,,,,,,,,[],,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00c31f56-9dd0-413d-b874-99fbeede2263-merit-health-wesley-internal-medicine,9,,,2018,Merit Health Wesley,12.0,,,Merit Health Wesley,12.0,,,Merit Health Wesley,11.0,,,,,,,,,,,,,[],,,,,,1,1,5.0,5.0,5.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00cd79cf-dd5a-45aa-ab6a-c14205bb9ab1-hca-healthcare-tufts-university-school-of-medicine-portsmouth-regional-hospital-internal-medicine,,,,2020,,,,,Elliot Hospital,1.0,,,Elliot Hospital,2.0,,,,,,,,,,,,,[],,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00e32eb8-1cea-44ef-9b77-01c78c65f522-tulane-university-anesthesiology,5,45th percentile,30th percentile,1978,Tulane University Hospital and Clinics,9.0,,,Southeast Louisiana Veterans Health Care System,1.0,Tulane University Hospital and Clinics,11.0,Southeast Louisiana Veterans Health Care System,3.0,Lakeview Regional Medical Center,1.0,Children's Hospital (New Orleans),2.0,Southeast Louisiana Veterans Health Care System,1.0,Lakeview Regional Medical Center,2.0,,,,,[],,,,,,16,9,4.5,4.5,4.5,4.0,4.5,4.5,,,Tulane University Hospital and Clinics,7.0,Children's Hospital (New Orleans),1.0,,,,,,Ochsner Clinic Foundation,1.0,,,,,,,,,,,,,,,,,,,,0.07764705882352942,0.019411764705882354,0.15529411764705883,0.07764705882352942,,,,,,,,,,,,,,,,Ochsner Clinic Foundation,1.0,Tulane University Hospital and Clinics,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/00fc175f-ab6d-4fe6-b525-8e776b9bcb3d-university-of-north-carolina-hospitals-ophthalmology,4,51st percentile,39th percentile,1957,UNC Hospitals Hillsborough Campus,12.0,University of North Carolina Hospitals,12.0,UNC Hospitals Hillsborough Campus,9.0,VA Medical Center (Fayetteville),3.0,UNC Hospitals Hillsborough Campus,6.0,VA Medical Center (Fayetteville),6.0,University of North Carolina Hospitals,6.0,,,,,,,,,[],,,,,,10,5,4.0,4.5,4.0,3.5,4.0,4.0,,,,,,,,,,,,University of North Carolina Hospitals,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24605682694780145,0.09464772435073283,0.09464772435073283,0.056795448701465676,0.037852275649267166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/010ec8a4-896d-4e4f-9503-28fad4dfc219-virginia-commonwealth-university-health-system-radiology-diagnostic,9,57th percentile,69th percentile,,Medical College of Virginia Hospitals,13.0,,,Medical College of Virginia Hospitals,7.0,Hunter Holmes McGuire VA Medical Center (Richmond),6.0,Medical College of Virginia Hospitals,7.0,Hunter Holmes McGuire VA Medical Center (Richmond),6.0,,,Medical College of Virginia Hospitals,10.0,Hunter Holmes McGuire VA Medical Center (Richmond),3.0,,,,,['Vascular and interventional radiology'],,,,,,13,4,4.5,4.0,4.0,4.0,4.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23479841374752153,0.07825512227362857,0.0434897554527429,0.026074025115664246,0.017382683410442832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/01150340-5233-4a0b-bde0-25673a83e625-naval-medical-center-san-diego-radiology-diagnostic,5,,,1972,Naval Medical Center (San Diego),12.0,,,Naval Medical Center (San Diego),12.0,,,Rady Children's Hospital,1.0,Naval Medical Center (San Diego),10.0,,,Naval Medical Center (San Diego),11.0,,,,,,,[],,,,,,2,0,5.0,4.5,4.5,4.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23479841374752153,0.07825512227362857,0.0434897554527429,0.026074025115664246,0.017382683410442832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/011a8f62-1e76-4e0c-ac87-2e6e5cf3d730-case-western-reserve-university-university-hospitals-cleveland-medical-center-child-neurology,1,,85th percentile,2001,Veterans Affairs Medical Center (Cleveland),2.0,Case Western Reserve University/University Hospitals Cleveland Medical Center,10.0,Case Western Reserve University/University Hospitals Cleveland Medical Center,12.0,,,Case Western Reserve University/University Hospitals Cleveland Medical Center,12.0,,,,,,,,,,,,,[],,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,0.0775,0.0775,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/011efb75-2906-4fa2-bae9-988910e06db0-university-of-alabama-tuscaloosa-family-medicine,16,85th percentile,76th percentile,1973,Forest Manor Nursing Home,1.0,Tuscaloosa College of Community Health Sciences,12.0,DCH Northportport Medical Center,1.0,Forest Manor Nursing Home,12.0,Forest Manor Nursing Home,12.0,Tuscaloosa College of Community Health Sciences,12.0,DCH Regional Medical Center,8.0,,,,,,,,,"['Geriatric medicine (Family medicine)', 'Sports medicine (Family medicine)']",,,,,,9,5,4.5,4.0,4.5,4.5,4.5,4.5,DCH Regional Medical Center,11.0,,,,,,,,,,Tuscaloosa College of Community Health Sciences,12.0,DCH Regional Medical Center,5.0,0.007777,,,,,,,0.06222300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/0137bc3d-8fd4-4b12-9f48-0c7d7fec3701-louisiana-state-university-shreveport-pathology-anatomic-clinical,3,,66th percentile,1956,Ochsner LSU Health Shreveport (OLH Shreveport),12.0,,,Ochsner LSU Health Shreveport (OLH Shreveport),12.0,,,Ochsner LSU Health Shreveport (OLH Shreveport),12.0,,,,,Ochsner LSU Health Shreveport (OLH Shreveport),12.0,,,,,,,['Cytopathology'],,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500025,0.083325,0.083325,0.083325,,,,,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/0144f906-ea27-4016-9dc7-58c2c117d108-university-of-california-san-francisco-dermatology,8,94th percentile,94th percentile,1966,UCSF and Mount Zion Medical Centers,6.0,San Francisco General Hospital Medical Center,2.0,UCSF and Mount Zion Medical Centers,6.0,San Francisco General Hospital Medical Center,4.0,UCSF and Mount Zion Medical Centers,9.0,San Francisco General Hospital Medical Center,1.0,Veterans Affairs Medical Center (San Francisco),2.0,,,,,,,,,['Micrographic surgery and dermatologic oncology'],,,,,,18,6,4.5,4.0,4.0,4.0,4.0,4.5,Veterans Affairs Medical Center (San Francisco),4.0,,,,,,,,,,Veterans Affairs Medical Center (San Francisco),2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1753846153846154,0.0876923076923077,0.0730769230769231,0.04384615384615385,,,,,,,,,,,,,,,,,
0,https://www.doximity.com/residency/programs/014786b4-cc0e-470e-9283-f6901dc3b9d8-oklahoma-state-university-center-for-health-sciences-lawton-family-medicine,4,,,2017,Lawton Community Health Center,4.0,Comanche County Memorial Hospital,8.0,Comanche County Health Department,0.5,Comanche Nephrology,1.0,Center for Wound Care and Hyperbaric Medicine,0.5,Dean McGee Eye Institute,0.5,Cancer Centers of Southwest Oklahoma,1.0,,,,,,,,,[],,,,,,18,6,,,,,,,Saint Francis Health System,1.0,McMahon Tomlinson Nursing Center,1.0,,,,,,,,Comanche County Memorial Hospital,8.8,Saint Francis Health System,1.0,,,,,,,,,,,,,,,,Veterans Affairs Medical Center (Oklahoma City),1.0,,,,,,,,,,,,,,,,,,,,Lawton Community Health Center,2.0,,,,,,,,,,,,,,,,,,,,0.1753846153846154,0.0876923076923077,0.0730769230769231,0.04384615384615385,Comanche County Memorial Hospital,6.5,,,,,,,,,,,,,,,
