,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,,Program best described as,Primary teaching site,Participant 3,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Night float system (Residents participate during first year),Specialty Details,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6
0,https://freida.ama-assn.org/program/3005011361,4,4,No,Yes,"June,Negotiable",Yes,No,https://www.uvmhealth.org/gme/pages/residencies/pathology.aspx,Not Available,"Scott  Anderson
MD
Univ of Vermont Med Ctr
Dept of Pathology & Laboratory Med
111 Colchester Ave
Burlington, VT 05401
Tel: (802) 847-2172
Fax: (802) 847-3509
E-mail: scott.anderson@uvmhealth.org","Amy J Bourgeois
MEd
Univ of Vermont Med Ctr
Pathology Dept EP1-178
111 Colchester Ave
Burlington, VT 05401
Tel: (802) 847-0392
Fax: (802) 847-3509
E-mail: amy.bourgeois@uvmhealth.org",3005011361,"Univ of Vermont Med Ctr, Dept of Pathology & Laboratory Med, 111 Colchester Ave, Burlington, VT 05401","111 Colchester Ave, Burlington, VT 05401",,,,"Burlington, VT has much to offer; beautiful lake views, great food and entertainment, farmers markets, festivals, and family activities. Close to outdoor recreation; ski, swim, boat, fish, hike, etc. Hospital with state of the art facilities and technology.",(4 wks ),University-based,University of Vermont Medical Center,,3,4,4,5,No,No,"Yes , Codes: 1734300C0",No,11/1/2020,10/21/2020 - 1/15/2021_10/15/2021 - 1/15/2022,9/15/2021,11/1/2021,No,46,No,No,3,No,Yes,210_210_500_450,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,40,0,3,0,43,0,57.5,2.5 to 1,50,14,2,Yes,No,63.7,19.2,16.9,42.3,57.6,N/A,0,N/A,1,N/A,7,N/A,6,5,NGO,N/A,"$57,997.00",15,NGO,"$60,294.00",15,NGO,"$63,626.00",15,NGO,"$66,553.00",15,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Required,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3005421367,4,4,No,Yes,July,Yes,No,http://www.pathology.washington.edu/education/residency,Not Available,"Kelly  Smith
MD, PhD
Univ of Washington Sch of Med
Pathology Pgm Box 356100
1959 NE Pacific St
Seattle, WA 98195-6100
Tel: (206) 685-1624
Fax: (206) 543-3644
E-mail: uwpthres@uw.edu","Allison  Correll-Buss
Univ of Washington Sch of Med
Dept of Pathology Box 356100
1959 NE Pacific St
Seattle, WA 98195-6100
Tel: (206) 616-9343
Fax: (206) 543-3644
E-mail: uwpthres@uw.edu",3005421367,"Univ of Washington Sch of Med, Pathology Pgm Box 356100, 1959 NE Pacific St, Seattle, WA 98195-6100","850 Republican St, Seattle, WA 98109","1959 NE Pacific St, Seattle, WA 98195","4800 Sand Point Way NE, Seattle, WA 98105","1660 S Columbian Way, Seattle, WA 98108","Global health certification program, library resources, life after residency seminar, finance/loans seminars, Housestaff Quality & Safety Council, wellness service, network of underrepresented residents and fellows, safe ride home program, free confidential counseling, learning specialist, transportation allowance, childcare fund,transportation incentive, Master in Public Health. Parking is free at some of the rotation sites.",NGO (wks),University-based,University of Washington Medical Center-Montlake,"325 Ninth Ave, Seattle, WA 98104-2499",7,7,7,6,No,No,"Yes , Codes: 1918300C0,1918300C2,1918300C1,1918300C3",No,11/11/2020,11/2/2020 - 12/14/2020_10/25/2021 - 12/13/2021,9/1/2020,11/1/2021,Yes,68,No,No,3,No,Yes,220_220__,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,95,14,0,0,95,14,32.6,3.5 to 1,56,14,2.2,Yes,No,85.1,9.4,5.4,46,53.9,N/A,0,N/A,14,N/A,9,N/A,4,8,NGO,N/A,"$60,588.00",24,17,"$62,940.00",24,17,"$65,532.00",24,17,"$68,340.00",24,17,Yes,NGO,NGO,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,"921 Terry Ave, Seattle, WA 98104-1256","824 Eastlake Ave E, Seattle, WA 98109-1023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3005412009,4,4,No,No,"June,July",No,Yes,https://www.mamc.health.mil/education/graduate-medical-education/,Not Available,"Mary S Dhesi
MD
Madigan Army Med Ctr
Dept of Pathology
9040 Jackson Ave
Tacoma, WA 98431
Tel: (253) 968-1723
Fax: (253) 968-1084
E-mail: mary.s.dhesi.mil@mail.mil","Kirsten A Maio-Smith
Madigan Army Med Ctr
Attn MCHJ-PSP
9040A Jackson Ave
Tacoma, WA 98431
Tel: (253) 968-3299
Fax: (253) 968-1084
E-mail: sharon.a.neal4.civ@mail.mil",3005412009,"Madigan Army Med Ctr, Dept of Pathology, 9040 Jackson Ave, Tacoma, WA 98431","9040 Jackson Ave, Tacoma, WA 98431","1959 NE Pacific St, Seattle, WA 98195","3619 Pacific Ave, Tacoma, WA 98408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3005631376,4,4,No,Yes,"June,July",Yes,No,https://residency.pathology.wisc.edu/,Not Available,"Erin G Brooks
MD
Univ of Wisconsin Hosps and Clinics
L5/149 CSC MC 8550
600 Highland Ave
Madison, WI 53792
Tel: (608) 265-0084
Fax: (608) 263-3685
E-mail: egbrooks@wisc.edu","Sara  Gross
Univ of Wisconsin Hosps and Clinics
CSC L5/139 MC 8550
600 Highland Ave
Madison, WI 53792
Tel: (608) 262-7158
Fax: (608) 263-3685
E-mail: sgross1@uwhealth.org",3005631376,"Univ of Wisconsin Hosps and Clinics, L5/149 CSC MC 8550, 600 Highland Ave, Madison, WI 53792","600 Highland Ave, Madison, WI 53792","2500 Overlook Terrace, Madison, WI 53705","707 S Mills St, Madison, WI 53715-0450","4860 Overlook Terrace, Madison, WI 53705","Fellowships in cytopathology, hematopathology, breast/gyn pathology, GI pathology, research, and transfusion medicine. Optional global health electives, as well as US away electives. R&D awards for resident research. Onsite Translational Research in Pathology laboratory to provide necessary support and equipment for a variety of scientific endeavors. Novel integrated CP core rotation. Community hospital/private practice rotations.",,University-based,University of Wisconsin Hospitals and Clinics,"202 S Park St, Madison, WI 53715-1599",6,4,6,5,No,No,"Yes , Codes: 1779300C0",No,10/31/2020,11/9/2020 - 1/15/2021_10/18/2021 - 12/13/2021,9/1/2021,10/15/2021,Yes,50,No,No,3,No,Yes,210__450_,No,236-245,Yes,No,Greater than 600,"Desired, with some exceptions",Yes,No,No,42,4,5,0,47,4,42.8,2.1 to 1,50,14,2,Yes,No,30,51.6,18.3,43.3,56.6,N/A,0,N/A,5,N/A,4,N/A,2,8,NGO,N/A,"$60,090.00",15,10,"$62,128.00",15,10,"$64,562.00",15,10,"$67,461.00",15,10,Yes,NGO,NGO,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3005621377,4,4,No,Yes,July,Yes,No,http://pathology.mcw.edu/,Not Available,"Juan C Felix
MD
Froedtert Hosp
Dept of Pathology
9200 W Wisconsin Ave
Milwaukee, WI 53226
Tel: (414) 805-8786
Fax:
E-mail: jcfelix@mcw.edu","Kristine L Scheel
Froedtert Hosp
Dept of Pathology
9200 W Wisconsin Ave
Milwaukee, WI 53226
Tel: (414) 805-8576
Fax: (414) 805-8444
E-mail: kscheel@mcw.edu",3005621377,"Froedtert Hosp, Dept of Pathology, 9200 W Wisconsin Ave, Milwaukee, WI 53226","8701 W Watertown Plank Rd, Milwaukee, WI 53226","9200 W Wisconsin Ave, Milwaukee, WI 53226","9000 W Wisconsin Ave, Milwaukee, WI 53201","5000 W National Ave, Milwaukee, WI 53295-1000",,,,,"638 N 18th St, Milwaukee, WI 53233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"933 W Highland Ave, Milwaukee, WI 53233-1445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3005511373,4,4,No,Yes,July,Yes,No,http://medicine.hsc.wvu.edu/pathology/residency/,Not Available,"Jeffrey A Vos
MD
West Virginia Univ Sch of Med
Robert C Byrd Health Sciences Ctr
PO Box 9203
Morgantown, WV 26506
Tel: (304) 293-1621
Fax: (304) 293-2717
E-mail: jvos@hsc.wvu.edu","Andrea J Clemmer
West Virginia Univ Hosp
Dept of Pathology PO Box 9203
64 Medical Center Dr
Morgantown, WV 26506-9203
Tel: (304) 293-1621
Fax: (304) 293-7596
E-mail: aclemmer@hsc.wvu.edu",3005511373,"West Virginia Univ Sch of Med, Robert C Byrd Health Sciences Ctr, PO Box 9203, Morgantown, WV 26506","1 Medical Center Dr, Morgantown, WV 26506-8136","1 Medical Center Dr, Morgantown, WV 26506","3110 MacCorkle Ave SE, Charleston, WV 25304","1 Medical Center Dr, Clarksburg, WV 26301-4199",,,University-based,West Virginia University Hospitals,,3,3,3,3,No,No,"Yes , Codes: 1837300C0",No,12/1/2020,10/1/2020 - 12/31/2020_10/1/2021 - 12/31/2021,8/1/2021,12/1/2021,Yes,26,No,No,3,No,Yes,192_209_400_400,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,20,8,0,0,20,8,30,1.6 to 1,45,14,2,No,No,45.7,54.2,0,30.9,69,N/A,0,N/A,6,N/A,7,N/A,4,5,100%,N/A,"$54,278.00",20,18,"$56,292.00",20,18,"$58,109.00",20,18,"$60,170.00",20,18,Yes,20,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200121017,,,No,No,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200121019,3,3,Yes,Yes,July,Yes,No,https://www.usahealthsystem.com/pedsres,USA Health Pediatrics Residency Program,"Richard M Whitehurst
MD
USA Health Children's & Women's Hosp
CWEB 1 Rm 1536
1700 Center St
Mobile, AL 36604
Tel: (251) 415-1087
Fax: (251) 415-1387
E-mail: pedsresidency@health.southalabama.edu","LaTasha  Williams
USA Health Children's & Women's Hosp
CWEB 1 Rm 1536
1700 Center St
Mobile, AL 36604
Tel: (251) 415-1087
Fax: (251) 415-1387
E-mail: latashawilliams@health.southalabama.edu",3200121019,"USA Health Children's & Women's Hosp, CWEB 1 Rm 1536, 1700 Center St, Mobile, AL 36604","2451 USA Medical Center Dr, Mobile, AL 36617-2293","1700 Center St, Mobile, AL 36604-3391",,,"The Mobile, Alabama area has economical housing, superb local cuisine, a wide variety of entertainment options and a temperate climate that makes outdoor activities possible year-round. Our free-standing Children's & Women's Hospital and the new Strada Patient Care Center provides a rich, hands-on learning environment serving the children of the gulf coast area. Our graduates place well in both primary care and fellowship positions.",,University-based,USA Health Children's and Women's Hospital,,12,12,12,,No,No,"Yes , Codes: 1852320C0",No,,-_10/27/2021 - 1/15/2022,,10/15/2021,Yes,150,No,No,3,No,Yes,192_209_400_400,Yes,226-235,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,48,1,2,1,50,2,54.1,1.3 to 1,60,16,1,Yes,,27.6,38.5,33.8,61.2,38.7,N/A,0,N/A,4,N/A,4,,,3,44%,5%,"$53,572.00",20,12,"$55,443.00",20,12,"$57,259.00",20,12,,,,Yes,12,NGO,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Optional,Yes,Yes,No,,,,,,,Yes,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200421022,3,3,No,Yes,"July,Negotiable",Yes,No,http://pediatrics.uams.edu/,Not Available,"Henry C Farrar
MD
Arkansas Children's Hosp
Slot 512-19A
1 Children's Way
Little Rock, AR 72202
Tel: (501) 364-1874
Fax: (501) 364-3196
E-mail: farrarhank@uams.edu","Emily A Stotts
Arkansas Children's Hosp
Slot 512-19A
1 Children's Way
Little Rock, AR 72202-3591
Tel: (501) 364-1874
Fax: (501) 364-3196
E-mail: stottsemilya@uams.edu",3200421022,"Arkansas Children's Hosp, Slot 512-19A, 1 Children's Way, Little Rock, AR 72202","4301 W Markham St, Little Rock, AR 72205-7249","800 Marshall St, Little Rock, AR 72202-3591","4301 W Markham St, Little Rock, AR 72205",,,,University-based,Arkansas Children's Hospital,,25,25,25,,No,No,"Yes , Codes: 1018320C0",No,12/31/2020,11/2/2020 - 1/29/2021_11/1/2021 - 12/31/2021,9/15/2021,12/31/2021,Yes,175,No,No,3,No,Yes,185___,No,210-225,No,No,No Answer,"Desired, with some exceptions",Yes,Yes,No,151,14,29,3,180,17,45,2.2 to 1,65,16,1.5,No,,75.6,11.3,13,66.1,33.8,N/A,0,N/A,0,N/A,Not Available,,,4,40%,N/A,"$53,615.00",15,12,"$54,365.00",15,12,"$56,158.00",15,12,,,,Yes,NGO,NGO,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Not Available,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,No,No,,,,,,,Yes,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200332020,3,3,No,Yes,"June,July",Yes,No,https://tinyurl.com/pch-pedsresidency,Not Available,"Jon F McGreevy
MD
Phoenix Children's Hosp
Graduate Med Education
1919 E Thomas Rd
Phoenix, AZ 85016
Tel: (602) 933-2923
Fax: (602) 933-0806
E-mail: jmcgreevy@phoenixchildrens.com","Sandra K Barker
Phoenix Children's Hosp
Graduate Med Education
1919 E Thomas Rd
Phoenix, AZ 85016
Tel: (602) 933-2923
Fax: (602) 933-0806
E-mail: sbarker@phoenixchildrens.com",3200332020,"Phoenix Children's Hosp, Graduate Med Education, 1919 E Thomas Rd, Phoenix, AZ 85016","1919 E Thomas Rd, Phoenix, AZ 85016","350 W Thomas Rd, Phoenix, AZ 85013-6604","2601 E Roosevelt St, Phoenix, AZ 85008","1111 E McDowell Rd, Phoenix, AZ 85062-2174","We offer an individualized curriculum, diverse patient populations and clinical sites, exposure to general and subspecialty pediatrics, and enthusiastic faculty. We emphasize professional and personal growth with retreats, balanced work schedules and extended holiday time.",,University-based,Phoenix Children's Hospital,,34,34,32,,No,No,"Yes , Codes: 2952320C0",No,12/31/2020,10/26/2020 - 1/29/2021_10/25/2021 - 1/27/2022,9/15/2021,12/31/2021,Yes,322,No,No,3,No,Yes,210_210_500_500,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,341,37,50,0,391,37,53.6,3.6 to 1,59,24,1.7,Yes,No,90,0.7,9.2,65.6,34.3,Every fourth night for 1 week(s),0,Every fourth night for 2 month(s),NGO,Other for 2 month(s),NGO,,,5,47%,2%,"$56,924.00",20,NGO,"$59,160.00",20,NGO,"$62,264.00",20,NGO,,,,Yes,42,42,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,Yes,Yes,,,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200300372,3,3,No,Yes,July,Yes,No,https://www.tmcaz.com/thmep/,Not Available,"Patricia J Eck
DO
Tucson Hosps Med Education
Pediatrics Pgm
5301 E Grant Rd
Tucson, AZ 85712
Tel: (520) 324-5096
Fax: (530) 324-5231
E-mail: patricia.eck@tmcaz.com","Lisa A Pierce
BA
Tucson Hosps Med Education
Pediatrics Pgm
5301 E Grant Rd
Tucson, AZ 85712
Tel: (520) 324-2594
Fax: (520) 324-5231
E-mail: lisa.pierce@tmcaz.com",3200300372,"Tucson Hosps Med Education, Pediatrics Pgm, 5301 E Grant Rd, Tucson, AZ 85712","5301 E Grant Rd, Tucson, AZ 85733-6604","5301 E Grant Rd, Tucson, AZ 85733-2195","1919 E Thomas Rd, Phoenix, AZ 85016","101 W Irvington Rd, Tucson, AZ 85714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3200321021,3,3,No,Yes,July,Yes,No,https://peds.arizona.edu/residency,Not Available,"Hillary A Franke
MD, MS
Univ of Arizona Coll of Med-Tucson
Dept of Pediatrics PO Box 245073
1501 N Campbell Ave
Tucson, AZ 85724-5073
Tel: (520) 626-7944
Fax: (520) 626-5652
E-mail: hfranke@peds.arizona.edu","Larissa  Gronenberg
MA
Univ of Arizona Coll of Med-Tucson
Dept of Pediatrics PO Box 245073
1501 N Campbell Ave
Tucson, AZ 85724-5073
Tel: (520) 626-4657
Fax: (520) 626-5652
E-mail: larissag@peds.arizona.edu",3200321021,"Univ of Arizona Coll of Med-Tucson, Dept of Pediatrics PO Box 245073, 1501 N Campbell Ave, Tucson, AZ 85724-5073","1501 N Campbell Ave, Tucson, AZ 85724-5085","1501 N Campbell Ave, Tucson, AZ 85724",,,"This medium-sized program is university-based and offers both primary and tertiary care experiences. Unique opportunities include those in international and rural health and on Native American reservations. The program boasts strong and dedicated teaching faculty, and has been the recipient of many institutional teaching awards.",,University-based,Banner-University Medical Center Tucson,,16,16,16,,No,No,"Yes , Codes: 1015320C0",No,1/15/2021,10/26/2020 - 1/29/2021_10/25/2021 - 1/28/2022,9/15/2021,1/14/2022,Yes,238,No,No,3,No,Yes,194__400_,No,210-225,Yes,No,501-540,"Desired, with some exceptions",Yes,No,No,62,7,10,0,72,7,58,1.3 to 1,60,16,1,Yes,,61.7,13.4,24.7,81.5,18.4,N/A,NGO,N/A,NGO,N/A,NGO,,,6,33%,15%,"$58,246.00",22,6,"$60,721.00",22,6,"$63,888.00",22,6,,,,Yes,12,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,No,,,,,,,Yes,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
