,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Participant 5,Participant 6,Participant 7,,Year 4,Year 5,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 8,Night float system (Residents participate during first year),Participant 9,Participant 10,Participant 11,Participant 12,Yes
0,https://freida.ama-assn.org/program/2601100219,5,5,No,Yes,July,Yes,No,https://www.gme.browardhealth.org,Not Available,"Joel L Rush
DO
Broward Health Med Ctr
Orthopaedic Surgery Pgm
1600 S Andrews Ave
Fort Lauderdale, FL 33316
Tel: (954) 468-8932
Fax: (954) 712-2996
E-mail: jlrush@browardhealth.org","Arisleyda  Infante
MPA
Broward Health Med Ctr
Orthopaedic Surgery Pgm
1600 S Andrews Ave
Fort Lauderdale, FL 33316
Tel: (954) 468-8932
Fax:
E-mail: ainfante@browardhealth.org",2601100219,"Broward Health Med Ctr, Orthopaedic Surgery Pgm, 1600 S Andrews Ave, Fort Lauderdale, FL 33316","1600 S Andrews Ave, Fort Lauderdale, FL 33316-2510","3100 SW 62nd Ave, Miami, FL 33155","3663 S Miami Ave, Miami, FL 33133","2950 Cleveland Clinic Blvd, Weston, FL 33331","800 Meadows Rd, Boca Raton, FL 33486-2368","The program is ACGME accredited in a very busy Level 1 trauma center located downtown Fort Lauderdale, FL.",Community-based university affiliated,Broward Health,3,3,3,No,No,"Yes , Codes: 1892260C0",No,10/30/2020,11/1/2020 - 2/15/2021_11/1/2021 - 2/15/2022,7/1/2021,11/1/2021,Yes,39,No,No,3,Yes,Yes,230_230_550_550,Yes,236-245,Yes,Yes,Greater than 600,Required,No,No,No,0,0,6,0,6,0,,0.2 to 1,80,24,1,Yes,No,4.6,4.6,90.7,7.1,92.8,Every third night for 6 month(s),0,Every third night for 9 month(s),NGO,Every third night for 9 month(s),NGO,5,25%,10%,"$54,420.00",20,Not Available,"$58,840.00",20,Not Available,"$61,340.00",20,Not Available,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,"Available, Not Paid By Institution",Fully Paid by Institution,When resident/fellow starts program,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"1600 S Andrews Ave, Fort Lauderdale, FL 33316",,,,,3,3,Every third night for 9 month(s),NGO,Every fourth night for 9 month(s),NGO,"$51,024.00",15,Not Available,"$62,840.00",20,Not Available,,,,,,,
0,https://freida.ama-assn.org/program/2601121123,5,5,No,Yes,July,Yes,No,http://www.ortho.ufl.edu/residency-program,Not Available,"Robert C Decker
MD
Univ of Florida Coll of Med
Orthopaedics & Sports Med Inst
PO Box 112727
Gainesville, FL 32611
Tel: (352) 273-7365
Fax:
E-mail: educationoffice@ortho.ufl.edu","Kendra  Gordon
Univ of Florida Coll of Med
Dept of Orthopaedics & Rehabilitation
PO Box 112727
Gainesville, FL 32607
Tel: (352) 273-7365
Fax: (352) 273-7388
E-mail: educationoffice@ortho.ufl.edu",2601121123,"Univ of Florida Coll of Med, Orthopaedics & Sports Med Inst, PO Box 112727, Gainesville, FL 32611","1600 SW Archer Rd, Gainesville, FL 32610","1600 SW Archer Rd, Gainesville, FL 32610-0326","1601 Archer Rd, Gainesville, FL 32602",,,,University-based,University of Florida College of Medicine,4,4,4,No,No,"Yes , Codes: 1824260C0",No,10/31/2020,11/15/2020 - 2/15/2021_11/15/2021 - 2/15/2022,8/1/2021,10/31/2021,Yes,60,No,No,3,No,No,___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,38,8,0,0,38,8,10.5,1.9 to 1,75,16,1,No,Yes,94.8,5.1,0.0,3.4,96.5,N/A,NGO,Two times per week for 52 week(s),NGO,Every eighth night for 52 week(s),NGO,6,33%,N/A,"$56,604.00",21,15,"$58,424.00",21,15,"$60,914.00",21,15,No answer,NGO,NGO,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,No,Yes,,,,,,4,4,Every seventh night for 52 week(s),NGO,Every seventh night for 52 week(s),NGO,"$54,811.00",21,15,"$63,500.00",21,15,,,,,,,
0,https://freida.ama-assn.org/program/2601121062,5,5,No,Yes,July,Yes,No,http://www.hscj.ufl.edu/orthopaedic-surgery/residency/,Not Available,"Paul  Dougherty
MD
Univ of Florida Coll of Med Jacksonville
ACC 2nd Fl Box C126
655 W 8th St
Jacksonville, FL 32209
Tel: (904) 244-3968
Fax: (904) 244-3457
E-mail: ortho.gme@jax.ufl.edu","Lisa  Hernandez
Univ of Florida Coll of Med Jacksonville
ACC 2nd Fl Box C126
655 W 8th St
Jacksonville, FL 32209-6511
Tel: (904) 244-5946
Fax: (904) 244-3457
E-mail: ortho.gme@jax.ufl.edu",2601121062,"Univ of Florida Coll of Med Jacksonville, ACC 2nd Fl Box C126, 655 W 8th St, Jacksonville, FL 32209","655 W 8th St, Jacksonville, FL 32209","655 W 8th St, Jacksonville, FL 32209-6597","15255 Max Leggett Pkwy, Jacksonville, FL 32218","807 Childrens Way, Jacksonville, FL 32247-5720","800 Prudential Dr, Jacksonville, FL 32207",,Community-based university affiliated,UF Health Jacksonville,4,4,4,No,No,"Yes , Codes: 1101260C0",No,10/30/2020,12/15/2020 - 2/12/2021_12/11/2021 - 2/12/2022,9/15/2021,10/15/2021,Yes,80,No,No,4,No,Yes,230__550_,No,226-235,Yes,No,501-540,Required,No,No,No,19,0,0,0,19,0,26.3,0.9 to 1,75,16,1,No,Yes,100.0,0.0,0.0,5.0,95.0,Once per week for 11 month(s),0,Every seventh night for 12 month(s),0,Every eleventh night or more for 12 month(s),12,4,50%,99%,"$56,604.00",15,10,"$58,424.00",15,10,"$58,766.00",15,10,Yes,NGO,180,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not available,Yes,Yes,Yes,"4555 Emerson St, Jacksonville, FL 32207","4500 San Pablo Rd, Jacksonville, FL 32224",,,,4,4,Every fourth night for 12 month(s),NGO,Every sixth night for 12 month(s),NGO,"$54,811.00",15,10,"$60,935.00",15,10,,,,,,,
0,https://freida.ama-assn.org/program/2601100221,5,5,No,Yes,July,Yes,No,http://www.largomedical.com,Not Available,"John  Harker
DO
Largo Med Ctr
Orthopaedic Surgery Pgm
201 14th St SW
Largo, FL 33770
Tel: (727) 588-5704
Fax:
E-mail: john.harker@hcahealthcare.com","Kathleen  Graham
Largo Med Ctr
Orthopaedic Surgery Pgm
201 14th St SW
Largo, FL 33770
Tel: (727) 588-5704
Fax:
E-mail: kathleen.graham3@hcahealthcare.com",2601100221,"Largo Med Ctr, Orthopaedic Surgery Pgm, 201 14th St SW, Largo, FL 33770","3031 Rocky Dr W, Tampa, FL 33607","201 14th St SW, Largo, FL 33770","12416 66th St N, Largo, FL 33773","501 Sixth Ave S, St Petersburg, FL 33701","6918 Gunn Hwy, Tampa, FL 33625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 Bay Pines Blvd, Bay Pines, FL 33744","3001 W Dr Martin Luther King Blvd, Tampa, FL 33607","323 Jeffords St, Clearwater, FL 34617-0210","14000 Fivay Rd, Hudson, FL 34667",,,,,,,,,,,,,,"11375 Cortez Blvd, Brooksville, FL 34613",,,,,,
0,https://freida.ama-assn.org/program/2601121076,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2601100220,5,5,Yes,Yes,July,No,No,,Not Available,"Arturo  Corces
MD
Larkin Community Hosp
Ste 401
7000 SW 62nd Ave
Miami, FL 33143
Tel: (305) 284-7761
Fax:
E-mail: coviedo@larkinhospital.com","Caroline  Oviedo
BA
Larkin Community Hosp
Ste 401
7000 SW 62nd Ave
Miami, FL 33143
Tel: (305) 284-7761
Fax:
E-mail: coviedo@larkinhospital.com",2601100220,"Larkin Community Hosp, Ste 401, 7000 SW 62nd Ave, Miami, FL 33143","7031 SW 62nd St, South Miami, FL 33143","8905 SW 87th Ave, Miami, FL 33176","2734 SW 37th Ave, Coconut Grove, FL 33133","1906 Belleview St, Roanoke, VA 24014","5733 NW 7th St, Miami, FL 33126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92 W Miller St, Orlando, FL 32806","5 Tampa General Circle, Tampa, FL 33606","5352 Linton Blvd, Delray Beach, FL 33484-6580","1475 W 49th Pl, Hialeah, FL 33012",,,,,,,,,,,,,,"7305 N Military Trail, West Palm Beach, FL 33410-6400",,"3650 NW 82nd Ave, Doral, FL 33166","11750 SW 40th St, Miami, FL 33175",,,
0,https://freida.ama-assn.org/program/2601100222,5,5,No,Yes,July,Yes,No,https://ocalahealthsystem.com/gme/,Not Available,"James P McFadden
MD
Ocala Regional Med Ctr
Orthopaedic Surgery Pgm
1431 SW First Ave
Ocala, FL 34471
Tel: (352) 401-8323
Fax:
E-mail: traci.howard@hcahealthcare.com","Traci  Howard
Ocala Regional Med Ctr
Bitzer Bldg GME
1431 SW First Ave
Ocala, FL 34471
Tel: (352) 401-1348
Fax:
E-mail: traci.howard@hcahealthcare.com",2601100222,"Ocala Regional Med Ctr, Orthopaedic Surgery Pgm, 1431 SW First Ave, Ocala, FL 34471","6850 Lake Nona Blvd, Orlando, FL 32827-7408","1431 SW 1st Ave, Ocala, FL 34471","3659 S Miami Ave, Miami, FL 33133","6500 Newberry Rd, Gainesville, FL 32605","6535 Nemours Pkwy, Orlando, FL 32827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2601122184,5,5,No,Yes,July,Yes,No,http://www.orlandohealth.com,Not Available,"Joshua R Langford
MD
Orlando Regional Med Ctr
5th Fl
1222 S Orange Ave
Orlando, FL 32806
Tel: (321) 841-1745
Fax: (321) 841-1870
E-mail: joshua.langford@orlandohealth.com","Julie R Brown
Orlando Regional Med Ctr
5th Fl
1222 S Orange Ave
Orlando, FL 32806
Tel: (321) 841-1745
Fax: (321) 841-1870
E-mail: julie.brown@orlandohealth.com",2601122184,"Orlando Regional Med Ctr, 5th Fl, 1222 S Orange Ave, Orlando, FL 32806","1414 Kuhl Ave, Orlando, FL 32806","1414 Kuhl Ave, Orlando, FL 32806","601 E Rollins, Orlando, FL 32803","12901 Magnolia Dr, Tampa, FL 33612-9497","92 W Miller St, Orlando, FL 32806",Our orthopedic residents are treated as post-doctorate students with emphasis on didactic curriculum as well as a learning-by-doing approach to clinical orthopedic surgery. Extensive hands-on experience is possible because of our high volume and the commitment of our staff to the teaching of orthopedic surgery.,Community-based university affiliated,Orlando Regional Medical Center,5,5,5,No,No,"Yes , Codes: 1107260C0",No,1/31/2021,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/15/2021,11/30/2021,Yes,80,No,No,3,No,Yes,230_230__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,15,0,0,0,15,0,0.0,0.6 to 1,80,24,1.3,Yes,,100.0,0.0,0.0,16.6,83.3,Every fifth night for 12 month(s),10,Every fifth night for 12 month(s),10,Every fifth night for 12 month(s),10,6,10%,N/A,"$59,000.00",15,12,"$61,100.00",15,12,"$63,600.00",15,12,No answer,27,60,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Required,Yes,Yes,Yes,"3450 Hull Rd, Gainesville, FL 32607",,,,(4 wks ),5,5,Every fifth night for 12 month(s),10,Every fifth night for 12 month(s),10,"$57,000.00",15,12,"$66,200.00",15,12,,Yes,,,,,
0,https://freida.ama-assn.org/program/2601112207,5,5,No,Yes,July,Yes,No,http://www.health.usf.edu/medicine/orthopaedic/residency/conference.htm,Not Available,"Hassan  Mir
MD
USF Health Morsani Coll of Med
HMT 710
5 Tampa General Circle
Tampa, FL 33606
Tel: (813) 253-2068
Fax: (813) 254-4113
E-mail: nrives@usf.edu","Nikki  Rives
USF Health Morsani Coll of Med
HMT 710
5 Tampa General Circle
Tampa, FL 33606
Tel: (813) 253-2068
Fax: (813) 254-4113
E-mail: nrives@usf.edu",2601112207,"USF Health Morsani Coll of Med, HMT 710, 5 Tampa General Circle, Tampa, FL 33606","12901 N Bruce B Downs Blvd, Tampa, FL 33612","501 Sixth Ave S, St Petersburg, FL 33701","13000 Bruce B Downs Blvd, Tampa, FL 33612-4798","12502 N Pine Dr, Tampa, FL 33612","12901 Magnolia Dr, Tampa, FL 33612-9497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Tampa General Circle, Tampa, FL 33601","1324 Lakeland Hills Blvd, Lakeland, FL 33805","3100 E Fletcher Ave, Tampa, FL 33613-4688","13020 Telecom Pkwy N, Tampa, FL 33637",,,,,,,,,,,,,,"7171 N Dale Mabry Hwy, Tampa, FL 33614",,"13020 Telecom Pkwy N, Tampa, FL 33637","13330 Laurel Dr, Tampa, FL 33612","2600 Bruce B Downs Blvd, Wesley Chapel, FL 33544",,
0,https://freida.ama-assn.org/program/2601221039,5,5,No,Yes,July,Yes,No,http://www.ortho.emory.edu,Not Available,"Thomas L Bradbury
MD
Emory Univ Sch of Med
Orthopaedics Pgm
57 Executive Park Dr S
Atlanta, GA 30303
Tel: (404) 778-7188
Fax: (404) 778-1551
E-mail: tom.bradbury@emory.edu","J L  Reed
MFA
Emory Univ Sch of Med
Ste 120
57 Executive Park Dr S
Atlanta, GA 30329
Tel: (404) 778-2516
Fax: (404) 778-8192
E-mail: jlreed2@emory.edu",2601221039,"Emory Univ Sch of Med, Orthopaedics Pgm, 57 Executive Park Dr S, Atlanta, GA 30303","1440 Clifton Rd NE, Atlanta, GA 30322","80 Butler St SE, Atlanta, GA 30335","1364 Clifton Rd NE, Atlanta, GA 30322","550 Peachtree St NE, Atlanta, GA 30365-2225","1670 Clairmont Rd, Decatur, GA 30033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1968 Peachtree Rd NW, Atlanta, GA 30309","1405 Clifton Rd NE, Atlanta, GA 30322-1101","6325 W Johns Crossing, Johns Creek, GA 30097","1455 Montreal Rd, Tucker, GA 30084",,,,,,,,,,,,,,"59 Executive Park S, Atlanta, GA 30329",,,,,,
0,https://freida.ama-assn.org/program/2601222113,5,5,Yes,Yes,July,Yes,No,https://www.wellstar.org,Not Available,"Steven M Kane
MD
Atlanta Med Ctr
Box 423
303 Parkway Dr NE
Atlanta, GA 30312
Tel: (404) 265-4609
Fax: (404) 265-4989
E-mail: steve.kane@wellstar.org","Cheryl J Cundy
MS
Atlanta Med Ctr
Box 442
303 Parkway Dr NE
Atlanta, GA 30312
Tel: (404) 265-1579
Fax: (404) 265-4989
E-mail: cheryl.cundy@wellstar.org",2601222113,"Atlanta Med Ctr, Box 423, 303 Parkway Dr NE, Atlanta, GA 30312","303 Parkway Dr NE, Atlanta, GA 30312","1364 Clifton Rd NE, Atlanta, GA 30322","1968 Peachtree Rd NW, Atlanta, GA 30309","80 Butler St SE, Atlanta, GA 30335","1101 Johnson Ferry Rd NE, Atlanta, GA 30342-1600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"980 Johnson Ferry Rd, Atlanta, GA 30342","3000 Hospital Blvd, Roswell, GA 30076","6645 Lake Dr, Morrow, GA 30260","77 Collier Rd NW, Atlanta, GA 30309",,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2601221114,5,5,No,Yes,July,Yes,No,http://www.augusta.edu/mcg/orthopaedics/,Not Available,"Kelly Cornett Homlar
MD
Med Coll of Georgia/Augusta Univ
Dept of Orthopaedic Surgery BP-2109
1120 15th St
Augusta, GA 30912
Tel: (706) 721-1633
Fax: (706) 721-1794
E-mail: khomlar@augusta.edu","Shannon  Williford
Med Coll of Georgia/Augusta Univ
Dept of Orthopaedic Surgery BP-2130
1120 15th St
Augusta, GA 30912-3040
Tel: (706) 721-1633
Fax: (706) 721-1794
E-mail: swillifo@augusta.edu",2601221114,"Med Coll of Georgia/Augusta Univ, Dept of Orthopaedic Surgery BP-2109, 1120 15th St, Augusta, GA 30912","1120 15th St, Augusta, GA 30912-5000","1 Freedom Way, Augusta, GA 30904-6285",,,,,Community-based university affiliated,Medical College of Georgia,4,4,4,No,No,"Yes , Codes: 1985260C0",No,10/31/2020,12/1/2020 - 1/31/2021_-,,,Yes,47,No,No,3,No,Yes,230___,No,Greater than 245,"No, require USMLE scores for all applicants",No Answer,No Answer,Required,Yes,No,Yes,15,1,0,0,15,1,13.3,0.7 to 1,70,24,1.5,No,Yes,100.0,0.0,0.0,0.0,100.0,N/A,0,N/A,0,Every eleventh night or more for 12 month(s),0,6,50%,N/A,"$55,403.00",15,NGO,"$57,273.00",15,NGO,"$59,705.00",15,NGO,No answer,NGO,0,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Required,No,No,Yes,,,,,(12 wks ),4,4,Every sixth night for 12 month(s),NGO,Every sixth night for 12 month(s),NGO,"$53,586.00",15,NGO,"$62,171.00",15,NGO,,,,,,,
0,https://freida.ama-assn.org/program/2601221192,5,5,No,Yes,July,No,Yes,https://eisenhower.amedd.army.mil/,Not Available,"Keith L Jackson
MD
Dwight David Eisenhower Army Med Ctr
Orthopaedic Surgery Services
300 E Hospital Rd
Fort Gordon, GA 30905-5650
Tel: (706) 787-7161
Fax:
E-mail: keith.l.jackson58.mil@mail.mil","Geraldine A Wilson
Dwight David Eisenhower Army Med Ctr
Orthopaedic Surgery Services
300 E Hospital Rd
Fort Gordon, GA 30905-5650
Tel: (706) 787-1647
Fax: (706) 787-2565
E-mail: geraldine.a.wilson2.civ@mail.mil",2601221192,"Dwight David Eisenhower Army Med Ctr, Orthopaedic Surgery Services, 300 E Hospital Rd, Fort Gordon, GA 30905-5650","300 E Hospital Dr, Fort Gordon, GA 30905","1350 Walton Way, Augusta, GA 30901-2629","1101 Johnson Ferry Rd NE, Atlanta, GA 30342-1600","3651 Wheeler Rd, Augusta, GA 30910","1120 15th St, Augusta, GA 30912-5000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Richland Medical Pk, Columbia, SC 29203",,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2601421068,5,5,No,Yes,July,Yes,No,http://www.hawaiiresidency.org/,Not Available,"Lorrin S Lee
MD
Univ of Hawaii John A Burns Sch of Med
Orthopaedic Pgm 6th Fl
1356 Lusitana St
Honolulu, HI 96813
Tel: (808) 586-8233
Fax: (808) 586-3022
E-mail: jcastelo@hawaiiresidency.org","Jamie  Castelo
BA
Univ of Hawaii John A Burns Sch of Med
Orthopaedic Pgm 6th Fl
1356 Lusitana St
Honolulu, HI 96813-2478
Tel: (808) 586-8233
Fax: (808) 586-3022
E-mail: jcastelo@hawaiiresidency.org",2601421068,"Univ of Hawaii John A Burns Sch of Med, Orthopaedic Pgm 6th Fl, 1356 Lusitana St, Honolulu, HI 96813","1356 Lusitana St, Honolulu, HI 96813","1301 Punchbowl St, Honolulu, HI 96813","1310 Punahou St, Honolulu, HI 96826-1099","1319 Punahou St, Honolulu, HI 96826-1032","1 Jarrett White Rd, Honolulu, HI 96859-5000","Our program believes in a broad and varied understanding to the approach of evaluation and care of those with diseases of the musculoskeletal system. Our intent is to provide the opportunity and stimulation to become a competent, skillful and well-rounded orthopaedic surgeon.",Community-based university affiliated,Queen's Medical Center,2,2,2,No,No,"Yes , Codes: 3350260C1,3350260C0",No,12/1/2020,1/1/2021 - 2/10/2021_1/1/2022 - 2/10/2022,9/1/2021,12/1/2021,Yes,13,No,No,3,No,Yes,230___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,0,0,11,0,11,0,,0.5 to 1,80,24,1,No,No,90.6,9.3,0.0,28.1,71.8,Every third night for 6 month(s),0,Every third night for 12 month(s),0,Other for 12 month(s),16,8,20%,10%,"$62,463.00",21,12,"$63,868.00",21,12,"$69,419.00",21,12,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,Yes,Yes,"888 S King St, Honolulu, HI 96813","1401 S Beretania St, Honolulu, HI 96814","325 Ninth Ave, Seattle, WA 98104-2499",,,2,2,Other for 12 month(s),24,Other for 12 month(s),48,"$61,133.00",21,12,"$70,619.00",21,12,,,,,,,
