,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system (Residents participate during first year),Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,
0,https://freida.ama-assn.org/program/4300521008,4,4,No,No,July,Yes,No,http://radonc.ucla.edu/medical-residency-program,Not Available,"Ann C Raldow
MD, MPH
UCLA Med Ctr
Ste B265
200 UCLA Medical Plaza
Los Angeles, CA 90095
Tel: (310) 825-9771
Fax: (310) 794-1984
E-mail: uclaradoncedu@mednet.ucla.edu","Katherine E Rose
UCLA Med Ctr
Ste B265
200 UCLA Medical Plaza
Los Angeles, CA 90095
Tel: (310) 825-9771
Fax: (310) 794-1984
E-mail: uclaradoncedu@mednet.ucla.edu",4300521008,"UCLA Med Ctr, Ste B265, 200 UCLA Medical Plaza, Los Angeles, CA 90095","10833 Le Conte Ave, Los Angeles, CA 90024","1250 16th St, Santa Monica, CA 90404","757 Westwood Plaza, Los Angeles, CA 90095","11301 Wilshire Blvd, Los Angeles, CA 90073-2128","UCLA radiation oncology department occupies a special position at the forefront of technological advances (ViewRay), didactic lecture series/curriculum, and renowned faculty. In addition, Los Angeles is home to a rich variety of cultural and recreational opportunities and activities, and our residents have ample to time to explore them.",University-based,UCLA David Geffen School of Medicine/UCLA Medical Center,3,3,3,3,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1956430A0",,-_12/1/2020 - 1/31/2021,9/15/2020,11/1/2020,Yes,33,No,No,3,No,Yes,200__400_,No,226-235,Yes,No,No Answer,Not required,Yes,No,Yes,16,21,0,0,16,21,37.5,1.3 to 1,50,10,2,No,No,100,0,0,37.1,62.8,N/A,12,N/A,10,N/A,3,N/A,12,6,100%,N/A,,,,"$63,954.00",20,10,"$66,467.00",20,10,"$69,081.00",20,10,No answer,20,60,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,No,,,,,,,(40 wks ),,,,,,,,"$72,519.00",20,10,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300521115,4,4,No,No,July,Yes,No,https://residency-scal-kaiserpermanente.org/residency/radiationoncology/,Not Available,"Jergin  Chen
MD
Kaiser Permanente Los Angeles
Ctr for Med Education 3rd Fl
4733 Sunset Blvd
Los Angeles, CA 90027
Tel: (877) 574-0002
Fax:
E-mail: socal.residency@kp.org","Ani  Arzrounian
Kaiser Permanente Regional Offices
GME Admin
393 E Walnut St
Pasadena, CA 91188
Tel: (877) 574-0002
Fax: (626) 405-6581
E-mail: ani.arzrounian@kp.org",4300521115,"Kaiser Permanente Los Angeles, Ctr for Med Education 3rd Fl, 4733 Sunset Blvd, Los Angeles, CA 90027","4733 Sunset Blvd, Los Angeles, CA 90027","4867 Sunset Blvd, Los Angeles, CA 90027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300521005,4,4,Yes,Yes,"July,Negotiable",Yes,No,http://www.radonc.uci.edu/,Not Available,"Jeffrey  Kuo
MD
UC Irvine Med Ctr
Bldg 23 Ste 139 RT-26
101 The City Dr S
Orange, CA 92868
Tel:
Fax:
E-mail: jvkuo@hs.uci.edu","Ruby  Pulido
MHA
UC Irvine Med Ctr
Bldg 23 Rte 26
101 The City Dr S
Orange, CA 92868
Tel: (714) 456-8095
Fax: (714) 456-7170
E-mail: rpulido2@hs.uci.edu",4300521005,"UC Irvine Med Ctr, Bldg 23 Ste 139 RT-26, 101 The City Dr S, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201","2801 Atlantic Ave, Long Beach, CA 90801-1428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300522132,4,4,No,No,July,Yes,No,http://www.ucdmc.ucdavis.edu/radonc/,Not Available,"Ruben C Fragoso
MD, PhD
UC Davis Cancer Ctr
Ste G0140
4501 X St
Sacramento, CA 95817
Tel: (916) 734-8276
Fax: (916) 703-5069
E-mail: rcfragoso@ucdavis.edu","Tina  Roberts
UC Davis Cancer Ctr
Ste G0140
4501 X St
Sacramento, CA 95817
Tel: (916) 734-8688
Fax: (916) 703-5069
E-mail: tcroberts@ucdavis.edu",4300522132,"UC Davis Cancer Ctr, Ste G0140, 4501 X St, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","10710 Donner Pass Rd, Truckee, CA 96161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300521013,4,4,Yes,Yes,July,Yes,No,,Not Available,"Steve E Braunstein
MD, PhD
UCSF Med Ctr
Long 75
505 Parnassus Ave
San Francisco, CA 94143
Tel: (415) 353-8900
Fax: (415) 353-8679
E-mail: miriam.gray@ucsf.edu","Miriam  Gray
UCSF Med Ctr
Dept of Radiation Oncology Ste 225
1855 Folsom St
San Francisco, CA 94103
Tel: (415) 514-2345
Fax:
E-mail: miriam.gray@ucsf.edu",4300521013,"UCSF Med Ctr, Long 75, 505 Parnassus Ave, San Francisco, CA 94143","500 Parnassus Ave, San Francisco, CA 94143-0474","500 Parnassus Ave, San Francisco, CA 94143-0296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300511014,4,4,No,No,July,Yes,No,http://radonc.stanford.edu/,Not Available,"Scott G Soltys
MD
Stanford Health Care
Dept of Radiation Oncology G224
875 Blake Wilbur Dr
Stanford, CA 94305
Tel: (650) 724-7673
Fax: (650) 725-3865
E-mail: jefrank@stanford.edu","Jessica  Frank
BS
Stanford Univ Med Ctr
Dept of Radiation Oncology G224
875 Blake Wilbur Dr
Stanford, CA 94305-5847
Tel: (650) 724-7673
Fax: (650) 725-3865
E-mail: jefrank@stanford.edu",4300511014,"Stanford Health Care, Dept of Radiation Oncology G224, 875 Blake Wilbur Dr, Stanford, CA 94305","300 Pasteur Dr, Stanford, CA 94305-4007","751 S Bascom Ave, San Jose, CA 95128-2180","700 Lawrence Expressway, Santa Clara, CA 95051",,"The program provides a moving allowance (new hires only), annual educational allowance, cell phone allowance, food allowance (shifts of 12 hours or longer), housing stipend (paid monthly), cost of initial California MD license and renewals, cost of initial DEA and renewals, and one percent annual bonus based on completion of a quality improvement project.",University-based,Stanford Health Care,4,4,5,4,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1820430A0",,-_12/2/2020 - 2/19/2021,,12/1/2020,No,36,No,No,2,No,Yes,___,No,No Answer,No Answer,No Answer,No Answer,Not known,No,No,No,18,5,0,0,18,5,50,1.0 to 1,45,Not Available,Not Available,No,No,100,0,0,27.9,72,Other for 7 week(s),9,Other for 7 week(s),9,Array for 1,6,Array for 1,8,8,NGO,N/A,,,,"$71,856.00",15,20,"$77,319.00",15,20,"$81,689.00",15,20,No answer,NGO,NGO,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,No,,,,,,,,,,,,,,,"$86,810.00",15,20,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300713130,4,4,No,No,July,Yes,No,http://www.ucdenver.edu,Not Available,"Christine M Fisher
MD, MPH
Univ of Colorado Denver Sch of Med
Ste 1032 MSF706
1665 Aurora Ct
Aurora, CO 80045
Tel: (720) 848-0154
Fax: (720) 848-0222
E-mail: francina.jeelani@ucdenver.edu","Francina N Jeelani
Univ of Colorado Denver Sch of Med
Mail Stop F706 Ste 1032
1665 Aurora Ct
Aurora, CO 80045
Tel: (720) 848-0154
Fax: (720) 848-0222
E-mail: francina.jeelani@ucdenver.edu",4300713130,"Univ of Colorado Denver Sch of Med, Ste 1032 MSF706, 1665 Aurora Ct, Aurora, CO 80045","13001 E 17th Pl, Aurora, CO 80045","12605 E 16th Ave, Aurora, CO 80045","13123 E 16th Ave, Aurora, CO 80045",,,University-based,University of Colorado Hospital,2,2,2,2,"Yes  , 1 year(s)",No,No,"No , Codes: 1076430A0",,-_11/16/2020 - 1/15/2021,8/31/2020,10/16/2020,Yes,50,No,No,3,No,Yes,245_230__,Yes,236-245,No,No,No Answer,Required,Yes,Yes,Yes,9,9,1,2,10,11,44.4,1.1 to 1,55,12,2,No,No,100,0,0,37.5,62.5,N/A,10,N/A,10,N/A,10,N/A,10,7,100%,N/A,,,,"$58,027.00",15,1,"$60,285.00",15,1,"$62,725.00",15,1,Yes,15,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Required,No,No,Yes,,,,,,,(12 wks ),,,,,,,,"$65,756.00",15,15,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4300811017,4,4,No,No,"June,July",Yes,No,http://radonc.yale.edu,Not Available,"Kimberly L Johung
MD, PhD
Smilow Cancer Ctr
Radiation Oncology LL514
35 Park St
New Haven, CT 06519
Tel: (203) 200-2636
Fax: (203) 200-2640
E-mail: kimberly.johung@yale.edu","Lisa  Zucaro
Yale-New Haven Med Ctr
Radiation Oncology LCI 208
15 York St
New Haven, CT 06520
Tel: (203) 785-2959
Fax: (203) 737-4252
E-mail: lisa.zucaro@yale.edu",4300811017,"Smilow Cancer Ctr, Radiation Oncology LL514, 35 Park St, New Haven, CT 06519","20 York St, New Haven, CT 06504-3316","365 Montauk Ave, New London, CT 06320",,,,University-based,Yale-New Haven Hospital,3,3,3,5,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1089430A0",,-_12/3/2020 - 1/14/2021,9/15/2020,10/20/2020,Yes,40,No,No,3,No,Yes,200___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,Yes,No,23,9,3,0,26,9,34.7,1.7 to 1,48,12,2,Yes,No,100,0,0,38,61.9,N/A,6,N/A,6,N/A,6,N/A,6,6,80%,N/A,,,,"$72,670.00",NGO,NGO,"$76,303.00",NGO,NGO,"$80,118.00",NGO,NGO,No answer,NGO,NGO,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,No,No,,,,,,,,,,,,,,,"$82,522.00",NGO,NGO,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4301021112,4,4,No,Yes,July,Yes,No,https://www.medstarhealth.org/education/,Not Available,"Keith R Unger
MD
MedStar Georgetown Univ Hosp
Radiation Oncology Pgm
3800 Reservoir Rd NW
Washington, DC 20007
Tel: (202) 444-9676
Fax: (202) 444-1610
E-mail: senit.t.hailemariam@gunet.georgetown.edu","Senit  Hailemariam
MedStar Georgetown Univ Hosp
Dept of Radiation Med LL Bles Bldg
3800 Reservoir Rd NW
Washington, DC 20007
Tel: (202) 444-4036
Fax:
E-mail: senit.t.hailemariam@gunet.georgetown.edu",4301021112,"MedStar Georgetown Univ Hosp, Radiation Oncology Pgm, 3800 Reservoir Rd NW, Washington, DC 20007","10980 Grantchester Way, Columbia, MD 21044","3800 Reservoir Rd NW, Washington, DC 20007","110 Irving St NW, Washington, DC 20010","7501 Surratts Rd, Clinton, MD 20735",,University-based,MedStar Georgetown University Hospital,2,1,2,1,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1801430A0",,-_11/12/2020 - 2/12/2021,9/1/2020,,Yes,32,No,No,3,No,Yes,___,No,No Answer,"No, require USMLE scores for all applicants",No,No Answer,"Desired, with some exceptions",Yes,No,No,15,8,0,0,15,8,20,2.5 to 1,55,15,2,Yes,No,100,0,0,27.7,72.2,N/A,13,N/A,13,N/A,13,N/A,13,10,80%,N/A,,,,"$63,200.00",15,NGO,"$65,500.00",15,NGO,"$69,000.00",15,NGO,Yes,15,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,"$71,000.00",15,NGO,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4301112022,4,4,No,Yes,July,Yes,No,http://radonc.med.ufl.edu/,Not Available,"Anamaria  Yeung
MD
Univ of Florida Coll of Med
PO Box 100385
2000 SW Archer Rd
Gainesville, FL 32610
Tel: (352) 265-0287
Fax: (352) 627-4834
E-mail: areyna@shands.ufl.edu","Nora R Martin
Univ of Florida Coll of Med
PO Box 100385
2000 SW Archer Rd
Gainesville, FL 32610
Tel: (352) 265-8726
Fax: (352) 627-4834
E-mail: marnor@shands.ufl.edu",4301112022,"Univ of Florida Coll of Med, PO Box 100385, 2000 SW Archer Rd, Gainesville, FL 32610","1600 SW Archer Rd, Gainesville, FL 32610","1600 SW Archer Rd, Gainesville, FL 32610-0326","655 W 8th St, Jacksonville, FL 32209-6597",,,University-based,Shands Hospital at the University of Florida-Gainesville,3,2,2,2,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1824430A0",11/15/2020,12/5/2020 - 2/1/2021_12/1/2021 - 2/1/2022,9/1/2021,11/15/2021,Yes,35,No,No,3,No,Yes,210___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,Yes,11,2,1,0,12,2,36.3,1.2 to 1,50,12,2,No,No,100,0,0,37.5,62.5,N/A,5,N/A,5,N/A,5,N/A,5,5,100%,N/A,,,,"$56,604.00",15,10,"$58,424.00",15,10,"$60,914.00",15,10,Yes,10,60,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Required,Yes,No,Yes,,,,,,,NGO (wks),,,,,,,,"$63,500.00",15,10,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4301131133,4,4,No,Yes,"June,July,August,Negotiable",Yes,No,http://college.mayo.edu/radiationoncologyresidencyflorida,Not Available,"Laura  Vallow
MD
Mayo Clinic Jacksonville
Stabile 790N
4500 San Pablo Rd
Jacksonville, FL 32224
Tel: (904) 953-8245
Fax: (904) 953-0430
E-mail: vallow.laura@mayo.edu","Kelly E Blitch
Mayo Clinic Jacksonville
Stabile 790N
4500 San Pablo Rd
Jacksonville, FL 32224
Tel: (904) 953-8245
Fax: (904) 953-0430
E-mail: blitch.kelly@mayo.edu",4301131133,"Mayo Clinic Jacksonville, Stabile 790N, 4500 San Pablo Rd, Jacksonville, FL 32224","200 First St SW, Rochester, MN 55905","4500 San Pablo Rd, Jacksonville, FL 32224","2015 N Jefferson St, Jacksonville, FL 32209","660 S Euclid Ave, St Louis, MO 63110-1093",Matching to the specialty program includes a one-year preliminary internal medicine residency (PGY1) that is available only for trainees who complete all of their residency training at Mayo Clinic in Florida.,Community-based university affiliated,Mayo Clinic (Jacksonville),1,1,1,1,"Yes  , 1 year(s)",Yes,"Yes , Codes: 1032430C0",No,,-_11/1/2021 - 1/31/2022,9/15/2021,11/30/2021,Yes,25,No,No,3,No,Yes,_220__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,Yes,Yes,8,3,1,0,9,3,25,2.1 to 1,45,12,2,Yes,No,100,0,0,25,75,N/A,10,N/A,10,N/A,8,N/A,10,8,100%,N/A,,,,"$59,662.00",15,91,"$62,130.00",15,91,"$64,728.00",15,91,Yes,84,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,"$67,521.00",15,91,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4301121023,4,4,No,No,July,Yes,No,http://radonc.med.miami.edu,Not Available,"Cristiane  Takita
MD, MBA
Sylvester Comprehensive Cancer Ctr
Ste 1500 (D-31)
1475 NW 12th Ave
Miami, FL 33136
Tel: (305) 243-4337
Fax: (305) 243-4363
E-mail: ctakita@med.miami.edu","Yamira  Cuervo
Sylvester Comprehensive Cancer Ctr
Ste 1500 (D-31)
1475 NW 12th Ave
Miami, FL 33136
Tel: (305) 243-4337
Fax: (305) 243-9604
E-mail: ycuervo@med.miami.edu",4301121023,"Sylvester Comprehensive Cancer Ctr, Ste 1500 (D-31), 1475 NW 12th Ave, Miami, FL 33136","1611 NW 12th Ave, Miami, FL 33136","1475 NW 12th Ave, Miami, FL 33136",,,"Additional travel expense allowance, mobile allowance, lab coat dry cleaning service, meal card, publication incentive program and research opportunities.",University-based,University of Miami/Jackson Health System,4,4,1,3,"Yes  , 1 year(s)",No,No,No,,-_1/8/2021 - 1/29/2021,11/9/2020,12/18/2020,No,31,No,No,3,No,Yes,220___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,No,17,13,0,0,17,13,23.5,1.4 to 1,50,12,2,No,No,100,0,0,29.5,70.4,N/A,6,N/A,5,N/A,4,N/A,3,10,50%,50%,,,,"$58,727.00",28,14,"$60,895.00",28,14,"$63,471.00",28,14,Yes,14,Not Available,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Required,Yes,Yes,Yes,,,,,,,(24 wks ),,,,,,,,"$66,020.00",28,14,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4301131136,4,4,No,Yes,July,Yes,No,https://www.moffitt.org,Not Available,"Jessica  Frakes
MD
H Lee Moffitt Cancer Ctr
MCC-GME
12902 USF Magnolia Dr
Tampa, FL 33612
Tel:
Fax: (813) 745-4064
E-mail: jessica.frakes@moffitt.org","Angie D Courtney
BS
H Lee Moffitt Cancer Ctr
MCC-GME
12902 USF Magnolia Dr
Tampa, FL 33612
Tel: (813) 745-8535
Fax: (813) 449-8398
E-mail: angie.courtney@moffitt.org",4301131136,"H Lee Moffitt Cancer Ctr, MCC-GME, 12902 USF Magnolia Dr, Tampa, FL 33612","12901 N Bruce B Downs Blvd, Tampa, FL 33612","12901 Magnolia Dr, Tampa, FL 33612-9497","13000 Bruce B Downs Blvd, Tampa, FL 33612-4798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
