,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Night float system,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Participant 5,Participant 6,Participant 7,Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Participant 8,Participant 9,Participant 10,Participant 11,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7
0,https://freida.ama-assn.org/program/4403512198,Community-based university affiliated,Nassau University Medical Center,5,6,No,Yes,July,Yes,No,http://www.numc.edu/,Not Available,"Elizabeth  Cirincione
MD
Nassau Univ Med Ctr
Box 34
2201 Hempstead Trnpk
East Meadow, NY 11554
Tel: (516) 572-6703
Fax: (516) 572-5140
E-mail: ecirinci@numc.edu","Christine  Falk
MBA
Nassau Univ Med Ctr
Surgery Pgm
2201 Hempstead Trnpk
East Meadow, NY 11554
Tel: (516) 296-3389
Fax: (516) 572-5140
E-mail: cbarbou@numc.edu",4403512198,"Nassau Univ Med Ctr, Box 34, 2201 Hempstead Trnpk, East Meadow, NY 11554","2201 Hempstead Trnpk, East Meadow, NY 11554-1854","270-05 76th Ave, New Hyde Park, NY 11040","102-01 66th Rd, Forest Hills, NY 11375","540 First Ave, New York, NY 10016",,,10,5,3,3,3,No,Yes,"Yes , Codes: 1448440C0,1448440P0",No,10/15/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,10/15/2021,11/1/2021,No,60,No,No,3,No,Yes,230_240__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",Greater than 600,Required,Yes,No,No,10,0,8,0,18,0,20,0.5 to 1,72,24,1,No,Yes,21,72.3,6.6,29,70.9,Two times per week for 8 month(s),0,Two times per week for 8 month(s),0,Two times per week for 8 month(s),0,Two times per week for 8 month(s),0,Two times per week for 8 month(s),Not Available,6,25%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,Not Available,20,NGO,No answer,NGO,NGO,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,"Available, Not Paid By Institution",Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Not available,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500447,,,5,5,No,Yes,June,Yes,No,http://www.arnothealthgme.org/,Not Available,"David  Harrison
MD
Arnot Ogden Med Ctr
Surgery Pgm
600 Roe Ave
Elmira, NY 14905
Tel:
Fax:
E-mail: pmowry@arnothealth.org","Paula  Mowry
Arnot Ogden Med Ctr
Surgery Pgm
600 Roe Ave
Elmira, NY 14905
Tel: (607) 442-1713
Fax:
E-mail: pmowry@arnothealth.org",4403500447,"Arnot Ogden Med Ctr, Surgery Pgm, 600 Roe Ave, Elmira, NY 14905","600 Roe Ave, Elmira, NY 14905","601 Elmwood Ave, Rochester, NY 14642","1111 E End Blvd, Wilkes-Barre, PA 18711-0026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500448,,,5,5,Yes,Yes,July,Yes,No,,Not Available,"Jackie  Battista
DO, MPH
St John's Episcopal Hosp-South Shore
Surgery Pgm
327 Beach 19th St
Far Rockaway, NY 11691
Tel: (718) 869-7256
Fax:
E-mail: jbattist@ehs.org","Michael  Pearsall
St John's Episcopal Hosp-South Shore
Surgery Pgm
327 Beach 19th St
Far Rockaway, NY 11691
Tel: (718) 869-7360
Fax:
E-mail: mpearsal@ehs.org",4403500448,"St John's Episcopal Hosp-South Shore, Surgery Pgm, 327 Beach 19th St, Far Rockaway, NY 11691","327 Beach 19th St, Far Rockaway, NY 11691","225 Williamson St, Elizabeth, NJ 07207-0696","1275 York Ave, New York, NY 10021","2201 Hempstead Trnpk, East Meadow, NY 11554-1854","622 W 168th St, New York, NY 10032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3959 Broadway, New York, NY 10032",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500443,,,5,5,No,Yes,July,Yes,No,http://www.flushinghospital.org/,Not Available,"Nageswara  Mandava
MD
Flushing Hosp Med Ctr
Ste 206A
4500 Parsons Blvd
Flushing, NY 11355
Tel: (718) 670-3135
Fax: (718) 670-4449
E-mail: nmandava.flushing@jhmc.org","Tricia  Birbal
Flushing Hosp Med Ctr
Ste 206
4500 Parsons Blvd
Flushing, NY 11355
Tel: (718) 670-5000
Fax: (718) 670-4449
E-mail: tbirbal.flushing@jhmc.org",4403500443,"Flushing Hosp Med Ctr, Ste 206A, 4500 Parsons Blvd, Flushing, NY 11355","45th Ave at Parsons Blvd, Flushing, NY 11355","100 Woods Rd, Valhalla, NY 10595","585 Schenectady Ave, Brooklyn, NY 11203-1891","269-01 76th Ave, New Hyde Park, NY 11040","825 Chalkstone Ave, Providence, RI 02908-4735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403511205,Community-based university affiliated,NewYork-Presbyterian/Queens,5,5,No,Yes,"June,July",Yes,No,http://www.nyhq.org/Surgery_Residency,Not Available,"Christopher  Foglia
MD
NewYork-Presbyterian/Queens
LL300
56-45 Main St
Flushing, NY 11355
Tel: (718) 670-1572
Fax: (718) 670-1864
E-mail: cmf2004@nyp.org","Samantha  Murdock
NewYork-Presbyterian/Queens
LL300
56-45 Main St
Flushing, NY 11355
Tel: (718) 670-1572
Fax: (718) 670-1864
E-mail: sam9168@nyp.org",4403511205,"NewYork-Presbyterian/Queens, LL300, 56-45 Main St, Flushing, NY 11355","56-45 Main St, Flushing, NY 11355-5095","622 W 168th St, New York, NY 10032",,,,,11,5,5,5,5,No,Yes,"Yes , Codes: 1822440P0,1822440C0",No,11/2/2020,11/4/2020 - 1/13/2021_11/3/2021 - 1/12/2022,9/15/2021,11/3/2021,Yes,125,No,No,3,No,Yes,220_220__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,22,2,0,0,22,2,22.7,0.7 to 1,72,27,1,No,Yes,64.2,18.3,17.3,43.1,56.8,Every fifth night for 12 month(s),0,Every third night for 6 month(s),0,Every fourth night for 11 month(s),0,Every fourth night for 11 month(s),0,Every fourth night for 12 month(s),Not Available,6,20%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$65,511.00",20,5,"$67,830.00",20,5,"$70,130.00",20,5,"$71,716.00",20,5,"$76,550.00",20,5,No answer,180,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Optional,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500446,Community-based,Garnet Health Medical Center,5,5,No,Yes,July,Yes,No,https://www.ormc.org/about-us/graduate-medical-education/general-surgery-pr,Not Available,"Robert M Lincer
MD
Garnet Health Med Ctr
Surgery Pgm
707 E Main St
Middletown, NY 10940
Tel: (845) 333-1749
Fax:
E-mail: rlincer@garnethealth.org","Adriane  Pratt
Garnet Health Med Ctr
Surgery Pgm
707 E Main St
Middletown, NY 10940
Tel: (845) 333-1753
Fax:
E-mail: apratt@ghvhs.org",4403500446,"Garnet Health Med Ctr, Surgery Pgm, 707 E Main St, Middletown, NY 10940","707 E Main St, Middletown, NY 10940","1400 Pelham Pkwy S, Bronx, NY 10461","100 Woods Rd, Valhalla, NY 10595","525 E 68th St, New York, NY 10021","1275 York Ave, New York, NY 10021",,3,3,3,3,3,No,No,"Yes , Codes: 2230440C0",No,11/30/2020,10/24/2020 - 12/19/2020_10/23/2021 - 12/18/2021,10/11/2021,12/18/2021,Yes,65,No,No,3,Yes,Yes,225_225_550_550,Yes,210-225,Yes,Yes,450-500,Required,No,No,No,3,0,3,0,6,0,0,0.3 to 1,80,24,1,No,Yes,,,,,,Two times per week for 48 week(s),NGO,Two times per week for 48 week(s),NGO,Two times per week for 48 week(s),NGO,Two times per week for 48 week(s),NGO,Two times per week for 48 week(s),NGO,10,20%,20%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$62,885.00",NGO,NGO,"$65,086.00",NGO,NGO,"$76,545.00",NGO,NGO,"$80,372.00",NGO,NGO,"$84,391.00",NGO,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Required,(4 wks ),No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500451,,,5,5,No,Yes,July,Yes,No,,Not Available,"James C Maurer
MD
NYU Winthrop Hosp
Surgery Pgm
259 First St
Mineola, NY 11501
Tel: (516) 663-1624
Fax: (516) 663-8707
E-mail: james.maurer@nyulangone.org","Rachelle  Barthelemy
MPA
NYU Winthrop Hosp
Surgery Pgm
222 Station Plaza N
Mineola, NY 11501
Tel: (516) 663-1625
Fax:
E-mail: rachelle.barthelemy@nyulangone.org",4403500451,"NYU Winthrop Hosp, Surgery Pgm, 259 First St, Mineola, NY 11501","259 First St, Mineola, NY 11501-3957","525 E 68th St, New York, NY 10021-1234","540 First Ave, New York, NY 10016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403513411,University-based,North Shore University Hospital-Northwell Health,5,5,No,Yes,July,Yes,No,http://www.northwell.com,Not Available,"Vihas  Patel
MD
Long Island Jewish Med Ctr
Oncology Bldg Rm B235D
270-05 76th Ave
New Hyde Park, NY 11040
Tel: (718) 470-4475
Fax:
E-mail: vpatel13@northwell.edu","Gabrielle  Grubman
MBA
Long Island Jewish Med Ctr
Research Bldg C Level Rm 039AB
270-05 76th Ave
New Hyde Park, NY 11040
Tel: (718) 470-4475
Fax: (718) 962-2239
E-mail: ggrubman@northwell.edu",4403513411,"Long Island Jewish Med Ctr, Oncology Bldg Rm B235D, 270-05 76th Ave, New Hyde Park, NY 11040","125 Community Dr, Great Neck, NY 11021","300 Community Dr, Manhasset, NY 11030","475 Seaview Ave, Staten Island, NY 10305-3498","270-05 76th Ave, New Hyde Park, NY 11040","6411 Fannin St, Houston, TX 77030-1501",,34,10,8,8,8,No,Yes,"Yes , Codes: 1700440P0,1700440C0",No,12/1/2020,11/13/2020 - 1/22/2021_11/1/2021 - 1/31/2022,9/15/2021,12/1/2021,Yes,150,No,No,3,No,Yes,215_215_400_400,Yes,226-235,Yes,Yes,501-540,Required,Yes,Yes,Yes,35,0,0,0,35,0,14.2,0.5 to 1,72,24,1,No,,94.7,4.7,0.5,44,55.9,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),Not Available,5,10%,5%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$73,000.00",20,NGO,"$75,000.00",20,NGO,"$77,000.00",20,NGO,"$78,500.00",20,NGO,"$80,000.00",20,NGO,Yes,90,NGO,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not available,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403521225,,,5,5,No,No,July,Yes,No,http://icahn.mssm.edu/departments-and-institutes/surgery,Not Available,"Celia M Divino
MD
Mount Sinai Med Ctr
Dept of Surgery Box 1259
5 E 98th St
New York, NY 10029
Tel: (212) 241-5871
Fax: (212) 241-2206
E-mail: celia.divino@mountsinai.org","Omayra  Lambert
MBA
Mount Sinai Med Ctr
PO Box 1259
1 Gustave L Levy Pl
New York, NY 10029
Tel: (212) 241-5967
Fax: (212) 241-2206
E-mail: omayra.lambert@mountsinai.org",4403521225,"Mount Sinai Med Ctr, Dept of Surgery Box 1259, 5 E 98th St, New York, NY 10029","One Gustave L Levy Pl, New York, NY 10029-6574","350 Engle St, Englewood, NJ 07631","82-68 164th St, Jamaica, NY 11432","130 W Kingsbridge Rd, Bronx, NY 10468","79-01 Broadway, Elmhurst, NY 11373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1425 Madison Ave, New York, NY 10029",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403521229,University-based,NewYork-Presbyterian/Columbia University Medical Center,5,5,No,Yes,June,Yes,No,http://www.columbiasurgery.org/residency/,Not Available,"Steven A Lee-Kong
MD
NewYork-Presbyterian/Columbia Univ Med Ctr
7th Fl GS Ste 313
177 Fort Washington Ave
New York, NY 10032
Tel: (212) 305-3038
Fax:
E-mail: sal116@cumc.columbia.edu","Marlene  Haselbauer
NewYork-Presbyterian/Columbia Univ Med Ctr
Surgery Pgm
177 Fort Washington Ave
New York, NY 10032
Tel: (212) 305-3038
Fax: (212) 305-8321
E-mail: mh487@cumc.columbia.edu",4403521229,"NewYork-Presbyterian/Columbia Univ Med Ctr, 7th Fl GS Ste 313, 177 Fort Washington Ave, New York, NY 10032","525 E 68th St, New York, NY 10021","622 W 168th St, New York, NY 10032","99 Beauvoir Ave, Summit, NJ 07902","150 Bergen St, Newark, NJ 07103",,The general surgical residency program offers a broad exposure to general surgery and to research options for interested candidates. There are electives in GS specialties. An international rotation is available.,15,7,7,7,7,No,Yes,"Yes , Codes: 1495440P2,1495440P0,1495440C0",No,10/31/2020,11/14/2020 - 1/9/2021_11/13/2021 - 1/8/2022,8/1/2021,10/31/2021,Yes,95,No,No,3,No,Yes,230___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,No,No,65,0,0,0,65,0,15.3,1.5 to 1,80,24,1,Yes,Yes,90,7.4,2.4,44.7,55.2,Every third night for 1 month(s),0,Every third night for 1 month(s),0,Every third night for 1 month(s),0,Every fourth night for 1 month(s),0,N/A,48,5,20%,5%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$73,489.00",20,30,"$79,359.00",20,30,"$85,864.00",20,30,"$88,277.00",20,30,"$91,276.00",20,30,No answer,30,14,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Optional,,No,No,No,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403500438,Community-based university affiliated,NYC Health + Hospitals/Metropolitan,5,5,No,Yes,July,Yes,No,http://www.nymcatmet.org,Not Available,"Marc K Wallack
MD
NYC Health+Hosps/Metropolitan
Surgery Pgm
1901 First Ave
New York, NY 10029
Tel: (212) 423-6614
Fax:
E-mail: marc.wallack@nychhc.org","Theresa  Garcia
BA
NYC Health+Hosps/Metropolitan
Surgery Pgm Rm 12A18
1901 First Ave
New York, NY 10029
Tel: (212) 423-6058
Fax: (212) 423-7913
E-mail: theresa.garcia@nychhc.org",4403500438,"NYC Health+Hosps/Metropolitan, Surgery Pgm, 1901 First Ave, New York, NY 10029","40 Sunshine Cottage Rd, Valhalla, NY 10595","1901 First Ave, New York, NY 10029","703 Main St, Paterson, NJ 07503-2691","1275 York Ave, New York, NY 10021","100 Woods Rd, Valhalla, NY 10595",Link on New York Medical College website Our website is currently being updated and under construction.,10,7,4,5,3,No,Yes,"Yes , Codes: 1473440C0,1473440P0",No,12/15/2020,12/19/2020 - 2/6/2021_12/17/2021 - 2/4/2022,9/1/2021,12/15/2021,Yes,122,No,No,3,No,Yes,220_220__400,Yes,226-235,Yes,Yes,Below 450,Required,Yes,No,No,16,0,8,0,24,0,18.7,0.6 to 1,80,24,1,No,,70.8,26.4,2.7,40.2,59.7,Every third night for week(s),0,Every third night for week(s),0,Every third night for week(s),0,Every third night for week(s),0,Every third night for week(s),Not Available,4,33%,N/A,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$66,247.00",28,12,"$68,988.00",28,12,"$74,469.00",28,12,"$77,049.00",28,12,"$79,307.00",28,12,Yes,NGO,NGO,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Not available,,No,No,Yes,"301 E Main St, Bay Shore, NY 11706-8458",No,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403521383,University-based,St Luke's-Roosevelt Hospital Center,5,5,No,Yes,June,Yes,No,https://icahn.mssm.edu/education/residencies-fellowships/list,Not Available,"Umut  Sarpel
MD
Mount Sinai West
Surgery Pgm 7th Fl
425 W 59th St
New York, NY 10019
Tel: (212) 523-6970
Fax: (212) 523-6495
E-mail: umut.sarpel@mountsinai.org","Jessica  Rodriguez
MPA
Mount Sinai West
Surgery Pgm 7th Fl
425 W 59th St
New York, NY 10019
Tel: (212) 523-6970
Fax: (212) 523-6495
E-mail: jessica.rodriguez3@mountsinai.org",4403521383,"Mount Sinai West, Surgery Pgm 7th Fl, 425 W 59th St, New York, NY 10019","One Gustave L Levy Pl, New York, NY 10029-6574","1000 Tenth Ave, New York, NY 10019","622 W 168th St, New York, NY 10032","1425 Madison Ave, New York, NY 10029",,"Our goal is to train outstanding surgeons who will be leaders in surgery, while serving our patients and community with the highest quality, compassionate medical care. We strive to teach surgery through didactics, attending supervision, and graduated resident autonomy. There is a broad exposure to cases of all types, and by completion, residents will have an expertise in all major categories of general surgery and subspecialties.",13,6,6,6,6,No,Yes,"Yes , Codes: 2070440P0,2070440C0",No,10/1/2020,-_-,,,No,80,No,No,3,No,Yes,225___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,Yes,Yes,31,9,0,1,31,10,29,0.8 to 1,72,24,1,No,Yes,94.7,5.2,0,45.8,54.1,Other for week(s),NGO,Other for week(s),NGO,Other for week(s),NGO,Other for week(s),NGO,Other for week(s),NGO,9,16%,10%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$65,214.00",20,12,"$69,486.00",20,12,"$73,743.00",20,12,"$76,386.00",20,12,"$79,112.00",20,12,Yes,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Optional,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4403521394,University-based,NYU Langone Hospitals,5,5,No,Yes,July,Yes,No,http://www.med.nyu.edu/surgery,Not Available,"Russell S Berman
MD
New York Univ Langone Med Ctr
NB 15 N1
550 First Ave
New York, NY 10016
Tel: (212) 263-2982
Fax: (212) 263-8216
E-mail: russell.berman@nyumc.org","Kaleigh  Booth
MA
New York Univ Langone Med Ctr
NBV 15 North 1
550 First Ave
New York, NY 10016
Tel: (212) 263-6378
Fax:
E-mail: kaleigh.booth@nyulangone.org",4403521394,"New York Univ Langone Med Ctr, NB 15 N1, 550 First Ave, New York, NY 10016","550 First Ave, New York, NY 10016-1111","550 First Ave, New York, NY 10016","462 First Ave, New York, NY 10016","423 E 23rd St, New York, NY 10010",,,22,14,9,9,9,No,Yes,"Yes , Codes: 2978440C0,2978440P0,2978440P2",No,11/30/2020,11/10/2020 - 1/31/2021_11/1/2021 - 1/31/2022,,11/15/2021,Yes,90,No,No,3,No,Yes,210___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,No,Yes,77,3,20,1,97,4,27.2,1.3 to 1,80,24,1,No,,90.3,9.6,0,48.6,51.3,Every third night for 4 week(s),0,Every third night for 4 week(s),4,Every third night for 4 week(s),12,Every third night for 4 week(s),24,Every third night for 4 week(s),24,6,15%,5%,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.","$69,747.00",20,56,"$72,489.00",20,56,"$77,969.00",20,56,"$80,549.00",20,56,"$82,807.00",20,56,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Not available,,No,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
