,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Intro,,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Program best described as,Primary teaching site,Night float system (Residents participate during first year),Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7,,,
0,https://freida.ama-assn.org/program/4003921183,4,4,No,Yes,"July,Negotiable",Yes,No,http://ok.gov/odmhsas/Additional_Information/,Not Available,"Clayton D Morris
MD
Griffin Memorial Hosp
PO Box 151
900 E Main St
Norman, OK 73070
Tel: (405) 573-6602
Fax: (405) 573-6684
E-mail: cdmorris@odmhsas.org","Pam  Melton
Griffin Memorial Hosp
PO Box 151
900 E Main St
Norman, OK 73070
Tel: (405) 573-6602
Fax: (405) 573-6684
E-mail: pam.melton@odmhsas.org",4003921183,"Griffin Memorial Hosp, PO Box 151, 900 E Main St, Norman, OK 73070","1111 W 17th St, Tulsa, OK 74107","900 E Main St, Norman, OK 73070-0151","1000 N Lee Ave, Oklahoma City, OK 73102","700 NE 13th St, Oklahoma City, OK 73104","320 12th Ave NE, Norman, OK 73071","909 E Alameda, Norman, OK 73070","1215 NW 25th  St, Oklahoma City, OK 73106",,,6,6,6,6,No,No,"Yes , Codes: 1184400C0",No,12/31/2020,9/30/2020 - 12/31/2020_10/1/2021 - 12/31/2021,8/1/2021,12/31/2021,No,50,No,No,3,No,Yes,188_188_400_400,Yes,Below 210,Yes,Yes,Below 450,"Desired, with some exceptions",Yes,No,No,17,5,1,0,18,5,29.4,0.7 to 1,40,16,1.5,Yes,No,3.8,86.8,9.3,45.3,54.6,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 3 month(s),Not Available,8,NGO,N/A,Not Available,15,15,Not Available,15,15,Not Available,15,15,Not Available,15,15,No,NGO,NGO,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,Community-based,Griffin Memorial Hospital,,"24800 S 4420 Rd, Vinita, OK 74301","1 S Bryant Ave, Edmond, OK 73034","1200 NE 13th St, Oklahoma City, OK 73152",,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003921184,4,4,No,Yes,July,Yes,No,https://www.ouhsc.edu/,Not Available,"Christopher S Czapla
MD
Univ of Oklahoma Health Sciences Ctr
Dept of Psychiatry & Behavioral Sciences
PO Box 26901
Oklahoma City, OK 73126
Tel: (405) 271-8001
Fax: (405) 271-7724
E-mail: julie-frost@ouhsc.edu","Julie  Frost
BA
Univ of Oklahoma Health Sciences Ctr
Dept of Psychiatry & Behavioral Sci Ste 3440
920 Stanton L Young Blvd
Oklahoma City, OK 73104
Tel: (405) 271-8001
Fax: (405) 271-2997
E-mail: julie-frost@ouhsc.edu",4003921184,"Univ of Oklahoma Health Sciences Ctr, Dept of Psychiatry & Behavioral Sciences, PO Box 26901, Oklahoma City, OK 73126","940 Stanton L Young Blvd, Oklahoma City, OK 73104","921 NE 13th St, Oklahoma City, OK 73104","19 NE 50th St, Oklahoma City, OK 73105","1200 Children's Ave, Oklahoma City, OK 73104","900 E Main St, Norman, OK 73070-0151","700 NE 13th St, Oklahoma City, OK 73104","940 NE 13th St, Oklahoma City, OK 73104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 NE 13th St, Oklahoma City, OK 73152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003900247,4,4,No,Yes,July,Yes,No,https://health.okstate.edu/gme/residency-fellowships.html,Not Available,"Stephen  Brasseux
MD
OSU Ctr for Health Sciences
Psychiatry Pgm
1111 W 17th St
Tulsa, OK 74107
Tel: (918) 236-4000
Fax: (918) 236-4001
E-mail: stephen.brasseux@okstate.edu","Camillia  Estes
OSU Ctr for Health Sciences
Psychiatry Pgm
1111 W 17th St
Tulsa, OK 74107
Tel: (918) 236-4000
Fax: (918) 236-4001
E-mail: k.estes@okstate.edu",4003900247,"OSU Ctr for Health Sciences, Psychiatry Pgm, 1111 W 17th St, Tulsa, OK 74107","1111 W 17th St, Tulsa, OK 74107","1011 Honor Heights Dr, Muskogee, OK 74401","24800 S 4420 Rd, Vinita, OK 74301","2323 S Harvard Ave, Tulsa, OK 74114","744 W 9th St, Tulsa, OK 74127","650 S Peoria Ave, Tulsa, OK 74120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003921246,4,4,No,Yes,July,Yes,No,http://www.tulsa.ouhsc.edu/psych,Not Available,"Ashley  Walker
MD
Univ of Oklahoma Sch of Community Med
Ste 1J02
4502 E 41st St
Tulsa, OK 74135
Tel: (918) 660-3518
Fax:
E-mail: ashley-walker@ouhsc.edu","Rhonda  Wallace
Univ of Oklahoma Sch of Community Med
Psychiatry Dept
4502 E 41st St
Tulsa, OK 74135-2512
Tel: (918) 660-3518
Fax:
E-mail: rhonda-wallace@ouhsc.edu",4003921246,"Univ of Oklahoma Sch of Community Med, Ste 1J02, 4502 E 41st St, Tulsa, OK 74135","4502 E 41st St, Tulsa, OK 74135-2512","1120 S Utica Ave, Tulsa, OK 74104","1923 S Utica Ave, Tulsa, OK 74104","6161 S Yale Ave, Tulsa, OK 74136-1902","1620 E 12th St, Tulsa, OK 74120","6655 S Yale, Tulsa, OK 74136","6333 E Skelly Dr, Tulsa, OK 74135","Program provides allowance for books/travel over four years, laptops, free 24-hour fitness center on-site; home internet access; strong psychotherapy and biological training; PACT; friendly city, many moonlighting opportunities.",,5,5,5,5,No,No,"Yes , Codes: 2727400C0",No,12/31/2020,10/15/2020 - 1/15/2021_9/20/2021 - 1/15/2022,9/15/2021,12/31/2021,Yes,70,No,No,3,No,Yes,225_225_475_475,Yes,236-245,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,9,2,0,0,9,2,66.6,0.4 to 1,40,16,2,Yes,No,43.6,0,56.3,52.7,47.2,Two times per week for 6 month(s),0,N/A,13,Two times per week for 4 month(s),0,Two times per week for 4 month(s),Not Available,5,20%,20%,"$54,794.00",15,15,"$56,531.00",15,15,"$58,281.00",15,15,"$60,809.00",15,15,Yes,30,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",When resident/fellow starts program,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,Community-based university affiliated,University of Oklahoma School of Community Medicine-Tulsa,,"2323 S Harvard Ave, Tulsa, OK 74114",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004000186,4,4,No,Yes,July,Yes,No,https://www.samhealth.org/careers-education/graduate-medical-education,Not Available,"Tim  Blumer
DO
Samaritan Health Services-Corvallis
Samaritan Mental Health
3600 NW Samaritan Dr
Corvallis, OR 97330
Tel: (541) 768-6398
Fax: (541) 768-5319
E-mail: psychiatryresidency@samhealth.org","Judy  Hallett
Samaritan Health Services-Corvallis
Samaritan Mental Health
3600 NW Samaritan Dr
Corvallis, OR 97330
Tel: (541) 768-6398
Fax: (541) 768-5319
E-mail: psychiatryresidency@samhealth.org",4004000186,"Samaritan Health Services-Corvallis, Samaritan Mental Health, 3600 NW Samaritan Dr, Corvallis, OR 97330","3509 NW Samaritan Dr, Corvallis, OR 97330","4455 US 20, Corvallis, OR 97330","616 E 16th Ave, Eugene, OR 97401","2600 Center St NE, Salem, OR 97301","444 Elks Dr, Corvallis, OR 97330","445 3rd Ave SW, Albany, OR 97321","500 Snell Hall, Corvallis, OK 97331","The GSRMC program is a close-knit program emphasizing community psychiatry in a rural, college-town setting. Unusual rotations in our program: primary care psychiatry, three months of adolescent psychiatry, integrated complementary and alternative medicine.",(4 wks ),4,4,4,4,No,No,"Yes , Codes: 1715400C0,1715400C1",No,12/31/2020,11/12/2020 - 1/15/2021_10/1/2021 - 1/15/2022,10/1/2021,12/31/2021,Yes,88,No,No,2,Yes,Yes,200__500_,No,210-225,Yes,No,450-500,"Desired, with some exceptions",No,No,No,5,1,9,4,14,5,40,0.5 to 1,50,12,2,Yes,No,30.5,8.6,60.8,47.9,52,N/A,0,N/A,NGO,N/A,NGO,N/A,NGO,6,NGO,15%,"$52,075.00",20,Not Available,"$54,215.00",20,Not Available,"$57,070.00",20,Not Available,"$59,925.00",20,Not Available,Yes,20,NGO,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,"Available, Not Paid By Institution",Not Available,Within 30 days of starting program,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,Community-based,Samaritan Health Services-Corvallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004021185,4,4,No,Yes,June,Yes,No,https://www.ohsu.edu/school-of-medicine/psychiatry-education-and-training,Not Available,"Mark  Kinzie
MD
Oregon Health & Science Univ
UHN 80
3181 SW Sam Jackson Park Rd
Portland, OR 97239
Tel: (503) 494-6149
Fax:
E-mail: kinziem@ohsu.edu","Kim  Henne
MA
Oregon Health & Science Univ
UHN 80
3181 SW Sam Jackson Park Rd
Portland, OR 97239
Tel: (503) 494-6149
Fax: (503) 494-3282
E-mail: henne@ohsu.edu",4004021185,"Oregon Health & Science Univ, UHN 80, 3181 SW Sam Jackson Park Rd, Portland, OR 97239","3181 SW Sam Jackson Park Rd, Portland, OR 97201-3098","3710 SW US Veterans Hospital Rd, Portland, OR 97207","2600 Center St NE, Salem, OR 97301","1225 NE 2nd Ave, Portland, OR 97232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100277,4,4,No,Yes,June,Yes,No,,Not Available,"Katherine  Martin
MD
Lehigh Valley Health Network
Ste 202A
1251 S Cedar Crest Blvd
Allentown, PA 18103
Tel: (610) 402-5766
Fax:
E-mail: katherine_b.martin@lvhn.org","Aubrey  Reeves
Lehigh Valley Health Network
5th Fl Psychiatry Admin
2545 Schoenersville Rd
Bethlehem, PA 18017
Tel: (484) 884-6527
Fax:
E-mail: psychiatryresidency@lvhn.org",4004100277,"Lehigh Valley Health Network, Ste 202A, 1251 S Cedar Crest Blvd, Allentown, PA 18103","Cedar Crest Blvd & I-78, Allentown, PA 18105-1556","2545 Schoenersville Rd, Bethlehem, PA 18017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100278,4,4,No,Yes,July,Yes,No,https://brandywine.towerhealth.org/academics/,Not Available,"Donna  Sudak
MD
Tower Health
Psychiatry Pgm
201 Reeceville Rd
Coatesville, PA 19320
Tel: (610) 806-2137
Fax:
E-mail: leinaala.zettlemoyer@towerhealth.org","Leinaala  Zettlemoyer
BA
Tower Health
Psychiatry Pgm
215 Reeceville Rd
Coatesville, PA 19320
Tel: (610) 383-8746
Fax:
E-mail: leinaala.zettlemoyer@towerhealth.org",4004100278,"Tower Health, Psychiatry Pgm, 201 Reeceville Rd, Coatesville, PA 19320","420 S 5th Ave, West Reading, PA 19611","201 Reeceville Rd, Coatesville, PA 19320","4641 Roosevelt Blvd, Philadelphia, PA 19124-2399","11082 Knights Rd, Philadelphia, PA 19154","245 N 15th St, Philadelphia, PA 19102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100273,4,4,No,Yes,July,Yes,No,https://www.geisinger.edu/education/residencies-fellowships/residencies/,Not Available,"Cathleen  Adams
MD
Geisinger Med Ctr
Div of Psychiatry
100 N Academy Ave
Danville, PA 17822-0121
Tel: (570) 274-6271
Fax:
E-mail: gmcpsychiatryres@geisinger.edu","Tracy  Hendershot
Geisinger Med Ctr
Div of Psychiatry
100 N Academy Ave
Danville, PA 17822-0121
Tel: (570) 214-6271
Fax:
E-mail: gmcpsychiatryres@geisinger.edu",4004100273,"Geisinger Med Ctr, Div of Psychiatry, 100 N Academy Ave, Danville, PA 17822-0121","100 N Academy Ave, Danville, PA 17822","Lily Lake Rd, Waverly, PA 18471","100 N Academy Ave, Danville, PA 17822-2201","549 Fair St, Bloomsburg, PA 17815","603 E Market St, Danville, PA 17821","200 State Hospital Dr, Danville, PA 17821",,The psychiatry residency at Geisinger Health System offers dynamic clinical training in an established academic medical center affiliated with a medical school in a lovely rural setting. Geisinger is a physician led organization nationally renowned for high quality integrated care.,(4 wks ),4,4,4,5,No,No,"Yes , Codes: 1608400C0",No,12/1/2020,11/17/2020 - 1/19/2021_11/16/2021 - 1/20/2022,11/9/2021,12/1/2021,No,48,No,No,3,No,No,___,No,No Answer,No,No,No Answer,Not required,No,No,No,8,3,6,0,14,3,87.5,0.6 to 1,50,16,1.5,Yes,No,4.8,7,88,44.7,55.2,N/A,0,N/A,7,N/A,7,N/A,Not Available,5,NGO,N/A,"$58,036.00",15,2,"$60,443.00",15,2,"$63,000.00",15,2,"$65,700.00",15,2,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Required,No,Yes,No,Community-based university affiliated,Geisinger Health System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100001,4,4,Yes,Yes,July,No,No,,Not Available,"Syed K Raza
MD
Penn Highlands DuBois
Psychiatry Pgm
635 Maple Ave
DuBois, PA 15801
Tel: (814) 299-7421
Fax:
E-mail: plwilson@phhealthcare.org","Patti  Wilson
Penn Highlands DuBois
Psychiatry Pgm
635 Maple Ave
DuBois, PA 15801
Tel: (814) 299-7421
Fax:
E-mail: plwilson@phhealthcare.org",4004100001,"Penn Highlands DuBois, Psychiatry Pgm, 635 Maple Ave, DuBois, PA 15801","204 Hospital Ave, DuBois, PA 15801","100 Hospital Rd, Brookville, PA 15825","2907 Pleasant Valley Blvd, Altoona, PA 16602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100276,4,4,No,Yes,July,Yes,No,http://www.sluhn.org/gme/residencies/psychiatry-residency,Not Available,"Christine  Marchionni
MD
St Luke's Hosp-Anderson Campus
Psychiatry Pgm
1872 St Luke's Blvd
Easton, PA 18045
Tel: (484) 503-3070
Fax:
E-mail: christine.marchionni@sluhn.org","Michael  Lilley
MHA
St Luke's Hosp-Anderson Campus
Psychiatry Pgm
1700 St Luke's Blvd
Easton, PA 18045
Tel: (484) 503-3070
Fax:
E-mail: michael.lilley@sluhn.org",4004100276,"St Luke's Hosp-Anderson Campus, Psychiatry Pgm, 1872 St Luke's Blvd, Easton, PA 18045","1872 St Luke's Blvd, Easton, PA 18045","421 W Chew St, Allentown, PA 18102-3490","801 Ostrum St, Bethlehem, PA 18015","1021 Park Ave, Quakertown, PA 18951","5300 KidsPeace Dr, Orefield, PA 18069","3437 PA-715, Henryville, PA 18332","264 E Broad St, Bethlehem, PA 18018","St Luke's psychiatry residency has a goal of training residents so that they are prepared to practice independently upon graduation. We want to ""grow our own"" and retain our talent. We will offer exposure to extended acute inpatient units, ECT and tele-psychiatry. All of our faculty have an academic affiliation through Temple University Lewis Katz School of Medicine as St Luke's University Hospital is a regional clinical campus.",,6,6,6,6,No,No,"Yes , Codes: 2176400C0",No,12/1/2020,11/2/2020 - 2/5/2021_10/4/2021 - 1/21/2022,8/2/2021,12/1/2021,Yes,100,No,No,3,No,Yes,___,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,17,13,0,0,17,13,47,0.7 to 1,60,12,1.5,Yes,No,,,,,,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,3,10%,N/A,"$60,316.00",15,NGO,"$63,987.00",15,NGO,"$66,553.00",15,NGO,"$69,390.00",15,NGO,Yes,NGO,NGO,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Community-based university affiliated,St Luke's Hospital-Anderson Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4004100275,4,4,No,Yes,"June,July,August,January,Negotiable",Yes,No,https://lecomhealth.com/community-hospital/,Not Available,"Meghan  McCarthy
DO
Millcreek Community Hosp
Psychiatry Pgm
5515 Peach St
Erie, PA 16509
Tel: (814) 868-2476
Fax: (814) 868-2489
E-mail: mmccarthy@maerie.org","Laurie  Mahoney
BS
Millcreek Community Hosp
Psychiatry Pgm
5515 Peach St
Erie, PA 16509
Tel: (814) 868-2476
Fax: (814) 868-2489
E-mail: lmahoney@lecom.edu",4004100275,"Millcreek Community Hosp, Psychiatry Pgm, 5515 Peach St, Erie, PA 16509","1858 W Grandview Blvd, Erie, PA 16509","5515 Peach St, Erie, PA 16509","2185 W 8th St, Erie, PA 16506","4118 Briggs Ave, Erie, PA 16546","2104 Zimmerly Rd, Erie, PA 16509",,,"Our program provides residents with a comprehensive structured education in inpatient and outpatient settings that enables them to become exceptional psychiatrists. MCH includes the largest psychiatric inpatient facility in the area. Residents gain proficiency in a variety of clinical settings, including work in the public, private and rural sector. Residents work with the entire spectrum of patients: child/adolescents, adults, and elderly. Medical benefits extend to legally married spouses.",,4,4,4,4,No,No,"Yes , Codes: 2031400C0",No,1/15/2021,10/1/2020 - 1/31/2021_10/1/2021 - 1/31/2022,8/1/2021,1/15/2022,Yes,22,No,No,2,Yes,Yes,201_209_400_400,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,No,Yes,10,0,2,0,12,0,40,0.6 to 1,60,24,1.5,Yes,,0,14.8,85.1,27.9,72,Once per week for 12 month(s),0,Once per week for 12 month(s),0,Every tenth night for 12 month(s),0,Every eleventh night or more for 12 month(s),Not Available,5,0%,10%,"$48,898.00",15,3,"$49,939.00",15,3,"$50,979.00",15,3,"$52,202.00",15,3,Yes,18,84,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Not available,No,No,Yes,Community-based,Lake Erie College of Osteopathic Medicine,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
