,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Program best described as,Primary teaching site,Participant 3,Participant 4,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system,Participant 5,,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Yes
0,https://freida.ama-assn.org/program/3604100144,3,3,No,Yes,July,Yes,No,http://pcom.edu,Not Available,"Benjamin  Lam
DO
Philadelphia Coll of Osteopathic Med
Plastic Surgery Pgm
4170 City Ave
Philadelphia, PA 19131
Tel: (215) 901-7693
Fax: (215) 827-5999
E-mail: dr.lam@msn.com","Benjamin  Lam
DO
Philadelphia Coll of Osteopathic Med
Plastic Surgery Pgm
4170 City Ave
Philadelphia, PA 19131
Tel: (215) 901-7693
Fax: (215) 827-5999
E-mail: dr.lam@msn.com",3604100144,"Philadelphia Coll of Osteopathic Med, Plastic Surgery Pgm, 4170 City Ave, Philadelphia, PA 19131","4170 City Ave, Philadelphia, PA 19131","6th Ave & Spruce St, West Reading, PA 19612-6052","100 Woods Rd, Valhalla, NY 10595","501 Bath Rd, Bristol, PA 19007-3190",,,,"3601 A St, Philadelphia, PA 19134","1331 E Wyoming Ave, Philadelphia, PA 19124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1201 Langhorne-Newtown Rd, Langhorne, PA 19047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604112143,3,3,No,No,August,No,No,https://medicine.temple.edu/departments-centers/clinical-departments/,Not Available,"Sameer A Patel
MD
Temple Univ Hosp
Parkinson Pavilion Zone C C436
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 728-3559
Fax: (215) 707-2990
E-mail: sameer.patel@fccc.edu","Tiffany  Copeland-Hughes
BBA
Temple Univ Hosp
Parkinson Pavilion Zone C C338
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-7032
Fax: (215) 707-2990
E-mail: tiffany.copeland@tuhs.temple.edu",3604112143,"Temple Univ Hosp, Parkinson Pavilion Zone C C436, 3401 N Broad St, Philadelphia, PA 19140","3401 N Broad St, Philadelphia, PA 19140","111 S 11th St, Philadelphia, PA 19107-5096","3601 A St, Philadelphia, PA 19134","1200 Old York Rd, Abington, PA 19001-3788",,,,"333 Corrman Ave, Philadelphia, PA 19111","100 N Academy Ave, Danville, PA 17822-2201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7600 Central Ave, Philadelphia, PA 19111",,"700 S Henderson Rd, King of Prussia, PA 19406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604121089,3,3,No,Yes,July,Yes,No,,Not Available,"Joshua  Fosnot
MD
Hosp of the Univ of Pennsylvania
10 Penn Tower
3400 Spruce St
Philadelphia, PA 19104
Tel: (215) 662-7075
Fax: (215) 662-2172
E-mail: kris.gallagher@uphs.upenn.edu","Kris A Gallagher
BA
Hosp of the Univ of Pennsylvania
14th Fl South Tower
3400 Spruce St
Philadelphia, PA 19104
Tel: (215) 662-7659
Fax: (215) 615-0474
E-mail: kris.gallagher@uphs.upenn.edu",3604121089,"Hosp of the Univ of Pennsylvania, 10 Penn Tower, 3400 Spruce St, Philadelphia, PA 19104","3400 Spruce St, Philadelphia, PA 19104-4283","34th St & Civic Center Blvd, Philadelphia, PA 19104","800 Spruce St, Philadelphia, PA 19107","130 S Bryn Mawr Ave, Bryn Mawr, PA 19010-3160",,,,"51 N 39th St, Philadelphia, PA 19104-2699","100 Lancaster Ave W of City Line, Wynnewood, PA 19096-3498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Medical Center Blvd, Upland, PA 19013-3995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604121090,3,3,No,No,July,No,No,http://www.upmc.com/Departments/PlasticSurgery/Residencies/,Not Available,"Vu T Nguyen
MD
Univ of Pittsburgh Med Ctr
666 Scaife Hall
3550 Terrace St
Pittsburgh, PA 15261
Tel: (412) 383-8082
Fax: (412) 383-8986
E-mail: nguyenvt3@upmc.edu","Michelle A Gigliotti
Univ of Pittsburgh Med Ctr
Scaife Hall Ste 664
3550 Terrace St
Pittsburgh, PA 15261
Tel: (412) 383-8082
Fax: (412) 383-8986
E-mail: gigliottim@upmc.edu",3604121090,"Univ of Pittsburgh Med Ctr, 666 Scaife Hall, 3550 Terrace St, Pittsburgh, PA 15261","3600 Forbes Ave, Pittsburgh, PA 15213","5230 Centre Ave, Pittsburgh, PA 15232","4800 Friendship Ave, Pittsburgh, PA 15224-1793","45th & Penn Ave, Pittsburgh, PA 15201",,,,"1400 Locust St, Pittsburgh, PA 15219-5166","300 Halket St, Pittsburgh, PA 15213-3180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320 E North Ave, Pittsburgh, PA 15212-4772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604100145,3,3,No,No,Negotiable,No,No,https://www.towerhealth.org/academic-affairs/fellowship-programs/,Not Available,"Amir B Behnam
MD
Reading Hosp
Plastic Surgery Pgm
420 S 5th Ave
West Reading, PA 19611
Tel: (484) 628-9127
Fax:
E-mail: amir.behnam@towerhealth.org","Jennifer  Doerrman
Reading Hosp
Plastic Surgery Pgm
420 S 5th Ave
West Reading, PA 19611
Tel: (484) 628-3693
Fax:
E-mail: prsfellowship@towerhealth.org",3604100145,"Reading Hosp, Plastic Surgery Pgm, 420 S 5th Ave, West Reading, PA 19611","420 S 5th Ave, West Reading, PA 19611","6th Ave & Spruce St, West Reading, PA 19612-6052","3601 A St, Philadelphia, PA 19134","1331 E Wyoming Ave, Philadelphia, PA 19124","Reading Hospital-Tower Health is privileged to provide comprehensive surgical care to the population of Berks county and beyond. Five community based hospitals, 19 urgent care centers, and a clinically-integrated physician network of greater than 2000 physicians, Tower Health has cultivated a geographic catchment footprint extending from Philadelphia to mid-Pennsylvania.",Community-based university affiliated,Reading Hospital,,,2,2,2,,,"Yes, with exceptions  , 5 year(s)",No,No,No,,-_1/6/2021 - 4/28/2021,11/30/2020,1/15/2021,Yes,,Yes,No,,No,No,___,No,No Answer,No Answer,No Answer,No Answer,Not known,No,No,No,6,0,0,0,6,0,33.3,1.0 to 1,Not Available,Not Available,Not Available,No,,,,,,,N/A,Not Available,N/A,Not Available,N/A,Not Available,,,,,0,NGO,N/A,,,,,,,,,,,,,,,,Yes,Not Available,Not Available,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,When resident/fellow starts program,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Optional,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604522093,3,3,No,Yes,July,No,No,,Not Available,"Milton B Armstrong
MD
Med Univ of South Carolina
Rm 404 CSB
96 Jonathan Lucas St
Charleston, SC 29425
Tel: (843) 792-3072
Fax: (843) 792-4523
E-mail: mackeys@musc.edu","Stephanie  Mackey
Med Univ of South Carolina
PO Box 250613
96 Jonathan Lucas St
Charleston, SC 29425
Tel: (843) 792-2098
Fax:
E-mail: mackeys@musc.edu",3604522093,"Med Univ of South Carolina, Rm 404 CSB, 96 Jonathan Lucas St, Charleston, SC 29425","169 Ashley Ave, Charleston, SC 29425","171 Ashley Ave, Charleston, SC 29425-0950","5 Richland Medical Pk, Columbia, SC 29203","109 Bee St, Charleston, SC 29401-5799",,,,"316 Calhoun St, Charleston, SC 29401-1125","9330 Medical Plaza Dr, Charleston, SC 29406-9195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 Johnnie Dodds Blvd, Mount Pleasant, SC 29464-3294",,"245 Seven Farms Dr, Daniel Island, SC 29492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604711094,3,3,No,Yes,July,No,No,https://uthsc.edu/comc/plastic-surgery/index.php,Not Available,"Mark A Brzezienski
MD
Univ of Tennessee Coll of Med-Chattanooga
Dept of Plastic Surgery Ste 100
901 Riverfront Pkwy
Chattanooga, TN 37402
Tel: (423) 763-4526
Fax: (423) 763-4571
E-mail: utplastics@thepsg.org","Tara M Gray
MPH
Univ of Tennessee Coll of Med-Chattanooga
Dept of Plastic Surgery Ste 100
901 Riverfront Pkwy
Chattanooga, TN 37402
Tel: (423) 763-4526
Fax: (423) 763-4571
E-mail: grayt@thepsg.org",3604711094,"Univ of Tennessee Coll of Med-Chattanooga, Dept of Plastic Surgery Ste 100, 901 Riverfront Pkwy, Chattanooga, TN 37402","960 E Third St, Chattanooga, TN 37403","975 E Third St, Chattanooga, TN 37403","2525 de Sales Ave, Chattanooga, TN 37404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604731095,3,3,Yes,Yes,July,No,No,http://www.uthsc.edu/plasticsurgery,Not Available,"Sai Ramakrishna V Velamuri
MD
Univ of Tennessee Med Ctr
#315
910 Madison Ave
Memphis, TN 38163
Tel: (901) 448-1350
Fax: (901) 448-7306
E-mail: aspenc21@uthsc.edu","Ariel N Spencer
BA
Univ of Tennessee Med Ctr
#315
910 Madison Ave
Memphis, TN 38103
Tel: (901) 448-1350
Fax:
E-mail: aspenc21@uthsc.edu",3604731095,"Univ of Tennessee Med Ctr, #315, 910 Madison Ave, Memphis, TN 38163","910 Madison Ave, Memphis, TN 38163","1265 Union Ave, Memphis, TN 38104","50 N Dunlap Ave, Memphis, TN 38103-2893","877 Jefferson Ave, Memphis, TN 38103-9999",,,,"1030 Jefferson Ave, Memphis, TN 38104","6019 Walnut Grove Rd, Memphis, TN 38120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"262 Danny Thomas Pl, Memphis, TN 38105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604721096,3,3,No,No,July,No,No,https://www.mc.vanderbilt.edu/root/vumc.php?site=deptplasticsurg,Not Available,"Kent K Higdon
MD
Vanderbilt Univ Med Ctr
D-4207 MCN
1161 21st Ave S
Nashville, TN 37232-2345
Tel: (615) 875-7222
Fax:
E-mail: kent.higdon@vumc.org","Angelene D Timbs
Vanderbilt Univ Med Ctr
CCC-4322J MCN
1161 21st Ave S
Nashville, TN 37232-2730
Tel: (615) 936-2217
Fax: (615) 936-0167
E-mail: angelene.timbs@vumc.org",3604721096,"Vanderbilt Univ Med Ctr, D-4207 MCN, 1161 21st Ave S, Nashville, TN 37232-2345","1161 21st Ave S, Nashville, TN 37232-2104","2000 Church St, Nashville, TN 37236-0001","1310 24th Ave S, Nashville, TN 37212-2637",,"Residents have an annual paid travel budget to a meeting that is not required as participatory, and can opt to use some of those funds for alternative needs such as loupes, texts, etc.  The department also provides a stipend for text books.  The Department of Plastic Surgery will also cover the cost of the written board examination in plastic surgery administered by the American Board of Plastic Surgery, which will occur in the final year of the independent residency program in plastic surgery.",University-based,Vanderbilt University Medical Center,,,2,2,3,,,"Yes  , 5 year(s)",No,No,No,,-_2/1/2021 - 4/30/2021,9/30/2020,12/31/2020,Yes,25,Yes,No,3,No,Yes,200_200_500_500,Yes,226-235,Yes,Yes,No Answer,Required,Yes,Yes,No,12,5,0,0,12,5,16.6,1.7 to 1,60,30,1.5,Yes,,48.1,51.8,0,18.5,81.4,Every ninth night for 12 month(s),49,Every ninth night for 12 month(s),49,Every ninth night for 12 month(s),49,,,,,3,10%,5%,,,,,,,,,,,,,,,,No,0,84,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Not available,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,"$71,440.00",15,12,"$74,654.00",15,12,"$78,012.00",15,12,,,,
0,https://freida.ama-assn.org/program/3604821097,3,3,No,No,July,No,No,http://www.utsouthwestern.edu/education/medical-school/,Not Available,"Andrew Y Zhang
MD
Univ of Texas Southwestern Med Ctr
Dept of Plastic Surgery WA4250
1801 Inwood Rd
Dallas, TX 75390
Tel: (214) 645-4186
Fax: (214) 645-3148
E-mail: andrew.zhang@utsouthwestern.edu","Colleen  Champagne
Univ of Texas Southwestern Med Ctr
Dept of Plastic Surgery WA4224
1801 Inwood Rd
Dallas, TX 75390-9132
Tel: (214) 645-3104
Fax: (214) 645-3148
E-mail: colleen.champagne@utsouthwestern.edu",3604821097,"Univ of Texas Southwestern Med Ctr, Dept of Plastic Surgery WA4250, 1801 Inwood Rd, Dallas, TX 75390","5323 Harry Hines Blvd, Dallas, TX 75390-9002","5201 Harry Hines Blvd, Dallas, TX 75235","6201 Harry Hines Blvd, Dallas, TX 75235-0001","4500 S Lancaster Rd, Dallas, TX 75216","Nationally/internationally acclaimed faculty. The program maintains a reputation as a national leader in patient care, education, and research.",Community-based university affiliated,Parkland Health and Hospital System-Parkland Memorial Hospital,"2222 Welborn St, Dallas, TX 75219-3993","3500 Gaston Ave, Dallas, TX 75246",2,2,2,,,"Yes  , 5 year(s)",No,No,No,,-_3/24/2021 - 3/24/2021,8/24/2020,12/31/2020,Yes,25,Yes,No,3,No,Yes,220___,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,21,2,7,0,28,2,9.5,4.0 to 1,58,30,1,No,,100,0,0,16.6,83.3,N/A,NGO,N/A,NGO,N/A,NGO,,,,,5,15%,N/A,,,,,,,,,,,,,,,,No answer,15,65,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Not available,Yes,Yes,No,No,"1935 Medical District Dr, Dallas, TX 75235",,,,,,,,,,,,,,,,,,,,"$68,703.00",15,10,"$71,096.00",15,10,"$73,442.00",15,10,,,,
0,https://freida.ama-assn.org/program/3604812100,3,3,No,No,July,No,No,http://www.methodistgme.com,Not Available,"Pierre M Chevray
MD, PhD
Houston Methodist Hosp
Ste 2200
6560 Fannin St
Houston, TX 77030
Tel: (713) 441-6100
Fax:
E-mail: pmchevray@houstonmethodist.org","Yuliya  Litvak
MEd
Houston Methodist Hosp
Ste 2200
6560 Fannin St
Houston, TX 77030
Tel: (713) 363-7588
Fax: (713) 793-1455
E-mail: ylitvak@houstonmethodist.org",3604812100,"Houston Methodist Hosp, Ste 2200, 6560 Fannin St, Houston, TX 77030","6565 Fannin St, Houston, TX 77030-9979","1919 LaBranch, Houston, TX 77002","6411 Fannin St, Houston, TX 77030-1501","6621 Fannin St, Houston, TX 77030-2399",,,,"5656 Kelley St, Houston, TX 77026","18500 Katy Hwy, Houston, TX 77094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604831101,3,3,No,No,July,No,No,https://med.uth.edu/surgery/surgery-department-divisions/,Not Available,"Erik  Marques
MD
Univ of Texas HSC Houston
Ste 1400
6410 Fannin St
Houston, TX 77030
Tel: (713) 500-7185
Fax: (713) 500-0716
E-mail: erik.s.marques@uth.tmc.edu","Marvis  Huff
Univ of Texas HSC Houston
Ste 1400
6410 Fannin St
Houston, TX 77030
Tel: (713) 500-7181
Fax: (713) 500-0716
E-mail: marvis.huff@uth.tmc.edu",3604831101,"Univ of Texas HSC Houston, Ste 1400, 6410 Fannin St, Houston, TX 77030","7000 Fannin St, Houston, TX 77030","6411 Fannin St, Houston, TX 77030-1501","1919 LaBranch, Houston, TX 77002","1515 Holcombe Blvd, Houston, TX 77030",,,,"5656 Kelley St, Houston, TX 77026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604831134,3,3,No,No,July,No,No,http://surgery.uthscsa.edu/education/residencies/plastic.asp,Not Available,"Howard T Wang
MD
Univ of Texas HSC San Antonio
MC 7844 Rm 230F
7703 Floyd Curl Dr
San Antonio, TX 78229
Tel: (210) 567-6989
Fax: (210) 567-6390
E-mail: wanght@uthscsa.edu","Janis R Strong
BS
Univ of Texas HSC San Antonio
MC 7844 Rm 230F
7703 Floyd Curl Dr
San Antonio, TX 78229-3900
Tel: (210) 567-6936
Fax: (210) 567-6390
E-mail: strongj@uthscsa.edu",3604831134,"Univ of Texas HSC San Antonio, MC 7844 Rm 230F, 7703 Floyd Curl Dr, San Antonio, TX 78229","7703 Floyd Curl Dr, San Antonio, TX 78229-3900","4502 Medical Dr, San Antonio, TX 78229-4493","333 N Santa Rosa Blvd, San Antonio, TX 78207-3198","7400 Merton Minter Blvd, San Antonio, TX 78284-5799",,,,"7700 Floyd Curl Dr, San Antonio, TX 78229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3604921103,3,3,No,No,July,No,No,http://medicine.utah.edu/surgery/plastic_surgery/,University of Utah Division of Plastic Surgery Residency Program,"Faizi  Siddiqi
MD
Univ of Utah Med Ctr
Div of Plastic Surgery 3B400
30 N 1900 E
Salt Lake City, UT 84132
Tel: (801) 581-8419
Fax:
E-mail: faizi.siddiqi@hsc.utah.edu","Kallie K Handy
Univ of Utah Med Ctr
Div of Plastic Surgery 3B400
30 N 1900 E
Salt Lake City, UT 84132
Tel: (801) 581-8419
Fax: (801) 581-5794
E-mail: kallie.handy@hsc.utah.edu",3604921103,"Univ of Utah Med Ctr, Div of Plastic Surgery 3B400, 30 N 1900 E, Salt Lake City, UT 84132","50 N Medical Dr, Salt Lake City, UT 84132","100 N Mario Capecchi Dr, Salt Lake City, UT 84113","500 Foothill Dr, Salt Lake City, UT 84148-0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3605111104,3,3,Yes,Yes,July,No,No,,Not Available,"Thomas J Gampper
MD
Univ of Virginia Health System
Plastic Surgery Pgm
Box 800376
Charlottesville, VA 22908
Tel: (434) 924-1234
Fax: (434) 924-1333
E-mail: tjg6f@virginia.edu","Carla  Mackey-Cooks
Univ of Virginia Health System
Plastic Surgery Pgm
Box 800376
Charlottesville, VA 22908-0376
Tel: (434) 243-0456
Fax: (434) 924-1333
E-mail: cmm4q@virginia.edu",3605111104,"Univ of Virginia Health System, Plastic Surgery Pgm, Box 800376, Charlottesville, VA 22908","4012 McKim Hall, Charlottesville, VA 22908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3620100001,6,6,Yes,Yes,July,No,No,https://www.uab.edu/medicine/surgery/plastic,Not Available,"Timothy W King
MD, PhD, MS
Univ of Alabama at Birmingham
Ste 103
500 22nd St S
Birmingham, AL 35233-0500
Tel: (205) 934-3363
Fax:
E-mail: susanlewis@uabmc.edu","Susan  Lewis
MD
Univ of Alabama at Birmingham
Ste 103
500 22nd St S
Birmingham, AL 35233-0500
Tel: (205) 934-2307
Fax:
E-mail: susanlewis@uabmc.edu",3620100001,"Univ of Alabama at Birmingham, Ste 103, 500 22nd St S, Birmingham, AL 35233-0500","619 19th St S, Birmingham, AL 35249-6505","1600 7th Ave S, Birmingham, AL 35233","700 S 19th St, Birmingham, AL 35233","1720 University Blvd, Birmingham, AL 35233",,,,"2010 Brookwood Medical Center Dr, Birmingham, AL 35209","1 Inverness Center Pkwy, Birmingham, AL 35242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
