,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,African American,Hispanic,Asian,Two or more races,Other race,American Indian or Alaska native,Hawaiian or other Pacific Islander,Female,Male,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/montgomery-county-va/,A,B,A minus,A,B,B+,B,B minus,A,A minus,A+,"Montgomery County is located in Virginia with a population of 98,140. In Montgomery County, most residents own their homes. Many young professionals live in Montgomery County and residents tend to have moderate political views.",,,,,,,,0.45,0.55,,,,,,,,,,,,,,,0.08,0.07,0.27,0.14,0.1,0.11,0.1,0.12,0.24,1.0,0.22,0.09999999999999987,0.24,-0.1724137931034483,0.23,-0.14814814814814814,0.07,-0.41666666666666663,,,3,10,3,1,1,0.024,0.235,0.052000000000000005,0.83,0.04,0.03,0.07,0.01,0.01,0.0,0.0,0.48,0.52,0.24,0.16,0.23,0.25,0.12,0.36,0.24,0.22,0.18
0,https://www.niche.com/places-to-live/c/allen-county-in/,A minus,A minus,A,A+,A minus,B+,B minus,A minus,A,B,B,"Allen County is located in Indiana with a population of 372,575. In Allen County, most residents own their homes. Many families and young professionals live in Allen County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.14,0.12,0.09,0.14,0.12,0.12,0.12,0.14,0.1,-0.16666666666666663,0.19,-0.050000000000000044,0.33,0.13793103448275867,0.28,0.03703703703703698,0.11,-0.08333333333333326,,,6,4,0,0,0,0.033,0.131,0.036000000000000004,0.74,0.11,0.07,0.04,0.03,0.0,0.0,0.0,0.51,0.49,0.2,0.21,0.24,0.27,0.08,0.25,0.32,0.27,0.16
0,https://www.niche.com/places-to-live/c/henderson-county-nc/,A minus,B+,B,A minus,B minus,B+,B,B,A,A,B minus,"Henderson County is located in North Carolina with a population of 114,913. In Henderson County, most residents own their homes. Many retirees live in Henderson County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.11,0.09,0.06,0.1,0.11,0.13,0.15,0.25,0.11,-0.08333333333333326,0.21,0.04999999999999982,0.34,0.1724137931034484,0.24,-0.11111111111111116,0.1,-0.16666666666666663,,,2,6,1,1,1,0.015,0.109,0.044000000000000004,0.83,0.03,0.1,0.01,0.01,0.0,0.0,0.0,0.52,0.48,0.2,0.21,0.23,0.28,0.08,0.24,0.34,0.27,0.15
0,https://www.niche.com/places-to-live/c/harvey-county-ks/,B,B+,B,A minus,B,B+,B,B+,B+,B,A minus,"Harvey County is located in Kansas with a population of 34,503. In Harvey County, most residents own their homes. Many families, young professionals, and retirees live in Harvey County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.12,0.13,0.1,0.12,0.11,0.12,0.13,0.19,0.13,0.08333333333333348,0.21,0.04999999999999982,0.34,0.1724137931034484,0.24,-0.11111111111111116,0.1,-0.16666666666666663,,,,,,,,0.02,0.096,0.025,0.83,0.02,0.12,0.01,0.03,0.0,0.0,0.0,0.5,0.5,0.17,0.19,0.29,0.27,0.07,0.26,0.31,0.29,0.14
0,https://www.niche.com/places-to-live/c/tom-green-county-tx/,A minus,B+,A minus,A minus,A,A minus,A minus,B,A minus,C,A minus,"Tom Green County is located in Texas with a population of 117,986. In Tom Green County, most residents own their homes. Many families and young professionals live in Tom Green County and residents tend to be conservative.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.13,0.11,0.12,0.16,0.11,0.11,0.12,0.15,0.08,-0.33333333333333326,0.16,-0.20000000000000007,0.32,0.10344827586206917,0.3,0.11111111111111094,0.14,0.16666666666666674,,,1,0,0,0,0,0.025,0.134,0.033,0.53,0.04,0.4,0.01,0.01,0.0,0.0,0.0,0.5,0.5,0.21,0.22,0.22,0.26,0.09,0.27,0.34,0.23,0.16
0,https://www.niche.com/places-to-live/c/san-juan-county-wa/,B+,C minus,B+,B+,C+,A minus,A+,D,A+,A+,A+,"San Juan County is located in Washington with a population of 16,788. In San Juan County, most residents own their homes. Many retirees live in San Juan County and residents tend to be liberal.",,,,,,,,0.25,0.75,,,,,,,,,,,,,,,0.06,0.07,0.05,0.08,0.1,0.11,0.19,0.33,0.2,0.6666666666666667,0.29,0.44999999999999973,0.3,0.034482758620689724,0.16,-0.40740740740740744,0.04,-0.6666666666666666,,,2,2,0,0,0,0.013000000000000001,0.102,0.037000000000000005,0.88,0.01,0.06,0.01,0.02,0.0,0.01,0.0,0.52,0.48,0.17,0.17,0.23,0.28,0.14,0.22,0.29,0.25,0.23
0,https://www.niche.com/places-to-live/c/dauphin-county-pa/,B+,B minus,A,A,A,B,B minus,B minus,A minus,A minus,A minus,"Dauphin County is located in Pennsylvania with a population of 275,632. In Dauphin County, most residents own their homes. Many families and young professionals live in Dauphin County and residents tend to have moderate political views.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.12,0.1,0.08,0.14,0.12,0.13,0.14,0.17,0.12,0.0,0.19,-0.050000000000000044,0.26,-0.10344827586206884,0.33,0.2222222222222221,0.1,-0.16666666666666663,,,4,7,3,0,0,0.031,0.12300000000000001,0.039,0.66,0.18,0.09,0.04,0.02,0.0,0.0,0.0,0.52,0.48,0.18,0.18,0.24,0.29,0.11,0.23,0.28,0.29,0.19
0,https://www.niche.com/places-to-live/c/desoto-county-ms/,A,A minus,B+,A,A minus,B+,B,B,B+,B minus,C,"DeSoto County is located in Mississippi with a population of 178,975. In DeSoto County, most residents own their homes. Many families and young professionals live in DeSoto County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.13,0.13,0.09,0.13,0.14,0.14,0.12,0.13,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.36,0.24137931034482762,0.29,0.07407407407407396,0.1,-0.16666666666666663,,,11,27,17,4,0,0.036000000000000004,0.091,0.02,0.64,0.27,0.05,0.01,0.02,0.0,0.0,0.0,0.52,0.48,0.14,0.17,0.24,0.34,0.11,0.24,0.29,0.28,0.2
0,https://www.niche.com/places-to-live/c/pulaski-county-ar/,C+,B minus,A,A minus,A,B,B,B,A minus,B+,B+,"Pulaski County is located in Arkansas with a population of 392,967. In Pulaski County, most residents own their homes. Many families and young professionals live in Pulaski County and residents tend to lean liberal.",,,,,,,,0.41,0.59,,,,,,,,,,,,,,,0.14,0.1,0.09,0.15,0.13,0.12,0.13,0.15,0.14,0.16666666666666674,0.21,0.04999999999999982,0.3,0.034482758620689724,0.26,-0.03703703703703709,0.1,-0.16666666666666663,,,2,2,3,0,1,0.028999999999999998,0.16699999999999998,0.033,0.52,0.37,0.06,0.02,0.02,0.0,0.0,0.0,0.52,0.48,0.24,0.21,0.22,0.23,0.11,0.27,0.3,0.25,0.18
0,https://www.niche.com/places-to-live/c/bexar-county-tx/,B+,C+,A,A,A,B,B+,B minus,A,B minus,B minus,"Bexar County is located in Texas with a population of 1,952,843. In Bexar County, most residents own their homes. Many families and young professionals live in Bexar County and residents tend to lean liberal.",,,,,,,,0.41,0.59,,,,,,,,,,,,,,,0.14,0.11,0.1,0.16,0.13,0.12,0.11,0.12,0.1,-0.16666666666666663,0.18,-0.10000000000000009,0.31,0.06896551724137945,0.25,-0.07407407407407418,0.16,0.3333333333333335,,,17,28,5,0,0,0.035,0.156,0.078,0.28,0.07,0.6,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.21,0.19,0.23,0.27,0.11,0.29,0.3,0.24,0.17
0,https://www.niche.com/places-to-live/c/mccracken-county-ky/,A+,A minus,B+,A,B,B minus,B minus,B+,B+,B+,A minus,"McCracken County is located in Kentucky with a population of 65,268. In McCracken County, most residents own their homes. Many young professionals and retirees live in McCracken County and residents tend to be conservative.",,,,,,,,0.35,0.65,,,,,,,,,,,,,,,0.12,0.11,0.07,0.12,0.12,0.13,0.14,0.19,0.09,-0.25,0.15,-0.2500000000000001,0.35,0.2068965517241379,0.31,0.14814814814814814,0.1,-0.16666666666666663,,,0,0,1,0,0,0.023,0.156,0.006,0.83,0.1,0.03,0.01,0.02,0.0,0.0,0.0,0.52,0.48,0.27,0.22,0.2,0.22,0.08,0.29,0.32,0.23,0.15
0,https://www.niche.com/places-to-live/c/saline-county-ar/,A,A,B minus,A,B minus,A minus,B,B+,B+,C+,C minus,"Saline County is located in Arkansas with a population of 119,415. In Saline County, most residents own their homes. Many families and young professionals live in Saline County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.13,0.11,0.07,0.13,0.14,0.13,0.12,0.18,0.09,-0.25,0.17,-0.15000000000000002,0.33,0.13793103448275867,0.31,0.14814814814814814,0.09,-0.25,,,4,9,2,1,0,0.024,0.09,0.016,0.85,0.07,0.05,0.01,0.02,0.0,0.0,0.0,0.51,0.49,0.15,0.19,0.24,0.33,0.09,0.23,0.3,0.28,0.19
0,https://www.niche.com/places-to-live/c/leavenworth-county-ks/,B,B+,B+,A,B,A minus,B minus,B,B+,B+,B,"Leavenworth County is located in Kansas with a population of 80,745. In Leavenworth County, most residents own their homes. Many families and young professionals live in Leavenworth County and residents tend to be conservative.",,,,,,,,0.33,0.67,,,,,,,,,,,,,,,0.13,0.11,0.09,0.13,0.15,0.13,0.13,0.14,0.13,0.08333333333333348,0.19,-0.050000000000000044,0.32,0.10344827586206917,0.28,0.03703703703703698,0.08,-0.33333333333333326,,,4,5,1,0,0,0.027000000000000003,0.084,0.012,0.79,0.08,0.07,0.01,0.04,0.0,0.01,0.0,0.46,0.54,0.15,0.14,0.23,0.35,0.14,0.26,0.27,0.25,0.22
0,https://www.niche.com/places-to-live/c/middlesex-county-ct/,A minus,C+,A,A,B,B,C+,C,A+,A,B minus,"Middlesex County is located in Connecticut with a population of 163,053. In Middlesex County, most residents own their homes. Many young professionals live in Middlesex County and residents tend to lean liberal.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.09,0.09,0.09,0.11,0.11,0.15,0.16,0.2,0.19,0.5833333333333335,0.24,0.19999999999999996,0.26,-0.10344827586206884,0.26,-0.03703703703703709,0.06,-0.5,,,8,8,4,0,0,0.032,0.069,0.031,0.84,0.05,0.06,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.13,0.13,0.18,0.33,0.23,0.21,0.22,0.24,0.32
0,https://www.niche.com/places-to-live/c/el-paso-county-co/,A minus,B minus,A,A,A minus,B,B,C minus,A+,B,B,"El Paso County is located in Colorado with a population of 698,974. In El Paso County, most residents own their homes. Many families and young professionals live in El Paso County and residents tend to be conservative.",,,,,,,,0.36,0.64,,,,,,,,,,,,,,,0.14,0.11,0.11,0.16,0.13,0.12,0.12,0.12,0.15,0.25,0.24,0.19999999999999996,0.35,0.2068965517241379,0.2,-0.2592592592592593,0.06,-0.5,,,10,14,3,0,0,0.038,0.10099999999999999,0.032,0.69,0.06,0.17,0.03,0.04,0.0,0.0,0.0,0.5,0.5,0.15,0.16,0.23,0.32,0.14,0.25,0.27,0.26,0.22
0,https://www.niche.com/places-to-live/c/stevens-county-mn/,A,A,B+,A minus,B minus,A minus,C minus,A minus,C+,C,A+,"Stevens County is located in Minnesota with a population of 9,789. In Stevens County, most residents own their homes. Many young professionals live in Stevens County and residents tend to lean conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.11,0.1,0.19,0.12,0.1,0.09,0.12,0.17,0.09,-0.25,0.21,0.04999999999999982,0.32,0.10344827586206917,0.31,0.14814814814814814,0.06,-0.5,,,,,,,,0.015,0.126,0.042,0.87,0.01,0.06,0.02,0.01,0.0,0.02,0.0,0.5,0.5,0.21,0.16,0.22,0.29,0.11,0.35,0.21,0.28,0.16
0,https://www.niche.com/places-to-live/c/faulkner-county-ar/,A,B+,B+,A,B,B,B,B+,B,B,B minus,"Faulkner County is located in Arkansas with a population of 123,624. In Faulkner County, most residents own their homes. Many families and young professionals live in Faulkner County and residents tend to be conservative.",,,,,,,,0.38,0.62,,,,,,,,,,,,,,,0.13,0.1,0.15,0.14,0.13,0.12,0.11,0.12,0.11,-0.08333333333333326,0.19,-0.050000000000000044,0.31,0.06896551724137945,0.3,0.11111111111111094,0.08,-0.33333333333333326,,,,,,,,0.022000000000000002,0.166,0.021,0.8,0.11,0.04,0.01,0.02,0.0,0.0,0.0,0.51,0.49,0.24,0.2,0.21,0.27,0.08,0.31,0.29,0.25,0.16
0,https://www.niche.com/places-to-live/c/lehigh-county-pa/,A+,B minus,A,A,A,B minus,C,C+,A,A,B,"Lehigh County is located in Pennsylvania with a population of 365,052. In Lehigh County, most residents own their homes. Many families and young professionals live in Lehigh County and residents tend to have moderate political views.",,,,,,,,0.36,0.64,,,,,,,,,,,,,,,0.12,0.11,0.09,0.13,0.12,0.13,0.13,0.16,0.12,0.0,0.18,-0.10000000000000009,0.26,-0.10344827586206884,0.33,0.2222222222222221,0.11,-0.08333333333333326,,,1,7,0,0,0,0.038,0.124,0.051,0.64,0.06,0.24,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.17,0.18,0.23,0.29,0.14,0.26,0.29,0.25,0.2
0,https://www.niche.com/places-to-live/c/okaloosa-county-fl/,A minus,B,A minus,A,B+,B,B,B minus,A minus,A minus,B,"Okaloosa County is located in Florida with a population of 203,794. In Okaloosa County, most residents own their homes. Many families and young professionals live in Okaloosa County and residents tend to be conservative.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.13,0.1,0.09,0.16,0.12,0.12,0.13,0.16,0.12,0.0,0.2,0.0,0.37,0.27586206896551735,0.25,-0.07407407407407418,0.08,-0.33333333333333326,,,1,2,0,0,0,0.033,0.109,0.03,0.74,0.09,0.09,0.03,0.04,0.0,0.0,0.0,0.49,0.51,0.16,0.19,0.23,0.31,0.11,0.25,0.3,0.24,0.21
0,https://www.niche.com/places-to-live/c/lowndes-county-ga/,A,B minus,A minus,A,A,B minus,A minus,B,B,B,B+,"Lowndes County is located in Georgia with a population of 115,364. In Lowndes County, most residents own their homes. Many families and young professionals live in Lowndes County and residents tend to lean conservative.",,,,,,,,0.48,0.52,,,,,,,,,,,,,,,0.14,0.1,0.17,0.15,0.11,0.11,0.1,0.12,0.1,-0.16666666666666663,0.15,-0.2500000000000001,0.3,0.034482758620689724,0.31,0.14814814814814814,0.13,0.08333333333333348,,,2,3,1,0,0,0.039,0.243,0.017,0.54,0.36,0.06,0.02,0.02,0.0,0.0,0.0,0.51,0.49,0.33,0.2,0.2,0.22,0.06,0.33,0.33,0.23,0.12
0,https://www.niche.com/places-to-live/c/pitt-county-nc/,B minus,B minus,A,A minus,A,C+,B+,B,B+,B+,B+,"Pitt County is located in North Carolina with a population of 178,433. In Pitt County, most residents own their homes. Many families and young professionals live in Pitt County and residents tend to have moderate political views.",,,,,,,,0.48,0.52,,,,,,,,,,,,,,,0.12,0.1,0.18,0.14,0.12,0.11,0.11,0.13,0.12,0.0,0.2,0.0,0.33,0.13793103448275867,0.24,-0.11111111111111116,0.11,-0.08333333333333326,,,1,1,3,0,0,0.052000000000000005,0.228,0.027999999999999997,0.54,0.34,0.06,0.02,0.03,0.0,0.0,0.0,0.53,0.47,0.28,0.2,0.21,0.23,0.08,0.34,0.28,0.24,0.14
0,https://www.niche.com/places-to-live/c/multnomah-county-or/,B+,C minus,A+,A minus,A minus,B,B,D minus,A+,A+,A,"Multnomah County is located in Oregon with a population of 804,606. In Multnomah County, most residents own their homes. Many young professionals live in Multnomah County and residents tend to be liberal.",,,,,,,,0.45,0.55,,,,,,,,,,,,,,,0.11,0.08,0.08,0.19,0.16,0.13,0.12,0.13,0.18,0.5,0.28,0.40000000000000013,0.29,0.0,0.17,-0.37037037037037035,0.09,-0.25,,,3,5,8,0,0,0.034,0.13699999999999998,0.07,0.7,0.05,0.12,0.07,0.05,0.0,0.01,0.01,0.5,0.5,0.18,0.16,0.2,0.3,0.16,0.24,0.27,0.24,0.25
0,https://www.niche.com/places-to-live/c/woodford-county-ky/,A,A minus,C+,A minus,B minus,A minus,B minus,B+,B,C+,B,"Woodford County is located in Kentucky with a population of 26,318. In Woodford County, most residents own their homes. Many families and young professionals live in Woodford County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,,,,,,,,0.12,0.1,0.08,0.1,0.12,0.14,0.16,0.18,0.14,0.16666666666666674,0.2,0.0,0.28,-0.0344827586206895,0.3,0.11111111111111094,0.09,-0.25,,,1,0,1,0,0,0.024,0.129,0.04,0.86,0.05,0.07,0.0,0.02,0.0,0.0,0.0,0.53,0.47,0.17,0.21,0.2,0.31,0.11,0.22,0.32,0.27,0.19
0,https://www.niche.com/places-to-live/c/erie-county-ny/,B+,B minus,A,A,B+,B,C minus,B minus,A minus,A,A minus,"Erie County is located in New York with a population of 919,355. In Erie County, most residents own their homes. Many young professionals live in Erie County and residents tend to lean liberal.",,,,,,,,0.35,0.65,,,,,,,,,,,,,,,0.11,0.09,0.09,0.14,0.11,0.13,0.14,0.18,0.15,0.25,0.19,-0.050000000000000044,0.3,0.034482758620689724,0.28,0.03703703703703698,0.08,-0.33333333333333326,,,17,30,19,3,0,0.027000000000000003,0.14,0.033,0.75,0.13,0.06,0.04,0.02,0.0,0.0,0.0,0.52,0.48,0.22,0.18,0.21,0.28,0.11,0.26,0.28,0.26,0.2
0,https://www.niche.com/places-to-live/c/suffolk-county-ma/,B,D,A+,A minus,A+,C+,C+,D+,A+,A,B+,"Suffolk County is located in Massachusetts with a population of 796,605. In Suffolk County, most residents rent their homes. Many young professionals live in Suffolk County and residents tend to be liberal.",,,,,,,,0.64,0.36,,,,,,,,,,,,,,,0.1,0.07,0.14,0.23,0.13,0.11,0.1,0.12,0.21,0.75,0.25,0.25,0.18,-0.3793103448275862,0.22,-0.18518518518518523,0.14,0.16666666666666674,,,0,2,0,0,0,0.042,0.18100000000000002,0.155,0.45,0.2,0.23,0.09,0.02,0.01,0.0,0.0,0.52,0.48,0.24,0.13,0.16,0.26,0.21,0.28,0.23,0.23,0.27
0,https://www.niche.com/places-to-live/c/tolland-county-ct/,A minus,B minus,A minus,A,B minus,A minus,C+,C,A,A,B minus,"Tolland County is located in Connecticut with a population of 151,063. In Tolland County, most residents own their homes. Many young professionals live in Tolland County and residents tend to have moderate political views.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.09,0.09,0.19,0.11,0.1,0.13,0.14,0.15,0.18,0.5,0.24,0.19999999999999996,0.26,-0.10344827586206884,0.27,0.0,0.05,-0.5833333333333333,,,1,1,2,0,0,0.034,0.073,0.032,0.85,0.03,0.06,0.05,0.02,0.0,0.0,0.0,0.5,0.5,0.13,0.13,0.17,0.34,0.23,0.26,0.22,0.23,0.29
