,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,Participant 4,,Yes,Night float system,No,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 11,Participant 12,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6
0,https://freida.ama-assn.org/program/2403822124,Community-based university affiliated,Cleveland Clinic Foundation,3,3,No,No,July,No,No,https://my.clevelandclinic.org/departments/eye/medical-professionals/,Not Available,"Jeffrey M Goshe
MD
Cleveland Clinic
Cole Eye Inst I-32
9500 Euclid Ave
Cleveland, OH 44195
Tel:
Fax:
E-mail: zeitzr@ccf.org","Rose  Zeitz
Cleveland Clinic
Cole Eye Inst I-32
9500 Euclid Ave
Cleveland, OH 44195
Tel:
Fax:
E-mail: zeitzr@ccf.org",2403822124,"Cleveland Clinic, Cole Eye Inst I-32, 9500 Euclid Ave, Cleveland, OH 44195","9500 Euclid Ave, Cleveland, OH 44195-5242","2500 MetroHealth Dr, Cleveland, OH 44109-1998",,,4,4,4,,"Yes  , 1 year(s)",No,No,No,,-_-,7/1/2020,9/11/2020,No,0,Yes,No,3,No,Yes,___,No,236-245,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,Yes,Yes,40,2,0,0,40,2,35,3.3 to 1,55,14,1.6,No,,97.2,2.7,0,47.2,52.7,N/A,13,N/A,13,N/A,13,,,5,90%,10%,,,,"$57,698.00",15,NGO,"$59,563.00",15,NGO,"$61,773.00",15,NGO,No answer,90,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Not available,Yes,Yes,No,,,,,,No,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2403821127,,,3,3,No,Yes,July,No,No,,Not Available,"Andrew J Hendershot
MD
Ohio State Eye and Ear Inst
Ste 5000
915 Olentangy River Rd
Columbus, OH 43212
Tel: (614) 293-8117
Fax: (614) 293-5602
E-mail: trish.weber@osumc.edu","Trish  Weber
Ohio State Eye and Ear Inst
Ste 5000
915 Olentangy River Rd
Columbus, OH 43212
Tel: (614) 293-8117
Fax: (614) 293-5602
E-mail: trish.weber@osumc.edu",2403821127,"Ohio State Eye and Ear Inst, Ste 5000, 915 Olentangy River Rd, Columbus, OH 43212","410 W Tenth Ave, Columbus, OH 43210-1228","4100 W 3rd St, Dayton, OH 45428","700 Children's Dr, Columbus, OH 43205-2596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543 Taylor Ave, Columbus, OH 43203",,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2403800129,,,3,3,No,No,July,No,No,https://www.ketteringhealth.org/grandviewmeded/residency/ophthalmology.cfm,Not Available,"Brian  Mihok
DO
Grandview Med Ctr
Ophthalmology Pgm
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-4343
Fax: (937) 723-5017
E-mail: machele.maus@ketteringhealth.org","Machele  Maus
Grandview Med Ctr
Ophthalmology Pgm
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-4343
Fax:
E-mail: machele.maus@ketteringhealth.org",2403800129,"Grandview Med Ctr, Ophthalmology Pgm, 405 W Grand Ave, Dayton, OH 45405","3535 Southern Blvd, Kettering, OH 45429-1221","405 W Grand Ave, Dayton, OH 45405","3535 Southern Blvd, Kettering, OH 45429-2989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Children's Plaza, Dayton, OH 45404-1815","10494 Montgomery Rd, Cincinnati, OH 45236","3100 Governor's Place Blvd, Dayton, OH 45409",,,,,"89 Sylvania Dr, Dayton, OH 45440","1020 Woodman Dr, Dayton, OH 45432","301 W First St, Dayton, OH 45402","425 W Grand Ave, Dayton, OH 45405","8216 N Main St, Dayton, OH 45415",,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2403921129,,,3,3,No,No,July,No,No,http://www.dmei.org,Not Available,"Raymond M Siatkowski
MD
Univ of Oklahoma Health Sciences Ctr
Dean A McGee Eye Inst
608 Stanton L Young Blvd
Oklahoma City, OK 73104
Tel: (405) 271-1094
Fax: (405) 271-3013
E-mail: rmichael-siatkowski@dmei.org","Helen F Howell
BS
Univ of Oklahoma Health Sciences Ctr
Dean A McGee Eye Inst
608 Stanton L Young Blvd
Oklahoma City, OK 73104-9939
Tel: (405) 271-7816
Fax: (405) 271-3013
E-mail: helen-howell@ouhsc.edu",2403921129,"Univ of Oklahoma Health Sciences Ctr, Dean A McGee Eye Inst, 608 Stanton L Young Blvd, Oklahoma City, OK 73104","940 Stanton L Young Blvd, Oklahoma City, OK 73104","608 Stanton L Young Blvd, Oklahoma City, OK 73104","1200 Children's Ave, Oklahoma City, OK 73104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"921 NE 13th St, Oklahoma City, OK 73104","700 NE 13th St, Oklahoma City, OK 73104",,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404021131,,,3,3,No,No,June,No,No,http://www.ohsu.edu/xd/health/services/casey-eye/training/residency-program,Not Available,"Thomas S Hwang
MD
Casey Eye Inst
Ophthalmology Pgm
3375 SW Terwilliger Blvd
Portland, OR 97239
Tel: (503) 494-3394
Fax: (503) 494-9259
E-mail: bonys@ohsu.edu","Susan E Minnieweather
Casey Eye Inst
Ophthalmology Pgm
515 SW Campus Dr
Portland, OR 97239-4197
Tel: (503) 494-9255
Fax: (503) 494-9259
E-mail: bonys@ohsu.edu",2404021131,"Casey Eye Inst, Ophthalmology Pgm, 3375 SW Terwilliger Blvd, Portland, OR 97239","3181 SW Sam Jackson Park Rd, Portland, OR 97201-3098","1015 NW 22nd Ave, Portland, OR 97210-3090","3710 SW US Veterans Hospital Rd, Portland, OR 97207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404121132,,,3,3,No,No,July,No,No,http://www.geisinger.edu,Not Available,"Benjamin P Hale
MD
Geisinger Med Ctr
MC 52-40
16 Woodbine Ln
Danville, PA 17822
Tel:
Fax:
E-mail: bphale@geisinger.edu","Michele A Noss
Geisinger Med Ctr
MC 52-40
16 Woodbine Ln
Danville, PA 17821
Tel: (570) 214-3044
Fax:
E-mail: mnoss@geisinger.edu",2404121132,"Geisinger Med Ctr, MC 52-40, 16 Woodbine Ln, Danville, PA 17822","100 N Academy Ave, Danville, PA 17822","100 N Academy Ave, Danville, PA 17822-2201","840 Walnut St, Philadelphia, PA 19107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404111133,,,3,3,No,No,July,No,No,http://www.pennstatehershey.org/web/eyecenter/education/residency,Not Available,"Michael J Wilkinson
MD
Penn State Hershey Med Ctr
UPC 1 Ste 800 M/C-HU19
500 University Dr
Hershey, PA 17033
Tel: (717) 531-8783
Fax: (717) 531-5475
E-mail: mwilkinson@pennstatehealth.psu.edu","Maria  Montijo
Penn State Hershey Med Ctr
Eye Ctr HU19 UPC1 Ste 800
500 University Dr
Hershey, PA 17033
Tel: (717) 531-8783
Fax: (717) 531-5475
E-mail: mmontijo@pennstatehealth.psu.edu",2404111133,"Penn State Hershey Med Ctr, UPC 1 Ste 800 M/C-HU19, 500 University Dr, Hershey, PA 17033","500 University Dr, Hershey, PA 17033-0850","1700 S Lincoln Ave, Lebanon, PA 17042-7597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404111137,,,3,3,No,Yes,July,No,No,,Not Available,"Tara Arden Uhler
MD
Wills Eye Hosp
Ste 800
840 Walnut St
Philadelphia, PA 19107
Tel: (215) 440-3170
Fax: (215) 825-4732
E-mail: meded@willseye.org","Medical Educatio  Office
Wills Eye Hosp
Ste 800
840 Walnut St
Philadelphia, PA 19107
Tel:
Fax:
E-mail: residencyselection@willseye.org",2404111137,"Wills Eye Hosp, Ste 800, 840 Walnut St, Philadelphia, PA 19107","1025 Walnut St, Philadelphia, PA 19107-5083","840 Walnut St, Philadelphia, PA 19107","2601 E Roosevelt St, Phoenix, AZ 85008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Cooper Plaza, Camden, NJ 08103-1489","111 S 11th St, Philadelphia, PA 19107-5096","5501 Old York Rd, Philadelphia, PA 19141-3098",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404121136,University-based,University of Pennsylvania Health System,3,3,No,Yes,July,No,No,https://www.pennmedicine.org/departments-and-centers/ophthalmology,Not Available,"Paul J Tapino
MD
Scheie Eye Inst
Ste 515
51 N 39th St
Philadelphia, PA 19104
Tel: (215) 662-8069
Fax: (215) 243-3579
E-mail: paul.tapino@uphs.upenn.edu","John A Dempsey
BA
Scheie Eye Inst
Ste 515
51 N 39th St
Philadelphia, PA 19104-2689
Tel: (215) 662-8069
Fax: (215) 243-4696
E-mail: john.dempsey@pennmedicine.upenn.edu",2404121136,"Scheie Eye Inst, Ste 515, 51 N 39th St, Philadelphia, PA 19104","3400 Spruce St, Philadelphia, PA 19104-4283","34th St & Civic Center Blvd, Philadelphia, PA 19104","3900 Woodland Ave, Philadelphia, PA 19104",Research opportunities abound across all subspecialties for those residents interested in pursuing special research projects.,5,5,5,,"Yes  , 1 year(s)",No,No,No,10/15/2020,11/2/2020 - 11/20/2020_11/1/2021 - 11/21/2021,8/1/2021,10/15/2021,No,70,Yes,No,3,No,Yes,245___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,No,No,No,25,4,5,0,30,4,20,1.8 to 1,60,12,1,Yes,,93.3,6.6,0,46.6,53.3,Every fifth night for 12 month(s),10,Every fifth night for 12 month(s),10,Every fifth night for 12 month(s),10,,,8,80%,2%,,,,"$62,858.00",20,3,"$65,978.00",20,3,"$68,661.00",20,3,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Optional,No,No,Yes,"51 N 39th St, Philadelphia, PA 19104-2699",,,,,No,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404121164,,,3,3,No,Yes,July,No,No,http://www.temple.edu/ophtho,Not Available,"Gary  Domeracki
MD
Temple Univ Hosp
Dept of Ophthalmology Kresege West 300
3400 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-3665
Fax:
E-mail: gary.domeracki@tuhs.temple.edu","Darylynn  Lindo
Temple Univ Hosp
Dept of Ophthalmology Kresege West 300
3400 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-5482
Fax: (215) 707-7523
E-mail: darylynn.lindo@tuhs.temple.edu",2404121164,"Temple Univ Hosp, Dept of Ophthalmology Kresege West 300, 3400 N Broad St, Philadelphia, PA 19140","3401 N Broad St, Philadelphia, PA 19140","501 W 14th St, Wilmington, DE 19899-1668","1600 Rockland Rd, Wilmington, DE 19899-0269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1601 Kirkwood Hwy, Wilmington, DE 19805","3601 A St, Philadelphia, PA 19134","5501 Old York Rd, Philadelphia, PA 19141-3098",,,,,"840 Walnut St, Philadelphia, PA 19107",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404100173,,,3,3,No,Yes,July,No,No,http://www.pcom.edu,Not Available,"Kenneth C Heist
DO
Philadelphia Coll of Osteopathic Med
Rowland Hall Ste 409
4190 City Ave
Philadelphia, PA 19131
Tel: (215) 271-6900
Fax:
E-mail: silinaga@pcom.edu","Silina C Flacks
Philadelphia Coll of Osteopathic Med
Rowland Hall Ste 409
4190 City Ave
Philadelphia, PA 19131
Tel: (215) 871-6693
Fax:
E-mail: silinaga@pcom.edu",2404100173,"Philadelphia Coll of Osteopathic Med, Rowland Hall Ste 409, 4190 City Ave, Philadelphia, PA 19131","4170 City Ave, Philadelphia, PA 19131","100 Lancaster Ave W of City Line, Wynnewood, PA 19096-3498","1600 Rockland Rd, Wilmington, DE 19899-0269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2301 S 13th St, Philadelphia, PA 19148","840 Walnut St, Philadelphia, PA 19107","1 Medical Center Blvd, Upland, PA 19013-3995",,,,,"700 Lawn Ave, Sellersville, PA 18960",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404100174,,,3,3,Yes,Yes,July,No,No,,Not Available,"Iftikhar  Chaudhry
MD
Nazareth Hosp
Ophthalmology Pgm
2601 Holme Ave
Philadelphia, PA 19152
Tel: (267) 350-7418
Fax:
E-mail: sandra.evans001@mercyhealth.org","Sandra  Evans
Nazareth Hosp
Ophthalmology Pgm
2601 Holme Ave
Philadelphia, PA 19152
Tel: (267) 350-7418
Fax:
E-mail: sandra.evans001@mercyhealth.org",2404100174,"Nazareth Hosp, Ophthalmology Pgm, 2601 Holme Ave, Philadelphia, PA 19152","2601 Holme Ave, Philadelphia, PA 19152","2301 E Allegheny Ave, Philadelphia, PA 19134","310 E 14th St, New York, NY 10003-4200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404121138,University-based,UPMC Presbyterian Shadyside,3,3,No,Yes,July,No,No,http://ophthalmology.medicine.pitt.edu,Not Available,"Evan L Waxman
MD, PhD
UPMC Eye Ctr
Ste 8211
203 Lothrop St
Pittsburgh, PA 15213
Tel: (412) 647-2256
Fax: (412) 647-5119
E-mail: waxmane@upmc.edu","Natalie  Susany
UPMC Eye Ctr
Ste 3103
1400 Locust St
Pittsburgh, PA 15219
Tel: (412) 232-7219
Fax: (412) 647-5119
E-mail: susanynj@upmc.edu",2404121138,"UPMC Eye Ctr, Ste 8211, 203 Lothrop St, Pittsburgh, PA 15213","3600 Forbes Ave, Pittsburgh, PA 15213","5230 Centre Ave, Pittsburgh, PA 15232","2211 Lomas Blvd NE, Albuquerque, NM 87106-2745",,6,6,6,,"Yes  , 1 year(s)",No,No,No,,-_-,,,Yes,50,Yes,No,3,No,Yes,___,No,Greater than 245,Yes,No,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,33,0,5,0,38,0,33.3,1.9 to 1,65,24,2,No,Yes,85.1,12.9,1.8,48.1,51.8,Once per week for week(s),0,Other for week(s),9,Every sixth night for week(s),9,,,6,95%,5%,,,,"$60,259.00",20,NGO,"$61,441.00",20,NGO,"$64,478.00",20,NGO,Yes,40,0,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Required,No,No,Yes,"45th & Penn Ave, Pittsburgh, PA 15201","1400 Locust St, Pittsburgh, PA 15219-5166","University Dr C, Pittsburgh, PA 15240-1001",(8 wks ),,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404221141,,,3,3,No,No,July,No,No,http://www.rcm.upr.edu,Not Available,"Victor  Villegas
MD
Univ of Puerto Rico Med Science Campus
Ophthalmology Pgm
GPO Box 365067
San Juan, PR 00936
Tel:
Fax: (787) 758-3488
E-mail: victor.villegas@upr.edu","Heidyliz  Perez
MS
Univ of Puerto Rico Med Science Campus
Ophthalmology Pgm
GPO Box 365067
San Juan, PR 00936
Tel: (787) 474-9976
Fax:
E-mail: heidyliz.perez1@upr.edu",2404221141,"Univ of Puerto Rico Med Science Campus, Ophthalmology Pgm, GPO Box 365067, San Juan, PR 00936","GPO Box 5067, San Juan, PR 00936-5067","PO Box 2116, San Juan, PR 00922","10 Casia St, San Juan, PR 00921-3201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PMB #79 PO Box 70344, San Juan, PR 00936-8344","PO Box 191079, San Juan, PR 00919-1079",,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404311142,,,3,3,Yes,Yes,July,No,No,,Not Available,"Kimberly V Miller
MD
Rhode Island Hosp
Ste 200
1 Hoppin St
Providence, RI 02903
Tel: (401) 444-3152
Fax: (401) 444-7076
E-mail: kimberly.miller@lifespan.org","Grace M Gomes
Rhode Island Hosp
Ste 200
1 Hoppin St
Providence, RI 02903
Tel: (401) 444-4669
Fax: (401) 444-7076
E-mail: ggomes1@lifespan.org",2404311142,"Rhode Island Hosp, Ste 200, 1 Hoppin St, Providence, RI 02903","593 Eddy St, Providence, RI 02903","830 Chalkstone Ave, Providence, RI 02908-4799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404521143,University-based,MUSC Medical Center,3,3,No,Yes,July,No,No,http://www.stormeye.org,Not Available,"Matthew J Nutaitis
MD
Storm Eye Inst
PO Box 250676
167 Ashley Ave
Charleston, SC 29425
Tel: (843) 792-8864
Fax: (843) 792-3903
E-mail: nutaitis@musc.edu","Ashley  Caradonna
BS
Storm Eye Inst
PO Box 250676
167 Ashley Ave
Charleston, SC 29425
Tel: (843) 792-8864
Fax:
E-mail: caradonn@musc.edu",2404521143,"Storm Eye Inst, PO Box 250676, 167 Ashley Ave, Charleston, SC 29425","169 Ashley Ave, Charleston, SC 29425","171 Ashley Ave, Charleston, SC 29425-0950","109 Bee St, Charleston, SC 29401-5799","Residents receive training and certification on catalys femto-second laser cataract surgery, laser-assisted in-situ keratomileusis (LASIK) eye surgery and Kahook Dual Blade (KDB). Residents also have the opportunity to travel on international medical missions.",4,4,4,,"Yes  , 1 year(s)",No,No,No,9/28/2020,11/13/2020 - 12/4/2020_-,,,No,46,Yes,No,3,No,Yes,235___,No,No Answer,No,"No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,11,2,4,1,15,3,36.3,1.0 to 1,50,8,1.5,No,,100,0,0,47.2,52.7,Two times per week for 10 month(s),10,Once per week for 12 month(s),13,Two times per week for 12 month(s),13,,,6,100%,N/A,,,,"$55,334.00",15,15,"$56,164.00",15,15,"$58,708.00",15,15,No answer,15,Not Available,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Not available,No,No,Yes,,,,,,No,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404521163,Community-based university affiliated,Prisma Health,3,3,No,No,July,No,No,https://residency.palmettohealth.org/,Not Available,"Mark E Robinson
MD, MPH
Prisma Health-Midlands
Ste 340
9 Medical Park
Columbia, SC 29203
Tel: (803) 434-7063
Fax: (803) 434-2387
E-mail: mark.robinson@prismahealth.org","Barbara J Tandon
Prisma Health-Midlands
Ste 340
9 Medical Park
Columbia, SC 29203
Tel: (803) 434-7063
Fax: (803) 434-2387
E-mail: barbara.tandon@prismahealth.org",2404521163,"Prisma Health-Midlands, Ste 340, 9 Medical Park, Columbia, SC 29203","PO Box 2266, Columbia, SC 29202-2266","5 Richland Medical Pk, Columbia, SC 29203","6439 Garners Ferry Rd, Columbia, SC 29209",High volume of surgical and clinical experience. Fellowship trained faculty in every ophthalmology subspecialty.,3,3,3,,"Yes  , 1 year(s)",No,Yes,No,,-_12/4/2020 - 12/5/2020,8/1/2020,10/1/2020,Yes,30,Yes,No,3,No,Yes,220_220_600_500,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,8,2,0,0,8,2,25,0.8 to 1,50,10,2,Yes,,77.7,0,22.2,51.8,48.1,N/A,NGO,N/A,NGO,N/A,NGO,,,6,100%,N/A,,,,"$56,324.00",15,12,"$58,907.00",20,12,"$61,122.00",20,12,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Not available,Yes,Yes,Yes,,,,,,No,,,,,,,,,,,,,,,,,,
