,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,Asian,Other race,African American,Hawaiian or other Pacific Islander,American Indian or Alaska native,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/oneida-county-id/,B,B minus,B minus,B minus,C,A minus,B,C+,B,A minus,B minus,"Oneida County is located in Idaho with a population of 4,385. In Oneida County, most residents own their homes. Many retirees live in Oneida County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,,,,,,,,0.16,0.14,0.08,0.08,0.11,0.1,0.14,0.19,0.02,-0.8333333333333333,0.15,-0.2500000000000001,0.38,0.3103448275862071,0.35,0.29629629629629606,0.1,-0.16666666666666663,,,,,,,,0.006,0.10800000000000001,0.021,0.93,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.49,0.51,0.18,0.27,0.28,0.23,0.03,0.36,0.29,0.23,0.13
0,https://www.niche.com/places-to-live/c/hardin-county-il/,C minus,A minus,B,C minus,C,B minus,B minus,A+,C+,C+,B minus,"Hardin County is located in Illinois with a population of 3,939. In Hardin County, most residents own their homes. Many retirees live in Hardin County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.06,0.11,0.07,0.09,0.14,0.14,0.14,0.25,0.02,-0.8333333333333333,0.09,-0.55,0.37,0.27586206896551735,0.32,0.18518518518518512,0.2,0.6666666666666667,,,,,,,,0.063,0.13,0.001,0.95,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.5,0.5,0.24,0.19,0.27,0.25,0.05,0.33,0.31,0.22,0.14
0,https://www.niche.com/places-to-live/c/scotland-county-mo/,C+,A minus,C,C+,C minus,A,B minus,A,C+,D+,B,"Scotland County is located in Missouri with a population of 4,902. In Scotland County, most residents own their homes. Many retirees live in Scotland County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.18,0.11,0.08,0.11,0.1,0.11,0.12,0.18,0.04,-0.6666666666666666,0.1,-0.5,0.24,-0.1724137931034483,0.42,0.5555555555555554,0.2,0.6666666666666667,,,,,,,,0.021,0.13,0.0,0.99,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.49,0.51,0.27,0.2,0.26,0.16,0.11,0.23,0.4,0.19,0.17
0,https://www.niche.com/places-to-live/c/chautauqua-county-ks/,C+,C,C,C+,B minus,C minus,B minus,A,C+,B minus,B minus,"Chautauqua County is located in Kansas with a population of 3,323. In Chautauqua County, most residents own their homes. Many retirees live in Chautauqua County and residents tend to be conservative.",,,,,,,,0.22,0.78,,,,,,,,,,,,,,,0.11,0.11,0.06,0.11,0.09,0.11,0.15,0.26,0.04,-0.6666666666666666,0.12,-0.4,0.36,0.24137931034482762,0.35,0.29629629629629606,0.13,0.08333333333333348,,,,,,,,0.038,0.18,0.003,0.86,0.04,0.05,0.0,0.0,0.01,0.0,0.04,0.53,0.47,0.32,0.23,0.23,0.18,0.04,0.31,0.39,0.21,0.09
0,https://www.niche.com/places-to-live/c/meagher-county-mt/,C minus,C,B,C,C+,B,C+,C+,C+,B,A minus,"Meagher County is located in Montana with a population of 1,888. In Meagher County, most residents own their homes. Many retirees live in Meagher County and residents tend to be conservative.",,,,,,,,0.27,0.73,,,,,,,,,,,,,,,0.12,0.07,0.1,0.1,0.1,0.1,0.17,0.24,0.08,-0.33333333333333326,0.21,0.04999999999999982,0.26,-0.10344827586206884,0.4,0.4814814814814814,0.05,-0.5833333333333333,,,,,,,,0.006,0.12,0.022000000000000002,0.93,0.05,0.01,0.0,0.0,0.0,0.0,0.01,0.52,0.48,0.2,0.26,0.26,0.22,0.06,0.34,0.35,0.19,0.12
0,https://www.niche.com/places-to-live/c/sioux-county-nd/,C minus,B minus,B minus,C+,B minus,C,C+,A,C minus,C,B+,"Sioux County is located in North Dakota with a population of 4,373. In Sioux County, most residents rent their homes. Many families live in Sioux County and residents tend to be liberal.",,,,,,,,0.57,0.43,,,,,,,,,,,,,,,0.2,0.16,0.1,0.14,0.1,0.12,0.1,0.08,0.03,-0.75,0.12,-0.4,0.36,0.24137931034482762,0.32,0.18518518518518512,0.16,0.3333333333333335,,,,,,,,0.099,0.381,0.0,0.13,0.05,0.02,0.0,0.0,0.0,0.0,0.81,0.5,0.5,0.36,0.2,0.22,0.18,0.05,0.37,0.33,0.2,0.1
0,https://www.niche.com/places-to-live/c/sheridan-county-nd/,C+,A minus,B minus,C minus,C minus,B,C+,A,C minus,C minus,B+,"Sheridan County is located in North Dakota with a population of 1,409. In Sheridan County, most residents own their homes. Many retirees live in Sheridan County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,,,,,,,,0.11,0.06,0.06,0.09,0.08,0.15,0.16,0.3,0.01,-0.9166666666666666,0.13,-0.35,0.35,0.2068965517241379,0.37,0.37037037037037024,0.12,0.0,,,,,,,,0.011000000000000001,0.125,0.004,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.51,0.49,0.2,0.22,0.29,0.24,0.06,0.22,0.34,0.29,0.16
0,https://www.niche.com/places-to-live/c/clark-county-id/,C minus,B,C,C+,A minus,B minus,B minus,B,B minus,C+,C,"Clark County is located in Idaho with a population of 913. In Clark County, most residents own their homes. Many families live in Clark County and residents tend to be conservative.",,,,,,,,0.38,0.62,,,,,,,,,,,,,,,0.17,0.12,0.11,0.14,0.09,0.14,0.09,0.15,0.05,-0.5833333333333333,0.07,-0.6499999999999999,0.2,-0.31034482758620685,0.28,0.03703703703703698,0.4,2.3333333333333335,,,,,,,,0.02,0.11900000000000001,0.299,0.46,0.49,0.0,0.0,0.0,0.01,0.0,0.05,0.53,0.47,0.16,0.32,0.27,0.23,0.02,0.21,0.52,0.22,0.05
0,https://www.niche.com/places-to-live/c/kenedy-county-tx/,A,B minus,D minus,C+,C minus,A,A,A+,B minus,D+,B+,"Kenedy County is located in Texas with a population of 568. In Kenedy County, most residents rent their homes. Many families live in Kenedy County and residents tend to have moderate political views.",,,,,,,,0.77,0.23,,,,,,,,,,,,,,,0.2,0.09,0.03,0.15,0.06,0.12,0.08,0.25,0.01,-0.9166666666666666,0.0,-1.0,0.05,-0.8275862068965517,0.2,-0.2592592592592593,0.74,5.166666666666667,,,,,,,,0.0,0.057999999999999996,0.063,0.05,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.51,0.39,0.26,0.24,0.11,0.0,0.4,0.35,0.22,0.02
0,https://www.niche.com/places-to-live/c/daggett-county-ut/,B,B+,C minus,C,C minus,A minus,C+,B+,B,C,A+,"Daggett County is located in Utah with a population of 613. In Daggett County, most residents own their homes. Many retirees live in Daggett County and residents tend to be conservative.",,,,,,,,0.13,0.87,,,,,,,,,,,,,,,0.1,0.12,0.12,0.06,0.12,0.16,0.2,0.13,0.04,-0.6666666666666666,0.1,-0.5,0.41,0.4137931034482758,0.4,0.4814814814814814,0.06,-0.5,,,,,,,,0.008,0.035,0.0,0.97,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.43,0.07,0.21,0.21,0.39,0.12,0.3,0.23,0.15,0.31
0,https://www.niche.com/places-to-live/c/carlisle-county-ky/,C+,B,C,C+,C,A,B minus,A,C minus,C+,C,"Carlisle County is located in Kentucky with a population of 4,784. In Carlisle County, most residents own their homes. Many retirees live in Carlisle County and residents tend to be conservative.",,,,,,,,0.18,0.82,,,,,,,,,,,,,,,0.12,0.11,0.07,0.11,0.12,0.13,0.13,0.21,0.06,-0.5,0.08,-0.6000000000000001,0.28,-0.0344827586206895,0.4,0.4814814814814814,0.17,0.41666666666666674,,,,,,,,0.019,0.168,0.001,0.94,0.02,0.02,0.01,0.0,0.01,0.0,0.01,0.49,0.51,0.27,0.23,0.22,0.24,0.05,0.31,0.35,0.22,0.12
0,https://www.niche.com/places-to-live/c/prairie-county-mt/,B,B,C+,C+,C minus,C minus,B minus,B minus,C,B minus,A minus,"Prairie County is located in Montana with a population of 1,252. In Prairie County, most residents own their homes. Many retirees live in Prairie County and residents tend to be conservative.",,,,,,,,0.16,0.84,,,,,,,,,,,,,,,0.11,0.12,0.04,0.04,0.15,0.09,0.18,0.28,0.04,-0.6666666666666666,0.18,-0.10000000000000009,0.35,0.2068965517241379,0.31,0.14814814814814814,0.12,0.0,,,,,,,,0.03,0.133,0.019,0.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.51,0.49,0.23,0.29,0.21,0.2,0.07,0.34,0.32,0.2,0.13
0,https://www.niche.com/places-to-live/c/sweet-grass-county-mt/,B,C,B,C,C,B+,C,C,B+,B+,A,"Sweet Grass County is located in Montana with a population of 3,670. In Sweet Grass County, most residents own their homes. Many retirees live in Sweet Grass County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.09,0.1,0.07,0.09,0.09,0.12,0.15,0.3,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.33,0.13793103448275867,0.37,0.37037037037037024,0.05,-0.5833333333333333,,,,,,,,0.005,0.057999999999999996,0.006,0.94,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.5,0.5,0.2,0.23,0.24,0.27,0.06,0.26,0.35,0.25,0.13
0,https://www.niche.com/places-to-live/c/deuel-county-ne/,C,B,C,C minus,C+,B+,unavailable,A minus,C,C minus,B+,"Deuel County is located in Nebraska with a population of 1,831. In Deuel County, most residents own their homes. Many retirees live in Deuel County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,,,,,,,,0.11,0.09,0.06,0.11,0.09,0.13,0.17,0.23,0.04,-0.6666666666666666,0.12,-0.4,0.4,0.3793103448275863,0.34,0.2592592592592593,0.11,-0.08333333333333326,,,,,,,,0.031,0.08800000000000001,0.012,0.88,0.09,0.01,0.01,0.0,0.0,0.0,0.02,0.48,0.52,0.2,0.25,0.31,0.21,0.03,0.26,0.39,0.24,0.11
0,https://www.niche.com/places-to-live/c/liberty-county-mt/,A minus,C+,B minus,C,C minus,A,B+,B minus,C+,C,A,"Liberty County is located in Montana with a population of 2,351. In Liberty County, most residents own their homes. Many young professionals and retirees live in Liberty County and residents tend to be conservative.",,,,,,,,0.37,0.63,,,,,,,,,,,,,,,0.12,0.11,0.03,0.12,0.11,0.11,0.16,0.25,0.04,-0.6666666666666666,0.11,-0.45000000000000007,0.34,0.1724137931034484,0.21,-0.22222222222222232,0.3,1.5,,,,,,,,0.0,0.159,0.0,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.53,0.22,0.28,0.22,0.19,0.08,0.26,0.34,0.21,0.19
0,https://www.niche.com/places-to-live/c/lafayette-county-ar/,C minus,B,C minus,C,A minus,B,B,A,D,C,C+,"Lafayette County is located in Arkansas with a population of 6,800. In Lafayette County, most residents own their homes. Many retirees live in Lafayette County and residents tend to be conservative.",,,,,,,,0.21,0.79,,,,,,,,,,,,,,,0.12,0.07,0.08,0.1,0.1,0.13,0.16,0.23,0.04,-0.6666666666666666,0.12,-0.4,0.24,-0.1724137931034483,0.4,0.4814814814814814,0.2,0.6666666666666667,,,,,,,,0.026000000000000002,0.256,0.013000000000000001,0.59,0.03,0.02,0.0,0.01,0.36,0.0,0.0,0.51,0.49,0.39,0.22,0.17,0.17,0.06,0.38,0.33,0.19,0.1
0,https://www.niche.com/places-to-live/c/jasper-county-ga/,B minus,B minus,C,B minus,B+,B minus,B,B+,B minus,B,C minus,"Jasper County is located in Georgia with a population of 13,916. In Jasper County, most residents own their homes. Many families live in Jasper County and residents tend to be conservative.",,,,,,,,0.23,0.77,,,,,,,,,,,,,,,0.12,0.11,0.07,0.11,0.12,0.14,0.15,0.18,0.05,-0.5833333333333333,0.09,-0.55,0.3,0.034482758620689724,0.38,0.40740740740740744,0.17,0.41666666666666674,,,1,0,3,0,0,0.032,0.155,0.016,0.74,0.04,0.01,0.0,0.0,0.2,0.0,0.0,0.48,0.52,0.24,0.22,0.25,0.25,0.05,0.33,0.32,0.23,0.12
0,https://www.niche.com/places-to-live/c/dorchester-county-md/,C,C minus,B minus,B minus,A minus,C,B minus,B,B minus,B+,B minus,"Dorchester County is located in Maryland with a population of 32,138. In Dorchester County, most residents own their homes. Many young professionals and retirees live in Dorchester County and residents tend to lean conservative.",,,,,,,,0.32,0.68,,,,,,,,,,,,,,,0.11,0.1,0.07,0.12,0.1,0.13,0.15,0.21,0.08,-0.33333333333333326,0.13,-0.35,0.28,-0.0344827586206895,0.39,0.4444444444444444,0.12,0.0,,,0,0,10,5,2,0.05,0.156,0.023,0.63,0.06,0.04,0.01,0.0,0.26,0.0,0.0,0.47,0.53,0.24,0.19,0.23,0.28,0.07,0.26,0.32,0.28,0.14
0,https://www.niche.com/places-to-live/c/woodruff-county-ar/,C,B minus,C minus,C+,B+,C,B,A,C minus,C+,B+,"Woodruff County is located in Arkansas with a population of 6,533. In Woodruff County, most residents own their homes. Many retirees live in Woodruff County and residents tend to lean conservative.",,,,,,,,0.35,0.65,,,,,,,,,,,,,,,0.13,0.08,0.07,0.1,0.11,0.13,0.15,0.23,0.04,-0.6666666666666666,0.1,-0.5,0.24,-0.1724137931034483,0.44,0.6296296296296295,0.18,0.5,,,,,,,,0.044000000000000004,0.247,0.004,0.69,0.0,0.01,0.01,0.0,0.28,0.0,0.0,0.46,0.54,0.4,0.17,0.17,0.21,0.04,0.34,0.31,0.26,0.09
0,https://www.niche.com/places-to-live/c/hardy-county-wv/,C+,B minus,B,C+,C+,B minus,B+,A minus,C,A minus,B minus,"Hardy County is located in West Virginia with a population of 13,805. In Hardy County, most residents own their homes. Many retirees live in Hardy County and residents tend to be conservative.",,,,,,,,0.26,0.74,,,,,,,,,,,,,,,0.12,0.09,0.06,0.1,0.12,0.15,0.15,0.22,0.06,-0.5,0.08,-0.6000000000000001,0.21,-0.27586206896551724,0.45,0.6666666666666665,0.2,0.6666666666666667,,,0,3,3,2,1,0.019,0.136,0.018000000000000002,0.9,0.02,0.01,0.02,0.0,0.06,0.0,0.01,0.52,0.48,0.21,0.27,0.23,0.25,0.04,0.29,0.4,0.23,0.09
0,https://www.niche.com/places-to-live/c/montezuma-county-co/,C+,C,B,B minus,B+,C+,C,C,B,B,B,"Montezuma County is located in Colorado with a population of 26,031. In Montezuma County, most residents own their homes. Many young professionals and retirees live in Montezuma County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,,,,,,,,0.12,0.1,0.07,0.11,0.1,0.13,0.16,0.22,0.11,-0.08333333333333326,0.19,-0.050000000000000044,0.31,0.06896551724137945,0.29,0.07407407407407396,0.1,-0.16666666666666663,,,,,,,,0.028999999999999998,0.15,0.018000000000000002,0.72,0.13,0.02,0.01,0.0,0.0,0.0,0.12,0.49,0.51,0.23,0.23,0.25,0.24,0.05,0.27,0.34,0.24,0.14
