,Link,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,sunmary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Murder,Rape,Robbery,Burglary,Theft,Motor Vehicle Theft,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,Two or more races,African American,American Indian or Alaska native,Asian,Hawaiian or other Pacific Islander,Other race,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+,Assault vs. National,Murder vs. National,Rape vs. National,Robbery vs. National,Burglary vs. National,Theft vs. National,Motor Vehicle Theft vs. National
0,https://www.niche.com/places-to-live/c/jessamine-county-ky/,B+,B,B+,A minus,B minus,B+,B minus,B+,B+,B,C+,"Jessamine County is located in Kentucky with a population of 53,032. In Jessamine County, most residents own their homes. Many families and young professionals live in Jessamine County and residents tend to be conservative.",,,,,,,,0.35,0.65,,,,,,,,0.13,0.11,0.1,0.12,0.12,0.13,0.13,0.15,0.12,0.0,0.18,-0.10000000000000009,0.27,-0.06896551724137923,0.31,0.14814814814814814,0.13,0.08333333333333348,,,1,1,0,0,0,0.039,0.16699999999999998,0.027000000000000003,0.89,0.03,0.01,0.05,0.0,0.01,0.0,0.0,0.48,0.52,0.2,0.19,0.22,0.28,0.11,0.31,0.29,0.24,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/rockingham-county-nh/,A minus,C+,B+,A minus,C+,B+,C,C,A+,A,C+,"Rockingham County is located in New Hampshire with a population of 306,359. In Rockingham County, most residents own their homes. Many young professionals live in Rockingham County and residents tend to lean conservative.",,,,,,,,0.22,0.78,,,,,,,,0.1,0.1,0.08,0.12,0.12,0.16,0.16,0.17,0.16,0.3333333333333335,0.26,0.30000000000000004,0.28,-0.0344827586206895,0.25,-0.07407407407407418,0.05,-0.5833333333333333,,,0,2,2,0,0,0.023,0.046,0.018000000000000002,0.93,0.03,0.02,0.01,0.0,0.02,0.0,0.0,0.5,0.5,0.1,0.11,0.19,0.34,0.25,0.19,0.24,0.26,0.31,,,,,,,
0,https://www.niche.com/places-to-live/c/rice-county-mn/,B,B,A minus,B+,B,B+,C,B,A minus,B minus,B,"Rice County is located in Minnesota with a population of 66,185. In Rice County, most residents own their homes. Many families and young professionals live in Rice County and residents tend to have moderate political views.",,,,,,,,0.26,0.74,,,,,,,,0.12,0.1,0.15,0.11,0.12,0.13,0.13,0.15,0.1,-0.16666666666666663,0.18,-0.10000000000000009,0.31,0.06896551724137945,0.31,0.14814814814814814,0.09,-0.25,,,1,0,0,0,0,0.025,0.091,0.054000000000000006,0.82,0.08,0.01,0.06,0.0,0.02,0.0,0.0,0.51,0.49,0.16,0.17,0.22,0.34,0.11,0.3,0.25,0.28,0.18,,,,,,,
0,https://www.niche.com/places-to-live/c/bannock-county-id/,B+,B,A minus,A minus,B,B,B minus,C+,A,A,A,"Bannock County is located in Idaho with a population of 85,765. In Bannock County, most residents own their homes. Many families and young professionals live in Bannock County and residents tend to be conservative.",,,,,,,,0.32,0.68,,,,,,,,0.14,0.12,0.1,0.15,0.12,0.1,0.12,0.14,0.09,-0.25,0.19,-0.050000000000000044,0.38,0.3103448275862071,0.26,-0.03703703703703709,0.08,-0.33333333333333326,,,0,1,0,0,1,0.034,0.163,0.026000000000000002,0.84,0.09,0.02,0.01,0.03,0.02,0.0,0.0,0.5,0.5,0.23,0.21,0.23,0.27,0.06,0.34,0.29,0.23,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/essex-county-ma/,B+,D+,A,A,A minus,B minus,C,C minus,A+,A,B,"Essex County is located in Massachusetts with a population of 783,676. In Essex County, most residents own their homes. Many young professionals live in Essex County and residents tend to lean liberal.",,,,,,,,0.36,0.64,,,,,,,,0.11,0.1,0.09,0.12,0.12,0.14,0.14,0.17,0.16,0.3333333333333335,0.24,0.19999999999999996,0.24,-0.1724137931034483,0.25,-0.07407407407407418,0.11,-0.08333333333333326,,,1,2,1,0,0,0.033,0.10300000000000001,0.079,0.7,0.21,0.02,0.03,0.0,0.03,0.0,0.0,0.48,0.52,0.17,0.13,0.17,0.29,0.23,0.24,0.25,0.23,0.28,,,,,,,
0,https://www.niche.com/places-to-live/c/geary-county-ks/,A minus,C+,A minus,A,A,C+,B minus,B minus,B,B,B+,"Geary County is located in Kansas with a population of 34,025. In Geary County, most residents rent their homes. Many families and young professionals live in Geary County and residents tend to be conservative.",,,,,,,,0.62,0.38,,,,,,,,0.21,0.09,0.15,0.21,0.12,0.07,0.06,0.08,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.46,0.5862068965517244,0.25,-0.07407407407407418,0.06,-0.5,,,0,2,1,0,0,0.03,0.13,0.024,0.57,0.16,0.04,0.18,0.01,0.03,0.01,0.0,0.53,0.47,0.17,0.24,0.3,0.25,0.05,0.2,0.36,0.3,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/gillespie-county-tx/,A,B minus,B+,B,B,B+,B+,B minus,B,C+,B+,"Gillespie County is located in Texas with a population of 26,459. In Gillespie County, most residents own their homes. Many retirees live in Gillespie County and residents tend to be conservative.",,,,,,,,0.28,0.72,,,,,,,,0.1,0.1,0.07,0.08,0.1,0.11,0.15,0.29,0.09,-0.25,0.23,0.1499999999999999,0.27,-0.06896551724137923,0.3,0.11111111111111094,0.11,-0.08333333333333326,,,0,0,0,0,1,0.025,0.095,0.067,0.75,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.48,0.52,0.17,0.22,0.24,0.26,0.11,0.27,0.31,0.25,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/lincoln-county-nc/,A minus,A minus,C+,A minus,B,B,B+,B+,A minus,B,C minus,"Lincoln County is located in North Carolina with a population of 82,919. In Lincoln County, most residents own their homes. Many young professionals live in Lincoln County and residents tend to be conservative.",,,,,,,,0.24,0.76,,,,,,,,0.11,0.1,0.07,0.11,0.13,0.16,0.15,0.17,0.07,-0.41666666666666663,0.16,-0.20000000000000007,0.34,0.1724137931034484,0.31,0.14814814814814814,0.12,0.0,,,6,6,1,1,0,0.035,0.12,0.022000000000000002,0.85,0.07,0.02,0.05,0.0,0.01,0.0,0.0,0.5,0.5,0.2,0.19,0.23,0.27,0.12,0.26,0.3,0.26,0.18,,,,,,,
0,https://www.niche.com/places-to-live/c/mobile-county-al/,B minus,B minus,A minus,B+,A,C+,B,B+,B+,A minus,B minus,"Mobile County is located in Alabama with a population of 414,114. In Mobile County, most residents own their homes. Many families and young professionals live in Mobile County and residents tend to lean conservative.",,,,,,,,0.35,0.65,,,,,,,,0.13,0.11,0.09,0.14,0.12,0.12,0.13,0.16,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.29,0.0,0.34,0.2592592592592593,0.14,0.16666666666666674,,,35,40,32,5,4,0.034,0.18600000000000003,0.013999999999999999,0.57,0.03,0.02,0.36,0.01,0.02,0.0,0.0,0.48,0.52,0.28,0.2,0.22,0.23,0.07,0.29,0.33,0.24,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/allen-county-oh/,A minus,B+,A minus,A minus,B,B minus,C+,A minus,B+,B,B+,"Allen County is located in Ohio with a population of 103,175. In Allen County, most residents own their homes. Many families live in Allen County and residents tend to be conservative.",,,,,,,,0.33,0.67,,,,,,,,0.12,0.11,0.1,0.12,0.12,0.12,0.14,0.17,0.07,-0.41666666666666663,0.12,-0.4,0.33,0.13793103448275867,0.39,0.4444444444444444,0.1,-0.16666666666666663,,,0,1,0,0,0,0.034,0.13699999999999998,0.008,0.81,0.03,0.03,0.12,0.0,0.01,0.0,0.0,0.5,0.5,0.23,0.2,0.25,0.26,0.06,0.3,0.32,0.26,0.13,,,,,,,
0,https://www.niche.com/places-to-live/c/traill-county-nd/,B,A,B,B,C+,A minus,C,A minus,C+,C+,B+,"Traill County is located in North Dakota with a population of 8,008. In Traill County, most residents own their homes. Many young professionals and retirees live in Traill County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,0.12,0.1,0.1,0.11,0.1,0.13,0.14,0.19,0.08,-0.33333333333333326,0.21,0.04999999999999982,0.39,0.3448275862068968,0.26,-0.03703703703703709,0.07,-0.41666666666666663,,,,,,,,0.019,0.065,0.012,0.92,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.51,0.49,0.16,0.16,0.25,0.34,0.09,0.25,0.24,0.34,0.18,,,,,,,
0,https://www.niche.com/places-to-live/c/rapides-parish-la/,B+,B minus,B+,A minus,A minus,C+,B,B+,B,B,B+,"Rapides Parish is a County in Louisiana with a population of 130,970. In Rapides Parish, most residents own their homes. Many families live in Rapides Parish and residents tend to be conservative.",,,,,,,,0.38,0.62,,,,,,,,0.14,0.11,0.09,0.13,0.12,0.12,0.13,0.16,0.08,-0.33333333333333326,0.13,-0.35,0.28,-0.0344827586206895,0.37,0.37037037037037024,0.14,0.16666666666666674,,,1,15,14,0,0,0.037000000000000005,0.195,0.013999999999999999,0.61,0.03,0.02,0.31,0.01,0.01,0.0,0.0,0.48,0.52,0.28,0.2,0.22,0.23,0.07,0.32,0.31,0.23,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/davie-county-nc/,A minus,A minus,B,A minus,B minus,B+,B,B+,B minus,B+,C,"Davie County is located in North Carolina with a population of 42,257. In Davie County, most residents own their homes. Many retirees live in Davie County and residents tend to be conservative.",,,,,,,,0.2,0.8,,,,,,,,0.11,0.1,0.07,0.1,0.11,0.15,0.15,0.2,0.09,-0.25,0.15,-0.2500000000000001,0.32,0.10344827586206917,0.32,0.18518518518518512,0.12,0.0,,,1,0,1,0,1,0.023,0.139,0.031,0.84,0.07,0.03,0.05,0.0,0.01,0.0,0.0,0.48,0.52,0.18,0.21,0.21,0.3,0.1,0.28,0.3,0.26,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/macon-county-il/,B+,B,A minus,B+,B+,B minus,B minus,B+,B+,B,A minus,"Macon County is located in Illinois with a population of 105,528. In Macon County, most residents own their homes. Many families and young professionals live in Macon County and residents tend to lean conservative.",,,,,,,,0.32,0.68,,,,,,,,0.12,0.1,0.09,0.12,0.12,0.12,0.14,0.19,0.08,-0.33333333333333326,0.14,-0.29999999999999993,0.33,0.13793103448275867,0.35,0.29629629629629606,0.1,-0.16666666666666663,,,1,0,0,0,0,0.047,0.166,0.009000000000000001,0.76,0.02,0.05,0.15,0.0,0.01,0.0,0.0,0.48,0.52,0.25,0.2,0.23,0.24,0.08,0.29,0.28,0.26,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/walworth-county-wi/,B+,B minus,A,A minus,B minus,B+,C,B minus,B+,A,B,"Walworth County is located in Wisconsin with a population of 103,074. In Walworth County, most residents own their homes. Many young professionals live in Walworth County and residents tend to be conservative.",,,,,,,,0.31,0.69,,,,,,,,0.11,0.1,0.13,0.1,0.11,0.13,0.14,0.17,0.11,-0.08333333333333326,0.18,-0.10000000000000009,0.31,0.06896551724137945,0.31,0.14814814814814814,0.09,-0.25,,,1,1,1,0,0,0.026000000000000002,0.107,0.032,0.85,0.11,0.01,0.01,0.0,0.01,0.0,0.0,0.5,0.5,0.17,0.18,0.23,0.31,0.11,0.28,0.29,0.26,0.17,,,,,,,
0,https://www.niche.com/places-to-live/c/florence-county-sc/,C+,B minus,B+,B+,A,B minus,B+,B+,B,B+,B minus,"Florence County is located in South Carolina with a population of 138,475. In Florence County, most residents own their homes. Many families and young professionals live in Florence County and residents tend to lean conservative.",,,,,,,,0.34,0.66,,,,,,,,0.13,0.11,0.09,0.13,0.12,0.13,0.13,0.16,0.09,-0.25,0.15,-0.2500000000000001,0.28,-0.0344827586206895,0.33,0.2222222222222221,0.15,0.25,,,11,36,21,4,0,0.039,0.183,0.013000000000000001,0.52,0.03,0.01,0.43,0.0,0.01,0.0,0.0,0.47,0.53,0.27,0.21,0.23,0.22,0.07,0.3,0.34,0.23,0.14,,,,,,,
0,https://www.niche.com/places-to-live/c/sevier-county-ar/,A,A,C,A,A,C minus,B minus,A,C+,C,C+,"Sevier County is located in Arkansas with a population of 17,081. In Sevier County, most residents own their homes. Many families live in Sevier County and residents tend to be conservative.",,,,,,,,0.29,0.71,,,,,,,,0.15,0.13,0.09,0.12,0.13,0.12,0.12,0.14,0.05,-0.5833333333333333,0.08,-0.6000000000000001,0.26,-0.10344827586206884,0.37,0.37037037037037024,0.23,0.9166666666666667,,,0,1,0,0,0,0.034,0.21,0.131,0.57,0.33,0.01,0.05,0.02,0.0,0.0,0.0,0.5,0.5,0.26,0.2,0.27,0.22,0.05,0.27,0.39,0.23,0.11,,,,,,,
