"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCoPsy Measure Desc","MedCoPsy %","MedCoPsy Denominator","MedCoPsy Footnote","MedCoPsy Measure Start Date","MedCoPsy Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,Etowah,Hours of physical-restraint use,0.00,0,4284,,Hours of seclusion use,0.00,0,4284,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),99,184,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,26,27,,0,27,,Tobacco use treatment provided or offered,73,67,,1,67,,Tobacco use treatment provided or offered at discharge,48,42,,0,42,,Transition record with specified elements received by discharged patients (TR1),89,317,,Timely transmission of transition record (TR2),89,317,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,26.9,26,,3.8,26,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,351,20.8,17.2,25.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),99,131,,10/01/2019,03/31/2020
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,Etowah,Hours of physical-restraint use,0.00,0,3832,,Hours of seclusion use,0.00,0,3832,,Patients discharged on multiple antipsychotic medications with appropriate justification,91.00,11,,Screening for metabolic disorders (SMD),100,211,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),100,329,,Timely transmission of transition record (TR2),97,329,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,30.8,26,,26.9,26,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,298,19.9,16.3,24.2,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),85,116,,10/01/2019,03/31/2020
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,Hours of physical-restraint use,0.00,0,4210,,Hours of seclusion use,0.00,0,4210,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),2,252,,Alcohol use brief intervention provided or offered,93,326,,0,326,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,50,181,,42,181,,Tobacco use treatment provided or offered at discharge,0,60,,0,60,,Transition record with specified elements received by discharged patients (TR1),98,310,,Timely transmission of transition record (TR2),98,310,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,77.5,40,,25,40,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,76.1,109,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,352,21.7,18.1,25.8,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),54,160,,10/01/2019,03/31/2020
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,Barbour,Hours of physical-restraint use,0.00,0,2546,,Hours of seclusion use,0.03,2,2546,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,12,,Screening for metabolic disorders (SMD),100,12,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,100,258,,100,258,,Tobacco use treatment provided or offered at discharge,100,38,,100,38,,Transition record with specified elements received by discharged patients (TR1),100,258,,Timely transmission of transition record (TR2),100,258,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,36.4,11,,9.1,11,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse than the National Rate,194,26,20.7,32.0,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,134,,10/01/2019,03/31/2020
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,Hours of physical-restraint use,0.00,0,3747,,Hours of seclusion use,0.00,0,3747,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),97,176,,Alcohol use brief intervention provided or offered,90,52,,90,52,,Alcohol and other drug use disorder treatment provided or offered at discharge,90,105,,81,105,,Tobacco use treatment provided or offered,96,164,,80,164,,Tobacco use treatment provided or offered at discharge,96,141,,4,141,,Transition record with specified elements received by discharged patients (TR1),89,408,,Timely transmission of transition record (TR2),72,408,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,31.9,91,,11,91,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,73.7,156,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,266,17.6,14.2,21.8,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),94,126,,10/01/2019,03/31/2020
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,Hours of physical-restraint use,0.04,13.17,15446,,Hours of seclusion use,0.03,9.8,15446,,Patients discharged on multiple antipsychotic medications with appropriate justification,3.00,33,,Screening for metabolic disorders (SMD),55,363,,Alcohol use brief intervention provided or offered,60,30,,53,30,,Alcohol and other drug use disorder treatment provided or offered at discharge,13,69,,12,69,,Tobacco use treatment provided or offered,76,126,,36,126,,Tobacco use treatment provided or offered at discharge,21,109,,6,109,,Transition record with specified elements received by discharged patients (TR1),38,610,,Timely transmission of transition record (TR2),31,610,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.2,79,,29.1,79,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,87.3,173,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,356,18.3,15.1,21.9,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),95,295,,10/01/2019,03/31/2020
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,Hours of physical-restraint use,0.00,0,2470,,Hours of seclusion use,0.00,0,2470,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,181,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,100,48,,98,48,,Tobacco use treatment provided or offered at discharge,90,21,,90,21,,Transition record with specified elements received by discharged patients (TR1),100,181,,Timely transmission of transition record (TR2),100,181,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,37,27,,3.7,27,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,234,18.4,14.4,23.3,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,181,,10/01/2019,03/31/2020
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,Hours of physical-restraint use,0.00,0.67,23387,,Hours of seclusion use,0.00,0,23387,,Patients discharged on multiple antipsychotic medications with appropriate justification,100.00,17,,Screening for metabolic disorders (SMD),97,425,,Alcohol use brief intervention provided or offered,95,20,,95,20,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,227,,99,227,,Tobacco use treatment provided or offered,99,373,,99,373,,Tobacco use treatment provided or offered at discharge,99,341,,99,341,,Transition record with specified elements received by discharged patients (TR1),87,622,,Timely transmission of transition record (TR2),87,622,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50.6,168,,31,168,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,79.7,335,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,657,19.2,16.6,22.2,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),100,153,,10/01/2019,03/31/2020
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,Clarke,Hours of physical-restraint use,0.00,0,2319,,Hours of seclusion use,0.00,0,2319,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),96,122,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,72,18,,22,18,,Tobacco use treatment provided or offered at discharge,58,12,,17,12,,Transition record with specified elements received by discharged patients (TR1),0,161,,Timely transmission of transition record (TR2),0,161,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,76.9,13,,30.8,13,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,147,18.8,14.2,24.6,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),76,62,,10/01/2019,03/31/2020
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,Hours of physical-restraint use,0.31,131.27,17685,,Hours of seclusion use,0.16,69.13,17685,,Patients discharged on multiple antipsychotic medications with appropriate justification,64.00,56,,Screening for metabolic disorders (SMD),99,322,,Alcohol use brief intervention provided or offered,80,96,,80,96,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,228,,100,228,,Tobacco use treatment provided or offered,96,291,,75,291,,Tobacco use treatment provided or offered at discharge,84,255,,13,255,,Transition record with specified elements received by discharged patients (TR1),66,627,,Timely transmission of transition record (TR2),60,627,,01/01/2019,12/31/2019,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,22.7,185,,6.5,185,,07/01/2018,06/30/2019,Medication Continuation Following Inpatient Psychiatric Discharge,69.3,362,,07/01/2017,06/30/2019,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,757,20.2,17.7,22.7,,07/01/2017,06/30/2019,Influenza immunization (IPFQR-IMM-2),97,304,,10/01/2019,03/31/2020
